fact_unit,2023-11-09,2024-02-08,2024-05-29,2024-08-01,2024-11-07,2025-02-05,2025-05-28,2025-07-30,2025-11-05
IncreaseDecreaseInContractWithCustomerAsset / USD,-39000000.0,-7000000.0,158000000.0,32000000.0,87000000.0,154000000.0,2000000.0,242000000.0,151000000.0
IncreaseDecreaseInContractWithCustomerLiability / USD,12000000.0,-10000000.0,-51000000.0,24000000.0,-72000000.0,-148000000.0,-37000000.0,9000000.0,7000000.0
IncreaseDecreaseInEmployeeRelatedLiabilities / USD,-509000000.0,-398000000.0,127000000.0,-447000000.0,-442000000.0,-383000000.0,-138000000.0,-201000000.0,-193000000.0
IncreaseDecreaseInOperatingLeaseLiability / USD,-59000000.0,-53000000.0,-59000000.0,-4000000.0,-17000000.0,-18000000.0,-58000000.0,-11000000.0,-21000000.0
IncreaseDecreaseInOtherOperatingLiabilities / USD,,-64000000.0,101000000.0,-58000000.0,-92000000.0,-78000000.0,3000000.0,-260000000.0,-399000000.0
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets / USD,-13000000.0,-29000000.0,41000000.0,-1000000.0,-13000000.0,19000000.0,1000000.0,-6000000.0,56000000.0
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements / shares,1241177.0,1722431.0,0.0,4000000.0,0.0,14000000.0,3000000.0,16000000.0,14000000.0
IndefiniteLivedIntangibleAssetsExcludingGoodwill / USD,,,0.0,,,,1000000.0,,
IntangibleAssetsGrossExcludingGoodwill / USD,,,628000000.0,,,,668000000.0,,
IntangibleAssetsNetExcludingGoodwill / USD,138000000.0,138000000.0,138000000.0,152000000.0,152000000.0,152000000.0,152000000.0,151000000.0,151000000.0
InterestIncomeExpenseNonoperatingNet / USD,8000000.0,21000000.0,2000000.0,24000000.0,52000000.0,80000000.0,42000000.0,32000000.0,61000000.0
LesseeOperatingLeaseLiabilityPaymentsDue / USD,,,261000000.0,,,,452000000.0,,
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive / USD,,,141000000.0,,,,268000000.0,,
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths / USD,,,33000000.0,,,,38000000.0,,
LesseeOperatingLeaseLiabilityPaymentsDueYearFive / USD,,,15000000.0,,,,32000000.0,,
LesseeOperatingLeaseLiabilityPaymentsDueYearFour / USD,,,20000000.0,,,,37000000.0,,
LesseeOperatingLeaseLiabilityPaymentsDueYearThree / USD,,,23000000.0,,,,40000000.0,,
LesseeOperatingLeaseLiabilityPaymentsDueYearTwo / USD,,,29000000.0,,,,37000000.0,,
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount / USD,,,40000000.0,,,,106000000.0,,
Liabilities / USD,2815000000.0,2815000000.0,2815000000.0,2632000000.0,2632000000.0,2632000000.0,2632000000.0,2093000000.0,2093000000.0
LiabilitiesAndStockholdersEquity / USD,6866000000.0,6866000000.0,6866000000.0,7927000000.0,7927000000.0,7927000000.0,7927000000.0,8932000000.0,8932000000.0
LiabilitiesCurrent / USD,1363000000.0,1363000000.0,1363000000.0,1505000000.0,1505000000.0,1505000000.0,1505000000.0,929000000.0,929000000.0
LiabilitiesNoncurrent / USD,1452000000.0,1452000000.0,1452000000.0,1127000000.0,1127000000.0,1127000000.0,1127000000.0,1164000000.0,1164000000.0
LongTermInvestments / USD,723000000.0,723000000.0,723000000.0,741000000.0,741000000.0,741000000.0,741000000.0,565000000.0,565000000.0
LossContingencyAccrualAtCarryingValue / USD,40000000.0,40000000.0,40000000.0,,,,40000000.0,,
LossContingencyAccrualCarryingValuePeriodIncreaseDecrease / USD,-40000000.0,-40000000.0,-40000000.0,,-40000000.0,-40000000.0,-40000000.0,,0.0
NetCashProvidedByUsedInFinancingActivities / USD,-20000000.0,-32000000.0,-32000000.0,-15000000.0,-39000000.0,-87000000.0,-42000000.0,-96000000.0,-149000000.0
