fact_unit,2009-08-06,2009-11-06,2010-02-26,2010-04-28,2010-08-03,2010-10-29,2011-02-24,2011-04-29,2011-07-29,2011-10-28,2012-02-24,2012-04-27,2012-07-27,2012-10-25,2013-02-28,2013-04-25,2013-07-25,2013-10-24,2014-02-21,2014-04-24,2014-07-24,2014-10-23,2015-02-13,2015-04-23,2015-07-23,2015-10-22,2016-02-19,2016-04-28,2016-07-28,2016-10-27,2017-02-17,2017-04-27,2017-07-27,2017-10-26,2018-02-16,2018-04-26,2018-07-26,2018-10-25,2019-02-15,2019-04-25,2019-07-25,2019-10-24,2020-02-14,2020-04-23,2020-07-23,2020-10-22,2021-02-19,2021-04-22,2021-07-22,2021-10-28,2022-02-18,2022-04-28,2022-07-28,2022-10-27,2023-02-17,2023-04-27,2023-07-27,2023-10-26,2024-02-15,2024-04-25,2024-07-25,2024-10-24,2025-02-13,2025-04-24,2025-07-24,2025-10-23
CurrentIncomeTaxExpenseBenefit / USD,,,,,,,,,,,-5642000.0,,,,-110608000.0,,,,33434000.0,,,,30011000.0,,,,22867000.0,,,,74243000.0,,,,30998000.0,,,,54350000.0,,,,32703000.0,,,,176414000.0,,,,107737000.0,,,,-84300000.0,,,,159500000.0,,,,213100000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,,,,,,,,,-17918000.0,,,,-27777000.0,,,,1963000.0,,,,7960000.0,,,,8150000.0,,,,-14000.0,,,,156000.0,,,,240000.0,,,,294000.0,,,,1088000.0,,,,2069000.0,,,,10500000.0,,,,32200000.0,,,,41700000.0,,,
CustomerDepositsCurrent / USD,,,,,,,,,18681000.0,18681000.0,18681000.0,18558000.0,18558000.0,18558000.0,18558000.0,19321000.0,19321000.0,19321000.0,19321000.0,20869000.0,20869000.0,20869000.0,20869000.0,30103000.0,30103000.0,30103000.0,30103000.0,48307000.0,48307000.0,48307000.0,48307000.0,52173000.0,52173000.0,52173000.0,52173000.0,63617000.0,63617000.0,63617000.0,63617000.0,57025000.0,57025000.0,57025000.0,57025000.0,52804000.0,52804000.0,52804000.0,52804000.0,53631000.0,53631000.0,53631000.0,53631000.0,77300000.0,77300000.0,77300000.0,77300000.0,72000000.0,72000000.0,72000000.0,72000000.0,77200000.0,77200000.0,77200000.0,77200000.0,64600000.0,64600000.0,64600000.0
DebtInstrumentFaceAmount / USD,,,,,,,,,,,1250000000.0,,,1250000000.0,1250000000.0,1250000000.0,1250000000.0,1250000000.0,1250000000.0,750000000.0,750000000.0,750000000.0,1250000000.0,500000000.0,500000000.0,500000000.0,1250000000.0,,,,1250000000.0,,550000000.0,550000000.0,1250000000.0,1250000000.0,1250000000.0,1250000000.0,1250000000.0,,,,1250000000.0,,,,1250000000.0,,,,1800000000.0,,,,1800000000.0,,,,1800000000.0,,,500000000.0,,,,
DebtInstrumentFairValue / USD,,,,,,,,,,,,,,,,,733100000.0,704500000.0,723300000.0,741100000.0,743500000.0,742500000.0,727600000.0,,,,3200000000.0,,,,2800000000.0,,,,4200000000.0,,,,,,,,,,,,,,,,,,,1880000000.0,1880000000.0,1650000000.0,1650000000.0,1650000000.0,1650000000.0,1690000000.0,1690000000.0,1690000000.0,1690000000.0,1690000000.0,1690000000.0,1690000000.0
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12435000.0,,,,-9917000.0,,,,-14300000.0,,,,-12100000.0,,,,-9800000.0,,,
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,,,,,,,,44560000.0,,,,103343000.0,,,,17047000.0,,,,67700000.0,,,,-53629000.0,,,,76614000.0,,,,65168000.0,,,,64301000.0,,,,90113000.0,,,,-16448000.0,,,,30462000.0,,,,4300000.0,,,,3900000.0,,,,-18000000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,,,,,,,,,,-10749000.0,,,,-3810000.0,,,,3049000.0,,,,-4261000.0,,,,9784000.0,,,,-38208000.0,,,,481000.0,,,,385000.0,,,,-706000.0,,,,-55563000.0,,,,-14621000.0,,,,-2100000.0,,,,-165800000.0,,,,16100000.0,,,
DeferredIncomeTaxAssetsNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87798000.0,87798000.0,87798000.0,87798000.0,67914000.0,67914000.0,67914000.0,67914000.0,230700000.0,230700000.0,230700000.0,230700000.0,234600000.0,234600000.0,234600000.0,234600000.0,301000000.0,301000000.0,301000000.0,301000000.0,281300000.0,281300000.0,281300000.0
DeferredIncomeTaxExpenseBenefit / USD,,,,,,,,,,,38577000.0,,,,135930000.0,,,,21597000.0,,,,70199000.0,,,,-110546000.0,,,,53808000.0,,,,81416000.0,,,,86178000.0,,,,109061000.0,,,,-29387000.0,,,,38740000.0,,,,19600000.0,,,,-162100000.0,,,,-6700000.0,,,
DeferredIncomeTaxLiabilities / USD,,,,,,,,,,,,,,,393732000.0,,,,451994000.0,,,,645950000.0,,,,514891000.0,,,,552263000.0,,,,597747000.0,,,,631312000.0,,,,10259000.0,,,,7074000.0,,,,6561000.0,,,,7800000.0,,,,1600000.0,,,,900000.0,,,
DeferredIncomeTaxesAndOtherTaxLiabilitiesNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60500000.0,60500000.0,60500000.0,,34100000.0,34100000.0,34100000.0,,,
