fact_unit,2019-04-24,2020-04-24,2020-11-16,2021-04-30,2022-04-25,2023-04-26,2024-04-25,2025-04-28
EarningsPerShareBasic / CNY/shares,-0.18,-0.28,-1.13,-3.47,-1.51,-1.51,1.55,6.24
EarningsPerShareBasic / USD/shares,-0.5,-0.22,-0.18,-0.23,0.24,0.9,1.56,2.78
EarningsPerShareBasicAndDiluted / CNY/shares,-0.18,-0.28,-1.13,-3.47,,,,
EarningsPerShareBasicAndDiluted / USD/shares,-0.5,-0.22,-0.18,-0.23,,,,
EarningsPerShareDiluted / CNY/shares,-0.18,-0.28,-1.13,-3.47,-1.51,-1.51,1.36,5.48
EarningsPerShareDiluted / USD/shares,-0.5,-0.22,-0.18,-0.23,0.21,0.79,1.45,2.6
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / CNY,20397000.0,-47681000.0,500402000.0,546910000.0,450142000.0,,,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,79545000.0,64659000.0,6436000.0,-21447000.0,-22779000.0,,,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations / CNY,,,,,,-139943000.0,-145157000.0,100177000.0
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations / USD,,,,,,14524000.0,-41006000.0,115093000.0
EffectiveIncomeTaxRateContinuingOperations / pure,,,,,,,0.199,0.13
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,0.25,0.25,,0.25,0.25,0.25,0.25,0.25
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential / pure,,,,,,,0.157,0.056
EffectiveIncomeTaxRateReconciliationNondeductibleExpense / pure,,,,,,,0.016,0.009
EffectiveIncomeTaxRateReconciliationTaxExemptIncome / pure,,,,,,,0.014,0.003
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions / CNY,8151703000.0,9994423000.0,,9773595000.0,10135015000.0,,,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions / USD,1185616000.0,1435609000.0,,1497869000.0,1590405000.0,,,
EquityMethodInvestmentOtherThanTemporaryImpairment / CNY,,,,,,0.0,0.0,0.0
EquityMethodInvestments / CNY,,,,0.0,,,,
EquityMethodInvestments / USD,,,,661317000.0,,,,
EquitySecuritiesFvNiRealizedLoss / CNY,,0.0,,0.0,,,,
EquitySecuritiesFvNiRealizedLoss / USD,,781000.0,,2196000.0,,,,
EquitySecuritiesFvNiUnrealizedLoss / CNY,,11473000.0,,11473000.0,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInEarnings1 / CNY,,,,-114212000.0,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInEarnings1 / USD,,,,-17504000.0,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInOtherComprehensiveIncomeLoss / CNY,,,,88928000.0,-67065000.0,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInOtherComprehensiveIncomeLoss / USD,,,,13629000.0,-10524000.0,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetPurchases / CNY,,,,1414200000.0,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetPurchases / USD,,,,216736000.0,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetValue / CNY,,,,1388916000.0,1388916000.0,1388916000.0,1290901000.0,1233284000.0
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetValue / USD,,,,212861000.0,217951000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths / CNY,618458000.0,629233000.0,612573000.0,586919000.0,,112854000.0,3007000.0,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths / USD,89951000.0,90384000.0,90222000.0,89949000.0,,16362000.0,424000.0,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive / CNY,110125000.0,,,,3007000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive / USD,16017000.0,,,,472000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour / CNY,618458000.0,110031000.0,,,3007000.0,3007000.0,3007000.0,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour / USD,89951000.0,15805000.0,,,472000.0,436000.0,424000.0,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree / CNY,618458000.0,627514000.0,107411000.0,102913000.0,103566000.0,3007000.0,3007000.0,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree / USD,89951000.0,90137000.0,15820000.0,15773000.0,16252000.0,436000.0,424000.0,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo / CNY,618458000.0,627514000.0,612573000.0,586919000.0,576506000.0,3007000.0,3007000.0,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo / USD,89951000.0,90137000.0,90222000.0,89949000.0,90466000.0,436000.0,424000.0,
FiniteLivedIntangibleAssetsForeignCurrencyTranslationGainLoss / CNY,218037000.0,218037000.0,34687000.0,34687000.0,-94017000.0,-22188000.0,41400000.0,
FiniteLivedIntangibleAssetsForeignCurrencyTranslationGainLoss / USD,,,,,,6002000.0,192000.0,
FiniteLivedIntangibleAssetsNet / CNY,2579338000.0,2579338000.0,2579338000.0,2579338000.0,1994292000.0,1276751000.0,701220000.0,
FiniteLivedIntangibleAssetsNet / USD,,,,,,101667000.0,18874000.0,
FinitelivedIntangibleAssetsAcquired1 / CNY,2852370000.0,2852370000.0,,,30073000.0,30073000.0,,
ForeignCurrencyTransactionGainBeforeTax / CNY,,5380000.0,31150000.0,5380000.0,5380000.0,,,
ForeignCurrencyTransactionGainBeforeTax / USD,,773000.0,11222000.0,34513000.0,11259000.0,,,
ForeignCurrencyTransactionGainLossBeforeTax / CNY,475000.0,-11547000.0,76416000.0,10037000.0,63179000.0,225197000.0,71750000.0,-149710000.0
ForeignCurrencyTransactionGainLossBeforeTax / USD,1460000.0,9075000.0,11222000.0,34513000.0,11259000.0,-21706000.0,5031000.0,80537000.0
GainLossOnSaleOfPropertyPlantEquipment / CNY,-64000.0,-64000.0,-152000.0,-13000.0,-175000.0,-24000.0,258000.0,-10697000.0
GainLossOnSaleOfPropertyPlantEquipment / USD,-2000.0,-25000.0,,-4000.0,40000.0,-1551000.0,-247000.0,-529000.0
GainsLossesOnExtinguishmentOfDebt / CNY,,,,5188000.0,5188000.0,5188000.0,2788000.0,
GainsLossesOnExtinguishmentOfDebt / USD,,,,795000.0,437000.0,,,
GeneralAndAdministrativeExpense / CNY,14793000.0,133207000.0,951030000.0,6456612000.0,1296712000.0,1507297000.0,1540774000.0,3964935000.0
GeneralAndAdministrativeExpense / USD,939075000.0,186261000.0,162267000.0,231003000.0,241781000.0,574862000.0,574039000.0,1034752000.0
GrossProfit / CNY,-73006000.0,1021246000.0,15047819000.0,10214741000.0,23803108000.0,40213224000.0,,
GrossProfit / USD,1485672000.0,3419103000.0,3710327000.0,6162946000.0,9765535000.0,14367467000.0,,
