fact_unit,2015-07-29,2015-10-29,2016-02-11,2016-04-28,2016-07-26,2016-10-25,2017-02-08,2017-04-27,2017-07-27,2017-10-24,2018-02-07,2018-04-26,2018-07-26,2018-10-23,2019-02-07,2019-04-25,2019-07-25,2019-09-16,2019-10-24,2020-02-06,2020-05-07,2020-07-30,2020-11-03,2021-02-05,2021-05-06,2021-07-29,2021-11-09,2022-02-03,2022-04-28,2022-08-03,2022-11-04,2023-02-10,2023-05-09,2023-08-03,2023-11-02,2024-02-08,2024-04-30,2024-07-30,2024-10-29,2025-02-04,2025-04-29,2025-07-29,2025-10-28
DeferredTaxAssetsGross / USD,,,260000000.0,,,,355000000.0,,,,399000000.0,,,,412000000.0,,,412000000.0,,528000000.0,,,,798000000.0,,,,1008000000.0,,,,1415000000.0,,,,2420000000.0,,,,3048000000.0,,,
DeferredTaxAssetsLiabilitiesNet / USD,,,,,,,,,,,86000000.0,,,,86000000.0,,,86000000.0,,115000000.0,,,,307000000.0,,,,67000000.0,,,,361000000.0,,,,1285000000.0,,,,1839000000.0,,,
DeferredTaxAssetsNet / USD,,,252000000.0,,,,342000000.0,,,,375000000.0,,,,319000000.0,,,319000000.0,,396000000.0,,,,614000000.0,,,,842000000.0,,,,1141000000.0,,,,2079000000.0,,,,2772000000.0,,,
DeferredTaxAssetsOther / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113000000.0,,,,114000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost / USD,,,60000000.0,,,,82000000.0,,,,99000000.0,,,,124000000.0,,,124000000.0,,136000000.0,,,,160000000.0,,,,196000000.0,,,,188000000.0,,,,154000000.0,,,,168000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals / USD,,,138000000.0,,,,153000000.0,,,,187000000.0,,,,118000000.0,,,118000000.0,,179000000.0,,,,235000000.0,,,,413000000.0,,,,622000000.0,,,,448000000.0,,,,761000000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,,8000000.0,,,,13000000.0,,,,24000000.0,,,,93000000.0,,,93000000.0,,132000000.0,,,,184000000.0,,,,166000000.0,,,,274000000.0,,,,341000000.0,,,,276000000.0,,,
DeferredTaxLiabilitiesDeferredExpenseCapitalizedResearchAndDevelopmentCosts / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190000000.0,,,,187000000.0,,,
DeferredTaxLiabilitiesLeasingArrangements / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138000000.0,,,,96000000.0,,,
DeferredTaxLiabilitiesOther / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179000000.0,,,,161000000.0,,,
DefinedContributionPlanCostRecognized / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83000000.0,,,
DefinedContributionPlanEmployerMatchingContributionPercent / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,
DefinedContributionPlanMaximumAnnualContributionsPerEmployeePercent / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,
Depreciation / USD,,,383000000.0,,,,432000000.0,,,,515000000.0,,,,574000000.0,,,574000000.0,,649000000.0,,,,627000000.0,,,,701000000.0,,,,738000000.0,,,,822000000.0,,,,846000000.0,,,
DepreciationDepletionAndAmortization / USD,255000000.0,,453000000.0,141000000.0,291000000.0,444000000.0,516000000.0,174000000.0,350000000.0,535000000.0,608000000.0,183000000.0,384000000.0,578000000.0,724000000.0,185000000.0,365000000.0,724000000.0,553000000.0,805000000.0,230000000.0,458000000.0,685000000.0,776000000.0,293000000.0,590000000.0,888000000.0,912000000.0,300000000.0,616000000.0,939000000.0,1189000000.0,328000000.0,661000000.0,991000000.0,1265000000.0,270000000.0,539000000.0,809000000.0,1317000000.0,265000000.0,528000000.0,783000000.0
DerivativeAssetAfterOffsetSubjectToMasterNettingArrangement / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141000000.0,243000000.0,243000000.0,243000000.0
DerivativeAssetFairValueAfterOffsetAndDeductionSubjectToMasterNettingArrangement / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99000000.0,51000000.0,51000000.0,51000000.0
DerivativeAssetFairValueGrossLiability / USD,,24000000.0,25000000.0,88000000.0,85000000.0,39000000.0,59000000.0,69000000.0,57000000.0,44000000.0,44000000.0,56000000.0,,,56000000.0,,,56000000.0,,45000000.0,,,,92000000.0,34000000.0,34000000.0,34000000.0,34000000.0,102000000.0,102000000.0,102000000.0,102000000.0,70000000.0,70000000.0,70000000.0,70000000.0,38000000.0,38000000.0,38000000.0,,,,
DerivativeAssetNotOffsetPolicyElectionDeduction / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38000000.0,23000000.0,23000000.0,23000000.0
DerivativeAssetSecuritiesPurchasedUnderAgreementsToResellSecuritiesBorrowedCollateralObligationToReturnCash / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000.0,256000000.0,256000000.0,256000000.0
DerivativeAssetSecuritiesPurchasedUnderAgreementsToResellSecuritiesBorrowedNotOffsetPolicyElectionDeduction / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38000000.0,23000000.0,23000000.0,23000000.0
DerivativeAssetSecurityPurchasedUnderAgreementToResellSecurityBorrowedAfterOffsetAndDeductionSubjectToMasterNettingArrangement / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99000000.0,51000000.0,51000000.0,51000000.0
DerivativeAssetSecurityPurchasedUnderAgreementToResellSecurityBorrowedAfterOffsetSubjectToMasterNettingArrangement / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141000000.0,330000000.0,330000000.0,330000000.0
DerivativeCollateralObligationToReturnCash / USD,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,6000000.0,6000000.0,6000000.0,162000000.0,162000000.0,162000000.0
DerivativeCollateralObligationToReturnSecurities / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,30000000.0,30000000.0,30000000.0
DerivativeCollateralRightToReclaimCash / USD,,,,,,,,,,,,,,38000000.0,38000000.0,0.0,0.0,38000000.0,0.0,,,,,,,,,,,,,,,,,,,80000000.0,80000000.0,54000000.0,7000000.0,7000000.0,7000000.0
DerivativeLiabilityAfterOffsetSubjectToMasterNettingArrangement / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131000000.0,37000000.0,37000000.0,37000000.0
DerivativeLiabilityFairValueAfterOffsetAndDeductionSubjectToMasterNettingArrangement / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39000000.0,7000000.0,7000000.0,7000000.0
DerivativeLiabilityFairValueGrossAsset / USD,,24000000.0,25000000.0,88000000.0,85000000.0,39000000.0,59000000.0,69000000.0,57000000.0,44000000.0,44000000.0,56000000.0,56000000.0,56000000.0,56000000.0,45000000.0,45000000.0,56000000.0,45000000.0,45000000.0,92000000.0,92000000.0,92000000.0,92000000.0,34000000.0,34000000.0,34000000.0,34000000.0,102000000.0,102000000.0,102000000.0,102000000.0,70000000.0,70000000.0,70000000.0,70000000.0,38000000.0,38000000.0,38000000.0,,,,
DerivativeLiabilityNotOffsetPolicyElectionDeduction / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38000000.0,23000000.0,23000000.0,23000000.0
DerivativeLiabilitySecuritiesSoldUnderAgreementsToResellSecuritiesLoanedCollateralRightToReclaimCash / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54000000.0,7000000.0,,
DerivativeLiabilitySecuritiesSoldUnderAgreementsToResellSecuritiesLoanedNotOffsetPolicyElectionDeduction / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38000000.0,23000000.0,,
DerivativeLiabilitySecuritySoldUnderAgreementToRepurchaseSecurityLoanedAfterOffsetAndDeductionSubjectToMasterNettingArrangement / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39000000.0,7000000.0,,
DerivativeLiabilitySecuritySoldUnderAgreementToRepurchaseSecurityLoanedAfterOffsetSubjectToMasterNettingArrangement / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131000000.0,37000000.0,,
DerivativeNotionalAmount / USD,2739000000.0,2527000000.0,2240000000.0,2315000000.0,2553000000.0,3197000000.0,4490000000.0,5733000000.0,7044000000.0,6477000000.0,6477000000.0,8308000000.0,8308000000.0,8308000000.0,8308000000.0,14534000000.0,14534000000.0,8308000000.0,14534000000.0,14534000000.0,21681000000.0,21681000000.0,21681000000.0,21681000000.0,21433000000.0,21433000000.0,21433000000.0,21433000000.0,25763000000.0,25763000000.0,25763000000.0,25763000000.0,18989000000.0,18989000000.0,18989000000.0,18989000000.0,20792000000.0,20792000000.0,20792000000.0,20792000000.0,17259000000.0,17259000000.0,17259000000.0
DisposalGroupNotDiscontinuedOperationLossGainOnWriteDown / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000.0,12000000.0,14000000.0,,,
EarningsPerShareBasic / USD/shares,-0.08,0.11,0.78,0.21,0.46,0.71,0.34,0.3,0.57,0.83,1.0,0.32,0.66,0.98,1.16,0.43,0.87,1.16,1.24,1.49,0.57,1.27,1.66,1.74,0.07,1.38,2.25,2.09,0.94,1.94,2.87,3.58,0.44,0.14,1.29,3.55,0.7,1.63,2.56,2.1,0.83,1.91,2.91
EarningsPerShareDiluted / USD/shares,-0.08,0.11,0.78,0.21,0.46,0.7,0.34,0.3,0.56,0.83,1.0,0.32,0.65,0.96,1.15,0.42,0.86,1.15,1.22,1.47,0.56,1.25,1.64,1.71,0.07,1.36,2.22,2.07,0.92,1.92,2.84,3.54,0.43,0.14,1.29,3.52,0.7,1.62,2.55,2.09,0.83,1.9,2.89
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,11000000.0,23000000.0,35000000.0,0.0,-7000000.0,-63000000.0,0.0,-89000000.0,36000000.0,1000000.0,-1000000.0,-49000000.0,-113000000.0,-178000000.0,-72000000.0,26000000.0,-6000000.0,-42000000.0,-34000000.0,-106000000.0,169000000.0,18000000.0,-136000000.0,-253000000.0,-102000000.0,-4000000.0,-50000000.0,-95000000.0,-155000000.0,-94000000.0,-89000000.0,103000000.0
EffectiveIncomeTaxRateContinuingOperations / pure,0.222,0.195,0.119,0.206,0.14,0.13,0.668,0.14,0.1,0.12,0.175,0.12,0.1,0.12,0.141,0.07,0.1,0.141,0.13,0.184,0.07,0.1,0.09,0.134,0.68,0.22,0.18,0.18,-0.26,-0.02,0.01,0.17,0.19,0.75,0.34,-0.017,0.26,0.23,0.21,0.281,0.27,0.23,0.23
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,,,0.35,,,0.35,,0.35,,,,0.21,,,,0.21,,,,0.21,,,,0.21,,,,0.21,,,
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance / pure,,,-0.003,,,,0.0,,,,0.003,,,,0.005,,,0.005,,0.014,,,,0.0,,,,0.001,,,,0.001,,,,0.005,,,,0.022,,,
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential / pure,,,-0.226,,,,-0.222,,,,-0.209,,,,-0.232,,,-0.232,,-0.267,,,,-0.039,,,,-0.05,,,,-0.074,,,,-0.134,,,,-0.122,,,
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost / pure,,,0.011,,,,0.015,,,,0.015,,,,0.016,,,0.016,,0.008,,,,0.041,,,,0.039,,,,0.012,,,,-0.073,,,,0.041,,,
EffectiveIncomeTaxRateReconciliationOtherAdjustments / pure,,,0.001,,,,0.017,,,,0.026,,,,0.022,,,0.022,,0.009,,,,0.019,,,,0.003,,,,0.002,,,,0.0,,,,0.04,,,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes / pure,,,-0.001,,,,0.008,,,,-0.003,,,,-0.01,,,-0.01,,0.008,,,,-0.001,,,,0.003,,,,0.022,,,,0.009,,,,0.0,,,
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount / USD,,5000000.0,10000000.0,2000000.0,4000000.0,6000000.0,10000000.0,2000000.0,6000000.0,10000000.0,7000000.0,3000000.0,10000000.0,17000000.0,13000000.0,7000000.0,17000000.0,13000000.0,26000000.0,24000000.0,10000000.0,19000000.0,29000000.0,38000000.0,10000000.0,21000000.0,34000000.0,38000000.0,16000000.0,34000000.0,51000000.0,48000000.0,16000000.0,28000000.0,40000000.0,68000000.0,11000000.0,24000000.0,38000000.0,52000000.0,12000000.0,45000000.0,77000000.0
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized / USD,,,664000000.0,,,,707000000.0,,,,830000000.0,,,,883000000.0,,,883000000.0,,1000000000.0,,,,1400000000.0,,,,1700000000.0,,,,1400000000.0,,,,1500000000.0,,,,1300000000.0,,,
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense / USD,,,60000000.0,,,,77000000.0,,,,98000000.0,,,,127000000.0,,,127000000.0,,218000000.0,,,,154000000.0,,,,182000000.0,,,,226000000.0,,,,221000000.0,,,,209000000.0,,,
EntityCommonStockSharesOutstanding / shares,1218735605.0,1221690060.0,1222675902.0,1212026663.0,1206918019.0,1206645916.0,1207583234.0,1201258479.0,1202397024.0,1201910314.0,1200160405.0,1187386825.0,1183672508.0,1178359088.0,1173209367.0,1174933013.0,1176675415.0,,1174192449.0,1172955485.0,1173981657.0,1173299768.0,1171691809.0,1171175760.0,1174728054.0,1175032150.0,1174930172.0,1165004913.0,1158039929.0,1156475874.0,1140027732.0,1131373298.0,1115713968.0,1098037471.0,1078140224.0,1071741864.0,1046046041.0,1022333393.0,1002538828.0,989242452.0,972532829.0,955378405.0,935651953.0
EntityPublicFloat / USD,,,0.0,,,,41000000000.0,,,,64500000000.0,,,,98500000000.0,,,,,134500000000.0,,,,204200000000.0,,,,342200000000.0,,,,80700000000.0,,,,73400000000.0,,,,59800000000.0,,,
EquityMethodInvestments / USD,,,,,,,,,,,,,,,,,,,,27000000.0,27000000.0,27000000.0,27000000.0,27000000.0,10000000.0,10000000.0,10000000.0,10000000.0,79000000.0,79000000.0,79000000.0,79000000.0,136000000.0,136000000.0,136000000.0,136000000.0,182000000.0,182000000.0,182000000.0,182000000.0,200000000.0,200000000.0,200000000.0
EquitySecuritiesFVNINoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,2400000000.0,2400000000.0,,1900000000.0,1900000000.0,1900000000.0,,,323000000.0,323000000.0,,24000000.0,24000000.0,24000000.0,24000000.0,23000000.0,23000000.0,23000000.0
EquitySecuritiesFvNiUnrealizedGainLoss / USD,,,,,,,,,,,,,,,,,,,,,180000000.0,398000000.0,170000000.0,203000000.0,-132000000.0,756000000.0,670000000.0,1610000000.0,-149000000.0,92000000.0,265000000.0,-46000000.0,-36000000.0,-709000000.0,220000000.0,79000000.0,52000000.0,188000000.0,200000000.0,-128000000.0,-51000000.0,-70000000.0,-242000000.0
EquitySecuritiesWithoutReadilyDeterminableFairValueAmount / USD,,,,,,,,,,,,,88000000.0,88000000.0,88000000.0,293000000.0,88000000.0,88000000.0,88000000.0,88000000.0,293000000.0,293000000.0,293000000.0,293000000.0,497000000.0,497000000.0,497000000.0,497000000.0,779000000.0,779000000.0,779000000.0,779000000.0,1268000000.0,1268000000.0,1268000000.0,1268000000.0,1687000000.0,1687000000.0,1687000000.0,1687000000.0,1631000000.0,1631000000.0,1631000000.0
EquitySecuritiesWithoutReadilyDeterminableFairValueDownwardPriceAdjustmentAnnualAmount / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104000000.0,45000000.0,45000000.0,60000000.0,155000000.0,47000000.0,64000000.0,239000000.0
EquitySecuritiesWithoutReadilyDeterminableFairValueDownwardPriceAdjustmentCumulativeAmount / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131000000.0,283000000.0,283000000.0,283000000.0,283000000.0,562000000.0,562000000.0,562000000.0
EquitySecuritiesWithoutReadilyDeterminableFairValueUpwardPriceAdjustmentAnnualAmount / USD,,,,,,,,,,,,,31000000.0,31000000.0,91000000.0,57000000.0,31000000.0,91000000.0,31000000.0,91000000.0,57000000.0,81000000.0,133000000.0,144000000.0,45000000.0,45000000.0,45000000.0,161000000.0,12000000.0,217000000.0,307000000.0,356000000.0,197000000.0,249000000.0,423000000.0,423000000.0,22000000.0,23000000.0,23000000.0,32000000.0,0.0,3000000.0,5000000.0
EquitySecuritiesWithoutReadilyDeterminableFairValueUpwardPriceAdjustmentCumulativeAmount / USD,,,,,,,,,,,,,,,91000000.0,148000000.0,91000000.0,91000000.0,91000000.0,91000000.0,230000000.0,230000000.0,230000000.0,230000000.0,378000000.0,378000000.0,378000000.0,378000000.0,733000000.0,733000000.0,733000000.0,733000000.0,1137000000.0,1137000000.0,1137000000.0,1137000000.0,1168000000.0,1168000000.0,1168000000.0,1168000000.0,1187000000.0,1187000000.0,1187000000.0
FinanceLeaseLiability / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,23000000.0,23000000.0,23000000.0
FinanceLeaseLiabilityCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,5000000.0,5000000.0,5000000.0
FinanceLeaseLiabilityNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,18000000.0,18000000.0,18000000.0
FinanceLeaseLiabilityPaymentsDue / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000000.0,37000000.0,25000000.0,25000000.0,23000000.0,18000000.0,18000000.0
FinanceLeaseLiabilityPaymentsDueAfterYearFive / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
FinanceLeaseLiabilityPaymentsDueNextTwelveMonths / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000.0,6000000.0,7000000.0,7000000.0,6000000.0,6000000.0,6000000.0
FinanceLeaseLiabilityPaymentsDueYearFive / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
FinanceLeaseLiabilityPaymentsDueYearFour / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000.0,5000000.0,6000000.0,6000000.0,0.0,0.0,0.0
FinanceLeaseLiabilityPaymentsDueYearThree / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000.0,5000000.0,6000000.0,6000000.0,6000000.0,4000000.0,4000000.0
FinanceLeaseLiabilityPaymentsDueYearTwo / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000.0,5000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0
FinanceLeaseLiabilityPaymentsRemainderOfFiscalYear / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000.0,16000000.0,0.0,,5000000.0,2000000.0,2000000.0
FinanceLeaseLiabilityUndiscountedExcessAmount / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,1000000.0
FinanceLeasePrincipalPayments / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,20000000.0,60000000.0
FinanceLeaseRightOfUseAsset / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,73000000.0,73000000.0,73000000.0
FinanceLeaseRightOfUseAssetAmortization / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1000000.0,4000000.0
FinanceLeaseWeightedAverageDiscountRatePercent / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.05,0.05,0.05
FiniteLivedIntangibleAssetsAccumulatedAmortization / USD,817000000.0,817000000.0,817000000.0,932000000.0,932000000.0,932000000.0,932000000.0,1081000000.0,1081000000.0,1081000000.0,1081000000.0,1162000000.0,1162000000.0,1162000000.0,1162000000.0,1308000000.0,1308000000.0,1162000000.0,1308000000.0,1308000000.0,1511000000.0,1511000000.0,1511000000.0,1511000000.0,1927000000.0,1927000000.0,1927000000.0,1927000000.0,2362000000.0,2362000000.0,2362000000.0,2362000000.0,2808000000.0,2808000000.0,2808000000.0,2808000000.0,2842000000.0,2842000000.0,2842000000.0,708000000.0,770000000.0,770000000.0,770000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths / USD,,,151000000.0,,,,103000000.0,68000000.0,59000000.0,92000000.0,99000000.0,42000000.0,49000000.0,179000000.0,213000000.0,190000000.0,190000000.0,213000000.0,184000000.0,213000000.0,,398000000.0,398000000.0,400000000.0,337000000.0,363000000.0,363000000.0,469000000.0,226000000.0,212000000.0,206000000.0,214000000.0,195000000.0,186000000.0,178000000.0,184000000.0,147000000.0,142000000.0,152000000.0,144000000.0,91000000.0,96000000.0,95000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear / USD,46000000.0,24000000.0,,112000000.0,72000000.0,35000000.0,,76000000.0,45000000.0,29000000.0,,69000000.0,47000000.0,53000000.0,,152000000.0,101000000.0,,49000000.0,,335000000.0,221000000.0,108000000.0,,294000000.0,203000000.0,93000000.0,,348000000.0,226000000.0,111000000.0,,160000000.0,102000000.0,48000000.0,,130000000.0,83000000.0,42000000.0,,106000000.0,68000000.0,27000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour / USD,17000000.0,19000000.0,23000000.0,23000000.0,23000000.0,24000000.0,17000000.0,0.0,0.0,14000000.0,0.0,,,50000000.0,74000000.0,72000000.0,72000000.0,74000000.0,70000000.0,99000000.0,98000000.0,96000000.0,97000000.0,99000000.0,82000000.0,84000000.0,84000000.0,173000000.0,111000000.0,101000000.0,95000000.0,103000000.0,64000000.0,59000000.0,56000000.0,59000000.0,43000000.0,40000000.0,46000000.0,41000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree / USD,37000000.0,39000000.0,68000000.0,68000000.0,68000000.0,68000000.0,23000000.0,17000000.0,17000000.0,39000000.0,27000000.0,,,106000000.0,140000000.0,72000000.0,72000000.0,140000000.0,70000000.0,99000000.0,336000000.0,98000000.0,99000000.0,100000000.0,98000000.0,111000000.0,109000000.0,211000000.0,169000000.0,158000000.0,152000000.0,160000000.0,102000000.0,95000000.0,91000000.0,95000000.0,55000000.0,52000000.0,58000000.0,53000000.0,43000000.0,46000000.0,45000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo / USD,83000000.0,88000000.0,99000000.0,100000000.0,101000000.0,101000000.0,68000000.0,23000000.0,22000000.0,52000000.0,42000000.0,27000000.0,29000000.0,160000000.0,194000000.0,137000000.0,137000000.0,194000000.0,132000000.0,161000000.0,398000000.0,335000000.0,336000000.0,338000000.0,99000000.0,126000000.0,126000000.0,232000000.0,207000000.0,193000000.0,186000000.0,196000000.0,159000000.0,152000000.0,148000000.0,153000000.0,90000000.0,86000000.0,95000000.0,88000000.0,56000000.0,61000000.0,59000000.0
FiniteLivedIntangibleAssetsGross / USD,973000000.0,973000000.0,973000000.0,1290000000.0,1290000000.0,1290000000.0,1290000000.0,1292000000.0,1292000000.0,1292000000.0,1292000000.0,1330000000.0,1330000000.0,1330000000.0,1330000000.0,2133000000.0,2133000000.0,1330000000.0,2133000000.0,2133000000.0,2289000000.0,2289000000.0,2289000000.0,2289000000.0,2975000000.0,2975000000.0,2975000000.0,2975000000.0,3694000000.0,3694000000.0,3694000000.0,3694000000.0,3596000000.0,3596000000.0,3596000000.0,3596000000.0,3379000000.0,3379000000.0,3379000000.0,1245000000.0,1096000000.0,1096000000.0,1096000000.0
FiniteLivedIntangibleAssetsNet / USD,156000000.0,156000000.0,156000000.0,358000000.0,358000000.0,358000000.0,358000000.0,211000000.0,211000000.0,211000000.0,211000000.0,168000000.0,168000000.0,168000000.0,168000000.0,825000000.0,825000000.0,168000000.0,825000000.0,825000000.0,778000000.0,778000000.0,778000000.0,778000000.0,1048000000.0,1048000000.0,1048000000.0,1048000000.0,1332000000.0,1332000000.0,1332000000.0,1332000000.0,788000000.0,788000000.0,788000000.0,788000000.0,537000000.0,537000000.0,537000000.0,537000000.0,326000000.0,326000000.0,326000000.0
ForeignCurrencyCashFlowHedgeGainLossToBeReclassifiedDuringNext12Months / USD,70000000.0,56000000.0,52000000.0,21000000.0,85000000.0,81000000.0,123000000.0,63000000.0,-49000000.0,-107000000.0,-111000000.0,-126000000.0,75000000.0,122000000.0,171000000.0,131000000.0,113000000.0,171000000.0,172000000.0,18000000.0,129000000.0,59000000.0,-84000000.0,-287000000.0,-132000000.0,-107000000.0,83000000.0,177000000.0,185000000.0,372000000.0,504000000.0,110000000.0,0.0,-23000000.0,86000000.0,-57000000.0,40000000.0,43000000.0,-106000000.0,147000000.0,-29000000.0,-277000000.0,-199000000.0
GainLossOnInvestments / USD,,,,,,,,,,,,,,,,,,,,0.0,180000000.0,398000000.0,170000000.0,87000000.0,-124000000.0,764000000.0,973000000.0,208000000.0,-120000000.0,163000000.0,336000000.0,1914000000.0,14000000.0,-658000000.0,-163000000.0,46000000.0,48000000.0,181000000.0,205000000.0,-304000000.0,-49000000.0,-55000000.0,-226000000.0
GainLossOnSaleOfBusiness / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,
GainLossOnSalesOfLoansNet / USD,0.0,0.0,0.0,0.0,30000000.0,35000000.0,0.0,6000000.0,12000000.0,17000000.0,40000000.0,6000000.0,12000000.0,,,,,,,,,,,,,,,,,,,,,,,,,-34000000.0,-49000000.0,0.0,-37000000.0,-64000000.0,-92000000.0
GeneralAndAdministrativeExpense / USD,237000000.0,338000000.0,378000000.0,217000000.0,432000000.0,648000000.0,733000000.0,231000000.0,492000000.0,753000000.0,873000000.0,265000000.0,547000000.0,840000000.0,1028000000.0,347000000.0,734000000.0,1151000000.0,1111000000.0,1258000000.0,419000000.0,838000000.0,1239000000.0,1541000000.0,486000000.0,998000000.0,1501000000.0,1711000000.0,524000000.0,1046000000.0,1544000000.0,2070000000.0,607000000.0,1121000000.0,1584000000.0,2114000000.0,507000000.0,998000000.0,1505000000.0,2099000000.0,464000000.0,1034000000.0,1553000000.0
Goodwill / USD,3189000000.0,3189000000.0,3187000000.0,4069000000.0,4069000000.0,4069000000.0,3189000000.0,4059000000.0,4059000000.0,4059000000.0,4069000000.0,4339000000.0,4339000000.0,4339000000.0,4059000000.0,6284000000.0,6284000000.0,4059000000.0,6284000000.0,4339000000.0,6212000000.0,6212000000.0,6212000000.0,4000000.0,9135000000.0,9135000000.0,9135000000.0,6212000000.0,11454000000.0,11454000000.0,11454000000.0,9135000000.0,11209000000.0,11209000000.0,11209000000.0,11454000000.0,11026000000.0,11026000000.0,11026000000.0,11209000000.0,10837000000.0,10837000000.0,10837000000.0
