fact_unit,2014-06-12,2014-08-08,2014-11-07,2015-02-26,2015-05-13,2015-08-07,2015-11-06,2016-02-22,2016-05-05,2016-08-03,2016-11-03,2017-02-21,2017-05-04,2017-08-02,2017-11-02,2018-02-14,2018-05-03,2018-08-02,2018-11-01,2019-02-14,2019-05-02,2019-08-01,2019-10-31,2020-02-13,2020-04-30,2020-08-06,2020-11-05,2021-02-18,2021-05-06,2021-08-05,2021-11-04,2022-02-17,2022-05-05,2022-08-04,2022-11-03,2023-02-16,2023-05-04,2023-08-03,2023-11-02,2024-02-15,2024-05-02,2024-08-01,2024-10-31,2025-02-20,2025-05-08,2025-08-07,2025-11-06
CurrentStateAndLocalTaxExpenseBenefit / USD,,,,80000.0,,,,275000.0,,,,388000.0,,,,2292000.0,,,,3044000.0,,,,1791000.0,,,,4155000.0,,,,6688000.0,,,,6422000.0,,,,9539000.0,,,,30100000.0,,,
DebtSecuritiesAvailableForSaleRealizedGainLoss / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeferredCostsCurrent / USD,,,,,,,,,,,,,,,,,26403000.0,26403000.0,26403000.0,26403000.0,35286000.0,35286000.0,35286000.0,35286000.0,46618000.0,46618000.0,46618000.0,46618000.0,60819000.0,60819000.0,60819000.0,60819000.0,76724000.0,76724000.0,76724000.0,76724000.0,96378000.0,96378000.0,96378000.0,96378000.0,118206000.0,118206000.0,118206000.0,118200000.0,140400000.0,140400000.0,140400000.0
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,-51000.0,,,,347000.0,,,,2114000.0,,,,-1109000.0,,,,12708000.0,,,,-3865000.0,,,,14365000.0,,,,16209000.0,,,,15204000.0,,,,26579000.0,,,,-2800000.0,,,
DeferredIncomeTaxExpenseBenefit / USD,,,,-164000.0,,,,517000.0,,,,2275000.0,,,,-1020000.0,,,,15340000.0,,,,-7681000.0,,,,21077000.0,,,,21011000.0,,,,21381000.0,,,,32906000.0,,,,-3200000.0,,,
DeferredIncomeTaxLiabilitiesNet / USD,,,,,,,,,,,,,,,,,49129000.0,49129000.0,49129000.0,49129000.0,,,,,,91217000.0,91217000.0,91217000.0,112598000.0,112598000.0,112598000.0,112598000.0,145504000.0,145504000.0,145504000.0,145504000.0,141033000.0,141033000.0,141033000.0,141033000.0,143750000.0,143750000.0,143750000.0,143800000.0,149700000.0,149700000.0,149700000.0
DeferredIncomeTaxesAndTaxCredits / USD,,,,,577000.0,388000.0,1414000.0,517000.0,-101000.0,-230000.0,-1514000.0,2259000.0,-3644000.0,-4936000.0,-1500000.0,-1021000.0,1285000.0,2913000.0,9167000.0,15340000.0,4272000.0,10234000.0,15077000.0,-7681000.0,3722000.0,9436000.0,15715000.0,21077000.0,1392000.0,7319000.0,11204000.0,21011000.0,2738000.0,6485000.0,12630000.0,21381000.0,-10332000.0,-9646000.0,-4841000.0,32906000.0,-1650000.0,1706000.0,3889000.0,-3200000.0,-10500000.0,-7800000.0,-3800000.0
DeferredRevenueCurrent / USD,1582000.0,1582000.0,1582000.0,1582000.0,2535000.0,2535000.0,2535000.0,2535000.0,3726000.0,3726000.0,3726000.0,3726000.0,5230000.0,5230000.0,5230000.0,5230000.0,6982000.0,6982000.0,6982000.0,6982000.0,8980000.0,8980000.0,8980000.0,8980000.0,11105000.0,11105000.0,11105000.0,11105000.0,13567000.0,13567000.0,13567000.0,13567000.0,16277000.0,16277000.0,16277000.0,16277000.0,19825000.0,19825000.0,19825000.0,19825000.0,22812000.0,22812000.0,22812000.0,22800000.0,30000000.0,30000000.0,30000000.0
DeferredRevenueNoncurrent / USD,10990000.0,10990000.0,10990000.0,10990000.0,16802000.0,16802000.0,16802000.0,16802000.0,25310000.0,25310000.0,25310000.0,25310000.0,34481000.0,34481000.0,34481000.0,34481000.0,44642000.0,44642000.0,44642000.0,44642000.0,55671000.0,55671000.0,55671000.0,55671000.0,65139000.0,65139000.0,65139000.0,65139000.0,73259000.0,73259000.0,73259000.0,73259000.0,85149000.0,85149000.0,85149000.0,85149000.0,97591000.0,97591000.0,97591000.0,97591000.0,107657000.0,107657000.0,107657000.0,107700000.0,114600000.0,114600000.0,114600000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,,-113000.0,,,,170000.0,,,,161000.0,,,,89000.0,,,,2632000.0,,,,-3816000.0,,,,6712000.0,,,,4802000.0,,,,6177000.0,,,,6327000.0,,,,-400000.0,,,
