fact_unit,2020-11-13,2021-02-26,2021-05-12,2021-08-12,2021-11-09,2022-02-24,2022-05-09,2022-08-08,2022-11-07,2023-02-21,2023-05-09,2023-08-08,2023-11-03,2024-02-20,2024-05-07,2024-08-06,2024-11-05,2025-02-18,2025-05-06,2025-08-05,2025-11-04
LiabilitiesAndStockholdersEquity / USD,1594025000.0,1594025000.0,2690504000.0,2690504000.0,2690504000.0,2690504000.0,3247450000.0,3247450000.0,3247450000.0,3247450000.0,3461239000.0,3461239000.0,3461239000.0,3461239000.0,4522425000.0,4522425000.0,4522425000.0,4522425000.0,6340884000.0,6340884000.0,6340884000.0
LiabilitiesCurrent / USD,728598000.0,728598000.0,603823000.0,603823000.0,603823000.0,603823000.0,660061000.0,660061000.0,660061000.0,660061000.0,587941000.0,587941000.0,587941000.0,587941000.0,746018000.0,746018000.0,746018000.0,746018000.0,996018000.0,996018000.0,996018000.0
LongTermPurchaseCommitmentAmount / USD,,,,,,,,,,,,,,,,,,1950000000.0,,,
MarketableSecuritiesCurrent / USD,,,,,148077000.0,234153000.0,234153000.0,234153000.0,234153000.0,234153000.0,35135000.0,35135000.0,35135000.0,35135000.0,2843132000.0,2843132000.0,2843132000.0,2843132000.0,3131463000.0,3131463000.0,3131463000.0
MinorityInterest / USD,,,,,,,,,,0.0,77111000.0,77111000.0,77111000.0,77111000.0,85404000.0,85404000.0,85404000.0,85404000.0,91132000.0,91132000.0,91132000.0
NetCashProvidedByUsedInFinancingActivities / USD,-59434000.0,46154000.0,2494000.0,467275000.0,817344000.0,324533000.0,206354000.0,174944000.0,274282000.0,1036453000.0,27241000.0,47848000.0,71839000.0,306747000.0,25983000.0,116667000.0,167607000.0,85996000.0,75248000.0,73273000.0,224700000.0
NetCashProvidedByUsedInInvestingActivities / USD,-10947000.0,-6784000.0,-3016000.0,-5695000.0,-9975000.0,-21964000.0,-708000.0,-1405000.0,-216039000.0,-14920000.0,-96468000.0,-91164000.0,-118508000.0,-397912000.0,-1554591000.0,-1945690000.0,-2141954000.0,-45427000.0,-511245000.0,-660123000.0,-980849000.0
NetCashProvidedByUsedInOperatingActivities / USD,-500048000.0,-39012000.0,-287184000.0,-226330000.0,-278320000.0,-165215000.0,116881000.0,139631000.0,240424000.0,-296608000.0,35477000.0,97908000.0,144974000.0,333851000.0,187376000.0,277568000.0,411011000.0,223737000.0,129579000.0,273766000.0,693538000.0
NetIncomeLoss / USD,-420319000.0,-580027000.0,-54274000.0,-164729000.0,-1018048000.0,-579646000.0,-123474000.0,-262054000.0,-364191000.0,-1166391000.0,-101379000.0,-280708000.0,-404583000.0,-520379000.0,16802000.0,44929000.0,116434000.0,-373705000.0,105530000.0,239656000.0,383181000.0
NetIncomeLossAttributableToNoncontrollingInterest / USD,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,2349000.0,2094000.0,4028000.0,2611000.0,541000.0,1985000.0,7801000.0
NetIncomeLossAvailableToCommonStockholdersDiluted / USD,-420319000.0,-637078000.0,-62047000.0,-172208000.0,-1023531000.0,-588127000.0,-123474000.0,-262054000.0,-364191000.0,-1171874000.0,-101379000.0,-280708000.0,-404583000.0,-520379000.0,16802000.0,44929000.0,116434000.0,-373705000.0,105530000.0,239656000.0,383181000.0
NoncontrollingInterestIncreaseFromBusinessCombination / USD,,,,,,,,,,74500000.0,,,,74500000.0,,,,74500000.0,,,
NumberOfOperatingSegments / segment,,,,,,,,,,2.0,,,,2.0,,,,2.0,,,
OperatingExpenses / USD,775719000.0,1053448000.0,235218000.0,517842000.0,1505645000.0,1076626000.0,381137000.0,812001000.0,1209284000.0,1913805000.0,391393000.0,803924000.0,1236384000.0,1613531000.0,413426000.0,829770000.0,1240024000.0,1658523000.0,437201000.0,881434000.0,1347171000.0
OperatingIncomeLoss / USD,-428993000.0,-623440000.0,-70185000.0,-169330000.0,-1017107000.0,-576444000.0,-114014000.0,-260162000.0,-352103000.0,-1173679000.0,-39439000.0,-81184000.0,-143375000.0,-411046000.0,4115000.0,14189000.0,54172000.0,-161201000.0,80881000.0,186220000.0,299360000.0
OperatingLeaseCost / USD,,53576000.0,,,,53576000.0,,,,51330000.0,,,,55483000.0,,,,61972000.0,,,
OperatingLeaseLiability / USD,,258879000.0,,,,258879000.0,,,,260073000.0,,,,249404000.0,,,,229392000.0,,,
OperatingLeaseLiabilityCurrent / USD,,29079000.0,29079000.0,29079000.0,29079000.0,29079000.0,39927000.0,39927000.0,39927000.0,39927000.0,45099000.0,45099000.0,45099000.0,45099000.0,54176000.0,54176000.0,54176000.0,54176000.0,43993000.0,43993000.0,43993000.0
OperatingLeaseLiabilityNoncurrent / USD,,229800000.0,229800000.0,229800000.0,229800000.0,229800000.0,220146000.0,220146000.0,220146000.0,220146000.0,204305000.0,204305000.0,204305000.0,204305000.0,175216000.0,175216000.0,175216000.0,175216000.0,195226000.0,195226000.0,195226000.0
OperatingLeasePayments / USD,,58157000.0,,,,58157000.0,,,,49228000.0,,,,53772000.0,,,,63374000.0,,,
OperatingLeaseRightOfUseAsset / USD,,217075000.0,217075000.0,217075000.0,217075000.0,217075000.0,216898000.0,216898000.0,216898000.0,216898000.0,200240000.0,200240000.0,200240000.0,200240000.0,182863000.0,182863000.0,182863000.0,182863000.0,200740000.0,200740000.0,200740000.0
OperatingLeaseWeightedAverageDiscountRatePercent / pure,,0.0634,,,,0.0634,,,,0.0603,,,,0.06,,,,0.06,,,
OtherAccruedLiabilitiesCurrent / USD,95265000.0,95265000.0,73080000.0,73080000.0,73080000.0,73080000.0,95074000.0,81988000.0,95074000.0,72524000.0,87894000.0,87894000.0,87894000.0,87894000.0,92640000.0,92640000.0,92640000.0,92640000.0,120107000.0,77864000.0,120107000.0
OtherAssetsNoncurrent / USD,77574000.0,77574000.0,106921000.0,106921000.0,106921000.0,106921000.0,96386000.0,96386000.0,96386000.0,96386000.0,137701000.0,150252000.0,150252000.0,150252000.0,153186000.0,153186000.0,153186000.0,153186000.0,166217000.0,166217000.0,166217000.0
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax / USD,,,,,,,,,,,0.0,0.0,0.0,0.0,285000.0,-772000.0,-604000.0,0.0,-4622000.0,-4675000.0,-581000.0
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax / USD,-470000.0,-1045000.0,1026000.0,1603000.0,1871000.0,-1465000.0,3610000.0,2810000.0,1050000.0,-2042000.0,-1695000.0,-4325000.0,-7486000.0,396000.0,1015000.0,896000.0,-1268000.0,-2984000.0,-1899000.0,-1168000.0,4719000.0
OtherComprehensiveIncomeLossNetOfTax / USD,,,,,,,,,,,,,-7486000.0,396000.0,1015000.0,,-1996000.0,-2984000.0,-6521000.0,,4138000.0
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent / USD,-470000.0,-2042000.0,1026000.0,1603000.0,1871000.0,-1465000.0,3610000.0,2810000.0,1050000.0,-2042000.0,-1695000.0,-4325000.0,,,,124000.0,-1872000.0,,,-5843000.0,
OtherLiabilitiesNoncurrent / USD,78205000.0,78205000.0,4316000.0,4316000.0,4316000.0,4316000.0,2297000.0,2297000.0,2297000.0,2297000.0,12655000.0,12655000.0,12655000.0,12655000.0,10702000.0,10702000.0,10702000.0,10702000.0,13685000.0,13685000.0,13685000.0
OtherNonoperatingIncomeExpense / USD,1858000.0,-2638000.0,6100000.0,4511000.0,1218000.0,-2856000.0,-4894000.0,-2769000.0,-11297000.0,4111000.0,-59870000.0,-195668000.0,-260714000.0,-75415000.0,-4136000.0,-14477000.0,-11355000.0,-220135000.0,-13507000.0,-24680000.0,-32790000.0
OtherOperatingActivitiesCashFlowStatement / USD,,420000.0,514000.0,3633000.0,3621000.0,2772000.0,771000.0,560000.0,3076000.0,4280000.0,-2754000.0,-623000.0,9001000.0,2767000.0,-6670000.0,-17817000.0,-13328000.0,-28152000.0,5592000.0,11351000.0,51156000.0
OtherSignificantNoncashTransactionValueOfConsiderationReceived1 / USD,,,,,,,,,,,,,6400000.0,0.0,8700000.0,14500000.0,17300000.0,6800000.0,10900000.0,30300000.0,41500000.0
PaymentsForProceedsFromOtherInvestingActivities / USD,,,,,,0.0,,,3000000.0,2684000.0,,,,3871000.0,,0.0,0.0,-66781000.0,0.0,,0.0
PaymentsForRepurchaseOfCommonStock / USD,7073000.0,7706000.0,3777000.0,3777000.0,3777000.0,11202000.0,,,,,,,,,0.0,0.0,0.0,0.0,9000000.0,26699000.0,45598000.0
PaymentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
PaymentsToAcquireMarketableSecurities / USD,,,,,0.0,0.0,0.0,0.0,155315000.0,0.0,89500000.0,89500000.0,124500000.0,308315000.0,2310367000.0,2936939000.0,4791670000.0,124500000.0,1260327000.0,1784115000.0,3418699000.0
PaymentsToAcquireOtherInvestments / USD,,,,,,0.0,,,,0.0,,,,23009000.0,,,,,,4000000.0,4000000.0
PaymentsToAcquirePropertyPlantAndEquipment / USD,10947000.0,13004000.0,3016000.0,5945000.0,7475000.0,13096000.0,708000.0,1405000.0,6783000.0,12236000.0,15215000.0,20673000.0,35109000.0,12627000.0,4755000.0,8689000.0,10254000.0,40027000.0,2664000.0,5543000.0,9528000.0
PrepaidExpenseAndOtherAssetsCurrent / USD,32585000.0,32585000.0,51889000.0,51889000.0,51889000.0,51889000.0,110872000.0,110872000.0,110872000.0,110872000.0,133312000.0,149556000.0,149556000.0,149556000.0,99655000.0,99655000.0,99655000.0,99655000.0,129254000.0,129254000.0,129254000.0
ProceedsFromPaymentsForOtherFinancingActivities / USD,-1198000.0,1200000.0,-439000.0,-377000.0,-250000.0,-1202000.0,-2506000.0,-1744000.0,-401000.0,-4274000.0,16000.0,307000.0,-269000.0,-708000.0,59000.0,394000.0,778000.0,-93000.0,408000.0,102000.0,91000.0
ProceedsFromSaleAndMaturityOfMarketableSecurities / USD,,,,,,,,,0.0,0.0,8247000.0,19009000.0,41101000.0,851000.0,709459000.0,948866000.0,2608898000.0,52319000.0,751746000.0,1133535000.0,2451378000.0
ProceedsFromSaleOfAvailableForSaleSecuritiesDebt / USD,,,,,,,,,,,694600000.0,694600000.0,694600000.0,694600000.0,694600000.0,694600000.0,694600000.0,0.0,0.0,0.0,0.0
ProceedsFromStockOptionsExercised / USD,9337000.0,12671000.0,6710000.0,28824000.0,79473000.0,7500000.0,208860000.0,376688000.0,474683000.0,,27225000.0,47541000.0,72108000.0,507455000.0,25924000.0,116273000.0,166829000.0,86089000.0,83840000.0,99870000.0,270207000.0
ProfitLoss / USD,,,,,,,,,,-1166391000.0,-101379000.0,-280708000.0,-404583000.0,-520379000.0,19151000.0,47023000.0,120462000.0,-371094000.0,106071000.0,241641000.0,390982000.0
PropertyPlantAndEquipmentGross / USD,140201000.0,140201000.0,117940000.0,117940000.0,117940000.0,117940000.0,101234000.0,101234000.0,101234000.0,101234000.0,151582000.0,151582000.0,151582000.0,151582000.0,149916000.0,149916000.0,149916000.0,149916000.0,162637000.0,162637000.0,162637000.0
PropertyPlantAndEquipmentNet / USD,31589000.0,31589000.0,29541000.0,29541000.0,29541000.0,29541000.0,31304000.0,31304000.0,31304000.0,31304000.0,69170000.0,69170000.0,69170000.0,69170000.0,47758000.0,47758000.0,47758000.0,47758000.0,39638000.0,39638000.0,39638000.0
ResearchAndDevelopmentExpense / USD,229728000.0,285451000.0,65800000.0,152615000.0,466530000.0,305563000.0,98471000.0,208995000.0,303311000.0,560660000.0,88601000.0,176772000.0,277635000.0,387487000.0,90100000.0,189633000.0,295341000.0,359679000.0,110040000.0,218821000.0,336376000.0
RetainedEarningsAccumulatedDeficit / USD,-3798963000.0,-3798963000.0,-4965354000.0,-4965354000.0,-4965354000.0,-4965354000.0,-5485733000.0,-5485733000.0,-5485733000.0,-5485733000.0,-5859438000.0,-5859438000.0,-5859438000.0,-5859438000.0,-5649613000.0,-5649613000.0,-5649613000.0,-5649613000.0,-5187423000.0,-5187423000.0,-5187423000.0
RevenueFromContractWithCustomerExcludingAssessedTax / USD,,595409000.0,229327000.0,481216000.0,770582000.0,742555000.0,341234000.0,716876000.0,1109022000.0,1092673000.0,446357000.0,919367000.0,1397247000.0,1541889000.0,525186000.0,1058503000.0,1616662000.0,1905871000.0,634338000.0,1312472000.0,2037988000.0
RevenueRemainingPerformanceObligation / USD,321600000.0,597400000.0,625900000.0,671900000.0,873900000.0,1100000000.0,1200000000.0,1200000000.0,1300000000.0,972700000.0,936000000.0,967600000.0,987700000.0,1200000000.0,1300000000.0,1400000000.0,1600000000.0,1700000000.0,1900000000.0,2400000000.0,2600000000.0
RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability / USD,,17647000.0,,,,17647000.0,,,,34606000.0,,,,28169000.0,,,,28112000.0,,,
SellingAndMarketingExpense / USD,337255000.0,461762000.0,98653000.0,201171000.0,536082000.0,450120000.0,136097000.0,298476000.0,451919000.0,683701000.0,160485000.0,329360000.0,512278000.0,614512000.0,187093000.0,371256000.0,547629000.0,702511000.0,193177000.0,389986000.0,599460000.0
ShareBasedCompensation / USD,164650000.0,248503000.0,54107000.0,181955000.0,1028914000.0,241970000.0,193731000.0,426473000.0,611308000.0,1270702000.0,149323000.0,295092000.0,435400000.0,778215000.0,114714000.0,228915000.0,343295000.0,564798000.0,125651000.0,267415000.0,409840000.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodTotalFairValue / USD,,,,,,,,,,,,,,,,,,0.0,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMaximum / pure,,,,,,,,,,,,,,,,,,0.047,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue / USD,,49000000.0,,,,90700000.0,,,,974200000.0,,,,3800000000.0,,,,112300000.0,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod / shares,238005542.0,238942466.0,2889000.0,3622000.0,5518000.0,6966000.0,823000.0,1942000.0,2490000.0,3379000.0,847000.0,1336000.0,1844000.0,2364000.0,459000.0,630000.0,925000.0,1064000.0,30000.0,97000.0,168000.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice / USD/shares,5.95,5.95,5.16,5.17,5.26,5.12,4.81,4.93,4.91,4.95,4.79,4.99,5.18,5.39,5.91,5.94,5.76,5.78,6.03,6.01,6.45
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross / shares,397885337.0,397885337.0,,,,,,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue / USD,975798000.0,975798000.0,9340245000.0,9340245000.0,9340245000.0,9340245000.0,3638685000.0,3638685000.0,3638685000.0,3638685000.0,272603000.0,272603000.0,272603000.0,272603000.0,2381172000.0,2381172000.0,2381172000.0,2381172000.0,11821740000.0,11821740000.0,11821740000.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber / shares,497441159.0,497441159.0,535767000.0,535767000.0,535767000.0,535767.0,349952000.0,349952000.0,349952000.0,349952000.0,326913000.0,326913000.0,326913000.0,326913000.0,278470000.0,278470000.0,278470000.0,278470000.0,178109000.0,178109000.0,178109000.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice / USD/shares,4.1,4.1,6.12,6.12,6.12,6.12,7.81,7.81,7.81,7.81,8.05,8.05,8.05,8.05,8.62,8.62,8.62,8.62,9.26,9.26,9.26
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableAggregateIntrinsicValue / USD,2014537000.0,6051074000.0,5093003000.0,4788520000.0,3571719000.0,2223706000.0,1452249000.0,676872000.0,525193000.0,257113000.0,561553000.0,1573350000.0,1598629000.0,1691404000.0,2368058000.0,2710036000.0,3908239000.0,5528204000.0,5484036000.0,9015071000.0,12150790000.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableNumber / shares,344033233.0,304428660.0,259517000.0,213423000.0,182617000.0,169563.0,172081000.0,175943000.0,179077000.0,183119000.0,184837000.0,172000000.0,166761000.0,160877000.0,148070000.0,149463000.0,130807000.0,80155000.0,71129000.0,70110000.0,69724000.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableWeightedAverageExercisePrice / USD/shares,3.64,3.67,3.67,3.92,4.48,5.1,5.29,5.46,5.61,5.77,5.92,6.18,6.41,6.66,7.02,7.2,7.32,6.66,7.3,7.73,8.15
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice / USD/shares,1.67,2.48,3.78,3.29,3.05,2.84,4.09,4.16,4.41,4.38,4.82,4.76,4.72,4.74,4.8,4.78,6.11,7.51,4.91,4.98,5.04
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice / USD/shares,7.43,7.43,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0
ShortTermLeaseCost / USD,,8942000.0,,,,8942000.0,,,,4165000.0,,,,4956000.0,,,,4949000.0,,,
StockIssuedDuringPeriodSharesStockOptionsExercised / shares,69444099.0,120617527.0,55301000.0,114471000.0,155720000.0,178849.0,6654000.0,11434000.0,16341000.0,19660000.0,5381000.0,24443000.0,35332000.0,46079000.0,17482000.0,20876000.0,44188000.0,99297000.0,13574000.0,19102000.0,23992000.0
StockIssuedDuringPeriodValueRestrictedStockAwardNetOfForfeitures / USD,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,
StockIssuedDuringPeriodValueShareBasedCompensation / USD,,,,,,,,,,,,,,,,,,-302487000.0,,,
StockIssuedDuringPeriodValueStockOptionsExercised / USD,9337000.0,11939000.0,6710000.0,28824000.0,116030000.0,16897000.0,208860000.0,376688000.0,474683000.0,298829000.0,27225000.0,47541000.0,72108000.0,507455000.0,25924000.0,116273000.0,166829000.0,86088000.0,83840000.0,99870000.0,270207000.0
StockRepurchaseProgramAuthorizedAmount1 / USD,,,,,,,,,,,,,1000000000.0,1000000000.0,,,,1000000000.0,,,
StockRepurchasedDuringPeriodValue / USD,,,,,,,,,,,,,,,9000000.0,26699000.0,45598000.0,64196000.0,9000000.0,26699000.0,45598000.0
StockholdersEquity / USD,-1751428000.0,-1501562000.0,-1980642000.0,-1980642000.0,-1980642000.0,-1751428000.0,1522550000.0,1522550000.0,1522550000.0,-1980642000.0,2291030000.0,2565326000.0,2565326000.0,2565326000.0,3475561000.0,3475561000.0,3475561000.0,3475561000.0,5003275000.0,5003275000.0,5003275000.0
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest / USD,,,,,,,,,,2291030000.0,2642437000.0,2291030000.0,2291030000.0,1522550000.0,2642437000.0,2642437000.0,2642437000.0,2291030000.0,3560965000.0,3560965000.0,3560965000.0
StockholdersEquityOther / USD,,,,,,,,,,,,459000.0,743000.0,743000.0,,459000.0,743000.0,,,,
SubleaseIncome / USD,,19769000.0,,,,19769000.0,,,,19957000.0,,,,13011000.0,,,,18905000.0,,,
UnrecognizedTaxBenefits / USD,,18793000.0,,,,27812000.0,,,,31702000.0,,,,75557000.0,,,,65070000.0,,,
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions / USD,,0.0,,,,1829000.0,,,,0.0,,,,30895000.0,,,,36000.0,,,
UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities / USD,,0.0,,,,696000.0,,,,0.0,,,,197000.0,,,,360000.0,,,
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions / USD,,8437000.0,,,,6301000.0,,,,43855000.0,,,,19638000.0,,,,5733000.0,,,
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions / USD,,582000.0,,,,114000.0,,,,0.0,,,,967000.0,,,,11497000.0,,,
UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations / USD,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
UnrecordedUnconditionalPurchaseObligationBalanceSheetAmount / USD,,1082000.0,,,,,,,,,,,,,,,,0.0,,,
ValuationAllowanceDeferredTaxAssetChangeInAmount / USD,,,,,,,,,,757500000.0,,,,74100000.0,,,,50600000.0,,,
VariableLeaseCost / USD,,9433000.0,,,,9433000.0,,,,7518000.0,,,,5309000.0,,,,4772000.0,,,
WeightedAverageNumberOfDilutedSharesOutstanding / shares,574342061.0,544014393.0,594363000.0,618635000.0,716027000.0,576959000.0,1821158000.0,1858085000.0,1893911000.0,979330000.0,2036307000.0,2045604000.0,2054926000.0,1923617000.0,2217439000.0,2252205000.0,2281347000.0,2063793000.0,2400107000.0,2407402000.0,2424864000.0
WeightedAverageNumberOfSharesOutstandingBasic / shares,574342061.0,537280394.0,591850000.0,616150000.0,713879000.0,576959000.0,1821158000.0,1858085000.0,1893911000.0,977722000.0,2036307000.0,2045604000.0,2054926000.0,1923617000.0,2107780000.0,2119567000.0,2134045000.0,2063793000.0,2213545000.0,2222569000.0,2231790000.0
