fact_unit,2016-08-02,2016-10-27,2017-02-28,2017-04-27,2017-07-27,2017-10-26,2018-02-28,2018-04-26,2018-07-26,2018-10-25,2019-02-28,2019-04-25,2019-07-25,2019-10-25,2020-02-27,2020-04-30,2020-07-28,2020-10-27,2021-02-26,2021-04-29,2021-07-29,2021-10-28,2022-03-01,2022-04-28,2022-07-28,2022-10-26,2023-02-28,2023-04-26,2023-07-26,2023-10-25,2024-02-27,2024-04-24,2024-07-24,2024-10-30,2025-02-25,2025-05-01,2025-07-30,2025-10-29
DeferredFederalIncomeTaxExpenseBenefit / USD,,,10900000.0,,,,-4000000.0,,,,-8900000.0,,,,-62000000.0,,,,-9800000.0,,,,16900000.0,,,,-44100000.0,,,,-21900000.0,,,,-32800000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,,-22300000.0,,,,12700000.0,,,,-4700000.0,,,,-1700000.0,,,,-15700000.0,,,,-17400000.0,,,,-33000000.0,,,,-16900000.0,,,,8600000.0,,,
DeferredIncomeTaxLiabilities / USD,,,423800000.0,,,,544900000.0,,,,750800000.0,,,,778700000.0,,,,893000000.0,,,,839100000.0,,,,1098600000.0,,,,1064400000.0,,,,1033400000.0,,,
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,600000.0,,,,-700000.0,,,,-2500000.0,,,,2700000.0,,,,-400000.0,,,,-8000000.0,,,,-20500000.0,,,,-2200000.0,,,,-37900000.0,,,
DeferredTaxAssetsInventory / USD,,,24300000.0,,,,33000000.0,,,,25700000.0,,,,17900000.0,,,,10000000.0,,,,12500000.0,,,,11400000.0,,,,10400000.0,,,,14800000.0,,,
DeferredTaxAssetsNet / USD,,,309300000.0,,,,298300000.0,,,,237100000.0,,,,255300000.0,,,,241900000.0,,,,265900000.0,,,,400700000.0,,,,432100000.0,,,,524600000.0,,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,,57000000.0,,,,44000000.0,,,,112000000.0,,,,130000000.0,,,,123000000.0,,,,182000000.0,,,,145000000.0,,,,179000000.0,,,,203000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPensions / USD,,,60600000.0,,,,49100000.0,,,,37100000.0,,,,27300000.0,,,,26400000.0,,,,32100000.0,,,,36900000.0,,,,24400000.0,,,,27200000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost / USD,,,30300000.0,,,,31700000.0,,,,20900000.0,,,,14200000.0,,,,23400000.0,,,,27900000.0,,,,29000000.0,,,,34200000.0,,,,36200000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsOther / USD,,,35400000.0,,,,44200000.0,,,,31200000.0,,,,50500000.0,,,,23600000.0,,,,16500000.0,,,,59200000.0,,,,39400000.0,,,,79100000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,,18600000.0,,,,26700000.0,,,,26200000.0,,,,40300000.0,,,,43800000.0,,,,47100000.0,,,,73700000.0,,,,74600000.0,,,,282400000.0,,,
DeferredTaxLiabilities / USD,,,114500000.0,,,,246600000.0,,,,317500000.0,,,,523400000.0,,,,651100000.0,,,,573200000.0,,,,697900000.0,,,,632300000.0,,,,508800000.0,,,
DeferredTaxLiabilitiesDeferredExpenseReservesAndAccruals / USD,,,0.0,,,,85200000.0,,,,140000000.0,,,,155200000.0,,,,139700000.0,,,,166800000.0,,,,157300000.0,,,,205000000.0,,,,211900000.0,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssets / USD,,,380500000.0,,,,416500000.0,,,,526400000.0,,,,597100000.0,,,,651400000.0,,,,554400000.0,,,,854900000.0,,,,779700000.0,,,,748700000.0,,,
DeferredTaxLiabilitiesLeasingArrangements / USD,,,,,,,,,,,,,,,43700000.0,,,,35300000.0,,,,44300000.0,,,,42600000.0,,,,36800000.0,,,,36000000.0,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment / USD,,,43300000.0,,,,33200000.0,,,,73200000.0,,,,11700000.0,,,,39700000.0,,,,46000000.0,,,,43800000.0,,,,42900000.0,,,,36800000.0,,,
