fact_unit,2021-06-09,2021-08-27,2021-12-03,2022-03-10,2022-05-27,2022-08-26,2022-12-02,2023-03-09,2023-05-26,2023-08-25,2023-12-01,2024-03-13,2024-05-31,2024-08-30,2024-12-04,2025-03-12,2025-05-30,2025-08-29,2025-12-03
DeferredTaxAssetsTaxCreditCarryforwards / USD,,,,,,,,,,,,917400000.0,,,,1056600000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,,,749468000.0,,,,1003400000.0,,,,961700000.0,,,,1099000000.0,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets / USD,,,,50557000.0,,,,455900000.0,,,,648500000.0,,,,421400000.0,,,
DeferredTaxLiabilitiesLeasingArrangements / USD,,,,26158000.0,,,,33800000.0,,,,45500000.0,,,,36500000.0,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment / USD,,,,27549000.0,,,,8100000.0,,,,13600000.0,,,,39000000.0,,,
DeferredTaxLiabilitiesUndistributedForeignEarnings / USD,,,,20173000.0,,,,21500000.0,,,,24700000.0,,,,26700000.0,,,
DeferredTaxLiabilityNotRecognizedAmountOfUnrecognizedDeferredTaxLiabilityUndistributedEarningsOfForeignSubsidiaries / USD,,,,275700000.0,272200000.0,363700000.0,430600000.0,433900000.0,246000000.0,110300000.0,294500000.0,154000000.0,,,,301200000.0,,,
Depreciation / USD,,,,83400000.0,,,,95900000.0,,,,113500000.0,,,,126800000.0,,,
DividendsCommonStockCash / USD,39763000.0,39763000.0,39763000.0,159573000.0,40600000.0,40600000.0,40600000.0,160600000.0,50900000.0,50900000.0,50900000.0,191000000.0,51400000.0,51400000.0,51400000.0,204400000.0,51800000.0,51800000.0,51800000.0
EarningsPerShareBasic / USD/shares,-0.17,-0.41,-0.44,2.38,-0.13,-0.48,-0.55,-0.41,-0.2,-0.19,-0.17,-0.53,-0.2,-0.44,-0.63,-0.19,-0.25,-0.47,-1.25
EarningsPerShareDiluted / USD/shares,-0.17,-0.41,-0.44,2.34,-0.13,-0.48,-0.55,-0.41,-0.2,-0.19,-0.17,-0.53,-0.2,-0.44,-0.63,-0.19,-0.25,-0.47,-1.25
EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitAmount / USD,,,,0.0,,,,0.0,,,,-70900000.0,,,,-2000000.0,,,
EmployeeRelatedLiabilitiesCurrent / USD,189421000.0,189421000.0,189421000.0,189421000.0,241300000.0,241300000.0,241300000.0,241300000.0,244500000.0,244500000.0,244500000.0,244500000.0,262700000.0,262700000.0,262700000.0,262700000.0,302500000.0,302500000.0,302500000.0
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense / USD,,,,0.0,,,,0.0,,,,71800000.0,,,,89900000.0,,,
EntityCommonStockSharesOutstanding / shares,819500000.0,823600000.0,843800000.0,847800000.0,849900000.0,852600000.0,853200000.0,856900000.0,860000000.0,862800000.0,864500000.0,866000000.0,865600000.0,866200000.0,865300000.0,866100000.0,862200000.0,862100000.0,848100000.0
EntityPublicFloat / USD,,,,49623085335.0,,,,47253245480.0,,,,55800186642.0,,,,51191375327.0,,,
EquitySecuritiesFVNINoncurrent / USD,,,,,,,,,,,,,,,,,15600000.0,15600000.0,15600000.0
EquitySecuritiesFvNi / USD,1607000.0,1368000.0,1234000.0,1234000.0,1200000.0,1200000.0,1200000.0,1200000.0,3200000.0,3200000.0,3200000.0,3200000.0,9300000.0,9300000.0,9300000.0,9300000.0,,,
FiniteLivedIntangibleAssetsAccumulatedAmortization / USD,967300000.0,967300000.0,967300000.0,967300000.0,1946700000.0,1946700000.0,1946700000.0,1946700000.0,2900000000.0,2900000000.0,2900000000.0,2900000000.0,3832900000.0,3832900000.0,3832900000.0,3832900000.0,4876400000.0,4876400000.0,4876400000.0
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive / USD,,,,320290000.0,,,,216100000.0,,,,125000000.0,,,,103700000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths / USD,1008210000.0,1008542000.0,1050897000.0,1050897000.0,1039200000.0,1069100000.0,1070400000.0,1084600000.0,1043300000.0,1043300000.0,1051800000.0,1052400000.0,1003400000.0,1023900000.0,941700000.0,941700000.0,811300000.0,811300000.0,811300000.0
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear / USD,827776000.0,551353000.0,285684000.0,,785600000.0,537800000.0,268300000.0,,823500000.0,551700000.0,286400000.0,,792000000.0,535700000.0,247000000.0,,696000000.0,452300000.0,223300000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive / USD,,,,787975000.0,,,,275200000.0,,,,107100000.0,,,,106800000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour / USD,859591000.0,859923000.0,902277000.0,938966000.0,788000000.0,817400000.0,818600000.0,831900000.0,264600000.0,264600000.0,273200000.0,273200000.0,113100000.0,138200000.0,129000000.0,129000000.0,106800000.0,106800000.0,106800000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree / USD,944447000.0,944779000.0,987134000.0,987134000.0,939000000.0,968400000.0,969600000.0,983500000.0,821400000.0,821400000.0,829900000.0,829900000.0,279200000.0,301900000.0,282100000.0,282100000.0,129000000.0,129000000.0,129000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo / USD,995653000.0,995991000.0,1039160000.0,1039160000.0,987100000.0,1016500000.0,1017800000.0,1031700000.0,989500000.0,989500000.0,998100000.0,997500000.0,835900000.0,858700000.0,811300000.0,811300000.0,282100000.0,282100000.0,282100000.0
FiniteLivedIntangibleAssetsGross / USD,3120000000.0,3120000000.0,3120000000.0,3120000000.0,7071100000.0,7071100000.0,7071100000.0,7071100000.0,7323000000.0,7323000000.0,7323000000.0,7323000000.0,7218000000.0,7218000000.0,7218000000.0,7218000000.0,7251000000.0,7251000000.0,7251000000.0
FiniteLivedIntangibleAssetsNet / USD,2152700000.0,2152700000.0,2152700000.0,2152700000.0,5124400000.0,5124400000.0,5124400000.0,5124400000.0,4423000000.0,4423000000.0,4423000000.0,4423000000.0,3385100000.0,3385100000.0,3385100000.0,3385100000.0,2374600000.0,2374600000.0,2374600000.0
ForeignCurrencyContractAssetFairValueDisclosure / USD,,,,,,,,,,,,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,500000.0,500000.0,500000.0
Goodwill / USD,5336961000.0,5336961000.0,5336961000.0,5336961000.0,11511100000.0,11511100000.0,11511100000.0,11511100000.0,11586900000.0,11586900000.0,11586900000.0,11586900000.0,11586900000.0,11586900000.0,11586900000.0,11586900000.0,11586900000.0,11586900000.0,11586900000.0
GoodwillAcquiredDuringPeriod / USD,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
GoodwillImpairmentLoss / USD,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
GoodwillWrittenOffRelatedToSaleOfBusinessUnit / USD,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
GrossProfit / USD,326902000.0,686158000.0,1067218000.0,1356941000.0,418200000.0,790000000.0,1377800000.0,1488300000.0,750900000.0,1536900000.0,2314200000.0,2064200000.0,557200000.0,1078300000.0,1629500000.0,2987500000.0,527800000.0,1115400000.0,1464800000.0
IncomeLossAttributableToParent / USD,-108014000.0,-274779000.0,-299328000.0,,-116000000.0,-418000000.0,-485600000.0,,39200000.0,43000000.0,108300000.0,-483500000.0,-232300000.0,-483900000.0,-671400000.0,85100000.0,-197800000.0,-344000000.0,-1094500000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic / USD,,,,-95884000.0,,,,-18200000.0,,,,-621200000.0,,,,-452700000.0,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest / USD,,,,798382000.0,,,,-322200000.0,,,,-483500000.0,,,,85100000.0,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign / USD,,,,894266000.0,,,,-304000000.0,,,,137700000.0,,,,537800000.0,,,
IncomeTaxExpenseBenefit / USD,5019000.0,-3853000.0,-5494000.0,-786009000.0,-27800000.0,-53400000.0,-58400000.0,-44900000.0,204900000.0,204400000.0,256400000.0,-62500000.0,-63400000.0,-107500000.0,-130700000.0,248600000.0,17800000.0,64900000.0,-9300000.0
IncomeTaxHolidayIncomeTaxBenefitsPerShare / USD/shares,0.02,,,,0.0,,,,0.01,0.01,0.01,,0.01,0.01,0.0,,,,
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance / USD,,,,26971000.0,,,,49300000.0,,,,62700000.0,,,,-73800000.0,,,
IncomeTaxReconciliationForeignIncomeTaxRateDifferential / USD,,,,-181625000.0,,,,38100000.0,,,,1700000.0,,,,-16000000.0,,,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate / USD,,,,167660000.0,,,,-67700000.0,,,,-101500000.0,,,,17900000.0,,,
IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost / USD,,,,6196000.0,,,,4100000.0,,,,47900000.0,,,,15100000.0,,,
IncomeTaxReconciliationOtherAdjustments / USD,,,,381000.0,,,,-600000.0,,,,8100000.0,,,,1300000.0,,,
IncomeTaxReconciliationRepatriationOfForeignEarnings / USD,,,,13736000.0,,,,900000.0,,,,54100000.0,,,,194400000.0,,,
IncomeTaxReconciliationStateAndLocalIncomeTaxes / USD,,,,-9878000.0,,,,300000.0,,,,-8100000.0,,,,-13800000.0,,,
IncomeTaxReconciliationTaxCreditsResearch / USD,,,,,,,,,,,,60700000.0,,,,96100000.0,,,
IncomeTaxReconciliationTaxSettlements / USD,,,,,,,,0.0,,,,0.0,,,,18300000.0,,,
IncomeTaxesPaidNet / USD,,,,117529000.0,,,,14200000.0,,,,7900000.0,,,,95900000.0,,,
IncreaseDecreaseInAccountsPayable / USD,-3557000.0,29647000.0,34768000.0,1658000.0,-51600000.0,600000.0,93800000.0,39700000.0,61400000.0,3900000.0,-33900000.0,93200000.0,-104800000.0,-86800000.0,-87500000.0,-87800000.0,-58300000.0,34800000.0,109800000.0
IncreaseDecreaseInAccountsReceivable / USD,-23586000.0,-8804000.0,-2075000.0,-11244000.0,58000000.0,149200000.0,341400000.0,44300000.0,139500000.0,239700000.0,341500000.0,409000000.0,-191300000.0,16900000.0,22400000.0,142700000.0,-239700000.0,-61500000.0,-123700000.0
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities / USD,10796000.0,21528000.0,26817000.0,,-47000000.0,-7900000.0,-7200000.0,,97000000.0,178500000.0,499300000.0,77000000.0,-73600000.0,28700000.0,55800000.0,444500000.0,-148000000.0,-225000000.0,-49800000.0
IncreaseDecreaseInEmployeeRelatedLiabilities / USD,-25503000.0,-18539000.0,38202000.0,20588000.0,-55700000.0,-56300000.0,13000000.0,39600000.0,-50000000.0,-53700000.0,6300000.0,29600000.0,-60100000.0,-59000000.0,700000.0,2500000.0,-92200000.0,-59200000.0,11900000.0
IncreaseDecreaseInInventories / USD,-35834000.0,-35801000.0,-29817000.0,-12759000.0,13200000.0,82200000.0,200600000.0,-29900000.0,125800000.0,207100000.0,263400000.0,291900000.0,-41200000.0,-52500000.0,-123100000.0,385900000.0,-38800000.0,-48000000.0,60200000.0
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets / USD,6694000.0,3015000.0,8692000.0,54138000.0,-4400000.0,46200000.0,65300000.0,41600000.0,142900000.0,184900000.0,382400000.0,161800000.0,-7900000.0,39300000.0,-14400000.0,480400000.0,-85800000.0,-221700000.0,-176200000.0
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements / shares,0.0,0.0,0.0,11385000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IntangibleAssetsGrossExcludingGoodwill / USD,3238000000.0,3238000000.0,3238000000.0,3238000000.0,8100100000.0,8100100000.0,8100100000.0,8100100000.0,8002000000.0,8002000000.0,8002000000.0,8002000000.0,7837000000.0,7837000000.0,7837000000.0,7837000000.0,7587000000.0,7587000000.0,7587000000.0
IntangibleAssetsNetExcludingGoodwill / USD,2270700000.0,2270700000.0,2270700000.0,2270700000.0,6153400000.0,6153400000.0,6153400000.0,6153400000.0,5102000000.0,5102000000.0,5102000000.0,5102000000.0,4004100000.0,4004100000.0,4004100000.0,4004100000.0,2710600000.0,2710600000.0,2710600000.0
InterestAndOtherIncome / USD,,,,,,,,,,,,,2800000.0,10700000.0,,17700000.0,,,
InterestExpenseDebt / USD,15400000.0,29500000.0,43600000.0,56800000.0,22100000.0,53000000.0,86600000.0,119000000.0,32900000.0,70300000.0,112700000.0,119000000.0,50500000.0,102400000.0,152000000.0,159600000.0,46800000.0,93300000.0,138900000.0
InterestExpenseNonoperating / USD,,,,,,,,,,,,,,106500000.0,159100000.0,170600000.0,48800000.0,97200000.0,144400000.0
InterestPaidNet / USD,,,,76506000.0,,,,54600000.0,,,,91200000.0,,,,147900000.0,,,
InterestPayableCurrent / USD,8709000.0,8709000.0,8709000.0,8709000.0,20100000.0,20100000.0,20100000.0,20100000.0,22100000.0,22100000.0,22100000.0,22100000.0,41300000.0,41300000.0,41300000.0,41300000.0,43500000.0,43500000.0,43500000.0
InventoryFinishedGoodsNetOfReserves / USD,80877000.0,80877000.0,80877000.0,80877000.0,141400000.0,141400000.0,141400000.0,141400000.0,312000000.0,312000000.0,312000000.0,312000000.0,340600000.0,340600000.0,340600000.0,340600000.0,320700000.0,320700000.0,320700000.0
InventoryNet / USD,268228000.0,268228000.0,268228000.0,268228000.0,720300000.0,720300000.0,720300000.0,720300000.0,1068300000.0,1068300000.0,1068300000.0,1068300000.0,864400000.0,864400000.0,864400000.0,864400000.0,1029700000.0,1029700000.0,1029700000.0
InventoryWorkInProcessNetOfReserves / USD,187351000.0,187351000.0,187351000.0,187351000.0,578900000.0,578900000.0,578900000.0,578900000.0,756300000.0,756300000.0,756300000.0,756300000.0,523800000.0,523800000.0,523800000.0,523800000.0,709000000.0,709000000.0,709000000.0
LesseeOperatingLeaseLiabilityPaymentsDue / USD,,,,188805000.0,,,,278600000.0,,,,274400000.0,,,,328400000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive / USD,,,,40924000.0,,,,79500000.0,,,,86700000.0,,,,98400000.0,,,
