fact_unit,2009-07-29,2009-10-27,2010-02-17,2010-04-28,2010-07-23,2010-10-21,2011-01-28,2011-04-29,2011-07-22,2011-10-21,2012-01-31,2012-04-20,2012-07-19,2012-10-19,2013-02-01,2013-04-19,2013-07-19,2013-10-18,2014-01-31,2014-05-01,2014-07-18,2014-10-16,2015-02-06,2015-04-23,2015-07-21,2015-10-28,2016-02-01,2016-04-27,2016-07-21,2016-10-20,2017-02-06,2017-04-20,2017-07-21,2017-10-20,2018-02-05,2018-04-26,2018-07-19,2018-10-31,2019-01-30,2019-04-24,2019-07-18,2019-10-24,2020-01-31,2020-04-29,2020-04-30,2020-07-29,2020-10-29,2021-02-04,2021-04-29,2021-08-12,2021-10-28,2022-02-24,2022-05-05,2022-05-10,2022-08-04,2022-11-03,2023-02-23,2023-04-27,2023-05-12,2023-07-27,2023-11-08,2024-02-28,2024-05-02,2024-05-29,2024-08-01,2024-10-31,2025-02-27,2025-05-01,2025-05-09,2025-05-30,2025-07-31,2025-10-30
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,41000000,41000000,41000000,41000000,,,,,,,,,,,,,14000000,66000000,66000000,,66000000,66000000,66000000,43000000,,43000000,43000000,,8000000,8000000,,8000000,8000000
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12Months / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900000000,2900000000,2900000000,2900000000,,774000000,774000000,774000000,774000000,261000000,261000000,261000000,261000000,3100000000,,3100000000,3100000000,3100000000,2800000000,,2800000000,2800000000,2800000000,1500000000,,1500000000,1500000000,,1665000000,1665000000,,1665000000,1665000000
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,28000000,,,,,,,,,,,0,0,32000000,,32000000,32000000,32000000,2000000,,2000000,2000000,,4000000,4000000,,4000000,4000000
DecreaseInUnrecognizedTaxBenefitsIsReasonablyPossible / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196000000,191000000,191000000,186000000,19000000,,19000000,16000000,,,,,,,,,,,,,,,,,,,,170000000,170000000,170000000,170000000,,210000000,
DeferredIncomeTaxAssetsNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4608000000,4608000000,4608000000,4608000000,5199000000,5199000000,5199000000,5199000000,4792000000,4792000000,4792000000,4792000000,,4369000000,4369000000,3980000000,3980000000,3537000000,3537000000,3537000000,3537000000,3255000000,,3255000000,3255000000,3255000000,3169000000,,3169000000,3169000000,3169000000,3089000000,,3089000000,3089000000,3089000000,2936000000,2936000000,,2936000000,2936000000
DeferredIncomeTaxExpenseBenefit / USD,,,-123371000,,,,-206636000,,,,-178813000,,,,349000000,,,,17000000,,17000000,,-35000000,3108000000,3043000000,2979000000,-33000000,,,,2744000000,-28000000,-62000000,-123000000,-32000000,-565000000,-122000000,-39000000,-4556000000,-29000000,-17000000,81000000,1728000000,,21000000,56000000,-22000000,-104000000,49000000,106000000,177000000,-1000000,103000000,,106000000,41000000,414000000,-376000000,,-695000000,-807000000,-682000000,33000000,,-78000000,95000000,-780000000,40000000,40000000,,-523000000,-534000000
DeferredIncomeTaxLiabilitiesNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1888000000,1888000000,1888000000,1453000000,3424000000,3424000000,3424000000,3424000000,2925000000,2925000000,2925000000,2925000000,,2646000000,2646000000,2355000000,2355000000,2359000000,2368000000,2368000000,2368000000,3116000000,,3116000000,3116000000,3116000000,2245000000,,2245000000,2245000000,2245000000,2408000000,,2408000000,2408000000,2408000000,1405000000,1405000000,,1405000000,1405000000
DeferredIncomeTaxesAndOtherTaxReceivableCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108000000,108000000,108000000,122000000,,122000000,122000000,122000000,99000000,,99000000,99000000,99000000,115000000,115000000,,115000000,115000000
DeferredTaxLiabilitiesUndistributedForeignEarnings / USD,,,,,,,0,,,,230646000,,,,198000000,,,,220000000,3000000000,220000000,3000000000,246000000,,,,3000000000,,,,3000000000,,,,1578000000,,,,3514000000,,,,2930000000,,,,,2328000000,,,,2165000000,,,,,3136000000,,,526000000,526000000,2446000000,292000000,,292000000,292000000,2817000000,292000000,292000000,,,
DepreciationAndAmortization / USD,339339000,517917000,601621000,197289000,395094000,610162000,719814000,188022000,375839000,570177000,810946000,193000000,401000000,667000000,762000000,281000000,571000000,882000000,940000000,329000000,940000000,1033000000,1200000000,382000000,615000000,518000000,660000000,160000000,334000000,516000000,682000000,167000000,334000000,506000000,687000000,163000000,331000000,504000000,682000000,179000000,349000000,524000000,676000000,,162000000,330000000,474000000,635000000,141000000,295000000,452000000,600000000,134000000,,261000000,380000000,583000000,118000000,,231000000,335000000,502000000,107000000,,208000000,305000000,442000000,76000000,76000000,,153000000,245000000
