fact_unit,2017-11-13,2018-03-28,2018-05-04,2018-08-02,2018-11-01,2019-02-14,2019-05-01,2019-07-31,2019-10-31,2020-02-20,2020-04-30,2020-07-29,2020-10-28,2021-02-18,2021-04-29,2021-07-28,2021-10-27,2022-02-23,2022-05-04,2022-07-27,2022-10-27,2023-02-23,2023-05-01,2023-07-26,2023-10-25,2024-02-22,2024-05-01,2024-07-31,2024-10-31,2025-02-20,2025-04-30,2025-07-30,2025-10-30
EffectiveIncomeTaxRateReconciliationNondeductibleExpense / pure,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes / pure,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.001,,,,0.0,,,,0.001,,,,0.001,,,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized / USD,,1800000.0,2900000.0,2800000.0,6300000.0,5500000.0,11000000.0,10500000.0,9200000.0,7800000.0,14600000.0,13500000.0,11500000.0,9500000.0,16500000.0,14900000.0,12000000.0,9800000.0,23500000.0,24600000.0,21200000.0,17800000.0,29000000.0,26100000.0,22100000.0,18200000.0,30400000.0,27200000.0,22700000.0,18200000.0,34300000.0,28100000.0,23800000.0
EntityCommonStockSharesOutstanding / shares,246224886.0,370128832.0,370130536.0,370151498.0,370229491.0,404726821.0,410971625.0,461005745.0,461006854.0,468491573.0,468618237.0,533668779.0,536669722.0,536663115.0,537016609.0,537044887.0,628946033.0,748390629.0,963002113.0,963093424.0,963097848.0,1003674749.0,1004238490.0,1013428150.0,1034532105.0,1042679525.0,1043181591.0,1047172748.0,1054174145.0,1056339141.0,1056707123.0,1066369778.0,1068811371.0
EntityPublicFloat / USD,,0.0,,,,7600000000.0,,,,10100000000.0,,,,10800000000.0,,,,16600000000.0,,,,28600000000.0,,,,31600000000.0,,,,29800000000.0,,,
EquityMethodInvestmentDividendsOrDistributions / USD,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,16182000.0,40437000.0,0.0,3273000.0,3273000.0,3273000.0,64808000.0,,,
FederalIncomeTaxExpenseBenefitContinuingOperations / USD,,,,,,-1909000.0,,,,-1909000.0,,,,1234000.0,,,,1146000.0,,,,529000.0,,,,1424000.0,,,,2227000.0,,,
FinanceLeaseLiability / USD,,,,,,,,,,,8658000.0,8688000.0,8688000.0,8688000.0,284376000.0,284376000.0,284376000.0,284376000.0,280510000.0,280510000.0,280510000.0,280510000.0,784259000.0,784259000.0,784259000.0,,866052000.0,866052000.0,866052000.0,,863374000.0,863374000.0,863374000.0
ForeignIncomeTaxExpenseBenefitContinuingOperations / USD,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,
GeneralAndAdministrativeExpense / USD,,9939000.0,7308000.0,14468000.0,20145000.0,9939000.0,7308000.0,14468000.0,20145000.0,9939000.0,6225000.0,12743000.0,19460000.0,24429000.0,7015000.0,14513000.0,22560000.0,24569000.0,8085000.0,15713000.0,24092000.0,30661000.0,9466000.0,21248000.0,33311000.0,33122000.0,15005000.0,29925000.0,44347000.0,48340000.0,16192000.0,31960000.0,48418000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest / USD,,42636000.0,114487000.0,256295000.0,388371000.0,42636000.0,114487000.0,256295000.0,388371000.0,42636000.0,153447000.0,308127000.0,454666000.0,533558000.0,-21611000.0,210341000.0,606191000.0,555986000.0,272583000.0,576916000.0,741488000.0,897039000.0,243088000.0,185974000.0,523269000.0,1026045000.0,528948000.0,1232428000.0,1798531000.0,1139143000.0,601365000.0,1357352000.0,2104294000.0
IncomeLossFromEquityMethodInvestments / USD,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,15134000.0,37853000.0,0.0,1280000.0,1280000.0,1280000.0,59769000.0,,,
IncomeTaxExpenseBenefit / USD,,-1901000.0,384000.0,832000.0,884000.0,-1901000.0,384000.0,832000.0,884000.0,-1901000.0,521000.0,1074000.0,1098000.0,1441000.0,454000.0,763000.0,395000.0,1705000.0,484000.0,1740000.0,2128000.0,831000.0,400000.0,1427000.0,1844000.0,2887000.0,1087000.0,2986000.0,3630000.0,2876000.0,1562000.0,4796000.0,7257000.0
