fact_unit,2019-05-03,2019-07-25,2019-10-25,2020-02-07,2020-05-01,2020-07-24,2020-10-23,2021-02-05,2021-04-23,2021-07-23,2021-10-22,2022-02-04,2022-04-22,2022-07-22,2022-10-21,2023-02-01,2023-04-26,2023-07-26,2023-10-25,2024-01-31,2024-04-26,2024-07-26,2024-10-25,2025-02-04,2025-04-25,2025-07-25,2025-10-24
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,6207000000.0,8580000000.0,6208000000.0,6624000000.0,2764000000.0,2764000000.0,2764000000.0,6208000000.0,2380000000.0,2380000000.0,2380000000.0,2764000000.0,5108000000.0,5108000000.0,5108000000.0,2380000000.0,3033000000.0,3033000000.0,3033000000.0,5108000000.0,3940000000.0,3940000000.0,3940000000.0,3033000000.0,3048000000.0,3048000000.0,3048000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,-1003000000.0,-1956000000.0,-2766000000.0,-416000000.0,183000000.0,-281000000.0,75000000.0,-3444000000.0,1265000000.0,1350000000.0,2175000000.0,-384000000.0,-947000000.0,-1567000000.0,-2132000000.0,2728000000.0,174000000.0,-564000000.0,-716000000.0,-2075000000.0,-510000000.0,-957000000.0,-840000000.0,907000000.0,705000000.0,337000000.0,-61000000.0
CashFlowsBetweenTransfereeAndTransferorProceedsFromNewTransfers / USD,,1000000.0,,1000000.0,,,,,,,,,,,,,,,,,,0.0,28000000.0,391000000.0,427000000.0,1050000000.0,1248000000.0
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations / USD,,925000000.0,817000000.0,1514000000.0,338000000.0,253000000.0,187000000.0,1158000000.0,3000000.0,-6000000.0,0.0,217000000.0,-63000000.0,-80000000.0,-78000000.0,-26000000.0,-9000000.0,-11000000.0,-11000000.0,-60000000.0,4000000.0,4000000.0,4000000.0,-11000000.0,4000000.0,8000000.0,8000000.0
CommonStockDividendsPerShareCashPaid / USD/shares,,0.46,,0.46,,,,0.38,,,,0.7,,,,0.7,,,,0.7,,,,0.7,,,
CommonStockDividendsPerShareDeclared / USD/shares,,1.84,0.0,1.38,0.0,0.7,1.4,0.0,0.7,1.4,2.1,2.1,0.7,1.4,2.1,2.8,0.7,1.4,2.1,2.8,0.7,1.4,2.1,2.8,0.7,1.4,2.1
CommonStockParOrStatedValuePerShare / USD/shares,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,100.0,100.0,100.0,100.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0
CommonStockSharesIssued / shares,100.0,100.0,100.0,100.0,751228644.0,751228644.0,751228644.0,751228644.0,755993198.0,755993198.0,755993198.0,755993198.0,764226882.0,764226882.0,764226882.0,764226882.0,771678525.0,771678525.0,771678525.0,771678525.0,778595514.0,778595514.0,778595514.0,778595514.0,784471939.0,784471939.0,784471939.0
CommonStockValue / USD,0.0,0.0,0.0,,8000000.0,8000000.0,8000000.0,,8000000.0,8000000.0,8000000.0,,8000000.0,8000000.0,8000000.0,,8000000.0,8000000.0,8000000.0,,8000000.0,8000000.0,8000000.0,,8000000.0,8000000.0,8000000.0
CommonStockValueOutstanding / USD,,0.0,,0.0,,,,8000000.0,,,,8000000.0,,,,8000000.0,,,,8000000.0,,,,8000000.0,,,
ComprehensiveIncomeNetOfTax / USD,1832000000.0,3166000000.0,4276000000.0,1654000000.0,652000000.0,723000000.0,832000000.0,4421000000.0,-44000000.0,35000000.0,294000000.0,-2525000000.0,1933000000.0,4071000000.0,5765000000.0,616000000.0,1750000000.0,3003000000.0,3364000000.0,8189000000.0,-19000000.0,464000000.0,572000000.0,6420000000.0,383000000.0,851000000.0,1347000000.0
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest / USD,28000000.0,83000000.0,58000000.0,172000000.0,51000000.0,72000000.0,79000000.0,97000000.0,19000000.0,27000000.0,51000000.0,99000000.0,15000000.0,46000000.0,69000000.0,69000000.0,-17000000.0,3000000.0,24000000.0,94000000.0,20000000.0,36000000.0,61000000.0,58000000.0,22000000.0,41000000.0,67000000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,1860000000.0,3249000000.0,4334000000.0,1826000000.0,703000000.0,795000000.0,911000000.0,4518000000.0,-25000000.0,62000000.0,345000000.0,-2426000000.0,1948000000.0,4117000000.0,5834000000.0,685000000.0,1733000000.0,3006000000.0,3388000000.0,8283000000.0,1000000.0,500000000.0,633000000.0,6478000000.0,405000000.0,892000000.0,1414000000.0
ContractWithCustomerAssetNetCurrent / USD,37000000.0,0.0,19000000.0,19000000.0,41000000.0,41000000.0,41000000.0,41000000.0,58000000.0,58000000.0,58000000.0,58000000.0,34000000.0,34000000.0,34000000.0,34000000.0,48000000.0,48000000.0,48000000.0,48000000.0,13000000.0,13000000.0,13000000.0,13000000.0,,,
ContractWithCustomerAssetNetNoncurrent / USD,47000000.0,0.0,1000000.0,1000000.0,4000000.0,4000000.0,4000000.0,4000000.0,11000000.0,11000000.0,11000000.0,11000000.0,26000000.0,26000000.0,26000000.0,26000000.0,16000000.0,16000000.0,16000000.0,16000000.0,4000000.0,4000000.0,4000000.0,4000000.0,2000000.0,2000000.0,2000000.0
ContractWithCustomerAssetReclassifiedToReceivable / USD,14000000.0,12000000.0,15000000.0,12000000.0,15000000.0,15000000.0,15000000.0,15000000.0,10000000.0,25000000.0,25000000.0,25000000.0,,,5000000.0,35000000.0,30000000.0,45000000.0,45000000.0,15000000.0,,45000000.0,45000000.0,45000000.0,,,
ContractWithCustomerLiabilityCurrent / USD,165000000.0,116000000.0,134000000.0,134000000.0,193000000.0,193000000.0,193000000.0,193000000.0,349000000.0,349000000.0,349000000.0,349000000.0,209000000.0,209000000.0,209000000.0,209000000.0,275000000.0,275000000.0,275000000.0,275000000.0,195000000.0,195000000.0,195000000.0,195000000.0,244000000.0,244000000.0,244000000.0
ContractWithCustomerLiabilityNoncurrent / USD,1390000000.0,1365000000.0,1318000000.0,1318000000.0,1607000000.0,1607000000.0,1607000000.0,1607000000.0,1915000000.0,1915000000.0,1915000000.0,1915000000.0,1925000000.0,1925000000.0,1925000000.0,1925000000.0,1725000000.0,1725000000.0,1725000000.0,1725000000.0,1642000000.0,1642000000.0,1642000000.0,1642000000.0,1480000000.0,1480000000.0,1480000000.0
ContractWithCustomerLiabilityRevenueRecognized / USD,75000000.0,105000000.0,110000000.0,205000000.0,55000000.0,110000000.0,100000000.0,205000000.0,35000000.0,80000000.0,110000000.0,145000000.0,40000000.0,180000000.0,250000000.0,145000000.0,65000000.0,105000000.0,165000000.0,295000000.0,40000000.0,175000000.0,205000000.0,250000000.0,40000000.0,90000000.0,135000000.0
CostOfGoodsAndServicesSold / USD,11552000000.0,30053000000.0,30976000000.0,36350000000.0,9142000000.0,18562000000.0,27939000000.0,41074000000.0,8230000000.0,15840000000.0,24211000000.0,36657000000.0,10062000000.0,20802000000.0,32413000000.0,33346000000.0,12402000000.0,25301000000.0,37682000000.0,44191000000.0,10629000000.0,20504000000.0,30096000000.0,48338000000.0,9488000000.0,19079000000.0,28888000000.0
CurrentFederalTaxExpenseBenefit / USD,,164000000.0,,-864000000.0,,,,324000000.0,,,,-287000000.0,,,,-176000000.0,,,,-46000000.0,,,,434000000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,606000000.0,,971000000.0,,,,901000000.0,,,,960000000.0,,,,691000000.0,,,,1460000000.0,,,,855000000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,791000000.0,,111000000.0,,,,1238000000.0,,,,698000000.0,,,,519000000.0,,,,1462000000.0,,,,1371000000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,21000000.0,,4000000.0,,,,13000000.0,,,,25000000.0,,,,4000000.0,,,,48000000.0,,,,82000000.0,,,
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet / USD,334000000.0,-345000000.0,334000000.0,-334000000.0,331000000.0,331000000.0,331000000.0,-331000000.0,365000000.0,365000000.0,365000000.0,-365000000.0,297000000.0,297000000.0,297000000.0,-297000000.0,,,,-282000000.0,258000000.0,258000000.0,258000000.0,-258000000.0,244000000.0,244000000.0,244000000.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLonger / USD,,,,,,,,,,,,9000000.0,,,,18000000.0,,,,145000000.0,,,,198000000.0,,,
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12Months / USD,,,,,,,,,,,,6000000.0,,,,30000000.0,,,,147000000.0,,,,100000000.0,,,
DebtSecuritiesAvailableForSaleRealizedGain / USD,,,,,,,,,,,84000000.0,51000000.0,13000000.0,31000000.0,41000000.0,94000000.0,12000000.0,20000000.0,40000000.0,50000000.0,8000000.0,58000000.0,59000000.0,43000000.0,9000000.0,19000000.0,34000000.0
