fact_unit,2022-03-31,2022-06-13,2022-08-19,2022-11-22,2023-04-14,2023-05-18,2023-08-09,2023-11-07,2024-04-29,2024-11-05,2025-03-20,2025-05-06,2025-08-05,2025-11-12
IncreaseDecreaseThroughExerciseOfOptions / USD,,,,,,,,,,,,-25000000.0,,11000000.0
IncreaseDecreaseThroughFinancingCashFlowsLiabilitiesArisingFromFinancingActivities / USD,732743000.0,,,,-650000000.0,,,,-842000000.0,,212000000.0,,,
IncreaseDecreaseThroughOtherChangesLiabilitiesArisingFromFinancingActivities / USD,-12591000.0,,,,9898000000.0,,,,74000000.0,,-62000000.0,,,
IncreaseDecreaseThroughSharebasedPaymentTransactions / USD,980000.0,53000000.0,141000000.0,169000000.0,1000000.0,53000000.0,104000000.0,137000000.0,223000000.0,120000000.0,181000000.0,42000000.0,93000000.0,143000000.0
IncreaseDecreaseThroughTimeValueOfMoneyAdjustmentOtherProvisions / USD,14888000.0,,,,0.0,,,,2000000.0,,2000000.0,,,
IncreaseDecreaseThroughTransfersAndOtherChangesOtherProvisions / USD,,,,,0.0,,,,91000000.0,,71000000.0,,,
IncreaseDecreaseThroughTreasuryShareTransactions / USD,,,,,,,,,,-200000000.0,,,-200000000.0,-200000000.0
IncreaseThroughNewLeasesLiabilitiesArisingFromFinancingActivities / USD,65381000.0,,,,-10104000000.0,,,,-6000000.0,,-111000000.0,,,
IntangibleAssetsAndGoodwill / USD,547942000.0,377000000.0,377000000.0,377000000.0,377000000.0,363000000.0,363000000.0,363000000.0,363000000.0,391000000.0,391000000.0,660000000.0,660000000.0,660000000.0
InterestExpenseOnDebtInstrumentsIssued / USD,159114000.0,,,,98000000.0,,,,72000000.0,,69000000.0,,,
InterestExpenseOnLeaseLiabilities / USD,43666000.0,,,,35000000.0,,,,27000000.0,16000000.0,23000000.0,8000000.0,15000000.0,20000000.0
InterestIncomeOnDeposits / USD,,,,,,,,,1000000.0,,31000000.0,,,
InterestIncomeOnFinancialAssetsDesignatedAtFairValueThroughProfitOrLoss / USD,,,,,,,,,,,8000000.0,,,
InterestPaidClassifiedAsOperatingActivities / USD,196351000.0,,,,146000000.0,,,,101000000.0,77000000.0,96000000.0,21000000.0,61000000.0,78000000.0
InterestReceivedClassifiedAsOperatingActivities / USD,15196000.0,,,,4000000.0,,,,1000000.0,86000000.0,,40000000.0,82000000.0,126000000.0
InterestReceivedFromDebtInstrumentsHeldClassifiedAsOperatingActivities / USD,,,,,,,,,,,32000000.0,,,
Inventories / USD,919519000.0,1121000000.0,1121000000.0,1121000000.0,1121000000.0,1339000000.0,1339000000.0,1339000000.0,1339000000.0,1487000000.0,1487000000.0,1624000000.0,1624000000.0,1624000000.0
InventoryWritedown2011 / USD,96972000.0,,,,29000000.0,,,,,31000000.0,,,,
IssueOfEquity / USD,1444496000.0,,,,1445000000.0,,,,1445000000.0,49000000.0,163000000.0,23000000.0,-6000000.0,1000000.0
IssuedCapital / USD,10000000.0,11000000.0,11000000.0,11000000.0,11000000.0,11000000.0,11000000.0,11000000.0,11000000.0,11000000.0,11000000.0,11000000.0,11000000.0,11000000.0
LeaseLiabilities / USD,417850000.0,,,,426000000.0,,,,345000000.0,,382000000.0,,,
Liabilities / USD,5080131000.0,6995000000.0,6995000000.0,6995000000.0,6995000000.0,7881000000.0,7881000000.0,7881000000.0,7881000000.0,6893000000.0,6893000000.0,5975000000.0,5975000000.0,5975000000.0
LiabilitiesArisingFromFinancingActivities / USD,-25796721000.0,,,,-25094000000.0,,,,-25890000000.0,,-26646000000.0,,,
LongtermBorrowings / USD,1956148000.0,1716000000.0,1716000000.0,1716000000.0,1716000000.0,2288000000.0,2288000000.0,2288000000.0,2288000000.0,1801000000.0,1801000000.0,1053000000.0,1053000000.0,1053000000.0
NoncontrollingInterests / USD,65128000.0,58000000.0,58000000.0,58000000.0,58000000.0,47000000.0,47000000.0,47000000.0,47000000.0,47000000.0,47000000.0,48000000.0,48000000.0,48000000.0
NoncurrentAssets / USD,9334909000.0,9737000000.0,9737000000.0,9737000000.0,9737000000.0,12041000000.0,12041000000.0,12041000000.0,12041000000.0,11717000000.0,11717000000.0,10383000000.0,10383000000.0,10383000000.0
NoncurrentContractLiabilities / USD,30258000.0,,,,1368000000.0,,,,1326000000.0,,1088000000.0,744000000.0,744000000.0,744000000.0
NoncurrentFinancialAssetsAtFairValueThroughOtherComprehensiveIncome / USD,,,,,,,,,,468000000.0,468000000.0,839000000.0,839000000.0,839000000.0
NoncurrentGovernmentGrants / USD,128697000.0,147000000.0,147000000.0,147000000.0,147000000.0,294000000.0,294000000.0,294000000.0,294000000.0,267000000.0,267000000.0,235000000.0,235000000.0,235000000.0
NoncurrentLeaseLiabilities / USD,333242000.0,291000000.0,291000000.0,291000000.0,291000000.0,270000000.0,270000000.0,270000000.0,270000000.0,350000000.0,350000000.0,424000000.0,424000000.0,424000000.0
NoncurrentLiabilities / USD,3184061000.0,3832000000.0,3832000000.0,3832000000.0,3832000000.0,4522000000.0,4522000000.0,4522000000.0,4522000000.0,3794000000.0,3794000000.0,2931000000.0,2931000000.0,2931000000.0
NoncurrentPayables / USD,412666000.0,,,,1445000000.0,,,,1474000000.0,,1190000000.0,1022000000.0,1022000000.0,1022000000.0
