fact_unit,2009-08-04,2009-11-04,2010-02-12,2010-05-05,2010-07-30,2010-10-29,2011-02-11,2011-05-10,2011-07-27,2011-10-26,2012-01-26,2012-04-25,2012-07-24,2012-10-30,2013-01-29,2013-04-25,2013-07-25,2013-10-24,2014-02-12,2014-04-24,2014-07-25,2014-10-23,2015-02-09,2015-04-29,2015-07-23,2015-10-29
DisposalGroupIncludingDiscontinuedOperationGoodwill1 / USD,,,,,,,,,,,,,,,,,,,,,,71000000.0,,,,
EarningsPerShareBasic / USD/shares,8.15,12.25,13.53,4.51,9.21,14.39,13.46,6.15,11.93,18.73,20.62,5.59,13.37,21.82,26.69,8.88,17.42,24.05,30.17,5.06,9.92,14.37,16.41,5.13,9.98,14.02
EarningsPerShareDiluted / USD/shares,8.04,12.1,13.29,4.49,9.15,14.27,13.31,6.06,11.77,18.49,20.41,5.51,13.19,21.53,26.31,8.75,17.17,23.69,29.76,4.97,9.74,14.12,16.16,5.04,9.8,13.78
EffectOfExchangeRateOnCashAndCashEquivalents / USD,29737000.0,-15616000.0,40034000.0,-57000000.0,-15000000.0,16000000.0,-46000000.0,-43000000.0,-100000000.0,37000000.0,11000000.0,145000000.0,187000000.0,74000000.0,-19000000.0,50000000.0,-126000000.0,-52000000.0,22000000.0,-78000000.0,-86000000.0,-6000000.0,3000000.0,-5000000.0,-9000000.0,-236000000.0
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,,,,,,,0.35,,,,0.35,,,,0.35,,,,0.35,,,,0.35,,,
EmployeeRelatedLiabilitiesCurrent / USD,,811643000.0,811643000.0,982000000.0,982000000.0,982000000.0,982000000.0,1410000000.0,1410000000.0,1410000000.0,1410000000.0,1818000000.0,1818000000.0,1818000000.0,1818000000.0,2239000000.0,2239000000.0,2239000000.0,2239000000.0,2502000000.0,2502000000.0,2502000000.0,2502000000.0,3069000000.0,3069000000.0,3069000000.0
EntityPublicFloat / USD,116684274176.0,,97782305918.0,,,,96501176477.75,,,,114824568582.0,,,,134705433770.0,,,,214573249181.0,,,,290000000000.0,,,
EquityMethodInvestments / USD,,,,,,,,,,,,,,,,,,,921000000.0,,,,1000000000.0,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities / USD,94979000.0,114770000.0,379206000.0,32000000.0,36000000.0,64000000.0,159000000.0,12000000.0,31000000.0,43000000.0,90000000.0,24000000.0,33000000.0,61000000.0,94000000.0,28000000.0,55000000.0,113000000.0,86000000.0,94000000.0,198000000.0,302000000.0,188000000.0,155000000.0,292000000.0,467000000.0
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities / USD,94979000.0,114770000.0,379206000.0,32000000.0,36000000.0,64000000.0,159000000.0,12000000.0,31000000.0,43000000.0,90000000.0,24000000.0,33000000.0,61000000.0,94000000.0,28000000.0,55000000.0,113000000.0,86000000.0,94000000.0,198000000.0,302000000.0,188000000.0,155000000.0,292000000.0,467000000.0
FiniteLivedIntangibleAssetsAccumulatedAmortization / USD,,,,,786000000.0,786000000.0,786000000.0,1104000000.0,1104000000.0,1104000000.0,1104000000.0,1520000000.0,1520000000.0,1520000000.0,1520000000.0,2474000000.0,2474000000.0,2474000000.0,2474000000.0,3520000000.0,3520000000.0,3520000000.0,3520000000.0,4046000000.0,4046000000.0,4046000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive / USD,,,,,,,,,,,,,,,2514000000.0,1710000000.0,1734000000.0,1706000000.0,1680000000.0,1570000000.0,1575000000.0,1577000000.0,1097000000.0,1073000000.0,1105000000.0,1107000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths / USD,,,,,,,,,,,,,1108000000.0,1177000000.0,1188000000.0,1025000000.0,1053000000.0,1072000000.0,1093000000.0,,,,865000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear / USD,,,,,,,,,,,,,622000000.0,317000000.0,,807000000.0,551000000.0,275000000.0,,758000000.0,528000000.0,244000000.0,,649000000.0,430000000.0,215000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive / USD,,,,,,,,,,,,,780000000.0,820000000.0,821000000.0,692000000.0,723000000.0,726000000.0,734000000.0,653000000.0,664000000.0,621000000.0,524000000.0,522000000.0,526000000.0,530000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour / USD,,,,,,,,,,,,,824000000.0,877000000.0,879000000.0,734000000.0,767000000.0,770000000.0,781000000.0,705000000.0,734000000.0,686000000.0,633000000.0,631000000.0,635000000.0,640000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree / USD,,,,,,,,,,,,,883000000.0,946000000.0,956000000.0,786000000.0,822000000.0,827000000.0,844000000.0,772000000.0,822000000.0,764000000.0,704000000.0,714000000.0,720000000.0,727000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo / USD,,,,,,,,,,,,,1036000000.0,1104000000.0,1115000000.0,869000000.0,908000000.0,914000000.0,934000000.0,859000000.0,911000000.0,852000000.0,784000000.0,791000000.0,797000000.0,804000000.0
FiniteLivedIntangibleAssetsGross / USD,,,,,1561000000.0,1561000000.0,1561000000.0,2148000000.0,2148000000.0,2148000000.0,2148000000.0,3098000000.0,3098000000.0,3098000000.0,3098000000.0,9947000000.0,9947000000.0,9947000000.0,9947000000.0,9586000000.0,9586000000.0,9586000000.0,9586000000.0,8653000000.0,8653000000.0,8653000000.0
FiniteLivedIntangibleAssetsNet / USD,,,,,775000000.0,775000000.0,775000000.0,1044000000.0,1044000000.0,1044000000.0,,,7862000000.0,7754000000.0,7473000000.0,6623000000.0,6558000000.0,6290000000.0,6066000000.0,5317000000.0,5234000000.0,4744000000.0,4607000000.0,4607000000.0,4607000000.0,4607000000.0
ForeignCurrencyCashFlowHedgeGainLossToBeReclassifiedDuringNext12Months / USD,,,,,257000000.0,51000000.0,99000000.0,13000000.0,8000000.0,56000000.0,127000000.0,57000000.0,201000000.0,66000000.0,10000000.0,111000000.0,64000000.0,7000000.0,11000000.0,17000000.0,8000000.0,339000000.0,,1100000000.0,619000000.0,466000000.0
ForeignCurrencyTransactionGainLossBeforeTax / USD,,,,,-175000000.0,-248000000.0,-36000000.0,,,,8000000.0,,,,-29000000.0,,-292000000.0,-439000000.0,38000000.0,-61000000.0,-109000000.0,-268000000.0,,-109000000.0,-202000000.0,-269000000.0
FurnitureAndFixturesGross / USD,,,,,65000000.0,65000000.0,65000000.0,65000000.0,65000000.0,65000000.0,65000000.0,65000000.0,65000000.0,65000000.0,65000000.0,74000000.0,74000000.0,74000000.0,74000000.0,77000000.0,77000000.0,77000000.0,77000000.0,79000000.0,,
FutureMinimumSubleaseRentalsSaleLeasebackTransactions / USD,,,,,,,,,,,75000000.0,,,,85000000.0,,,,89000000.0,,,,62000000.0,,,
GainLossOnSaleOfBusiness / USD,,,,,,,,,,,,,0.0,0.0,0.0,,188000000.0,188000000.0,0.0,0.0,,,188000000.0,,,
GeneralAndAdministrativeExpense / USD,884215000.0,1391278000.0,1279250000.0,447000000.0,814000000.0,1202000000.0,1803000000.0,410000000.0,871000000.0,1403000000.0,1668000000.0,591000000.0,1244000000.0,1919000000.0,1962000000.0,757000000.0,1699000000.0,2719000000.0,2724000000.0,1015000000.0,2113000000.0,3248000000.0,3481000000.0,1489000000.0,2893000000.0,4258000000.0
Goodwill / USD,4839854000.0,4839854000.0,4839854000.0,4903000000.0,4903000000.0,4903000000.0,4903000000.0,6256000000.0,6256000000.0,6256000000.0,6256000000.0,7346000000.0,7346000000.0,7346000000.0,7346000000.0,10537000000.0,10537000000.0,10537000000.0,10537000000.0,11492000000.0,11492000000.0,11492000000.0,11492000000.0,15599000000.0,15599000000.0,15599000000.0
GoodwillAcquiredDuringPeriod / USD,,,,,906000000.0,1185000000.0,1341000000.0,70000000.0,437000000.0,752000000.0,1118000000.0,,2831000000.0,3183000000.0,3230000000.0,133000000.0,995000000.0,1003000000.0,1079000000.0,2754000000.0,3155000000.0,4072000000.0,4208000000.0,17000000.0,55000000.0,135000000.0
GoodwillImpairmentLoss / USD,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,
GoodwillOtherChanges / USD,,,,,,,,,,19000000.0,28000000.0,21000000.0,57000000.0,44000000.0,39000000.0,75000000.0,72000000.0,50000000.0,60000000.0,-2000000.0,-10000000.0,32000000.0,58000000.0,-43000000.0,44000000.0,59000000.0
GoodwillWrittenOffRelatedToSaleOfBusinessUnit / USD,,,,,,,,,,,,,,,,,64000000.0,64000000.0,64000000.0,,,,43000000.0,,,
ImpairmentOfInvestments / USD,,,0.0,,,,1095000000.0,,,,0.0,,,,0.0,,,,110000000.0,,,,,,0.0,0.0
IncomeLossFromContinuingOperations / USD,,,,,,,,,,,,,,,8505000000.0,2890000000.0,5723000000.0,7881000000.0,9737000000.0,3528000000.0,6302000000.0,9465000000.0,11553000000.0,3650000000.0,6988000000.0,9912000000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic / USD,,,,,,,2059000000.0,,,,3579000000.0,,,,4948000000.0,,,,4693000000.0,,,,6447000000.0,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign / USD,,,,,,,3794000000.0,,,,4802000000.0,,,,5848000000.0,,,,7633000000.0,,,,8021000000.0,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments / USD,3349466000.0,5018249000.0,5673980000.0,1890000000.0,3746000000.0,5812000000.0,5853000000.0,2506000000.0,4940000000.0,7654000000.0,8381000000.0,2392000000.0,5478000000.0,8837000000.0,10796000000.0,3545000000.0,7035000000.0,9840000000.0,12326000000.0,3882000000.0,7583000000.0,11358000000.0,14469000000.0,4472000000.0,8875000000.0,12732000000.0
IncomeLossFromContinuingOperationsPerBasicShare / USD/shares,,,,,,,,,,,,,,,26.69,8.88,17.56,24.14,30.17,5.34,9.51,14.25,17.66,5.42,10.37,14.69
IncomeLossFromContinuingOperationsPerDilutedShare / USD/shares,,,,,,,,,,,,,,,26.31,8.75,17.31,23.78,29.76,5.24,9.34,14.0,17.39,5.33,10.19,14.44
IncomeLossFromDiscontinuedOperationsNetOfTax / USD,,,,,,,,,,,,,,,0.0,0.0,-48000000.0,-30000000.0,0.0,-182000000.0,272000000.0,79000000.0,-816000000.0,-198000000.0,-266000000.0,-451000000.0
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare / USD/shares,,,,,,,,,,,,,,,0.0,0.0,-0.14,-0.09,0.0,-0.28,0.41,0.12,-1.25,-0.29,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare / USD/shares,,,,,,,,,,,,,,,0.0,0.0,-0.14,-0.09,0.0,-0.27,0.4,0.12,-1.23,-0.29,,
IncomeTaxExpenseBenefit / USD,794989000.0,1173833000.0,1470260000.0,467000000.0,839000000.0,1266000000.0,1626000000.0,551000000.0,1145000000.0,1692000000.0,1861000000.0,594000000.0,1174000000.0,1804000000.0,2291000000.0,655000000.0,1312000000.0,1959000000.0,2589000000.0,354000000.0,1281000000.0,1893000000.0,2916000000.0,822000000.0,1887000000.0,2820000000.0
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance / USD,,,,,,,313000000.0,,,,-41000000.0,,,,-34000000.0,,,,27000000.0,,,,1921000000.0,,,
IncomeTaxReconciliationForeignIncomeTaxRateDifferential / USD,,,,,,,-1020000000.0,,,,-1339000000.0,,,,-1769000000.0,,,,-2001000000.0,,,,-2208000000.0,,,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate / USD,,,,,,,2049000000.0,,,,2933000000.0,,,,3779000000.0,,,,4314000000.0,,,,5064000000.0,,,
IncomeTaxReconciliationOtherAdjustments / USD,,,,,,,34000000.0,,,,14000000.0,,,,10000000.0,,,,267000000.0,,,,-15000000.0,,,
IncomeTaxReconciliationStateAndLocalIncomeTaxes / USD,,,,,,,263000000.0,,,,302000000.0,,,,322000000.0,,,,122000000.0,,,,114000000.0,,,
IncomeTaxReconciliationTaxCreditsResearch / USD,,,,,,,52000000.0,,,,56000000.0,,,,84000000.0,,,,140000000.0,,,,0.0,,,
IncomeTaxesPaid / USD,378550000.0,743440000.0,882688000.0,162000000.0,1013000000.0,1453000000.0,1224000000.0,179000000.0,1309000000.0,1954000000.0,1896000000.0,210000000.0,864000000.0,914000000.0,2175000000.0,207000000.0,1003000000.0,1684000000.0,1471000000.0,385000000.0,796000000.0,1304000000.0,2034000000.0,353000000.0,1666000000.0,2382000000.0
IncomeTaxesReceivable / USD,0.0,0.0,0.0,23000000.0,23000000.0,23000000.0,23000000.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,408000000.0,408000000.0,408000000.0,408000000.0,1298000000.0,591000000.0,591000000.0
IncreaseDecreaseInAccountsPayable / USD,39237000.0,-152165000.0,70135000.0,22000000.0,42000000.0,9000000.0,-212000000.0,120000000.0,199000000.0,314000000.0,34000000.0,27000000.0,77000000.0,72000000.0,272000000.0,169000000.0,-80000000.0,-274000000.0,101000000.0,87000000.0,-72000000.0,285000000.0,-499000000.0,177000000.0,14000000.0,-113000000.0
IncreaseDecreaseInAccountsReceivable / USD,296376000.0,218326000.0,837247000.0,-97000000.0,42000000.0,127000000.0,334000000.0,-46000000.0,197000000.0,456000000.0,504000000.0,-181000000.0,24000000.0,247000000.0,1129000000.0,-301000000.0,-79000000.0,228000000.0,1156000000.0,-256000000.0,-62000000.0,454000000.0,787000000.0,-267000000.0,454000000.0,490000000.0
IncreaseDecreaseInAccruedLiabilities / USD,-147251000.0,162882000.0,418905000.0,-322000000.0,-281000000.0,-14000000.0,339000000.0,-394000000.0,-75000000.0,316000000.0,243000000.0,37000000.0,297000000.0,255000000.0,745000000.0,-855000000.0,-243000000.0,484000000.0,795000000.0,-1059000000.0,-363000000.0,-270000000.0,762000000.0,-1079000000.0,-68000000.0,416000000.0
IncreaseDecreaseInCollateralHeldUnderSecuritiesLending / USD,,,,,,,,,,,,,,,,-245000000.0,91000000.0,321000000.0,354000000.0,-564000000.0,-1538000000.0,-220000000.0,334000000.0,-779000000.0,-1713000000.0,-2029000000.0
IncreaseDecreaseInDeferredRevenue / USD,10248000.0,21354000.0,70329000.0,9000000.0,12000000.0,35000000.0,41000000.0,11000000.0,28000000.0,32000000.0,76000000.0,33000000.0,69000000.0,83000000.0,111000000.0,40000000.0,54000000.0,182000000.0,162000000.0,-33000000.0,-16000000.0,76000000.0,163000000.0,23000000.0,0.0,0.0
IncreaseDecreaseInIncomeTaxes / USD,,,,,,,,,-164000000.0,-295000000.0,217000000.0,73000000.0,-98000000.0,268000000.0,102000000.0,143000000.0,1169000000.0,1336000000.0,731000000.0,-335000000.0,-156000000.0,-79000000.0,1492000000.0,201000000.0,90000000.0,577000000.0
IncreaseDecreaseInInventories / USD,,,,,,,,,,,,,1000000.0,18000000.0,0.0,32000000.0,-170000000.0,-188000000.0,30000000.0,142000000.0,158000000.0,46000000.0,,,,
IntangibleAssetsNetExcludingGoodwill / USD,996690000.0,996690000.0,996690000.0,775000000.0,775000000.0,775000000.0,775000000.0,1044000000.0,1044000000.0,1044000000.0,1044000000.0,1578000000.0,1578000000.0,1578000000.0,1578000000.0,7473000000.0,7473000000.0,7473000000.0,7473000000.0,6066000000.0,6066000000.0,6066000000.0,6066000000.0,,,
InterestExpense / USD,,,,,,,,,,0.0,0.0,4000000.0,17000000.0,38000000.0,5000000.0,20000000.0,42000000.0,63000000.0,58000000.0,21000000.0,40000000.0,59000000.0,85000000.0,24000000.0,51000000.0,76000000.0
InterestIncomeOther / USD,,,,,,,,,,,,,,,,,362000000.0,534000000.0,,180000000.0,362000000.0,558000000.0,,168000000.0,337000000.0,524000000.0
InterestPaid / USD,,,,,,,,,,,0.0,,0.0,0.0,0.0,,37000000.0,38000000.0,40000000.0,,35000000.0,36000000.0,74000000.0,0.0,38000000.0,56000000.0
InventoryFinishedGoodsNetOfReserves / USD,,,,,,,,,,,,,35000000.0,35000000.0,35000000.0,428000000.0,428000000.0,428000000.0,428000000.0,311000000.0,311000000.0,311000000.0,,,,
InventoryNet / USD,,,,,,,,,,,,,35000000.0,35000000.0,35000000.0,505000000.0,505000000.0,505000000.0,505000000.0,426000000.0,426000000.0,426000000.0,,,,
InventoryWorkInProcessAndRawMaterialsNetOfReserves / USD,,,,,,,,,,,,,0.0,0.0,0.0,77000000.0,77000000.0,77000000.0,77000000.0,115000000.0,115000000.0,115000000.0,,,,
InvestmentIncomeInterest / USD,,,,,116000000.0,163000000.0,390000000.0,95000000.0,232000000.0,403000000.0,230000000.0,190000000.0,402000000.0,613000000.0,579000000.0,182000000.0,,,812000000.0,,,,700000000.0,,,
LeaseAndRentalExpense / USD,,,,,,,314000000.0,,,,323000000.0,,,,293000000.0,,,,380000000.0,,,,417000000.0,,,
LeaseholdImprovementsGross / USD,,,,,646000000.0,646000000.0,646000000.0,738000000.0,738000000.0,738000000.0,738000000.0,919000000.0,919000000.0,919000000.0,919000000.0,1409000000.0,1409000000.0,1409000000.0,1409000000.0,1576000000.0,1576000000.0,1576000000.0,1576000000.0,1868000000.0,,
LettersOfCreditOutstandingAmount / USD,,,,,,,,,,,46000000.0,,,,89000000.0,,,,173000000.0,,,,842000000.0,,,
LiabilitiesAndStockholdersEquity / USD,31767575000.0,31767575000.0,31767575000.0,40497000000.0,40497000000.0,40497000000.0,40497000000.0,57851000000.0,57851000000.0,57851000000.0,57851000000.0,72574000000.0,72574000000.0,72574000000.0,72574000000.0,93798000000.0,93798000000.0,93798000000.0,93798000000.0,110920000000.0,110920000000.0,110920000000.0,110920000000.0,131133000000.0,130426000000.0,130426000000.0
LiabilitiesCurrent / USD,2302090000.0,2302090000.0,2302090000.0,2747000000.0,2747000000.0,2747000000.0,2747000000.0,9996000000.0,9996000000.0,9996000000.0,9996000000.0,8913000000.0,8913000000.0,8913000000.0,8913000000.0,14337000000.0,14337000000.0,14337000000.0,14337000000.0,15908000000.0,15908000000.0,15908000000.0,15908000000.0,16805000000.0,16805000000.0,16805000000.0
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperation / USD,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
LiabilityForUncertainTaxPositionsNoncurrent / USD,,890115000.0,890115000.0,1392000000.0,1392000000.0,1392000000.0,1392000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1693000000.0,1693000000.0,1693000000.0,1693000000.0,2046000000.0,2046000000.0,2046000000.0,2046000000.0,2638000000.0,2638000000.0,2638000000.0,2638000000.0,3407000000.0,3340000000.0,3340000000.0
LineOfCreditFacilityMaximumBorrowingCapacity / USD,,,,,,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0
LongTermDebt / USD,,,,,,,,,,,3000000000.0,,,,3000000000.0,,,,3255000000.0,,,,3246000000.0,,,
LongTermDebtAndCapitalLeaseObligations / USD,,,,,,,,,,,,,,,,,,2988000000.0,2988000000.0,2236000000.0,2236000000.0,2236000000.0,2236000000.0,3228000000.0,3228000000.0,3228000000.0
LongTermDebtAndCapitalLeaseObligationsCurrent / USD,,,,,,,,,,,,,,,,,,1009000000.0,0.0,1009000000.0,1009000000.0,1009000000.0,1009000000.0,10000000.0,10000000.0,10000000.0
LongTermDebtFairValue / USD,,,,,,,,,3000000000.0,3100000000.0,3200000000.0,3100000000.0,3200000000.0,3200000000.0,3200000000.0,3200000000.0,3100000000.0,3100000000.0,3200000000.0,3100000000.0,3100000000.0,3100000000.0,3100000000.0,3100000000.0,3100000000.0,3100000000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths / USD,,,,,,,,,,,0.0,,,,0.0,,,,1009000000.0,,,,10000000.0,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour / USD,,,,,,,,,,,0.0,,,,1000000000.0,,,,0.0,,,,0.0,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree / USD,,,,,,,,,,,1000000000.0,,,,0.0,,,,1236000000.0,,,,0.0,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo / USD,,,,,,,,,,,0.0,,,,1000000000.0,,,,10000000.0,,,,1236000000.0,,,
LongTermDebtNoncurrent / USD,,,,,,,,,0.0,0.0,0.0,2986000000.0,2986000000.0,2986000000.0,2986000000.0,2988000000.0,2988000000.0,1990000000.0,2988000000.0,1990000000.0,1990000000.0,1990000000.0,1990000000.0,2992000000.0,2992000000.0,2992000000.0
MarketingAndAdvertisingExpense / USD,,,,,,,266000000.0,,,,353000000.0,,,,772000000.0,,,,1544000000.0,,,,1992000000.0,,,
NetCashProvidedByUsedInFinancingActivities / USD,72233000.0,76518000.0,403067000.0,-5000000.0,46000000.0,75000000.0,87000000.0,-123000000.0,-769000000.0,1298000000.0,233000000.0,-111000000.0,847000000.0,767000000.0,3050000000.0,1230000000.0,1869000000.0,1921000000.0,807000000.0,-517000000.0,-622000000.0,-889000000.0,1229000000.0,822000000.0,-640000000.0,-1095000000.0
NetCashProvidedByUsedInInvestingActivities / USD,-2365627000.0,-3502584000.0,-3681589000.0,-419000000.0,-636000000.0,-3246000000.0,-5319000000.0,-3424000000.0,-3285000000.0,-7831000000.0,-8019000000.0,-4421000000.0,-11035000000.0,-14482000000.0,-10680000000.0,8151000000.0,-4235000000.0,-7542000000.0,-19041000000.0,-2441000000.0,-6244000000.0,-12062000000.0,-13056000000.0,-7307000000.0,-8487000000.0,-17814000000.0
NetCashProvidedByUsedInOperatingActivities / USD,3545600000.0,5730558000.0,5775410000.0,2250000000.0,3859000000.0,6585000000.0,7853000000.0,2584000000.0,4669000000.0,7555000000.0,9316000000.0,3172000000.0,6691000000.0,10641000000.0,11081000000.0,3694000000.0,7946000000.0,11950000000.0,14565000000.0,3633000000.0,8338000000.0,13421000000.0,16619000000.0,4391000000.0,10018000000.0,16012000000.0
NetIncomeLoss / USD,2554477000.0,3844416000.0,4203720000.0,1423000000.0,2907000000.0,4546000000.0,4227000000.0,1955000000.0,3795000000.0,5962000000.0,6520000000.0,1798000000.0,4304000000.0,7033000000.0,8505000000.0,2890000000.0,5675000000.0,7851000000.0,9737000000.0,3346000000.0,6574000000.0,9544000000.0,10737000000.0,3452000000.0,6722000000.0,9461000000.0
NetIncomeLossAvailableToCommonStockholdersBasic / USD,,,,,,,,,,,,,,,,,,,,,,,,,6722000000.0,9461000000.0
NoncashOrPartNoncashDivestitureAmountOfConsiderationReceived1 / USD,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,175000000.0,175000000.0,,,,
NonoperatingIncomeExpense / USD,,,,,,,316000000.0,18000000.0,87000000.0,255000000.0,69000000.0,96000000.0,300000000.0,602000000.0,415000000.0,156000000.0,409000000.0,474000000.0,584000000.0,134000000.0,370000000.0,384000000.0,635000000.0,357000000.0,502000000.0,635000000.0
NumberOfOperatingSegments / Segment,,,,,,,,,,,,,3.0,3.0,3.0,3.0,2.0,2.0,2.0,,,,1.0,,,
OperatingIncomeLoss / USD,3124200000.0,4771764000.0,5084400000.0,1884000000.0,3757000000.0,5831000000.0,6632000000.0,2488000000.0,4853000000.0,7399000000.0,8312000000.0,2296000000.0,5178000000.0,8235000000.0,10381000000.0,3389000000.0,6626000000.0,9366000000.0,11742000000.0,3748000000.0,7213000000.0,10974000000.0,13834000000.0,4115000000.0,8373000000.0,12097000000.0
OperatingLeasesFutureMinimumPaymentsDue / USD,,,,,,,2391000000.0,,,,2954000000.0,,,,3704000000.0,,,,4127000000.0,,,,6245000000.0,,,
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax / USD,,,,,,,,,,,,,86000000.0,5000000.0,81000000.0,89000000.0,62000000.0,239000000.0,233000000.0,-101000000.0,-813000000.0,-535000000.0,277000000.0,150000000.0,338000000.0,128000000.0
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesTax / USD,,,,,,,,,,,,,2000000.0,33000000.0,52000000.0,18000000.0,10000000.0,83000000.0,54000000.0,37000000.0,239000000.0,208000000.0,68000000.0,42000000.0,104000000.0,38000000.0
OtherComprehensiveIncomeLossBeforeReclassificationsNetOfTax / USD,,,,,,,,,,,,,,,,,-738000000.0,-248000000.0,-191000000.0,-114000000.0,493000000.0,-69000000.0,-191000000.0,292000000.0,493000000.0,-69000000.0
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax / USD,,,,,,,,,,,,,-78000000.0,-40000000.0,76000000.0,-58000000.0,64000000.0,-49000000.0,12000000.0,87000000.0,81000000.0,39000000.0,-90000000.0,5000000.0,-15000000.0,288000000.0
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesTax / USD,,,,,,,,,,,,,55000000.0,32000000.0,52000000.0,34000000.0,38000000.0,29000000.0,2000000.0,51000000.0,47000000.0,23000000.0,53000000.0,30000000.0,-9000000.0,113000000.0
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax / USD,,,,,,,,,,,,,457000000.0,129000000.0,-124000000.0,115000000.0,-318000000.0,-98000000.0,-107000000.0,-168000000.0,-204000000.0,57000000.0,75000000.0,65000000.0,54000000.0,-623000000.0
OtherComprehensiveIncomeLossNetOfTax / USD,,,,,,,,,,,,,465000000.0,94000000.0,33000000.0,146000000.0,-192000000.0,92000000.0,138000000.0,-182000000.0,-936000000.0,-439000000.0,262000000.0,220000000.0,377000000.0,-207000000.0
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax / USD,,,,,,,,,,,,,,,,,148000000.0,169000000.0,115000000.0,46000000.0,154000000.0,133000000.0,216000000.0,67000000.0,107000000.0,122000000.0
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax / USD,,,,,,,,,,,,,,,,,75000000.0,114000000.0,27000000.0,22000000.0,44000000.0,58000000.0,137000000.0,5000000.0,9000000.0,16000000.0
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax / USD,,,209907000.0,,-180000000.0,-191000000.0,210000000.0,100000000.0,202000000.0,34000000.0,-9000000.0,-63000000.0,-66000000.0,-27000000.0,196000000.0,-35000000.0,139000000.0,65000000.0,39000000.0,109000000.0,125000000.0,97000000.0,47000000.0,10000000.0,-6000000.0,304000000.0
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax / USD,,,29029000.0,,7000000.0,,-12000000.0,42000000.0,207000000.0,421000000.0,93000000.0,-4000000.0,165000000.0,175000000.0,232000000.0,196000000.0,210000000.0,408000000.0,348000000.0,-55000000.0,-659000000.0,-402000000.0,493000000.0,217000000.0,445000000.0,250000000.0
OtherLiabilitiesNoncurrent / USD,294175000.0,294175000.0,294175000.0,312000000.0,312000000.0,312000000.0,312000000.0,379000000.0,379000000.0,379000000.0,379000000.0,506000000.0,506000000.0,506000000.0,506000000.0,740000000.0,740000000.0,740000000.0,740000000.0,743000000.0,743000000.0,743000000.0,743000000.0,1118000000.0,1118000000.0,1118000000.0
OtherLongTermInvestments / USD,,85160000.0,85160000.0,129000000.0,129000000.0,129000000.0,129000000.0,523000000.0,523000000.0,523000000.0,523000000.0,790000000.0,790000000.0,790000000.0,790000000.0,1469000000.0,1469000000.0,1469000000.0,1469000000.0,1976000000.0,1976000000.0,1976000000.0,1976000000.0,3079000000.0,3079000000.0,3079000000.0
