fact_unit,2018-05-24,2018-08-09,2018-10-29,2019-02-28,2019-05-01,2019-05-21,2019-07-30,2019-11-07,2020-02-28,2020-05-06,2020-08-05,2020-11-05,2021-02-26,2021-05-05,2021-08-04,2021-11-03,2022-02-28,2022-05-04,2022-08-03,2022-11-02,2023-03-01,2023-05-03,2023-08-02,2023-11-13,2024-02-28,2024-05-01,2024-07-31,2024-10-30,2025-02-28,2025-05-07,2025-08-06,2025-10-29
DepreciationAndAmortization / USD,14100000.0,26100000.0,39700000.0,53200000.0,13900000.0,53200000.0,28100000.0,42400000.0,53800000.0,14400000.0,29000000.0,43900000.0,56600000.0,11800000.0,23900000.0,36900000.0,57100000.0,15000000.0,38300000.0,59300000.0,51800000.0,20900000.0,42500000.0,64400000.0,77500000.0,22100000.0,45400000.0,84100000.0,89000000.0,48800000.0,99400000.0,151500000.0
DepreciationDepletionAndAmortization / USD,14100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48800000.0,99400000.0,151500000.0
EarningsPerShareBasic / USD/shares,,,-1.07,,-0.07,,-0.79,-0.63,-0.26,0.08,0.12,0.57,-0.6,0.06,0.1,0.09,0.55,-0.13,-0.3,-0.44,-0.03,-0.18,-0.31,-0.45,-0.5,0.06,0.08,0.06,-0.48,0.05,0.03,0.05
EarningsPerShareDiluted / USD/shares,,,-1.07,,-0.07,,-0.79,-0.63,-0.26,0.08,0.12,0.54,-0.6,0.06,0.09,0.09,0.53,-0.13,-0.3,-0.44,-0.03,-0.18,-0.31,-0.45,-0.5,0.06,0.08,0.06,-0.48,0.04,0.03,0.05
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations / USD,,,,1300000.0,-4500000.0,15000000.0,-4300000.0,-2200000.0,11000000.0,3900000.0,7400000.0,7200000.0,-12800000.0,-14500000.0,-12400000.0,-7900000.0,11300000.0,3400000.0,6700000.0,-500000.0,-4000000.0,1700000.0,-4900000.0,-37800000.0,-21300000.0,-6800000.0,63100000.0,5100000.0,-46800000.0,-13500000.0,-21700000.0,-18200000.0
EffectiveIncomeTaxRateContinuingOperations / pure,,,,-0.066,,-0.091,,,1.198,,,,-0.312,,,,-1.294,,,,0.8,,,,0.165,,,,-0.167,,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,0.35,0.35,0.35,0.35,,0.35,,,0.35,,,,0.21,,,,0.21,,,,0.21,,,,0.21,,,,0.21,,,
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance / pure,,,,0.054,,0.112,,,1.546,,,,-0.108,,,,-1.761,,,,-0.003,,,,-0.007,,,,0.025,,,
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential / pure,,,,0.064,,0.08,,,0.096,,,,-0.134,,,,0.038,,,,0.089,,,,-0.024,,,,0.002,,,
EffectiveIncomeTaxRateReconciliationGiltiPercent / pure,,,,,,,,,,,,,,,,,,,,,0.113,,,,0.113,,,,-0.113,,,
EffectiveIncomeTaxRateReconciliationNondeductibleExpense / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.021,,,
EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitPercent / pure,,,,-0.026,,-0.031,,,-0.111,,,,0.1,,,,-0.058,,,,0.039,,,,-0.035,,,,-0.256,,,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes / pure,,,,0.012,,0.01,,,0.059,,,,0.312,,,,0.039,,,,0.022,,,,0.059,,,,0.008,,,
EffectiveIncomeTaxRateReconciliationTaxContingencies / pure,,,,0.002,,0.002,,,-0.004,,,,-0.004,,,,-0.003,,,,0.012,,,,0.021,,,,0.01,,,
EffectiveIncomeTaxRateReconciliationTaxContingenciesOther / pure,,,,0.015,,0.017,,,0.038,,,,-0.063,,,,0.04,,,,0.022,,,,-0.002,,,,0.021,,,
EffectiveIncomeTaxRateReconciliationTaxCredits / pure,,,,,,,,,,,,,,,,,,,,,,,,,0.059,,,,0.059,,,
EmployeeRelatedLiabilitiesCurrent / USD,70000000.0,68800000.0,68800000.0,68800000.0,54500000.0,68800000.0,54500000.0,54500000.0,54500000.0,75900000.0,75900000.0,75900000.0,75900000.0,64600000.0,64600000.0,64600000.0,64600000.0,77300000.0,77300000.0,77300000.0,77300000.0,97400000.0,97400000.0,97400000.0,97400000.0,92900000.0,92900000.0,92900000.0,92900000.0,126800000.0,126800000.0,126800000.0
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310700000.0,270800000.0,226500000.0
EntityCommonStockSharesOutstanding / shares,136703308.0,137645395.0,138053857.0,140514889.0,140840259.0,,142042309.0,143881411.0,144710100.0,145020556.0,146881678.0,147803003.0,148801679.0,149237722.0,149861732.0,151331281.0,152049674.0,152644831.0,153057180.0,153594867.0,154106560.0,155030843.0,155612552.0,154106560.0,156600000.0,157900000.0,158100000.0,157700000.0,158921563.0,159881069.0,159692530.0,160034963.0
EntityPublicFloat / USD,,,,938700000.0,,,,,3397400000.0,,,,9582500000.0,,,,13342100000.0,,,,7084400000.0,,,7084400000.0,10200000000.0,,,,5300000000.0,,,
FinanceLeaseInterestExpense / USD,,,,,,,,,0.0,100000.0,200000.0,300000.0,0.0,100000.0,200000.0,300000.0,400000.0,100000.0,100000.0,200000.0,400000.0,100000.0,200000.0,300000.0,300000.0,100000.0,200000.0,200000.0,300000.0,,,
FinanceLeaseInterestPaymentOnLiability / USD,,,,,,,,,,,,,400000.0,,,,400000.0,,,,1900000.0,,,,300000.0,,,,300000.0,,,
FinanceLeaseLiability / USD,,,,,,,,,12400000.0,12400000.0,12400000.0,12400000.0,12400000.0,8800000.0,8800000.0,8800000.0,8800000.0,9600000.0,9600000.0,9600000.0,9600000.0,8400000.0,8400000.0,8400000.0,8400000.0,7300000.0,7300000.0,7300000.0,7300000.0,6500000.0,6500000.0,6500000.0
FinanceLeaseLiabilityCurrent / USD,,,,,,,,,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,400000.0,400000.0,400000.0,400000.0,1500000.0,1500000.0,1500000.0,1500000.0,1000000.0,1000000.0,1000000.0,1000000.0,800000.0,800000.0,800000.0,800000.0,,,
FinanceLeaseLiabilityNoncurrent / USD,,,,,,,,,8400000.0,8400000.0,8400000.0,8400000.0,8400000.0,8400000.0,8400000.0,8400000.0,8400000.0,8100000.0,8100000.0,8100000.0,8100000.0,7400000.0,7400000.0,7400000.0,7400000.0,6500000.0,6500000.0,6500000.0,6500000.0,,,
FinanceLeasePrincipalPayments / USD,,,,,,,,,400000.0,,,,400000.0,,,,3300000.0,,,,1000000.0,,,,1600000.0,,,,2000000.0,,,
FinanceLeaseRightOfUseAsset / USD,,,,,,,,,8800000.0,8800000.0,8800000.0,8800000.0,8800000.0,8000000.0,8000000.0,8000000.0,8000000.0,8300000.0,8300000.0,8300000.0,8300000.0,7000000.0,7000000.0,7000000.0,7000000.0,5800000.0,5800000.0,5800000.0,5800000.0,,,
FinanceLeaseWeightedAverageDiscountRatePercent / pure,,,,,,,,,0.0391,,,,0.0391,,,,0.0391,,,,0.0381,,,,0.0388,,,,0.0391,,,
FiniteLivedIntangibleAssetsAccumulatedAmortization / USD,365600000.0,333300000.0,333300000.0,,,,,,,,,,,,,,,,,,,,,,,481200000.0,481200000.0,481200000.0,481200000.0,582800000.0,582800000.0,582800000.0
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive / USD,,,,,,,,,,,,,,,,,33800000.0,,,,24200000.0,,,,17700000.0,,,,22400000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths / USD,,,,15200000.0,,15200000.0,,,1700000.0,,,,6200000.0,,,,30000000.0,,,,25200000.0,,,,103900000.0,,,,78300000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive / USD,,,,100000.0,,100000.0,,,600000.0,,,,1800000.0,,,,12000000.0,,,,7700000.0,,,,8800000.0,,,,19900000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour / USD,,,,200000.0,,200000.0,,,900000.0,,,,4300000.0,,,,26400000.0,,,,10200000.0,,,,9100000.0,,,,20100000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree / USD,,,,200000.0,,200000.0,,,1100000.0,,,,5000000.0,,,,28800000.0,,,,18200000.0,,,,13000000.0,,,,20500000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo / USD,,,,200000.0,,200000.0,,,1700000.0,,,,5800000.0,,,,29600000.0,,,,24500000.0,,,,73100000.0,,,,23800000.0,,,
FiniteLivedIntangibleAssetsGross / USD,578000000.0,539800000.0,539800000.0,,,,,,,,,,,,,,,,,,,,,,,706900000.0,706900000.0,706900000.0,706900000.0,767800000.0,767800000.0,767800000.0
FiniteLivedIntangibleAssetsNet / USD,212400000.0,206500000.0,206500000.0,,,,,,,,,,,,,,,,,,,,,,,225700000.0,225700000.0,225700000.0,225700000.0,185000000.0,185000000.0,185000000.0
ForeignCurrencyTransactionGainLossBeforeTax / USD,,,,3400000.0,2800000.0,3400000.0,2800000.0,2500000.0,-7300000.0,,,,,,,,,,,,,,,,,,,,-3400000.0,,,
FundsHeldForClients / USD,4099700000.0,4099700000.0,4099700000.0,4099700000.0,2603500000.0,4099700000.0,2603500000.0,2603500000.0,2603500000.0,3204100000.0,3204100000.0,3204100000.0,3204100000.0,3759400000.0,3759400000.0,3759400000.0,3759400000.0,3535800000.0,3535800000.0,3535800000.0,3535800000.0,4183200000.0,4183200000.0,4729500000.0,4729500000.0,5028600000.0,5028600000.0,5028600000.0,5028600000.0,5001500000.0,5001500000.0,5001500000.0
GainsLossesOnExtinguishmentOfDebt / USD,,-25700000.0,-25700000.0,-25700000.0,,-25700000.0,-25700000.0,-25700000.0,-25700000.0,,,,-25700000.0,,,,,,,,,,,,,-4300000.0,-4300000.0,-4300000.0,-4300000.0,-4300000.0,-4300000.0,-4300000.0
GeneralAndAdministrativeExpense / USD,,,,,,,,,,,,,,,,,,,,,,,,,199300000.0,67700000.0,132700000.0,204900000.0,247500000.0,56000000.0,115000000.0,178400000.0
Goodwill / USD,2058000000.0,1933100000.0,1933100000.0,1933100000.0,1961000000.0,1933100000.0,1961000000.0,1961000000.0,1961000000.0,1927400000.0,1927400000.0,1927400000.0,1927400000.0,1973500000.0,1973500000.0,1973500000.0,1973500000.0,2031800000.0,2031800000.0,2031800000.0,2031800000.0,2280000000.0,2280000000.0,2280000000.0,2280000000.0,2293900000.0,2293900000.0,2293900000.0,2293900000.0,2336700000.0,2336700000.0,2336700000.0
GoodwillAcquiredDuringPeriod / USD,,,,,9000000.0,,9000000.0,21900000.0,25700000.0,25700000.0,25700000.0,25700000.0,25700000.0,42700000.0,42700000.0,42700000.0,42700000.0,308200000.0,308200000.0,308200000.0,308200000.0,,,,,111300000.0,112500000.0,109100000.0,105900000.0,,,8000000.0
GoodwillForeignCurrencyTranslationGainLoss / USD,-29300000.0,-27900000.0,-27900000.0,-27900000.0,-33600000.0,-27900000.0,-33600000.0,-33600000.0,-33600000.0,20400000.0,20400000.0,20400000.0,20400000.0,15600000.0,15600000.0,15600000.0,15600000.0,-16400000.0,-16400000.0,-16400000.0,-16400000.0,1100000.0,8100000.0,-9300000.0,,-19200000.0,-23000000.0,-8500000.0,-63100000.0,,,40200000.0
GrossProfit / USD,73800000.0,123500000.0,184800000.0,227000000.0,82900000.0,234300000.0,155400000.0,228900000.0,269500000.0,93600000.0,181600000.0,270400000.0,314900000.0,100500000.0,179100000.0,255800000.0,368200000.0,93200000.0,185300000.0,278400000.0,341300000.0,103100000.0,219100000.0,338100000.0,382300000.0,160300000.0,316200000.0,476700000.0,473200000.0,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic / USD,,,,-163400000.0,,-153100000.0,,,-73900000.0,,,,-71400000.0,,,,25900000.0,,,,41500000.0,,,,-73600000.0,,,,-700000.0,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest / USD,,,,-98600000.0,,-84100000.0,,,-40500000.0,16900000.0,25600000.0,22700000.0,-26900000.0,16800000.0,13900000.0,7600000.0,34300000.0,-12600000.0,-50400000.0,-79800000.0,-20000000.0,-24400000.0,-43400000.0,-60400000.0,-90300000.0,28400000.0,48000000.0,60500000.0,-62900000.0,18400000.0,18400000.0,36700000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign / USD,,,,64800000.0,,69000000.0,,,33400000.0,,,,44500000.0,,,,8400000.0,,,,-61600000.0,,,,-16700000.0,,,,-62200000.0,,,
IncomeTaxExpenseBenefit / USD,2500000.0,2900000.0,3800000.0,6700000.0,5800000.0,7700000.0,7000000.0,6300000.0,-48500000.0,5700000.0,8100000.0,-57500000.0,8400000.0,8200000.0,-200000.0,-5700000.0,-44400000.0,6600000.0,-5400000.0,-13900000.0,-16000000.0,3000000.0,3800000.0,7800000.0,-14900000.0,18500000.0,35000000.0,51300000.0,10500000.0,11300000.0,13100000.0,29400000.0
IncomeTaxReconciliationNondeductibleExpense / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000.0,44000000.0
IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost / USD,,,,,,,,,,,,,,,,,,4400000.0,5900000.0,9500000.0,,4300000.0,10300000.0,14200000.0,,2400000.0,4700000.0,11400000.0,,,4000000.0,36400000.0
IncomeTaxReconciliationTaxCredits / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,3800000.0,6900000.0,,,,
IncomeTaxesPaidNet / USD,,,,14800000.0,,14800000.0,,,21300000.0,,,,21100000.0,,,,36200000.0,,,,4200000.0,,,,33400000.0,,,,17600000.0,,,
IncreaseDecreaseInAccountsAndOtherReceivables / USD,-4000000.0,-14600000.0,-12900000.0,5800000.0,1300000.0,5200000.0,-1100000.0,-4200000.0,-5700000.0,3800000.0,3400000.0,10600000.0,3600000.0,4500000.0,3800000.0,2500000.0,16400000.0,8100000.0,3700000.0,5300000.0,12000000.0,-1000000.0,9300000.0,16200000.0,34800000.0,26900000.0,27600000.0,62000000.0,39500000.0,48100000.0,34500000.0,26200000.0
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities / USD,-5500000.0,-4500000.0,-9300000.0,-4400000.0,-2000000.0,-4400000.0,-4600000.0,-8400000.0,100000.0,-5800000.0,-5700000.0,-2500000.0,-6400000.0,-2000000.0,-1800000.0,-12000000.0,3800000.0,-2100000.0,-1500000.0,1900000.0,-1400000.0,-4600000.0,-3300000.0,4500000.0,9300000.0,4200000.0,5200000.0,8500000.0,-200000.0,-1800000.0,-7600000.0,5900000.0
IncreaseDecreaseInAccruedTaxesPayable / USD,-8500000.0,-10200000.0,-10300000.0,14700000.0,6300000.0,14700000.0,4200000.0,5200000.0,-6700000.0,-8100000.0,-8100000.0,-10400000.0,8400000.0,900000.0,-3700000.0,-8700000.0,-11100000.0,8600000.0,27400000.0,20900000.0,-3700000.0,-3300000.0,-7900000.0,-100000.0,400000.0,8300000.0,13100000.0,11000000.0,7500000.0,17800000.0,7300000.0,22500000.0
IncreaseDecreaseInDeferredRevenue / USD,700000.0,1500000.0,3600000.0,-1800000.0,3300000.0,2700000.0,3300000.0,4800000.0,4500000.0,-200000.0,-1300000.0,2600000.0,7000000.0,2100000.0,-1100000.0,600000.0,800000.0,4900000.0,1700000.0,5200000.0,-1200000.0,-1100000.0,-5200000.0,-3500000.0,5500000.0,6000000.0,2500000.0,7500000.0,-5600000.0,-2300000.0,-1600000.0,-6500000.0
IncreaseDecreaseInEmployeeRelatedLiabilities / USD,-19900000.0,-22100000.0,-33400000.0,-49100000.0,-17000000.0,-49100000.0,-19000000.0,-27700000.0,-26100000.0,-16900000.0,-19500000.0,-18500000.0,-22100000.0,-26400000.0,-21300000.0,-2800000.0,-11100000.0,-24700000.0,-14300000.0,-5100000.0,-104000000.0,-8200000.0,-2400000.0,-2800000.0,2300000.0,-40100000.0,-28100000.0,-23200000.0,21200000.0,-27800000.0,-12300000.0,-16100000.0
IncreaseDecreaseInOtherOperatingCapitalNet / USD,-700000.0,400000.0,-200000.0,3800000.0,5200000.0,12500000.0,5800000.0,7300000.0,17200000.0,2200000.0,2400000.0,6600000.0,16700000.0,100000.0,7500000.0,20100000.0,19500000.0,400000.0,4200000.0,7300000.0,32000000.0,1200000.0,1800000.0,3600000.0,-200000.0,1000000.0,4100000.0,11900000.0,5200000.0,200000.0,7000000.0,8500000.0
IncreaseDecreaseInPensionPlanObligations / USD,,,,-100000.0,,-100000.0,,,-100000.0,,,,-300000.0,,,,-200000.0,,,,,,,,,,,,300000.0,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets / USD,9300000.0,8700000.0,2800000.0,-1100000.0,13300000.0,9900000.0,8900000.0,6400000.0,6300000.0,7000000.0,11100000.0,10100000.0,-600000.0,7500000.0,6400000.0,8000000.0,8000000.0,7100000.0,12100000.0,13900000.0,6800000.0,14100000.0,14300000.0,14000000.0,12300000.0,20600000.0,13500000.0,20100000.0,11400000.0,13100000.0,2600000.0,4500000.0
IntangibleAssetsGrossExcludingGoodwill / USD,,,,539800000.0,531100000.0,539800000.0,531100000.0,531100000.0,531100000.0,542600000.0,542600000.0,542600000.0,542600000.0,566200000.0,566200000.0,566200000.0,566200000.0,726700000.0,726700000.0,726700000.0,726700000.0,696700000.0,696700000.0,696700000.0,696700000.0,713400000.0,713400000.0,713400000.0,713400000.0,773800000.0,773800000.0,773800000.0
IntangibleAssetsNetExcludingGoodwill / USD,,,,206500000.0,187500000.0,206500000.0,187500000.0,187500000.0,187500000.0,177900000.0,177900000.0,177900000.0,177900000.0,195000000.0,195000000.0,195000000.0,195000000.0,332500000.0,332500000.0,332500000.0,332500000.0,281600000.0,281600000.0,281600000.0,281600000.0,230200000.0,230200000.0,230200000.0,230200000.0,189200000.0,189200000.0,189200000.0
InterestCostsCapitalized / USD,,,,600000.0,,600000.0,,,500000.0,,,,800000.0,,,,500000.0,,,,400000.0,,,,800000.0,,,,700000.0,,,
InterestExpense / USD,,,65300000.0,87400000.0,22200000.0,87400000.0,65600000.0,74400000.0,87100000.0,8900000.0,17400000.0,25200000.0,83200000.0,6900000.0,13500000.0,19400000.0,32400000.0,5600000.0,15500000.0,25500000.0,25100000.0,5800000.0,12500000.0,19900000.0,35900000.0,9200000.0,18300000.0,27200000.0,28600000.0,13300000.0,24400000.0,33200000.0
InterestPaidNet / USD,,,,84900000.0,,84900000.0,,,89700000.0,,,,74500000.0,,,,37400000.0,,,,26700000.0,,,,19100000.0,,,,30100000.0,,,
InterestReceivable / USD,,,,1700000.0,,1700000.0,,,900000.0,,,,1300000.0,,,,1800000.0,,,,3200000.0,,,,12700000.0,,18100000.0,18100000.0,18100000.0,16800000.0,16800000.0,16800000.0
LaborAndRelatedExpense / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583600000.0,176100000.0,353300000.0,534700000.0
LeaseCost / USD,,,,,2800000.0,,6100000.0,9300000.0,8500000.0,2800000.0,6100000.0,9300000.0,8500000.0,1600000.0,3100000.0,4700000.0,8500000.0,1000000.0,2100000.0,3200000.0,6200000.0,2800000.0,5600000.0,8400000.0,5500000.0,2800000.0,5700000.0,8200000.0,10900000.0,,,
Liabilities / USD,5600900000.0,5600900000.0,5600900000.0,5600900000.0,3632300000.0,5606900000.0,3632300000.0,3632300000.0,3632300000.0,4203400000.0,4203400000.0,4203400000.0,4203400000.0,4603100000.0,4603100000.0,4603100000.0,4603100000.0,4938700000.0,4938700000.0,4938700000.0,4938700000.0,5807800000.0,5807800000.0,6354100000.0,6354100000.0,6612700000.0,6612700000.0,6612700000.0,6612700000.0,6570700000.0,6570700000.0,6570700000.0
LiabilitiesAndStockholdersEquity / USD,6729900000.0,6729900000.0,6729900000.0,6729900000.0,5247800000.0,6817900000.0,5247800000.0,5247800000.0,5247800000.0,6085700000.0,6085700000.0,6085700000.0,6085700000.0,6701300000.0,6701300000.0,6701300000.0,6701300000.0,7166200000.0,7166200000.0,7166200000.0,7166200000.0,7917200000.0,7917200000.0,8463500000.0,8463500000.0,9010900000.0,9010900000.0,9010900000.0,9010900000.0,9117000000.0,9117000000.0,9117000000.0
LiabilitiesCurrent / USD,4272500000.0,4283200000.0,4283200000.0,4283200000.0,2769600000.0,4285700000.0,2769600000.0,2769600000.0,2769600000.0,3371700000.0,3371700000.0,3371700000.0,3371700000.0,3863900000.0,3863900000.0,3863900000.0,3863900000.0,3741900000.0,3741900000.0,3741900000.0,3741900000.0,4533500000.0,4533500000.0,5079800000.0,5079800000.0,5334900000.0,5334900000.0,5334900000.0,5334900000.0,5314800000.0,5314800000.0,5314800000.0
LiabilitiesFairValueDisclosure / USD,,,,,,,,,,,,,,,,,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,10600000.0,10600000.0,10600000.0,10600000.0,14900000.0,14900000.0,14900000.0,14900000.0,,,
LongTermDebtAndCapitalLeaseObligations / USD,,,,,,,,,663500000.0,666300000.0,666300000.0,666300000.0,666300000.0,660600000.0,660600000.0,660600000.0,660600000.0,1124400000.0,1124400000.0,1124400000.0,1124400000.0,1213400000.0,1213400000.0,1213400000.0,1213400000.0,1210100000.0,1210100000.0,1210100000.0,1210100000.0,1209100000.0,1209100000.0,1209100000.0
LongTermDebtAndCapitalLeaseObligationsCurrent / USD,,,,,,,,,6800000.0,10800000.0,10800000.0,10800000.0,10800000.0,7200000.0,7200000.0,7200000.0,7200000.0,8300000.0,8300000.0,8300000.0,8300000.0,7800000.0,7800000.0,7800000.0,7800000.0,7600000.0,7600000.0,7600000.0,7600000.0,7300000.0,7300000.0,7300000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive / USD,0.0,651100000.0,651100000.0,644300000.0,644300000.0,644300000.0,644300000.0,644300000.0,637500000.0,637500000.0,637500000.0,,,,,,,,,,,,,,,,,,614300000.0,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths / USD,,,,6800000.0,,6800000.0,,,6800000.0,,,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6500000.0,6500000.0,6500000.0,6500000.0,581500000.0,581500000.0,581500000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive / USD,0.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,,637500000.0,,,,575000000.0,,,,,,,,,,,,6500000.0,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour / USD,475000000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,301800000.0,6800000.0,6800000.0,637500000.0,637500000.0,637500000.0,637500000.0,575000000.0,575000000.0,575000000.0,575000000.0,,,,,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree / USD,657000000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,301800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,637500000.0,637500000.0,637500000.0,637500000.0,575000000.0,575000000.0,575000000.0,575000000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo / USD,0.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,6800000.0,637500000.0,637500000.0,637500000.0,637500000.0,581500000.0,581500000.0,581500000.0,581500000.0,6500000.0,6500000.0,6500000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalRemainderOfFiscalYear / USD,0.0,1700000.0,1700000.0,,5100000.0,,3400000.0,1700000.0,,5100000.0,3400000.0,1700000.0,,5100000.0,3400000.0,1700000.0,,5100000.0,3400000.0,1700000.0,,5100000.0,3400000.0,1700000.0,,3200000.0,3200000.0,1600000.0,,4800000.0,3200000.0,1600000.0
MoneyMarketFundsAtCarryingValue / USD,2309300000.0,2309300000.0,2309300000.0,2309300000.0,872300000.0,2309300000.0,876900000.0,876900000.0,876900000.0,1348100000.0,1348100000.0,1348100000.0,1348100000.0,2027100000.0,2027100000.0,2027100000.0,2027100000.0,1562400000.0,1562400000.0,1562400000.0,1562400000.0,2152400000.0,2152400000.0,2698700000.0,2698700000.0,2800700000.0,2800700000.0,2800700000.0,2800700000.0,2650900000.0,2650900000.0,2650900000.0
NetCashProvidedByUsedInFinancingActivities / USD,910200000.0,92200000.0,-228100000.0,-630700000.0,230100000.0,-630700000.0,-205100000.0,-483900000.0,406800000.0,1934500000.0,1349600000.0,17100000.0,-1251600000.0,489500000.0,-230300000.0,-244100000.0,609700000.0,1040000000.0,-17600000.0,2214400000.0,565300000.0,3883700000.0,1992500000.0,723200000.0,491900000.0,2187100000.0,119500000.0,345300000.0,764600000.0,1772900000.0,7700000.0,-1067600000.0
NetCashProvidedByUsedInInvestingActivities / USD,-919900000.0,-34100000.0,247400000.0,763000000.0,-355500000.0,47000000.0,-19400000.0,-15600000.0,-39600000.0,-117600000.0,-101900000.0,-124800000.0,-51100000.0,9300000.0,101200000.0,176300000.0,-119300000.0,-404700000.0,-409500000.0,-510500000.0,38800000.0,-184700000.0,-252300000.0,-295000000.0,-711100000.0,-1400000.0,14900000.0,-14900000.0,-342500000.0,-290700000.0,-383500000.0,-458100000.0
NetCashProvidedByUsedInOperatingActivities / USD,-44700000.0,-38600000.0,-64700000.0,-75500000.0,-23400000.0,-75500000.0,-35200000.0,-18100000.0,-39800000.0,-8800000.0,10200000.0,24600000.0,9500000.0,1400000.0,23900000.0,47300000.0,50600000.0,-4500000.0,23100000.0,48900000.0,-30200000.0,5500000.0,38700000.0,90800000.0,48800000.0,11300000.0,93000000.0,129600000.0,132600000.0,9100000.0,108300000.0,200100000.0
NetIncomeLoss / USD,-11200000.0,-34100000.0,-54200000.0,-92900000.0,600000.0,-79400000.0,-62700000.0,-58500000.0,3300000.0,11200000.0,17500000.0,80200000.0,-60600000.0,8600000.0,8600000.0,8600000.0,78700000.0,-19200000.0,-19200000.0,-19200000.0,-4000000.0,-27400000.0,-27400000.0,-27400000.0,-75400000.0,9900000.0,9900000.0,9900000.0,-73400000.0,7100000.0,7100000.0,7100000.0
NetPeriodicDefinedBenefitsExpenseReversalOfExpenseExcludingServiceCostComponent / USD,,,,,600000.0,3000000.0,1200000.0,1800000.0,1500000.0,,,,,,,,,,,,,,,,,,,,5100000.0,,,
NoncurrentAssets / USD,,,,2269500000.0,,2269500000.0,,,2219300000.0,,,,2311700000.0,,,,2391100000.0,,,,2813700000.0,,,,2760800000.0,,,,2753300000.0,,,
NumberOfCountriesInWhichEntityOperates / Country,,,,,,,,,,,,,14.0,,,,18.0,,,,18.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
NumberOfOperatingSegments / Segment,2.0,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,1.0,,,
NumberOfReportableSegments / Segment,2.0,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,1.0,,,
