fact_unit,2013-05-15,2013-08-14,2013-11-13,2014-03-26,2014-05-13,2014-08-12,2014-11-10,2015-02-27,2015-05-07,2015-08-06,2015-11-05,2016-02-24,2016-05-06,2016-08-05,2016-11-03,2017-02-16,2017-05-04,2017-08-08,2017-11-02,2018-02-15,2018-05-02,2018-08-02,2018-11-01,2019-02-14,2019-05-02,2019-08-06,2019-08-09,2019-11-07,2020-02-13,2020-05-06,2020-08-06,2020-11-05,2021-02-16,2021-05-06,2021-08-05,2021-11-04,2022-02-15,2022-05-05,2022-08-04,2022-11-03,2023-02-14,2023-05-04,2023-08-08,2023-11-02,2024-02-13,2024-05-02,2024-08-06,2024-11-04,2025-02-13,2025-05-06,2025-08-05,2025-11-04
DeferredTaxAssetsValuationAllowance / USD,,,,69000000.0,,,,128000000.0,,,,119000000.0,,3000000.0,3000000.0,124000000.0,,,,125000000.0,,,,170000000.0,,,,,155000000.0,,,,136000000.0,,,,157000000.0,,,,174000000.0,,,,129000000.0,,,,131000000.0,,,
DeferredTaxLiabilities / USD,8000000.0,8000000.0,8000000.0,8000000.0,177000000.0,177000000.0,177000000.0,177000000.0,125000000.0,125000000.0,125000000.0,125000000.0,182000000.0,182000000.0,182000000.0,182000000.0,148000000.0,148000000.0,148000000.0,148000000.0,300000000.0,300000000.0,300000000.0,300000000.0,413000000.0,413000000.0,,413000000.0,413000000.0,346000000.0,346000000.0,346000000.0,346000000.0,284000000.0,284000000.0,284000000.0,284000000.0,220000000.0,220000000.0,220000000.0,220000000.0,31000000.0,31000000.0,31000000.0,,60000000.0,60000000.0,60000000.0,,373000000.0,373000000.0,373000000.0
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets / USD,,,,187000000.0,,,,111000000.0,,,,98000000.0,,,,223000000.0,,,,203000000.0,,,,170000000.0,,,,,370000000.0,,,,296000000.0,,,,237000000.0,,,,187000000.0,,,,154000000.0,,,,154000000.0,,,
DeferredTaxLiabilitiesOther / USD,,,,3000000.0,,,,10000000.0,,,,3000000.0,,,,1000000.0,,,,2000000.0,,,,2000000.0,,,,,0.0,,,,1000000.0,,,,1000000.0,,,,5000000.0,,,,9000000.0,,,,16000000.0,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment / USD,,,,61000000.0,,,,92000000.0,,,,89000000.0,,,,97000000.0,,,,101000000.0,,,,80000000.0,,,,,114000000.0,,,,149000000.0,,,,168000000.0,,,,183000000.0,,,,204000000.0,,,,199000000.0,,,
DeferredTaxLiabilitiesUndistributedForeignEarnings / USD,,,,-86000000.0,,,,9000000.0,,,,5000000.0,,,,3000000.0,,,,0.0,,,,148000000.0,,,,,5000000.0,,,,6000000.0,,,,6000000.0,,,,7000000.0,,,,4000000.0,,,,4000000.0,,,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetGainsLossesAfterTax / USD,,,,5000000.0,,,,7000000.0,,,,25000000.0,,,,16000000.0,,,,23000000.0,,,,14000000.0,,,,,13000000.0,,,,22000000.0,,,,22000000.0,,,,16000000.0,,,,3000000.0,,,,4000000.0,,,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetGainsLossesBeforeTax / USD,,,,,,,,10000000.0,,,,33000000.0,,,,23000000.0,,,,31000000.0,,,,22000000.0,,,,,21000000.0,,,,32000000.0,,,,32000000.0,,,,21000000.0,,,,6000000.0,,,,4000000.0,,,
DefinedBenefitPlanActualReturnOnPlanAssets / USD,,,,2000000.0,,,,0.0,,,,3000000.0,,,,4000000.0,,,,-1000000.0,,,,5000000.0,,,,,-1000000.0,,,,7000000.0,,,,4000000.0,,,,11000000.0,,,,-4000000.0,,,,3000000.0,,,
DefinedBenefitPlanActuarialGainLoss / USD,,,,2000000.0,,,,-2000000.0,,,,17000000.0,,,,-4000000.0,,,,9000000.0,,,,-6000000.0,,,,,-4000000.0,,,,19000000.0,,,,1000000.0,,,,-1000000.0,,,,-27000000.0,,,,-4000000.0,,,
DefinedBenefitPlanAmortizationOfGainsLosses / USD,,,,,,,,,0.0,0.0,0.0,0.0,,-1000000.0,-1000000.0,0.0,,0.0,-1000000.0,-1000000.0,,-1000000.0,-1000000.0,-1000000.0,,,,,-1000000.0,,,,-1000000.0,,,,-1000000.0,,,,-2000000.0,,,,-1000000.0,,,,-1000000.0,,,
DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationDiscountRate / pure,,,,0.058,,,,0.046,,,,0.05,,,,0.028,,,,0.026,,,,0.021,,,,,0.022,,,,0.023,,,,0.013,,,,0.012,,,,0.014,,,,0.037,,,
DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationRateOfCompensationIncrease / pure,,,,0.027,,,,0.053,,,,0.044,,,,0.036,,,,0.03,,,,0.031,,,,,0.03,,,,0.03,,,,0.031,,,,0.031,,,,0.034,,,,0.035,,,
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostDiscountRate / pure,,,,0.051,,,,0.058,,,,0.046,,,,0.05,,,,0.028,,,,0.025,,,,,0.021,,,,0.022,,,,0.023,,,,0.013,,,,0.012,,,,0.014,,,
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostExpectedLongTermReturnOnAssets / pure,,,,0.036,,,,0.036,,,,0.045,,,,0.04,,,,0.043,,,,0.041,,,,,0.039,,,,0.044,,,,0.041,,,,0.038,,,,0.038,,,,0.033,,,
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostRateOfCompensationIncrease / pure,,,,0.027,,,,0.027,,,,0.053,,,,0.044,,,,0.036,,,,0.029,,,,,0.032,,,,0.03,,,,0.03,,,,0.031,,,,0.031,,,,0.034,,,
DefinedBenefitPlanBenefitObligation / USD,,,,37000000.0,,,,39000000.0,,,,73000000.0,,,,129000000.0,,,,127000000.0,,,,130000000.0,,,,,129000000.0,,,,123000000.0,,,,144000000.0,,,,164000000.0,,,,159000000.0,,,,122000000.0,,,
DefinedBenefitPlanBenefitObligationBenefitsPaid / USD,,,,,,,,,,,,,,,,,,,,3000000.0,,,,5000000.0,,,,,0.0,,,,2000000.0,,,,2000000.0,,,,2000000.0,,,,1000000.0,,,,3000000.0,,,
DefinedBenefitPlanContributionsByEmployer / USD,,,,2000000.0,2000000.0,6000000.0,8000000.0,2000000.0,2000000.0,2000000.0,3000000.0,3000000.0,2000000.0,,,8000000.0,,,,9000000.0,,,,6000000.0,,,,,5000000.0,,,,5000000.0,,,,5000000.0,,,,5000000.0,,,,4000000.0,,,,6000000.0,,,
DefinedBenefitPlanExpectedReturnOnPlanAssets / USD,,,,,,,,-1000000.0,0.0,0.0,0.0,2000000.0,0.0,1000000.0,2000000.0,1000000.0,1000000.0,1000000.0,2000000.0,3000000.0,1000000.0,1000000.0,2000000.0,3000000.0,,,,,3000000.0,,,,3000000.0,,,,3000000.0,,,,3000000.0,,,,3000000.0,,,,3000000.0,,,
DefinedBenefitPlanFairValueOfPlanAssets / USD,,,,33000000.0,,,,35000000.0,,,,45000000.0,,,,63000000.0,,,,72000000.0,,,,68000000.0,,,,,69000000.0,,,,65000000.0,,,,72000000.0,,,,85000000.0,,,,92000000.0,,,,78000000.0,,,
DefinedBenefitPlanForeignCurrencyExchangeRateChangesBenefitObligation / USD,,,,-1000000.0,,,,2000000.0,,,,-7000000.0,,,,-18000000.0,,,,1000000.0,,,,11000000.0,,,,,-5000000.0,,,,-3000000.0,,,,12000000.0,,,,-9000000.0,,,,-13000000.0,,,,5000000.0,,,
DefinedBenefitPlanFundedStatusOfPlan / USD,,,,-4000000.0,,,,-28000000.0,,,,-66000000.0,,,,-55000000.0,,,,-62000000.0,,,,-60000000.0,,,,,-58000000.0,,,,-72000000.0,,,,-79000000.0,,,,-67000000.0,,,,-44000000.0,,,,-43000000.0,,,
DefinedBenefitPlanInterestCost / USD,,,,,,,,2000000.0,1000000.0,1000000.0,2000000.0,3000000.0,1000000.0,2000000.0,3000000.0,2000000.0,1000000.0,2000000.0,2000000.0,3000000.0,1000000.0,1000000.0,2000000.0,3000000.0,,,,,3000000.0,,,,3000000.0,,,,3000000.0,,,,2000000.0,,,,2000000.0,,,,2000000.0,,,
DefinedBenefitPlanNetPeriodicBenefitCost / USD,,,,3000000.0,,,,2000000.0,6000000.0,7000000.0,9000000.0,4000000.0,3000000.0,6000000.0,9000000.0,11000000.0,2000000.0,4000000.0,7000000.0,13000000.0,3000000.0,5000000.0,7000000.0,8000000.0,,,,,9000000.0,,,,7000000.0,,,,7000000.0,,,,9000000.0,,,,8000000.0,,,,6000000.0,,,
DefinedBenefitPlanOtherChanges / USD,,,,1000000.0,,,,6000000.0,,,,,,,,,,,,,,,,0.0,,,,,-1000000.0,,,,-1000000.0,,,,-1000000.0,,,,-1000000.0,,,,-1000000.0,,,,-1000000.0,,,
DefinedBenefitPlanOtherCosts / USD,,,,-1000000.0,,,,-1000000.0,,,,3000000.0,,,,1000000.0,,,,3000000.0,,,,4000000.0,,,,,1000000.0,,,,,,,,0.0,,,,1000000.0,,,,1000000.0,,,,0.0,,,
DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateAccumulatedBenefitObligation / USD,,,,38000000.0,,,,58000000.0,,,,73000000.0,,,,69000000.0,,,,88000000.0,,,,97000000.0,,,,,95000000.0,,,,113000000.0,,,,131000000.0,,,,72000000.0,,,,40000000.0,,,,45000000.0,,,
DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateFairValueOfPlanAssets / USD,,,,35000000.0,,,,37000000.0,,,,35000000.0,,,,37000000.0,,,,49000000.0,,,,58000000.0,,,,,56000000.0,,,,65000000.0,,,,77000000.0,,,,24000000.0,,,,7000000.0,,,,8000000.0,,,
DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateProjectedBenefitObligation / USD,,,,,,,,,,,,,,,,,,,,,,,,128000000.0,,,,,118000000.0,,,,138000000.0,,,,162000000.0,,,,152000000.0,,,,103000000.0,,,,109000000.0,,,
DefinedBenefitPlanPlanAssetsBenefitsPaid / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000.0,,,,2000000.0,,,,2000000.0,,,,1000000.0,,,,3000000.0,,,
DefinedBenefitPlanPlanAssetsForeignCurrencyTranslationGainLoss / USD,,,,,,,,,,,,,,,,,,,,1000000.0,,,,5000000.0,,,,,-2000000.0,,,,-2000000.0,,,,6000000.0,,,,-5000000.0,,,,-9000000.0,,,,2000000.0,,,
DefinedBenefitPlanPlanAssetsTargetAllocationPercentage / pure,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,
DefinedBenefitPlanRecognizedNetGainLossDueToSettlements1 / USD,,,,,,,,0.0,-4000000.0,-4000000.0,-4000000.0,-1000000.0,,0.0,,-5000000.0,,,,-2000000.0,,,,2000000.0,,,,,-1000000.0,,,,1000000.0,,,,,,,,,,,,,,,,0.0,,,
DefinedBenefitPlanServiceCost / USD,,,,,,,,1000000.0,1000000.0,2000000.0,3000000.0,2000000.0,2000000.0,4000000.0,6000000.0,4000000.0,2000000.0,4000000.0,7000000.0,9000000.0,2000000.0,3000000.0,5000000.0,9000000.0,,,,,7000000.0,,,,7000000.0,,,,6000000.0,,,,8000000.0,,,,8000000.0,,,,6000000.0,,,
DefinedBenefitPlanWeightedAverageAssetAllocations / pure,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,
DefinedContributionPlanCostRecognized / USD,,,,18000000.0,,,,20000000.0,,,,35000000.0,,,,38000000.0,,,,43000000.0,,,,40000000.0,,,,,38000000.0,,,,43000000.0,,,,46000000.0,,,,48000000.0,,,,54000000.0,,,,57000000.0,,,
DefinedContributionPlanEmployerMatchingContributionPercent / pure,,,,0.05,,,,0.05,,,,0.05,,,,0.05,,,,0.05,,,,0.05,,,,,0.05,,,,0.05,,,,0.05,,,,0.05,,,,0.05,,,,0.05,,,
DefinedContributionPlanEmployerMatchingContributionPercentOfMatch / pure,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,
DefinedContributionPlanMaximumAnnualContributionsPerEmployeePercent / pure,,,,0.08,,,,0.08,,,,0.08,,,,0.08,,,,0.08,,,,0.08,,,,,0.08,,,,0.08,,,,0.08,,,,0.08,,,,0.08,,,,0.08,,,
Depreciation / USD,,,,135000000.0,,,,133000000.0,,,,146000000.0,,,,141000000.0,,,,135000000.0,,,,145000000.0,,,,,142000000.0,,,,152000000.0,,,,175000000.0,,,,211000000.0,,,,244000000.0,,,,272000000.0,,,
DepreciationDepletionAndAmortization / USD,48000000.0,102000000.0,156000000.0,205000000.0,51000000.0,102000000.0,151000000.0,200000000.0,50000000.0,101000000.0,151000000.0,209000000.0,48000000.0,98000000.0,144000000.0,204000000.0,57000000.0,117000000.0,177000000.0,199000000.0,62000000.0,121000000.0,179000000.0,240000000.0,60000000.0,123000000.0,,207000000.0,242000000.0,98000000.0,196000000.0,303000000.0,308000000.0,110000000.0,221000000.0,332000000.0,412000000.0,109000000.0,221000000.0,331000000.0,441000000.0,114000000.0,231000000.0,346000000.0,448000000.0,120000000.0,241000000.0,365000000.0,465000000.0,126000000.0,253000000.0,374000000.0
DerivativeCashReceivedOnHedge / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114000000.0,114000000.0,114000000.0,114000000.0,114000000.0,114000000.0,114000000.0,114000000.0,114000000.0,114000000.0,114000000.0,11000000.0
DerivativeFairValueOfDerivativeNet / USD,,,,,,,,,,,5000000.0,,,-2000000.0,-2000000.0,-2000000.0,21000000.0,21000000.0,21000000.0,21000000.0,,1000000.0,1000000.0,1000000.0,10000000.0,10000000.0,,10000000.0,10000000.0,25000000.0,25000000.0,25000000.0,25000000.0,-20000000.0,-20000000.0,-20000000.0,-20000000.0,38000000.0,38000000.0,38000000.0,38000000.0,6000000.0,6000000.0,6000000.0,6000000.0,-19000000.0,-19000000.0,-19000000.0,-19000000.0,71000000.0,71000000.0,71000000.0
DisposalGroupIncludingDiscontinuedOperationConsideration / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350000000.0,350000000.0,,,,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22000000.0,-22000000.0
DividendsCommonStock / USD,52000000.0,62000000.0,63000000.0,416000000.0,33000000.0,65000000.0,98000000.0,63000000.0,36000000.0,37000000.0,73000000.0,134000000.0,42000000.0,44000000.0,85000000.0,151000000.0,49000000.0,94000000.0,94000000.0,174000000.0,52000000.0,103000000.0,103000000.0,193000000.0,61000000.0,122000000.0,,122000000.0,216000000.0,79000000.0,157000000.0,157000000.0,261000000.0,95000000.0,190000000.0,190000000.0,330000000.0,119000000.0,238000000.0,238000000.0,404000000.0,153000000.0,306000000.0,306000000.0,509000000.0,174000000.0,346000000.0,346000000.0,631000000.0,198000000.0,394000000.0,394000000.0
DividendsPayableCurrent / USD,0.0,0.0,0.0,0.0,36000000.0,36000000.0,36000000.0,36000000.0,42000000.0,42000000.0,42000000.0,36000000.0,47000000.0,47000000.0,47000000.0,42000000.0,52000000.0,52000000.0,52000000.0,47000000.0,61000000.0,61000000.0,61000000.0,52000000.0,79000000.0,79000000.0,,79000000.0,61000000.0,95000000.0,95000000.0,95000000.0,79000000.0,119000000.0,119000000.0,119000000.0,95000000.0,154000000.0,154000000.0,154000000.0,119000000.0,174000000.0,174000000.0,174000000.0,154000000.0,198000000.0,198000000.0,198000000.0,174000000.0,224000000.0,224000000.0,224000000.0
DividendsPayableCurrentAndNoncurrent / USD,0.0,0.0,0.0,0.0,33000000.0,33000000.0,33000000.0,0.0,36000000.0,,,,42000000.0,0.0,,,49000000.0,47000000.0,,,52000000.0,52000000.0,,,61000000.0,61000000.0,,,,79000000.0,78000000.0,,,95000000.0,95000000.0,,,119000000.0,119000000.0,,,153000000.0,153000000.0,,,174000000.0,173000000.0,,,198000000.0,197000000.0,
EarningsPerShareBasic / USD/shares,0.22,0.57,0.89,0.49,0.28,0.54,0.8,0.87,0.31,0.58,0.91,1.01,0.33,0.26,0.63,1.16,0.41,0.86,1.34,0.68,0.48,0.99,1.6,1.66,0.72,1.52,,2.24,1.76,0.65,1.43,2.33,2.96,0.89,1.68,2.69,3.14,1.18,2.25,3.42,3.44,1.26,2.39,3.52,4.29,1.19,2.64,3.94,4.51,1.31,2.68,4.18
EarningsPerShareDiluted / USD/shares,0.22,0.57,0.89,0.49,0.28,0.54,0.8,0.87,0.31,0.58,0.91,1.01,0.33,0.25,0.63,1.16,0.41,0.86,1.34,0.68,0.48,0.98,1.59,1.65,0.72,1.51,,2.22,1.75,0.65,1.41,2.31,2.93,0.88,1.67,2.67,3.11,1.17,2.24,3.4,3.42,1.26,2.38,3.51,4.27,1.19,2.64,3.93,4.49,1.31,2.67,4.18
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000.0,-3000000.0,-8000000.0,-26000000.0,-6000000.0,-19000000.0,-13000000.0,-8000000.0,0.0,4000000.0,0.0,-7000000.0,4000000.0,-2000000.0,-20000000.0,-12000000.0,-3000000.0,-4000000.0,-4000000.0,-29000000.0,-6000000.0,-14000000.0,-19000000.0
EffectiveIncomeTaxRateContinuingOperations / pure,0.345,0.326,0.299,0.371,0.271,0.293,0.293,0.386,0.317,0.311,0.307,0.271,0.283,0.365,0.33,0.284,0.386,0.355,0.333,0.378,0.291,0.287,0.286,0.333,0.161,0.143,,0.152,0.435,0.181,0.183,0.182,0.157,0.149,0.184,0.189,0.167,0.188,0.192,0.182,0.18,0.183,0.196,0.2,0.182,0.209,0.222,0.205,0.205,0.198,0.199,0.202
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,,,,0.35,,,,0.35,,,,0.35,,,,0.35,,,,0.35,0.35,0.35,0.35,0.35,,,,,0.35,,,,0.21,,,,0.21,,,,0.21,,,,0.21,,,,0.21,,,
EffectiveIncomeTaxRateReconciliationFdiiAmount / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000000.0,,,,43000000.0,,,
EffectiveIncomeTaxRateReconciliationFdiiPercent / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,,,,0.002,,,
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential / pure,,,,0.027,,,,0.056,,,,-0.067,,,,-0.089,,,,-0.032,,,,-0.03,,,,,-0.039,,,,-0.003,,,,-0.031,,,,-0.016,,,,-0.013,,,,-0.004,,,
EffectiveIncomeTaxRateReconciliationOtherAdjustments / pure,,,,0.019,,,,0.003,,,,-0.026,,,,0.019,,,,0.012,,,,-0.011,,,,,-0.007,,,,0.001,,,,-0.004,,,,-0.008,,,,-0.001,,,,0.003,,,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes / pure,,,,-0.002,,,,0.017,,,,0.01,,,,0.004,,,,-0.011,,,,0.008,,,,,0.007,,,,0.018,,,,0.006,,,,0.009,,,,0.008,,,,0.009,,,
EffectiveIncomeTaxRateReconciliationTaxCredits / pure,,,,-0.023,,,,-0.003,,,,-0.012,,,,0.015,,,,0.028,,,,0.014,,,,,0.013,,,,0.005,,,,0.007,,,,0.007,,,,0.006,,,,0.007,,,
EmployeeRelatedLiabilitiesCurrent / USD,194000000.0,194000000.0,194000000.0,194000000.0,229000000.0,229000000.0,229000000.0,229000000.0,238000000.0,238000000.0,238000000.0,238000000.0,234000000.0,234000000.0,234000000.0,234000000.0,224000000.0,224000000.0,224000000.0,224000000.0,236000000.0,236000000.0,236000000.0,236000000.0,266000000.0,266000000.0,,266000000.0,266000000.0,276000000.0,276000000.0,276000000.0,276000000.0,295000000.0,295000000.0,295000000.0,295000000.0,392000000.0,392000000.0,392000000.0,392000000.0,300000000.0,300000000.0,300000000.0,300000000.0,382000000.0,382000000.0,382000000.0,382000000.0,441000000.0,441000000.0,441000000.0
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount / USD,,,,,,,,,,1000000.0,1000000.0,1000000.0,,1000000.0,1000000.0,1000000.0,,,1000000.0,1000000.0,,,1000000.0,1000000.0,,,,,1000000.0,,,,1000000.0,,,,,,,,1000000.0,,,,1000000.0,,,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense / USD,,,,6000000.0,,,,10000000.0,,,,6000000.0,,,,8000000.0,,,,8000000.0,,,,10000000.0,,,,,13000000.0,,,,7000000.0,,,,10000000.0,,,,7000000.0,,,,7000000.0,,,,8000000.0,,,
EmployeeServiceShareBasedCompensationTaxBenefitFromExerciseOfStockOptions / USD,,,,,,,,,,,,,,,,,,,,2000000.0,,,,15000000.0,,,,,16000000.0,,,,23000000.0,,,,31000000.0,,,,39000000.0,,,,34000000.0,,,,19000000.0,,,
EntityCommonStockSharesOutstanding / shares,,500000000.0,500006833.0,500729429.0,501018690.0,501193395.0,501324843.0,500787817.0,499964316.0,498943831.0,497920464.0,497155532.0,496202370.0,495043700.0,493832541.0,491964064.0,490796861.0,489111671.0,487288245.0,485253713.0,483865442.0,481823803.0,480450882.0,478771915.0,478656189.0,24333301.0,477557942.0,476299250.0,474933945.0,474940772.0,475144704.0,475267819.0,475166373.0,474766701.0,473944193.0,473125822.0,471970580.0,470628655.0,468138568.0,466071995.0,463386716.0,462112140.0,460316905.0,459113691.0,457867115.0,456295137.0,453050990.0,451165011.0,447791917.0,445208053.0,443183472.0,440693214.0
EntityPublicFloat / USD,,,,15445000000.0,,,,16224000000.0,,,,24278000000.0,,,,23506000000.0,,,,30545000000.0,,,,41086000000.0,,,,,54228000000.0,,,,65094000000.0,,,,88374000000.0,,,,80550000000.0,,,,79346000000.0,,,,78673000000.0,,,
FinanceLeaseLiability / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000000.0,,,,8000000.0,,,
FinanceLeaseLiabilityCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,1000000.0,,,
FinanceLeaseLiabilityNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,8000000.0,,,
FinanceLeaseLiabilityPaymentsDue / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000000.0,,,,12000000.0,,,
FinanceLeaseLiabilityPaymentsDueAfterYearFive / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000.0,,,,7000000.0,,,
FinanceLeaseLiabilityPaymentsDueNextTwelveMonths / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000.0,,,,1000000.0,,,
FinanceLeaseLiabilityPaymentsDueYearFive / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,1000000.0,,,
FinanceLeaseLiabilityPaymentsDueYearFour / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,1000000.0,,,
FinanceLeaseLiabilityPaymentsDueYearThree / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,1000000.0,,,
FinanceLeaseLiabilityPaymentsDueYearTwo / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,1000000.0,,,
FinanceLeaseLiabilityUndiscountedExcessAmount / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000.0,,,,4000000.0,,,
FinanceLeasePrincipalPayments / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1000000.0,1000000.0
FinanceLeaseRightOfUseAsset / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,9000000.0,,,
FinanceLeaseRightOfUseAssetAmortization / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,
FinanceLeaseWeightedAverageDiscountRatePercent / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0499,,,
FiniteLivedIntangibleAssetsAccumulatedAmortization / USD,412000000.0,412000000.0,412000000.0,412000000.0,473000000.0,473000000.0,473000000.0,473000000.0,527000000.0,527000000.0,527000000.0,527000000.0,557000000.0,557000000.0,557000000.0,557000000.0,648000000.0,648000000.0,648000000.0,648000000.0,761000000.0,761000000.0,761000000.0,761000000.0,906000000.0,906000000.0,,906000000.0,906000000.0,1129000000.0,1129000000.0,1129000000.0,1129000000.0,1358000000.0,1358000000.0,1358000000.0,1358000000.0,1544000000.0,1544000000.0,1544000000.0,1544000000.0,1445000000.0,1445000000.0,1445000000.0,1445000000.0,1537000000.0,1537000000.0,1537000000.0,1537000000.0,1618000000.0,1618000000.0,1618000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths / USD,,,,63000000.0,,,,60000000.0,,,,85000000.0,,,,96000000.0,,,,100000000.0,,,,231000000.0,,,,,224000000.0,,,,203000000.0,,,,190000000.0,,,,181000000.0,,,,171000000.0,,,,154000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive / USD,,,,59000000.0,,,,55000000.0,,,,81000000.0,,,,86000000.0,,,,84000000.0,,,,162000000.0,,,,,158000000.0,,,,149000000.0,,,,139000000.0,,,,142000000.0,,,,119000000.0,,,,77000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour / USD,,,,62000000.0,,,,58000000.0,,,,84000000.0,,,,86000000.0,,,,93000000.0,,,,172000000.0,,,,,177000000.0,,,,164000000.0,,,,148000000.0,,,,147000000.0,,,,148000000.0,,,,114000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree / USD,,,,62000000.0,,,,60000000.0,,,,85000000.0,,,,90000000.0,,,,94000000.0,,,,182000000.0,,,,,188000000.0,,,,183000000.0,,,,162000000.0,,,,154000000.0,,,,153000000.0,,,,143000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo / USD,,,,62000000.0,,,,60000000.0,,,,85000000.0,,,,94000000.0,,,,97000000.0,,,,211000000.0,,,,,199000000.0,,,,191000000.0,,,,181000000.0,,,,166000000.0,,,,159000000.0,,,,147000000.0,,,
