fact_unit,2024-06-07,2024-08-09,2024-11-08,2025-03-07,2025-05-09,2025-08-07,2025-11-07
ShortTermDebtWeightedAverageInterestRate / pure,,,,0.072,,,
StockIssuedDuringPeriodSharesStockOptionsExercised / shares,,,,61581.0,,,
StockIssuedDuringPeriodValueAcquisitions / USD,,,91000000.0,12110000000.0,,,12110000000.0
StockIssuedDuringPeriodValueNewIssues / USD,,26852.0,,,,0.0,
StockRepurchasedDuringPeriodValue / USD,,,,42000000.0,,,
StockholdersEquity / USD,107.0,107.0,6158000000.0,6158000000.0,17360000000.0,17360000000.0,17360000000.0
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest / USD,,,5343000000.0,4929000000.0,6174000000.0,6174000000.0,6174000000.0
SupplierFinanceProgramObligation / USD,,,,0.0,,,
SupplierFinanceProgramObligationCurrent / USD,,,432000000.0,,450000000.0,450000000.0,450000000.0
SupplierFinanceProgramObligationDecreaseSettlement / USD,,,,782000000.0,,,
SupplierFinanceProgramObligationIncrease / USD,,,,792000000.0,,,
TangibleAssetImpairmentCharges / USD,,,,,,0.0,2000000.0
TaxCreditCarryforwardAmount / USD,,,,113000000.0,,,
TransferOfFinancialAssetsAccountedForAsSalesAmountDerecognized / USD,,,,1381000000.0,,,
TransferOfFinancialAssetsAccountedForAsSalesCashProceedsReceivedForAssetsDerecognizedAmount / USD,,,711000000.0,62000000.0,,,
TransferOfFinancialAssetsAccountedForAsSalesFairValueOfDerecognizedAssets / USD,,,,725000000.0,686000000.0,713000000.0,725000000.0
TransfersAccountedForAsSecuredBorrowingsAssetsCarryingAmount / USD,,,,398000000.0,398000000.0,398000000.0,
TransfersAccountedForAsSecuredBorrowingsAssociatedLiabilitiesCarryingAmount / USD,,,,338000000.0,338000000.0,338000000.0,
TreasuryStockCommonShares / shares,,,1907129.0,1907129.0,2037589.0,2037589.0,2037589.0
TreasuryStockCommonValue / USD,,,91000000.0,91000000.0,93000000.0,93000000.0,93000000.0
TreasuryStockRetiredCostMethodAmount / USD,,,,,0.0,0.0,0.0
TreasuryStockValueAcquiredCostMethod / USD,,,30000000.0,32000000.0,27000000.0,27000000.0,27000000.0
UndistributedEarningsOfForeignSubsidiaries / USD,,,,1663000000.0,,,
UnrecognizedTaxBenefits / USD,,,,23000000.0,,,
UnrecognizedTaxBenefitsDecreasesResultingFromForeignCurrencyTranslation / USD,,,,0.0,,,
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions / USD,,,,2000000.0,,,
UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities / USD,,,,1000000.0,,,7000000.0
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued / USD,,,,2000000.0,,,
UnrecognizedTaxBenefitsIncreasesResultingFromAcquisition / USD,,,520000000.0,0.0,,,
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions / USD,,,,25000000.0,,13000000.0,40000000.0
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions / USD,,,,0.0,,,
UnrecognizedTaxBenefitsInterestOnIncomeTaxesAccrued / USD,,,,1000000.0,,,
UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations / USD,,,,5000000.0,72000000.0,72000000.0,72000000.0
UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate / USD,,,,46000000.0,,,
ValuationAllowanceDeferredTaxAssetChangeInAmount / USD,,,,8000000.0,,,
WeightedAverageNumberOfDilutedSharesOutstanding / shares,,2439.0,259000000.0,261000000.0,260000000.0,260000000.0,344000000.0
WeightedAverageNumberOfSharesOutstandingBasic / shares,,2439.0,258000000.0,258000000.0,259000000.0,259000000.0,342000000.0
