fact_unit,2023-11-07,2024-02-27,2024-05-08,2024-08-08,2024-11-06,2025-02-26,2025-03-19,2025-05-08,2025-08-06,2025-11-05
EquitySecuritiesWithoutReadilyDeterminableFairValueUpwardPriceAdjustmentAnnualAmount / USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FilmMonetizedInFilmGroupCapitalizedCost / USD,26804000.0,26804000.0,24281000.0,24281000.0,24281000.0,24281000.0,27254000.0,24428000.0,,
FilmMonetizedInFilmGroupCapitalizedCostCompletedAndNotReleased / USD,,,,,,,387000.0,115000.0,,
FilmMonetizedInFilmGroupCapitalizedCostProduction / USD,557000.0,557000.0,819000.0,819000.0,819000.0,819000.0,557000.0,819000.0,,
FilmMonetizedInFilmGroupCapitalizedCostReleased / USD,5699000.0,5699000.0,2049000.0,2049000.0,2049000.0,2049000.0,5762000.0,2081000.0,,
FilmMonetizedOnItsOwnCapitalizedCost / USD,7675000.0,4805000.0,4805000.0,4805000.0,4805000.0,4805000.0,4805000.0,4805000.0,,
FilmMonetizedOnItsOwnCapitalizedCostCompletedAndNotReleased / USD,43000.0,2045000.0,2045000.0,2045000.0,2045000.0,2045000.0,2045000.0,2045000.0,,
FilmMonetizedOnItsOwnCapitalizedCostDevelopmentAndPreproduction / USD,,,,8000.0,8000.0,8000.0,,8000.0,,
FilmMonetizedOnItsOwnCapitalizedCostProduction / USD,6038000.0,1350000.0,1350000.0,1350000.0,1350000.0,1350000.0,1350000.0,1350000.0,,
FilmMonetizedOnItsOwnCapitalizedCostReleased / USD,1594000.0,1410000.0,1410000.0,1410000.0,1410000.0,1410000.0,1410000.0,1410000.0,,
FinanceLeaseInterestExpense / USD,1072000.0,5997000.0,,,,5997000.0,900000.0,900000.0,,
FinanceLeaseInterestPaymentOnLiability / USD,,4945000.0,,,,4945000.0,1756000.0,1756000.0,,
FinanceLeaseLiability / USD,239473000.0,253423000.0,,,,242903000.0,263909000.0,251541000.0,,
FinanceLeaseLiabilityCurrent / USD,6444000.0,8135000.0,8135000.0,8135000.0,8135000.0,8135000.0,1486000.0,10299000.0,15582000.0,15582000.0
FinanceLeaseLiabilityNoncurrent / USD,233029000.0,245288000.0,245288000.0,245288000.0,245288000.0,245288000.0,9151000.0,253610000.0,235959000.0,235959000.0
FinanceLeaseLiabilityPaymentsDue / USD,623956000.0,615457000.0,,,,571248000.0,627653000.0,580182000.0,,
FinanceLeaseLiabilityPaymentsDueAfterYearFive / USD,519683000.0,498572000.0,,,,447746000.0,498572000.0,447746000.0,,
FinanceLeaseLiabilityPaymentsDueNextTwelveMonths / USD,27554000.0,27554000.0,,,,30426000.0,30625000.0,33325000.0,,
FinanceLeaseLiabilityPaymentsDueYearFive / USD,,19536000.0,,,,18209000.0,19536000.0,18209000.0,,
FinanceLeaseLiabilityPaymentsDueYearFour / USD,20600000.0,20600000.0,,,,18209000.0,21091000.0,18209000.0,,
FinanceLeaseLiabilityPaymentsDueYearThree / USD,24773000.0,24644000.0,,,,24287000.0,30207000.0,24778000.0,,
FinanceLeaseLiabilityPaymentsDueYearTwo / USD,24412000.0,24551000.0,,,,32371000.0,27622000.0,37915000.0,,
FinanceLeaseLiabilityUndiscountedExcessAmount / USD,384483000.0,362034000.0,,,,328345000.0,363744000.0,328641000.0,,
FinanceLeasePrincipalPayments / USD,,938000.0,,,,938000.0,0.0,938000.0,,
FinanceLeaseRightOfUseAsset / USD,236268000.0,255709000.0,255709000.0,255709000.0,255709000.0,255709000.0,10359000.0,266258000.0,248549000.0,248549000.0
FinanceLeaseRightOfUseAssetAmortization / USD,842000.0,5427000.0,,,,5427000.0,1200000.0,1200000.0,,
FinanceLeaseWeightedAverageDiscountRatePercent / pure,0.088,0.081,,,,0.081,0.102,0.082,,
FiniteLivedIntangibleAssetsAccumulatedAmortization / USD,598605000.0,598605000.0,727811000.0,727811000.0,727811000.0,727811000.0,-847155000.0,1017252000.0,,
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive / USD,,2373229000.0,,,,2178901000.0,2458170000.0,2240675000.0,,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths / USD,,297138000.0,,,,247867000.0,332773000.0,279261000.0,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive / USD,,200183000.0,,,,192796000.0,222255000.0,214034000.0,,
