fact_unit,2010-08-09,2010-11-22,2011-02-04,2011-05-09,2011-08-08,2011-11-21,2012-02-03,2012-05-07,2012-08-06,2012-11-19,2013-02-01,2013-05-06,2013-08-05,2013-11-18,2014-01-31,2014-05-05,2014-07-28,2014-08-07,2014-11-17,2015-01-30,2015-05-04,2015-08-03,2015-11-23,2016-02-05,2016-05-09,2016-08-08,2016-11-21,2017-02-06,2017-05-08,2017-08-07,2017-11-13,2018-02-08,2018-05-07,2018-08-06,2018-11-13,2019-02-07,2019-05-06,2019-08-05,2019-11-12,2020-02-06,2020-02-12,2020-02-19,2020-02-21,2020-03-13,2020-04-01,2020-05-04,2020-05-22,2020-06-10,2020-08-03,2020-10-08,2020-11-16,2020-12-21,2021-01-20,2021-02-11,2021-02-17,2021-02-22,2021-03-25,2021-05-10,2021-05-14,2021-06-02,2021-06-25,2021-07-06,2021-08-09,2021-10-04,2021-11-15,2021-12-09,2022-01-12,2022-02-07,2022-02-14,2022-05-09,2022-08-08,2022-08-29,2022-09-27,2022-11-14,2023-01-09,2023-02-06,2023-02-13,2023-05-08,2023-05-15,2023-08-07,2023-08-10,2023-09-07,2023-11-13,2023-12-07,2024-02-05,2024-02-12,2024-05-06,2024-06-12,2024-06-13,2024-06-28,2024-08-05,2024-08-29,2024-11-12,2025-02-03,2025-02-10,2025-02-25,2025-04-18,2025-05-05,2025-05-08,2025-08-04,2025-08-07,2025-09-05,2025-11-10,2025-11-21
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals / USD,,197000000.0,,,,202000000.0,,,,196000000.0,,,,193000000.0,,,193000000.0,,209000000.0,,,,474000000.0,,,,439000000.0,,,,400000000.0,,,,400000000.0,,,,230000000.0,,,,,,,,,,,,297000000.0,,,297000000.0,,,,,,,,,,,341000000.0,,,,,,,,,558000000.0,,,,,,,,,410000000.0,,,,,,,,,,400000000.0,,,,,,,,,,412000000.0,
DeferredTaxAssetsValuationAllowance / USD,,75000000.0,,,,96000000.0,,,,92000000.0,,,,78000000.0,,,78000000.0,,77000000.0,,,,51000000.0,,,,68000000.0,,,,72000000.0,,,,75000000.0,,,,79000000.0,,,,,,,,,,,,86000000.0,,,86000000.0,,,,,,,,,,,127000000.0,,,,,,,,,151000000.0,,,,,,,,,195000000.0,,,,,,,,,,199000000.0,,,,,,,,,,193000000.0,
DeferredTaxLiabilities / USD,,643000000.0,,,,642000000.0,,,,698000000.0,,,,848000000.0,,,848000000.0,,833000000.0,,,,2388000000.0,,,,2431000000.0,,,,2541000000.0,,,,2971000000.0,,,,2099000000.0,,,,,,,,,,,,2352000000.0,,,2305000000.0,,,,,,,,,,,2304000000.0,,,,,,,,,2177000000.0,,,,,,,,,2450000000.0,,,,,,,,,,2300000000.0,,,,,,,,,,2258000000.0,
DeferredTaxLiabilitiesDeferredExpenseReservesAndAccruals / USD,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets / USD,,34000000.0,,,,34000000.0,,,,35000000.0,,,,35000000.0,,,35000000.0,,29000000.0,,,,2031000000.0,,,,2000000000.0,,,,1979000000.0,,,,2424000000.0,,,,1533000000.0,,,,,,,,,,,,1624000000.0,,,1624000000.0,,,,,,,,,,,1591000000.0,,,,,,,,,1564000000.0,,,,,,,,,1515000000.0,,,,,,,,,,1495000000.0,,,,,,,,,,1460000000.0,
DeferredTaxLiabilitiesLeasingArrangements / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154000000.0,,,,,,,,,158000000.0,,,,,,,,,144000000.0,,,,,,,,,,150000000.0,,,,,,,,,,206000000.0,
DeferredTaxLiabilitiesOther / USD,,74000000.0,,,,90000000.0,,,,68000000.0,,,,90000000.0,,,90000000.0,,98000000.0,,,,269000000.0,,,,238000000.0,,,,259000000.0,,,,273000000.0,,,,193000000.0,,,,,,,,,,,,231000000.0,,,231000000.0,,,,,,,,,,,265000000.0,,,,,,,,,251000000.0,,,,,,,,,326000000.0,,,,,,,,,,346000000.0,,,,,,,,,,332000000.0,
DeferredTaxLiabilitiesPropertyPlantAndEquipment / USD,,339000000.0,,,,347000000.0,,,,401000000.0,,,,542000000.0,,,542000000.0,,525000000.0,,,,732000000.0,,,,783000000.0,,,,857000000.0,,,,900000000.0,,,,714000000.0,,,,,,,,,,,,891000000.0,,,891000000.0,,,,,,,,,,,923000000.0,,,,,,,,,990000000.0,,,,,,,,,1091000000.0,,,,,,,,,,1030000000.0,,,,,,,,,,1128000000.0,
DefinedContributionPlanCostRecognized / USD,,,,,,,,,,,,,,,,,,,47000000.0,,,,50000000.0,,,,53000000.0,,,,62000000.0,,,,67000000.0,,,,78000000.0,,,,,,,,,,,,84000000.0,,,84000000.0,,,,,,,,,,,97000000.0,,,,,,,,,103000000.0,,,,,,,,,106000000.0,,,,,,,,,,114000000.0,,,,,,,,,,113000000.0,
Depreciation / USD,,468000000.0,,,,445000000.0,,,,416000000.0,,,,433000000.0,,,433000000.0,,443000000.0,,,,474000000.0,,,,494000000.0,,,,609000000.0,,,,617000000.0,,,,642000000.0,,,,,,,,,,,,723000000.0,,,723000000.0,,,,,,,,,,,819000000.0,,,,,,,,,900000000.0,,,,,,,,,934000000.0,,,,,,,,,,945000000.0,,,,,,,,,,1100000000.0,
DepreciationDepletionAndAmortization / USD,383000000.0,,123000000.0,247000000.0,372000000.0,,128000000.0,256000000.0,384000000.0,,122000000.0,245000000.0,369000000.0,,130000000.0,259000000.0,130000000.0,387000000.0,,127000000.0,254000000.0,382000000.0,491000000.0,175000000.0,347000000.0,524000000.0,520000000.0,172000000.0,348000000.0,526000000.0,701000000.0,177000000.0,356000000.0,543000000.0,697000000.0,229000000.0,459000000.0,697000000.0,748000000.0,250000000.0,,,,,,523000000.0,,,809000000.0,,933000000.0,,,933000000.0,,,,581000000.0,,,,,876000000.0,,1086000000.0,,,298000000.0,,604000000.0,906000000.0,,,1178000000.0,,300000000.0,,595000000.0,,,892000000.0,,1195000000.0,,303000000.0,,620000000.0,,,,943000000.0,,1191000000.0,373000000.0,,,,722000000.0,,1082000000.0,,,1329000000.0,
DerivativeGainLossOnDerivativeNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000.0,,78000000.0,,164000000.0,,,139000000.0,,14000000.0,,12000000.0,,-9000000.0,,,,-98000000.0,,225000000.0,-5000000.0,,,,-51000000.0,,-45000000.0,,,-117000000.0,
DerivativeLiabilityCollateralRightToReclaimCashOffset / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000.0,8000000.0,8000000.0,8000000.0,22000000.0,22000000.0,22000000.0,22000000.0,18000000.0,18000000.0,18000000.0,18000000.0,95000000.0,,,,,,95000000.0,,,95000000.0,,95000000.0,,,95000000.0,,,,16000000.0,,,,,16000000.0,,16000000.0,,,56000000.0,,56000000.0,56000000.0,,,56000000.0,,10000000.0,,10000000.0,,,10000000.0,,10000000.0,,113000000.0,,113000000.0,,,,113000000.0,,113000000.0,54000000.0,,,,54000000.0,,54000000.0,,,54000000.0,
DividendsPayableCurrentAndNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162000000.0,,,,,,,,,,167000000.0,,,,,,,,,,171000000.0,
EarningsPerShareDiluted / USD/shares,-0.24,0.24,0.42,0.84,1.49,-1.47,0.78,1.2,1.71,2.06,0.42,0.86,1.07,1.97,0.48,0.74,1.97,1.42,1.58,0.72,1.32,2.05,2.12,0.74,1.49,2.32,2.37,1.15,2.25,3.5,2.95,1.59,2.51,3.72,4.53,4.4,5.25,6.72,4.79,1.5,,,,,,2.67,,,4.51,,8.19,,,8.04,,,,2.41,,,,,3.85,,5.4,,,1.28,,2.58,4.63,,,5.64,,3.07,,5.35,,,7.42,,8.34,,0.88,,0.61,,,,-0.56,,8.92,0.3,,,,0.71,,1.25,,,-1.87,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000000.0,,,-1000000.0,,2000000.0,,6000000.0,,,-18000000.0,,4000000.0,,12000000.0,,20000000.0,,,,10000000.0,,-35000000.0,15000000.0,,,,2000000.0,,-6000000.0,,,1000000.0,
EffectiveIncomeTaxRateContinuingOperations / pure,,0.446,0.329,0.35,0.367,-0.015,0.34,0.343,0.328,0.364,0.358,0.355,0.359,0.316,0.358,0.304,0.316,0.326,0.364,0.343,0.362,0.304,0.326,0.288,0.324,0.328,0.316,0.352,0.34,0.332,0.363,0.349,0.347,0.325,0.318,-0.938,-0.54,-0.253,0.323,0.226,,,,,,0.209,,,0.154,,-0.103,,,-0.108,,,,0.236,,,,,0.226,,0.161,,,0.234,,0.235,0.229,,,0.223,,0.202,,0.216,,,0.221,,0.243,,0.261,,0.247,,,,-0.679,,0.217,0.294,,,,0.28,,0.259,,,0.043,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,,0.35,,,,0.35,,,,0.35,,,,0.35,,,0.35,,0.35,,,,0.35,,,,0.35,,,,0.35,0.35,0.35,0.35,0.35,0.35,,0.245,0.35,,,,,,,,,,,,0.245,,,0.245,,,,,,,,,,,0.21,,,,,,,,,0.21,,,,,,,,,0.21,,,,,,,,,,0.21,,,,,,,,,,0.21,
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential / pure,,,,,,,,,,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.012,
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseImpairmentLosses / pure,,0.0,,,,-0.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.031,,,0.032,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.018,,,,,,,,,,0.0,,,,,,,,,,-0.242,
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseLifeInsurance / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,,,,,,,,,-0.013,
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseOther / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,,,,,,,,,-0.006,
EffectiveIncomeTaxRateReconciliationOtherAdjustments / pure,,0.004,,,,-0.008,,,,0.008,,,,-0.018,,,-0.018,,-0.007,,,,-0.017,,,,-0.003,,,,-0.001,0.023,0.019,0.029,-0.033,,,0.064,-0.018,,,,,,,,,,,,-0.015,,,-0.015,,,,,,,,,,,-0.007,,,,,,,,,-0.01,,,,,,,,,-0.002,,,,,,,,,,-0.003,,,,,,,,,,-0.003,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes / pure,,0.02,,,,0.001,,,,0.024,,,,0.016,,,0.016,,0.015,,,,0.024,,,,0.028,,,,0.031,,,,0.027,,,,0.023,,,,,,,,,,,,0.033,,,0.032,,,,,,,,,,,0.028,,,,,,,,,0.029,,,,,,,,,0.033,,,,,,,,,,0.029,,,,,,,,,,-0.007,
EffectiveIncomeTaxRateReconciliationTaxCreditsOther / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,0.005,,,,,,,,,,-0.034,
EmployeeRelatedLiabilitiesCurrent / USD,,187000000.0,444000000.0,444000000.0,444000000.0,444000000.0,407000000.0,407000000.0,407000000.0,407000000.0,382000000.0,382000000.0,382000000.0,382000000.0,419000000.0,419000000.0,382000000.0,419000000.0,419000000.0,490000000.0,490000000.0,490000000.0,490000000.0,478000000.0,478000000.0,478000000.0,478000000.0,563000000.0,563000000.0,563000000.0,563000000.0,673000000.0,673000000.0,673000000.0,673000000.0,549000000.0,549000000.0,549000000.0,549000000.0,620000000.0,,,,,,620000000.0,,,620000000.0,,620000000.0,,,620000000.0,,,,823000000.0,,,,,823000000.0,,823000000.0,,,897000000.0,,897000000.0,897000000.0,,,897000000.0,,995000000.0,,995000000.0,,,995000000.0,,995000000.0,,672000000.0,,672000000.0,,,,672000000.0,,672000000.0,912000000.0,,,,912000000.0,,912000000.0,,,912000000.0,
EntityListingParValuePerShare / USD/shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
EntityPublicFloat / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17422448530.0,
EquityMethodInvestments / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287000000.0,,,,,,,,,350000000.0,,,,,,,,,477000000.0,,,,,,,,,,580000000.0,,,,,,,,,,550000000.0,
FairValueAssetsMeasuredOnRecurringBasisChangeInUnrealizedGainLoss / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,0.0,,,,,0.0,,,,0.0,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,,0.0,,,0.0,,,,0.0,,0.0,,,,0.0,,,0.0,,,,0.0,,0.0,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInOtherComprehensiveIncomeLoss / USD,,,,,,,,,,,,0.0,-1000000.0,0.0,0.0,0.0,0.0,-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000000.0,0.0,-1000000.0,-1000000.0,0.0,0.0,0.0,-1000000.0,0.0,,,,,,1000000.0,,,1000000.0,,1000000.0,,,1000000.0,,,,-1000000.0,,,,,0.0,,1000000.0,,,0.0,,-1000000.0,-1000000.0,,,-1000000.0,,-1000000.0,,-2000000.0,,,-2000000.0,,-3000000.0,,0.0,,1000000.0,,,,1000000.0,,1000000.0,0.0,,,,1000000.0,,1000000.0,,,1000000.0,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetIssues / USD,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,0.0,,0.0,,,0.0,,,,0.0,,,,,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,0.0,,,0.0,,,,0.0,,0.0,,,,0.0,,,0.0,,,,0.0,,0.0,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetPurchases / USD,,,,,,,2000000.0,9000000.0,16000000.0,31000000.0,6000000.0,12000000.0,20000000.0,28000000.0,3000000.0,9000000.0,28000000.0,14000000.0,19000000.0,7000000.0,15000000.0,18000000.0,25000000.0,4000000.0,9000000.0,13000000.0,20000000.0,4000000.0,9000000.0,12000000.0,12000000.0,4000000.0,10000000.0,11000000.0,13000000.0,4000000.0,10000000.0,14000000.0,20000000.0,7000000.0,,,,,,7000000.0,,,12000000.0,,20000000.0,,,20000000.0,,,,5000000.0,,,,,8000000.0,,17000000.0,,,5000000.0,,14000000.0,17000000.0,,,20000000.0,,1000000.0,,4000000.0,,,7000000.0,,8000000.0,,2000000.0,,5000000.0,,,,5000000.0,,10000000.0,1000000.0,,,,2000000.0,,3000000.0,,,5000000.0,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetSettlements / USD,,,,,,,-4000000.0,9000000.0,15000000.0,20000000.0,4000000.0,17000000.0,21000000.0,26000000.0,4000000.0,31000000.0,26000000.0,35000000.0,41000000.0,8000000.0,13000000.0,18000000.0,23000000.0,6000000.0,13000000.0,19000000.0,26000000.0,6000000.0,12000000.0,14000000.0,16000000.0,5000000.0,11000000.0,15000000.0,18000000.0,5000000.0,9000000.0,12000000.0,19000000.0,6000000.0,,,,,,9000000.0,,,15000000.0,,20000000.0,,,20000000.0,,,,9000000.0,,,,,12000000.0,,17000000.0,,,7000000.0,,13000000.0,20000000.0,,,24000000.0,,2000000.0,,4000000.0,,,15000000.0,,18000000.0,,4000000.0,,8000000.0,,,,10000000.0,,16000000.0,1000000.0,,,,3000000.0,,5000000.0,,,8000000.0,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetValue / USD,,54000000.0,72000000.0,72000000.0,72000000.0,72000000.0,73000000.0,73000000.0,73000000.0,73000000.0,83000000.0,83000000.0,83000000.0,83000000.0,86000000.0,86000000.0,83000000.0,86000000.0,86000000.0,65000000.0,65000000.0,65000000.0,65000000.0,67000000.0,67000000.0,67000000.0,67000000.0,61000000.0,61000000.0,61000000.0,61000000.0,57000000.0,57000000.0,57000000.0,57000000.0,51000000.0,51000000.0,51000000.0,51000000.0,51000000.0,,,,,,51000000.0,,,51000000.0,,51000000.0,,,51000000.0,,,,52000000.0,,,,,52000000.0,,52000000.0,,,53000000.0,,53000000.0,53000000.0,,,53000000.0,,48000000.0,,48000000.0,,,48000000.0,,48000000.0,,35000000.0,,35000000.0,,,,35000000.0,,35000000.0,30000000.0,,,,30000000.0,,30000000.0,,,30000000.0,
FederalIncomeTaxExpenseBenefitContinuingOperations / USD,,56000000.0,,,,7000000.0,,,,374000000.0,,,,320000000.0,,,320000000.0,,310000000.0,,,,341000000.0,,,,325000000.0,,,,564000000.0,,,,710000000.0,,,,755000000.0,,,,,,,,,,,,-426000000.0,,,-431000000.0,,,,,,,,,,,314000000.0,,,,,,,,,477000000.0,,,,,,,,,791000000.0,,,,,,,,,,764000000.0,,,,,,,,,,-39000000.0,
FinanceLeaseInterestExpense / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000.0,
FinanceLeaseInterestPaymentOnLiability / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000.0,,,,,,,,,,2000000.0,
FinanceLeaseLiability / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74000000.0,126000000.0,,,,126000000.0,,126000000.0,,,126000000.0,
FinanceLeaseLiabilityCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21000000.0,,,,,,,,,,36000000.0,
FinanceLeaseLiabilityNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53000000.0,,,,,,,,,,90000000.0,
FinanceLeaseLiabilityPaymentsDue / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141000000.0,,,,,,,,,,187000000.0,
FinanceLeaseLiabilityPaymentsDueAfterYearFive / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000.0,,,,,,,,,,20000000.0,
FinanceLeaseLiabilityPaymentsDueNextTwelveMonths / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000000.0,,,,,,,,,,62000000.0,
FinanceLeaseLiabilityPaymentsDueYearFive / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000.0,,,,,,,,,,7000000.0,
FinanceLeaseLiabilityPaymentsDueYearFour / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000000.0,,,,,,,,,,16000000.0,
FinanceLeaseLiabilityPaymentsDueYearThree / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26000000.0,,,,,,,,,,34000000.0,
FinanceLeaseLiabilityPaymentsDueYearTwo / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33000000.0,,,,,,,,,,48000000.0,
FinanceLeaseLiabilityUndiscountedExcessAmount / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000000.0,,,,,,,,,,19000000.0,
FinanceLeasePrincipalPayments / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74000000.0,,,,,,,,,,38000000.0,
FinanceLeaseRightOfUseAssetAmortization / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27000000.0,,,,,,,,,,28000000.0,
FinanceLeaseWeightedAverageDiscountRatePercent / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,0.05,
FiniteLivedIntangibleAssetsAccumulatedAmortization / USD,,38000000.0,,,,57000000.0,,,,75000000.0,,,,90000000.0,,,90000000.0,,107000000.0,,,,133000000.0,,,,192000000.0,,,,271000000.0,,,,335000000.0,,,,536000000.0,,,,,,,,,,,,727000000.0,,,727000000.0,,,,,,,,,,,1005000000.0,,,,,,,,,1266000000.0,,,,,,,,,1512000000.0,,,,,,,,,,1741000000.0,,,,,,,,,,1961000000.0,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths / USD,,,,,,,,,,,,,,18000000.0,,,18000000.0,,94000000.0,,,,80000000.0,,,,78000000.0,,,,194000000.0,,,,241000000.0,,,,276000000.0,,,,,,,,,,,,261000000.0,,,261000000.0,,,,,,,,,,,247000000.0,,,,,,,,,227000000.0,,,,,,,,,226000000.0,,,,,,,,,,240000000.0,,,,,,,,,,207000000.0,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive / USD,,,,,,,,,,,,,,13000000.0,,,13000000.0,,75000000.0,,,,69000000.0,,,,66000000.0,,,,160000000.0,,,,201000000.0,,,,221000000.0,,,,,,,,,,,,214000000.0,,,214000000.0,,,,,,,,,,,207000000.0,,,,,,,,,194000000.0,,,,,,,,,191000000.0,,,,,,,,,,175000000.0,,,,,,,,,,166000000.0,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour / USD,,,,,,,,,,,,,,14000000.0,,,14000000.0,,79000000.0,,,,72000000.0,,,,69000000.0,,,,170000000.0,,,,212000000.0,,,,225000000.0,,,,,,,,,,,,223000000.0,,,223000000.0,,,,,,,,,,,214000000.0,,,,,,,,,206000000.0,,,,,,,,,199000000.0,,,,,,,,,,188000000.0,,,,,,,,,,174000000.0,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree / USD,,,,,,,,,,,,,,17000000.0,,,17000000.0,,80000000.0,,,,76000000.0,,,,72000000.0,,,,185000000.0,,,,222000000.0,,,,244000000.0,,,,,,,,,,,,228000000.0,,,228000000.0,,,,,,,,,,,223000000.0,,,,,,,,,212000000.0,,,,,,,,,211000000.0,,,,,,,,,,196000000.0,,,,,,,,,,187000000.0,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo / USD,,,,,,,,,,,,,,18000000.0,,,18000000.0,,85000000.0,,,,78000000.0,,,,76000000.0,,,,189000000.0,,,,240000000.0,,,,258000000.0,,,,,,,,,,,,247000000.0,,,247000000.0,,,,,,,,,,,228000000.0,,,,,,,,,221000000.0,,,,,,,,,217000000.0,,,,,,,,,,207000000.0,,,,,,,,,,195000000.0,
FiniteLivedIntangibleAssetsGross / USD,,,,,,,,,,,,,,,,,,,229000000.0,,,,1331000000.0,,,,1282000000.0,,,,1277000000.0,,,,2500000000.0,,,,3217000000.0,,,,,,,,,,,,3686000000.0,,,3686000000.0,,,,,,,,,,,3701000000.0,,,,,,,,,3707000000.0,,,,,,,,,3686000000.0,,,,,,,,,,3761000000.0,,,,,,,,,,3758000000.0,
FiniteLivedIntangibleAssetsNet / USD,,187000000.0,,,,166000000.0,,,,149000000.0,,,,129000000.0,,,129000000.0,,122000000.0,,,,1198000000.0,,,,1090000000.0,,,,1006000000.0,,,,2165000000.0,,,,2681000000.0,,,,,,,,,,,,2959000000.0,,,2959000000.0,,,,,,,,,,,2696000000.0,,,,,,,,,2441000000.0,,,,,,,,,2174000000.0,,,,,,,,,,2020000000.0,,,,,,,,,,1797000000.0,
ForeignIncomeTaxExpenseBenefitContinuingOperations / USD,,4000000.0,,,,4000000.0,,,,20000000.0,,,,-1000000.0,,,-1000000.0,,19000000.0,,,,30000000.0,,,,4000000.0,,,,44000000.0,,,,-2000000.0,,,,14000000.0,,,,,,,,,,,,26000000.0,,,26000000.0,,,,,,,,,,,29000000.0,,,,,,,,,18000000.0,,,,,,,,,27000000.0,,,,,,,,,,42000000.0,,,,,,,,,,48000000.0,
