fact_unit,2014-05-09,2014-08-01,2014-10-31,2015-02-18,2015-04-29,2015-07-29,2015-10-28,2016-02-26,2016-04-27,2016-07-27,2016-10-26,2017-02-15,2017-05-02,2017-05-24,2017-07-26,2017-10-26,2018-02-14,2018-04-26,2018-07-25,2018-10-24,2019-02-13,2019-05-01,2019-07-24,2019-10-23,2020-02-11,2020-05-07,2020-08-06,2020-11-04,2021-02-17,2021-05-05,2021-07-29,2021-10-27,2022-02-16,2022-05-03,2022-07-27,2022-10-26,2023-02-09,2023-04-26,2023-07-26,2023-10-25,2024-02-07,2024-04-24,2024-08-07,2024-10-23,2025-02-06,2025-04-29,2025-07-23,2025-10-22
ContractWithCustomerLiabilityRevenueRecognized / USD,,,,,,,,,,,,,,,,,,-60000000.0,74000000.0,105000000.0,211000000.0,60000000.0,116000000.0,149000000.0,132000000.0,57000000.0,135000000.0,197000000.0,229000000.0,54000000.0,110000000.0,164000000.0,-455000000.0,128000000.0,241000000.0,380000000.0,-534000000.0,40000000.0,150000000.0,271000000.0,-378000000.0,66000000.0,192000000.0,310000000.0,-418000000.0,78000000.0,227000000.0,407000000.0
CostsAndExpenses / USD,2011000000.0,3987000000.0,6079000000.0,8176000000.0,2025000000.0,4257000000.0,6456000000.0,8633000000.0,2254000000.0,4746000000.0,7142000000.0,8829000000.0,1556000000.0,5985000000.0,5985000000.0,4836000000.0,6396000000.0,1679000000.0,3431000000.0,5190000000.0,5716000000.0,1795000000.0,3680000000.0,5548000000.0,6999000000.0,1892000000.0,3898000000.0,5855000000.0,7474000000.0,1852000000.0,2718000000.0,3640000000.0,7876000000.0,853000000.0,1958000000.0,3267000000.0,4725000000.0,1352000000.0,2994000000.0,4739000000.0,4771000000.0,1795000000.0,3781000000.0,5801000000.0,6679000000.0,2047000000.0,4273000000.0,6515000000.0
CurrentFederalTaxExpenseBenefit / USD,,,,71000000.0,,,,94000000.0,,,,323000000.0,,118000000.0,118000000.0,,164000000.0,,,,441000000.0,,,,239000000.0,,,,210000000.0,,,,190000000.0,,,,-6000000.0,,,,89000000.0,,,,306000000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,,,57000000.0,6000000.0,6000000.0,6000000.0,64000000.0,,,,100000000.0,,86000000.0,86000000.0,,64000000.0,,,,70000000.0,,,,95000000.0,,,,60000000.0,,,,128000000.0,,,,69000000.0,,,,23000000.0,,,,56000000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,,,141000000.0,,,,173000000.0,,,,451000000.0,,245000000.0,245000000.0,,279000000.0,,,,654000000.0,,,,393000000.0,,,,323000000.0,,,,378000000.0,,,,31000000.0,,,,157000000.0,,,,443000000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,,13000000.0,,,,15000000.0,,,,28000000.0,,41000000.0,41000000.0,,51000000.0,,,,143000000.0,,,,59000000.0,,,,53000000.0,,,,60000000.0,,,,-32000000.0,,,,45000000.0,,,,81000000.0,,,
DebtInstrumentCarryingAmount / USD,,,,,,,,,,,,10058000000.0,6706000000.0,5972000000.0,5972000000.0,6706000000.0,6706000000.0,6683000000.0,6683000000.0,6683000000.0,6683000000.0,7361000000.0,7361000000.0,7361000000.0,7361000000.0,8076000000.0,8076000000.0,8076000000.0,8076000000.0,10580000000.0,10580000000.0,10580000000.0,10580000000.0,8853000000.0,8853000000.0,8853000000.0,8853000000.0,8820000000.0,8820000000.0,8820000000.0,8820000000.0,9267000000.0,9267000000.0,9267000000.0,9267000000.0,11236000000.0,11236000000.0,11236000000.0
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet / USD,,,,,,,,,,,,-107000000.0,-90000000.0,-78000000.0,-78000000.0,-90000000.0,-90000000.0,-81000000.0,-81000000.0,-81000000.0,-81000000.0,-79000000.0,-79000000.0,-79000000.0,-79000000.0,-83000000.0,-83000000.0,-83000000.0,-83000000.0,-93000000.0,-93000000.0,-93000000.0,-93000000.0,-87000000.0,-87000000.0,-87000000.0,-87000000.0,-73000000.0,-73000000.0,-73000000.0,-73000000.0,-71000000.0,-71000000.0,-71000000.0,-71000000.0,-85000000.0,-85000000.0,-85000000.0
DeferredCompensationArrangementWithIndividualAllocatedShareBasedCompensationExpense / USD,,,,,,,,,,,,,,,,,,,,,,,,103000000.0,121000000.0,,81000000.0,123000000.0,127000000.0,,,,154000000.0,39000000.0,92000000.0,144000000.0,97000000.0,37000000.0,84000000.0,126000000.0,193000000.0,33000000.0,85000000.0,133000000.0,162000000.0,41000000.0,96000000.0,140000000.0
DeferredCompensationLiabilityClassifiedNoncurrent / USD,,,,147000000.0,,,,103000000.0,,,,173000000.0,,170000000.0,170000000.0,,113000000.0,,,,117000000.0,,,,113000000.0,,,,118000000.0,,,,116000000.0,,,,111000000.0,,,,91000000.0,,,,86000000.0,,,
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,63000000.0,,,,160000000.0,,,,8000000.0,,-74000000.0,-74000000.0,,-606000000.0,,,,-123000000.0,,,,-667000000.0,,,,-52000000.0,,,,-61000000.0,,,,-102000000.0,,,,51000000.0,,,,16000000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,,,8000000.0,,,,-99000000.0,,,,-4000000.0,,0.0,0.0,,65000000.0,,,,-19000000.0,,,,-27000000.0,,,,52000000.0,,,,46000000.0,,,,-99000000.0,,,,-41000000.0,,,,12000000.0,,,
DeferredIncomeTaxExpenseBenefit / USD,7000000.0,25000000.0,66000000.0,73000000.0,-52000000.0,-42000000.0,-62000000.0,65000000.0,40000000.0,10000000.0,34000000.0,14000000.0,-32000000.0,-91000000.0,-91000000.0,,-627000000.0,-67000000.0,-123000000.0,-160000000.0,-97000000.0,-37000000.0,-39000000.0,29000000.0,-729000000.0,-26000000.0,1000000.0,22000000.0,-14000000.0,-37000000.0,-118000000.0,-142000000.0,-20000000.0,-39000000.0,-35000000.0,6000000.0,-235000000.0,-3000000.0,-3000000.0,54000000.0,-4000000.0,-20000000.0,-30000000.0,-38000000.0,34000000.0,-30000000.0,-36000000.0,-31000000.0
DeferredIncomeTaxLiabilities / USD,,,,,,,,,,,,5197000000.0,,2601000000.0,2601000000.0,,2120000000.0,,,,1299000000.0,,,,1309000000.0,,,,1515000000.0,,,,1454000000.0,,,,1455000000.0,,,,1429000000.0,,,,1397000000.0,,,
DeferredIncomeTaxesAndOtherAssetsNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194000000.0,213000000.0,213000000.0,213000000.0,213000000.0,204000000.0,204000000.0,204000000.0,204000000.0,140000000.0,140000000.0,140000000.0,140000000.0,318000000.0,318000000.0,318000000.0
DeferredRevenueCurrent / USD,,,,48000000.0,,,,52000000.0,,,,65000000.0,,,,,,366000000.0,366000000.0,366000000.0,366000000.0,350000000.0,350000000.0,350000000.0,350000000.0,332000000.0,,332000000.0,332000000.0,370000000.0,370000000.0,370000000.0,370000000.0,350000000.0,350000000.0,350000000.0,350000000.0,433000000.0,433000000.0,433000000.0,433000000.0,502000000.0,502000000.0,502000000.0,502000000.0,664000000.0,664000000.0,664000000.0
DeferredRevenueNoncurrent / USD,674000000.0,674000000.0,674000000.0,674000000.0,495000000.0,495000000.0,495000000.0,495000000.0,283000000.0,283000000.0,283000000.0,283000000.0,42000000.0,251000000.0,251000000.0,42000000.0,42000000.0,829000000.0,829000000.0,829000000.0,829000000.0,826000000.0,826000000.0,826000000.0,826000000.0,827000000.0,,827000000.0,827000000.0,1004000000.0,1004000000.0,1004000000.0,1004000000.0,896000000.0,896000000.0,896000000.0,896000000.0,986000000.0,986000000.0,986000000.0,986000000.0,1132000000.0,1132000000.0,1132000000.0,1132000000.0,1300000000.0,1300000000.0,1300000000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,,2000000.0,,,,4000000.0,,,,10000000.0,,-17000000.0,-17000000.0,,-86000000.0,,,,45000000.0,,,,-35000000.0,,,,-14000000.0,,,,-5000000.0,,,,-34000000.0,,,,-14000000.0,,,,6000000.0,,,
DeferredTaxAssetsDeferredIncome / USD,,,,,,,,,,,,,,,,,,,,,210000000.0,,,,258000000.0,100000000.0,100000000.0,100000000.0,260000000.0,194000000.0,194000000.0,194000000.0,271000000.0,,,,278000000.0,,,,271000000.0,,,,558000000.0,,,
DeferredTaxAssetsGross / USD,,,,1275000000.0,,,,1159000000.0,,,,1136000000.0,,1269000000.0,1269000000.0,,931000000.0,,,,887000000.0,,,,900000000.0,,,,1321000000.0,,,,1653000000.0,,,,1637000000.0,,,,1547000000.0,,,,1834000000.0,,,
DeferredTaxAssetsNet / USD,,,,772000000.0,,,,661000000.0,,,,645000000.0,,785000000.0,785000000.0,,424000000.0,,,,479000000.0,,,,501000000.0,,,,820000000.0,,,,999000000.0,,,,968000000.0,,,,898000000.0,,,,1136000000.0,,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,,,573000000.0,,,,525000000.0,,,,456000000.0,,440000000.0,440000000.0,,394000000.0,,,,395000000.0,,,,389000000.0,,,,386000000.0,,,,593000000.0,,,,649000000.0,,,,641000000.0,,,,604000000.0,,,
DeferredTaxAssetsOperatingLossCarryforwardsNotSubjectToExpiration / USD,,,,482000000.0,,,,427000000.0,,,,393000000.0,,387000000.0,387000000.0,,389000000.0,,,,378000000.0,,,,370000000.0,,,,504000000.0,,,,516000000.0,,,,600000000.0,,,,578000000.0,,,,498000000.0,,,
