fact_unit,2014-08-08,2014-11-07,2015-03-12,2015-05-15,2015-08-07,2015-11-06,2016-02-25,2016-05-05,2016-08-05,2016-11-03,2017-02-17,2017-05-08,2017-08-04,2017-11-03,2018-02-20,2018-05-04,2018-08-08,2018-11-05,2019-02-15,2019-05-06,2019-08-02,2019-11-01,2020-02-14,2020-05-06,2020-08-05,2020-11-03,2021-02-19,2021-05-06,2021-08-03,2021-11-02,2022-02-15,2022-05-03,2022-08-02,2022-11-01,2023-02-14,2023-05-02,2023-08-01,2023-10-31,2024-02-13,2024-05-08,2024-07-31,2024-11-08,2025-02-19,2025-05-07,2025-08-06,2025-11-05
ComprehensiveIncomeNetOfTax / USD,16795000.0,28724000.0,21353000.0,21353000.0,33926000.0,55729000.0,42458000.0,24475000.0,48679000.0,77081000.0,86480000.0,35267000.0,74119000.0,125098000.0,120761000.0,82806000.0,185868000.0,319768000.0,183389000.0,142850000.0,-13344000.0,155289000.0,422738000.0,204443000.0,396309000.0,603370000.0,326059000.0,139116000.0,290904000.0,450522000.0,864004000.0,179264000.0,375877000.0,599317000.0,634652000.0,250058000.0,538339000.0,886528000.0,832316000.0,448876000.0,937058000.0,1484427000.0,1326838000.0,629100000.0,1291400000.0,2064000000.0
ContractWithCustomerLiability / USD,,,,,,,,,,,,,,,,,16521000.0,16521000.0,16521000.0,16521000.0,16521000.0,16521000.0,16521000.0,32595000.0,32595000.0,32595000.0,32595000.0,61050000.0,61050000.0,61050000.0,61050000.0,85957000.0,650827000.0,650827000.0,929312000.0,929312000.0,929312000.0,929312000.0,929312000.0,1041246000.0,1041246000.0,1041246000.0,1041246000.0,1506200000.0,1506200000.0,1506200000.0
ContractWithCustomerLiabilityCurrent / USD,,,,,,,,,,,,,,,,,,10900000.0,327706000.0,358586000.0,358586000.0,358586000.0,358586000.0,312668000.0,312668000.0,312668000.0,312668000.0,396259000.0,396259000.0,396259000.0,396259000.0,593578000.0,593578000.0,593578000.0,593578000.0,637432000.0,637432000.0,637432000.0,637432000.0,915204000.0,915204000.0,915204000.0,915204000.0,1727300000.0,1727300000.0,1727300000.0
ContractWithCustomerLiabilityNoncurrent / USD,,,,,,,,,,,,,,,,,,,187556000.0,228641000.0,228641000.0,228641000.0,228641000.0,262620000.0,262620000.0,262620000.0,262620000.0,254568000.0,254568000.0,254568000.0,254568000.0,335734000.0,335734000.0,335734000.0,335734000.0,403814000.0,403814000.0,403814000.0,403814000.0,591000000.0,591000000.0,591000000.0,591000000.0,1064100000.0,1064100000.0,1064100000.0
ContractWithCustomerLiabilityRevenueRecognized / USD,,,,,,,,,,,,,,,,171400000.0,4070000.0,6107000.0,7561000.0,1694000.0,4070000.0,6107000.0,7561000.0,2826000.0,6766000.0,10134000.0,12887000.0,4847000.0,11722000.0,17946000.0,23394000.0,7913000.0,222865000.0,327300000.0,583787000.0,128136000.0,322954000.0,457309000.0,583787000.0,214450000.0,395056000.0,506859000.0,615681000.0,284300000.0,467500000.0,616300000.0
CostOfGoodsAndServicesSold / USD,,,,35893000.0,80460000.0,134966000.0,,61291000.0,128953000.0,204753000.0,,87106000.0,184396000.0,288237000.0,294031000.0,,266699000.0,423715000.0,406051000.0,169570000.0,355532000.0,557258000.0,584417000.0,214854000.0,432984000.0,670125000.0,777992000.0,184778000.0,381259000.0,601728000.0,866368000.0,242290000.0,495431000.0,765513000.0,835626000.0,323221000.0,731847000.0,1198668000.0,1067258000.0,546844000.0,1121639000.0,1688676000.0,1705614000.0,570000000.0,1163200000.0,1812400000.0
CurrentFederalTaxExpenseBenefit / USD,,,13037000.0,13037000.0,,,19631000.0,,,,34314000.0,,,,43706000.0,,,,64594000.0,,,,31935000.0,,,,6113000.0,,,,58187000.0,,,,78843000.0,,,,137203000.0,,,,359158000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,,308000.0,308000.0,,,413000.0,,,,3306000.0,,,,1588000.0,,,,4675000.0,,,,7322000.0,,,,10451000.0,,,,928000.0,,,,12891000.0,,,,13391000.0,,,,38250000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,,15348000.0,15348000.0,,,24646000.0,,,,42113000.0,,,,50794000.0,,,,79798000.0,,,,42902000.0,,,,18582000.0,,,,78182000.0,,,,112869000.0,,,,189072000.0,,,,473729000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,2003000.0,2003000.0,,,4602000.0,,,,4493000.0,,,,5500000.0,,,,10529000.0,,,,3645000.0,,,,2018000.0,,,,19067000.0,,,,21135000.0,,,,38478000.0,,,,76321000.0,,,
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLonger / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65373000.0,574938000.0,971387000.0,871880000.0,610052000.0,407787000.0,271491000.0,78324000.0,524573000.0,332655000.0,132590000.0,2800000.0,0.0,77700000.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1149000.0,10502000.0,15332000.0,13804000.0,9182000.0,4073000.0,889000.0,251000.0,1998000.0,301000.0,46000.0,0.0,0.0,100000.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12Months / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2566100000.0,2284623000.0,1658315000.0,811878000.0,814619000.0,1632547000.0,2155949000.0,1267999000.0,2486053000.0,3192848000.0,414411000.0,2298926000.0,2239400000.0,2274400000.0,2141600000.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27992000.0,35271000.0,29147000.0,13544000.0,4204000.0,11123000.0,12711000.0,3271000.0,7756000.0,8244000.0,396000.0,13479000.0,5200000.0,3600000.0,2700000.0
DebtSecuritiesAvailableForSaleUnrealizedLossPosition / USD,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,2349996000.0,2233253000.0,1783265000.0,1686499000.0,2242599000.0,2563736000.0,1539490000.0,2564377000.0,3717421000.0,747066000.0,2431516000.0,2242200000.0,2274400000.0,2219300000.0
DebtSecuritiesAvailableForSaleUnrealizedLossPositionAccumulatedLoss / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36420000.0,39649000.0,28876000.0,18008000.0,20305000.0,16784000.0,4160000.0,8007000.0,10242000.0,697000.0,13525000.0,5200000.0,3600000.0,2800000.0
DeferredFederalIncomeTaxExpenseBenefit / USD,,,-3525000.0,-3525000.0,,,-7554000.0,,,,-7105000.0,,,,-23896000.0,,,,-18579000.0,,,,12795000.0,,,,-57726000.0,,,,362056000.0,,,,-17592000.0,,,,-98534000.0,,,,-219568000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,,145000.0,145000.0,,,166000.0,,,,-580000.0,,,,309000.0,,,,381000.0,,,,-734000.0,,,,3994000.0,,,,-433324000.0,,,,9878000.0,,,,15776000.0,,,,9878000.0,,,
DeferredIncomeTaxAssetsNet / USD,,,,,,,,,,,48429000.0,70960000.0,70960000.0,70960000.0,70960000.0,65125000.0,65125000.0,65125000.0,65125000.0,126492000.0,126492000.0,126492000.0,126492000.0,452025000.0,452025000.0,452025000.0,452025000.0,441531000.0,441531000.0,441531000.0,441531000.0,442295000.0,442295000.0,442295000.0,442295000.0,574912000.0,574912000.0,574912000.0,574912000.0,945792000.0,945792000.0,945792000.0,945792000.0,1440400000.0,1440400000.0,1440400000.0
DeferredIncomeTaxExpenseBenefit / USD,-2090000.0,-2965000.0,-3722000.0,-3722000.0,703000.0,-782000.0,-8831000.0,1670000.0,-2266000.0,-15483000.0,-7455000.0,-1597000.0,-6876000.0,-13720000.0,-24409000.0,2521000.0,-8515000.0,-22743000.0,-21720000.0,-3541000.0,-18281000.0,-49615000.0,8426000.0,-718000.0,7914000.0,10945000.0,-57896000.0,457000.0,2668000.0,3261000.0,-75741000.0,1425000.0,-2998000.0,-573000.0,-9144000.0,-81822000.0,-105937000.0,-148355000.0,-99290000.0,-71153000.0,-130287000.0,-217489000.0,-244382000.0,-77800000.0,-228500000.0,-376700000.0
DeferredIncomeTaxLiabilities / USD,,,220000.0,220000.0,,,2561000.0,,,,2246000.0,,,,2756000.0,,,,2015000.0,,,,19911000.0,,,,349456000.0,,,,337857000.0,,,,319199000.0,,,,302045000.0,,,,260890000.0,,,
