fact_unit,2010-08-09,2010-11-05,2011-03-01,2011-05-06,2011-08-03,2011-11-01,2012-02-29,2012-04-26,2012-07-26,2012-10-30,2013-03-01,2013-04-25,2013-08-08,2013-11-07,2014-02-25,2014-05-01,2014-07-31,2014-10-28,2015-02-19,2015-04-28,2015-07-30,2015-10-27,2016-02-17,2016-04-26,2016-07-27,2016-10-24,2017-02-14,2017-04-24,2017-07-20,2017-10-23,2018-01-22,2018-02-08,2018-05-01,2018-06-18,2018-08-01,2018-10-30,2019-02-07,2019-04-25,2019-07-26,2019-10-28,2020-02-06,2020-05-06,2020-08-06,2020-08-10,2020-11-05,2021-02-23,2021-05-04,2021-08-03,2021-11-02,2022-02-11,2022-05-06,2022-07-29,2022-10-27,2023-02-14,2023-04-27,2023-07-27,2023-10-25,2024-02-02,2024-04-26,2024-07-31,2024-10-23,2025-01-31,2025-04-24,2025-07-23,2025-10-23
ExciseAndSalesTaxes / USD,,,,,,,,,,,,,,,463000000.0,,,,455000000.0,,,,362000000.0,,,,349000000.0,,,,349000000.0,334000000.0,,334000000.0,,,409000000.0,,,,258000000.0,,,,,161000000.0,,,,93000000.0,,,,267000000.0,,,,216000000.0,,,,185000000.0,,,
FinanceLeaseInterestExpense / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000.0,40000000.0,61000000.0,82000000.0,20000000.0,40000000.0,,61000000.0,82000000.0,,,,82000000.0,20000000.0,36000000.0,51000000.0,81000000.0,,,,69000000.0,,,,68000000.0,,,83000000.0
FinanceLeaseInterestPaymentOnLiability / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000.0,41000000.0,61000000.0,82000000.0,20000000.0,41000000.0,,61000000.0,82000000.0,,,59000000.0,82000000.0,19000000.0,36000000.0,51000000.0,79000000.0,,,,69000000.0,,,,68000000.0,,,79000000.0
FinanceLeaseLiability / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2016000000.0,2016000000.0,2016000000.0,2194000000.0,2456000000.0,,2423000000.0,2507000000.0,,,2741000000.0,2575000000.0,2568000000.0,2817000000.0,2829000000.0,2531000000.0,,,,2496000000.0,,,,2326000000.0,,,2343000000.0
FinanceLeaseLiabilityCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,963000000.0,1013000000.0,957000000.0,957000000.0,957000000.0,,957000000.0,957000000.0,1063000000.0,1063000000.0,1063000000.0,1063000000.0,1120000000.0,1120000000.0,1120000000.0,1120000000.0,1161000000.0,1161000000.0,1161000000.0,1161000000.0,1260000000.0,1260000000.0,1260000000.0,1260000000.0,1175000000.0,1175000000.0,1175000000.0
FinanceLeaseLiabilityNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1314000000.0,1440000000.0,1346000000.0,1346000000.0,1346000000.0,,1346000000.0,1346000000.0,1444000000.0,1444000000.0,1444000000.0,1444000000.0,1455000000.0,1455000000.0,1455000000.0,1455000000.0,1370000000.0,1370000000.0,1370000000.0,1370000000.0,1236000000.0,1236000000.0,1236000000.0,1236000000.0,1151000000.0,1151000000.0,1151000000.0
FinanceLeaseLiabilityPaymentsDue / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2281000000.0,2439000000.0,2612000000.0,2447000000.0,2332000000.0,2584000000.0,,2540000000.0,2628000000.0,,,2832000000.0,2659000000.0,2648000000.0,2899000000.0,2920000000.0,2628000000.0,,,,2604000000.0,,,,2437000000.0,,,2447000000.0
FinanceLeaseLiabilityPaymentsDueInNextRollingTwelveMonths / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961000000.0,1021000000.0,1073000000.0,1013000000.0,976000000.0,1094000000.0,,1100000000.0,1121000000.0,,,1196000000.0,1161000000.0,1163000000.0,1259000000.0,1286000000.0,1216000000.0,,,,1324000000.0,,,,1242000000.0,,,1223000000.0
FinanceLeaseLiabilityPaymentsDueInRollingAfterYearFive / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108000000.0,91000000.0,131000000.0,115000000.0,100000000.0,85000000.0,,72000000.0,61000000.0,,,37000000.0,29000000.0,25000000.0,17000000.0,14000000.0,11000000.0,,,,3000000.0,,,,0.0,,,8000000.0
FinanceLeaseLiabilityPaymentsDueInRollingYearFive / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73000000.0,58000000.0,75000000.0,71000000.0,68000000.0,63000000.0,,61000000.0,92000000.0,,,48000000.0,36000000.0,29000000.0,27000000.0,23000000.0,19000000.0,,,,14000000.0,,,,4000000.0,,,4000000.0
