fact_unit,2016-11-10,2017-02-16,2017-05-11,2017-08-11,2017-11-13,2018-02-28,2018-05-10,2018-08-09,2018-11-09,2019-02-22,2019-05-09,2019-08-09,2019-11-08,2020-02-28,2020-05-08,2020-08-07,2020-11-06,2021-02-19,2021-05-10,2021-08-09,2021-11-08,2022-02-16,2022-05-10,2022-08-09,2022-11-09,2023-02-15,2023-05-10,2023-08-09,2023-11-09,2024-02-15,2024-05-10,2024-08-08,2024-11-07,2025-02-21,2025-05-08,2025-08-07,2025-11-06
DeferredIncomeTaxAssetsNet / USD,1171000.0,1171000.0,1778000.0,1778000.0,1778000.0,1778000.0,3359000.0,3359000.0,3359000.0,3359000.0,8460000.0,8460000.0,8460000.0,8460000.0,18950000.0,18950000.0,18950000.0,18950000.0,50168000.0,50168000.0,50168000.0,50168000.0,68244000.0,68244000.0,68244000.0,68244000.0,94028000.0,94028000.0,94028000.0,94028000.0,154849000.0,154849000.0,154849000.0,154849000.0,230214000.0,230214000.0,230214000.0
DeferredIncomeTaxExpenseBenefit / USD,,,,,,,,,,,,,,,,,,,,,,-10490000.0,,,,-31218000.0,,,,-18076000.0,,,,-25784000.0,,,
DeferredIncomeTaxesAndTaxCredits / USD,,-1509000.0,,,,338000.0,,,,-607000.0,,,,-1581000.0,,-11697000.0,-20978000.0,-5101000.0,,-11697000.0,-20978000.0,-10490000.0,-5304000.0,5044000.0,5044000.0,-31218000.0,-5304000.0,1555000.0,604000.0,-16777000.0,,,,-11507000.0,,,0.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,-682000.0,,,,141000.0,,,,-539000.0,,,,-1382000.0,,,,-2615000.0,,,,-5339000.0,,,,-9079000.0,,,,3193000.0,,,,-23465000.0,,,
DeferredTaxAssetsGoodwillAndIntangibleAssets / USD,,,,,,,,,,,,,,87000.0,,,,179096000.0,,,,184965000.0,,,,219492000.0,,,,200113000.0,,,,180573000.0,,,
DeferredTaxAssetsLiabilitiesNet / USD,,1171000.0,,,,1778000.0,,,,3359000.0,,,,8460000.0,,,,18950000.0,,,,50168000.0,,,,68244000.0,,,,94028000.0,,,,154849000.0,,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,55000.0,,,,326000.0,,,,854000.0,,,,854000.0,,,,19225000.0,,,,58813000.0,,,,142708000.0,,,,182124000.0,,,,231597000.0,,,
DeferredTaxAssetsOther / USD,,238000.0,,,,760000.0,,,,76000.0,,,,4000.0,,,,111000.0,,,,487000.0,,,,484000.0,,,,1258000.0,,,,1776000.0,,,
DeferredTaxAssetsTaxCreditCarryforwardsResearch / USD,,,,,,280000.0,,,,774000.0,,,,1367000.0,,,,2739000.0,,,,30138000.0,,,,53472000.0,,,,17359000.0,,,,18220000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost / USD,,,,,,126000.0,,,,1722000.0,,,,4726000.0,,,,10641000.0,,,,13584000.0,,,,16621000.0,,,,21207000.0,,,,25727000.0,,,
