fact_unit,2017-11-06,2018-02-15,2018-05-04,2018-08-03,2018-11-02,2019-02-11,2019-05-03,2019-08-06,2019-10-31,2020-02-14,2020-05-05,2020-07-31,2020-10-30,2021-02-12,2021-05-04,2021-06-03,2021-08-04,2021-11-03,2022-02-11,2022-05-06,2022-08-04,2022-11-08,2023-02-15,2023-05-03,2023-08-03,2023-11-02,2024-02-15,2024-05-01,2024-07-31,2024-11-05,2025-02-14,2025-05-02,2025-08-05,2025-11-06
DeferredForeignIncomeTaxExpenseBenefit / USD,,,,,,,,,,-124000000.0,,,,-54000000.0,,-19000000.0,,,-128000000.0,,,,-21000000.0,,,,-75000000.0,,,,3000000.0,3000000.0,,
DeferredIncomeTaxAssetsNet / USD,3079000000.0,3079000000.0,1869000000.0,1869000000.0,1869000000.0,1869000000.0,1724000000.0,178000000.0,178000000.0,178000000.0,236000000.0,236000000.0,189000000.0,189000000.0,190000000.0,170000000.0,190000000.0,190000000.0,190000000.0,116000000.0,116000000.0,116000000.0,116000000.0,109000000.0,109000000.0,109000000.0,109000000.0,312000000.0,312000000.0,312000000.0,312000000.0,312000000.0,246000000.0,246000000.0
DeferredIncomeTaxExpenseBenefit / USD,-990000000.0,305000000.0,-95000000.0,40000000.0,570000000.0,-1259000000.0,-33000000.0,,,-1473000000.0,,,,-667000000.0,,-534000000.0,,-481000000.0,-467000000.0,-105000000.0,-157000000.0,-182000000.0,-268000000.0,-252000000.0,-59000000.0,-124000000.0,-259000000.0,,,,-204000000.0,-204000000.0,,
DeferredIncomeTaxLiabilities / USD,,6313000000.0,,,,13304000000.0,,,,-4252000000.0,,,,-3899000000.0,,-2860000000.0,,,2605000000.0,,,,1979000000.0,,,,1786000000.0,,,,1679000000.0,1679000000.0,,
DeferredIncomeTaxLiabilitiesNet / USD,923000000.0,923000000.0,6266000000.0,6266000000.0,6266000000.0,6266000000.0,5435000000.0,3912000000.0,3912000000.0,3912000000.0,3514000000.0,3514000000.0,3467000000.0,3467000000.0,2053000000.0,2358000000.0,2053000000.0,2053000000.0,2053000000.0,1459000000.0,1459000000.0,1459000000.0,1459000000.0,1158000000.0,1158000000.0,1158000000.0,1158000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,1130000000.0,915000000.0,862000000.0
DeferredIncomeTaxesAndTaxCredits / USD,,,,,,,,,,,,,,,,,,,-768000000.0,,,,-692000000.0,,,,-252000000.0,-5000000.0,-25000000.0,-40000000.0,-157000000.0,-157000000.0,-65000000.0,-74000000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,,,,,,,,36000000.0,,,,-53000000.0,,-45000000.0,,,160000000.0,,,,-45000000.0,,,,-79000000.0,,,,-16000000.0,-16000000.0,,
DeferredTaxAssetsGross / USD,,9530000000.0,,,,11418000000.0,,,,1111000000.0,,,,1255000000.0,,1270000000.0,,,1419000000.0,,,,1336000000.0,,,,1440000000.0,,,,1599000000.0,1599000000.0,,
DeferredTaxAssetsInProcessResearchAndDevelopment / USD,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,197000000.0,,,,218000000.0,218000000.0,,
DeferredTaxAssetsInventory / USD,,50000000.0,,,,165000000.0,,,,,,,,,,,,,,,,,11000000.0,,,,18000000.0,,,,16000000.0,16000000.0,,
DeferredTaxAssetsNet / USD,,8469000000.0,,,,8907000000.0,,,,518000000.0,,,,621000000.0,,672000000.0,,,742000000.0,,,,636000000.0,,,,737000000.0,,,,861000000.0,861000000.0,,
