fact_unit,2020-05-07,2020-05-12,2020-08-12,2020-11-10,2021-03-01,2021-04-30,2021-05-10,2021-08-09,2021-11-08,2022-02-28,2022-04-29,2022-05-09,2022-08-08,2022-11-07,2023-02-27,2023-04-28,2023-05-08,2023-08-07,2023-11-08,2024-02-28,2024-04-26,2024-05-09,2024-08-08,2024-11-07,2025-02-27,2025-04-30,2025-05-08,2025-08-07,2025-11-06
BusinessCombinationContingentConsiderationLiabilityCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,76100000.0,64400000.0,,59500000.0,59500000.0,59500000.0
BusinessCombinationContingentConsiderationLiabilityNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,139000000.0,310600000.0,,496600000.0,496600000.0,496600000.0
CapitalizedComputerSoftwareNet / USD,,,,,85800000.0,,,,,70900000.0,,,,,62300000.0,,,,,121500000.0,,,,,167200000.0,,,,
CashAndCashEquivalentsAtCarryingValue / USD,,,,,388100000.0,,572400000.0,323600000.0,664500000.0,475600000.0,,806900000.0,673900000.0,756600000.0,844400000.0,,752400000.0,664700000.0,646700000.0,701200000.0,,506600000.0,629200000.0,1309600000.0,1259900000.0,,1014600000.0,917200000.0,1878700000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,0.0,0.0,0.0,0.0,369900000.0,,491100000.0,491100000.0,491100000.0,389300000.0,,850000000.0,850000000.0,850000000.0,491100000.0,,706200000.0,706200000.0,706200000.0,850000000.0,,1262500000.0,1262500000.0,1262500000.0,706200000.0,,993600000.0,993600000.0,993600000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,0.0,0.0,0.0,0.0,19400000.0,,96800000.0,-166400000.0,176000000.0,101800000.0,,-36900000.0,-170900000.0,-88300000.0,358800000.0,,51200000.0,-36800000.0,-55800000.0,-143800000.0,,-751800000.0,-631100000.0,49300000.0,556300000.0,,22300000.0,-75100000.0,886500000.0
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths / USD,,,,,-9000000.0,,11000000.0,5000000.0,15000000.0,21000000.0,,22000000.0,37000000.0,53000000.0,-8000000.0,,-14000000.0,4000000.0,11000000.0,-21000000.0,,3000000.0,10000000.0,-29000000.0,19000000.0,,-4000000.0,-32000000.0,-22000000.0
CommonStockDividendsPerShareCashPaid / USD/shares,,,,,,,,,0.11,0.11,,0.12,0.12,0.12,0.11,,0.12,0.24,0.36,0.11,,0.12,0.24,0.36,0.12,,0.12,0.24,0.36
CommonStockParOrStatedValuePerShare / EUR/shares,,,,,0.01,,0.01,0.01,0.01,,,0.01,0.01,0.01,,,0.01,0.01,0.01,,,0.01,0.01,0.01,,,0.01,0.01,0.01
CommonStockParOrStatedValuePerShare / USD/shares,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,,,,0.01,0.01,,,,0.01,0.01,,,,0.01,,,,
