fact_unit,2015-12-17,2016-03-10,2016-06-08,2016-09-08,2016-12-15,2017-03-09,2017-06-08,2017-09-07,2017-12-15,2018-03-09,2018-06-07,2018-09-04,2018-12-12,2019-03-05,2019-05-31,2019-08-30,2019-12-13,2020-03-09,2020-06-02,2020-09-03,2020-12-10,2021-03-04,2021-06-03,2021-09-03,2021-12-10,2022-03-03,2022-06-03,2022-09-01,2022-12-08,2023-03-07,2023-06-02,2023-09-01,2023-12-22,2024-03-05,2024-06-05,2024-09-05,2024-12-19,2025-03-07,2025-06-04,2025-09-04
DeferredTaxAssetsOperatingLossCarryforwards / USD,2260000000.0,,,,1706000000.0,,,,1596000000.0,,,,4775000000.0,,,,9149000000.0,,,,8110000000.0,,,,7596000000.0,,,,7526000000.0,,,,7222000000.0,,,,5936000000.0,,,
DeferredTaxAssetsOther / USD,366000000.0,,,,241000000.0,,,,463000000.0,,,,593000000.0,,,,432000000.0,,,,243000000.0,,,,206000000.0,,,,246000000.0,,,,269000000.0,,,,196000000.0,,,
DeferredTaxAssetsTaxCreditCarryforwards / USD,229000000.0,,,,595000000.0,,,,2899000000.0,,,,2112000000.0,,,,1594000000.0,,,,1494000000.0,,,,1226000000.0,,,,1354000000.0,,,,1283000000.0,,,,1075000000.0,,,
DeferredTaxAssetsTaxCreditCarryforwardsForeign / USD,14000000.0,,,,291000000.0,,,,2623000000.0,,,,1832000000.0,,,,1271000000.0,,,,1129000000.0,,,,922000000.0,,,,999000000.0,,,,904000000.0,,,,648000000.0,,,
DeferredTaxAssetsTaxCreditCarryforwardsResearch / USD,44000000.0,,,,99000000.0,,,,110000000.0,,,,122000000.0,,,,149000000.0,,,,194000000.0,,,,151000000.0,,,,198000000.0,,,,215000000.0,,,,230000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits / USD,2798000000.0,,,,772000000.0,,,,1042000000.0,,,,661000000.0,,,,498000000.0,,,,584000000.0,,,,571000000.0,,,,287000000.0,,,,247000000.0,,,,184000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsRestructuringCharges / USD,289000000.0,,,,210000000.0,,,,98000000.0,,,,186000000.0,,,,101000000.0,,,,65000000.0,,,,118000000.0,,,,93000000.0,,,,55000000.0,,,,52000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsWarrantyReserves / USD,180000000.0,,,,171000000.0,,,,164000000.0,,,,156000000.0,,,,81000000.0,,,,72000000.0,,,,69000000.0,,,,50000000.0,,,,61000000.0,,,,49000000.0,,,
DeferredTaxAssetsValuationAllowance / USD,3912000000.0,,,,2252000000.0,,,,2095000000.0,,,,2789000000.0,,,,8209000000.0,,,,8225000000.0,,,,7724000000.0,,,,7368000000.0,,,,6817000000.0,,,,5428000000.0,,,
DeferredTaxLiabilitiesLeasingArrangements / USD,,,,,,,,,,,,,,,,,,,,,165000000.0,,,,165000000.0,,,,159000000.0,,,,167000000.0,,,,192000000.0,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment / USD,58000000.0,,,,362000000.0,,,,118000000.0,,,,385000000.0,,,,470000000.0,,,,352000000.0,,,,237000000.0,,,,170000000.0,,,,200000000.0,,,,102000000.0,,,
DeferredTaxLiabilitiesUndistributedForeignEarnings / USD,3722000000.0,,,,3362000000.0,,,,3665000000.0,,,,3824000000.0,,,,161000000.0,,,,233000000.0,,,,172000000.0,,,,168000000.0,,,,170000000.0,,,,190000000.0,,,
DefinedContributionPlanCostRecognized / USD,505000000.0,,,,480000000.0,,,,194000000.0,,,,213000000.0,,,,157000000.0,,,,158000000.0,,,,181000000.0,,,,160000000.0,,,,170000000.0,,,,196000000.0,,,
Depreciation / USD,3200000000.0,,,,3200000000.0,,,,2200000000.0,,,,2000000000.0,,,,2200000000.0,,,,2300000000.0,,,,2300000000.0,,,,2200000000.0,,,,2200000000.0,,,,2200000000.0,,,
DepreciationDepletionAndAmortization / USD,4396000000.0,997000000.0,1970000000.0,2959000000.0,4144000000.0,989000000.0,1949000000.0,2903000000.0,3947000000.0,840000000.0,1632000000.0,2369000000.0,3775000000.0,635000000.0,1290000000.0,1931000000.0,3051000000.0,639000000.0,1287000000.0,1919000000.0,2576000000.0,690000000.0,1331000000.0,1973000000.0,2535000000.0,674000000.0,1313000000.0,1956000000.0,2625000000.0,621000000.0,1242000000.0,1862000000.0,2597000000.0,656000000.0,1307000000.0,1961000000.0,2480000000.0,657000000.0,1299000000.0,1924000000.0
DerivativeAssetCollateralObligationToReturnCashOffset / USD,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DerivativeAssetFairValueGrossAssetIncludingNotSubjectToMasterNettingArrangement / USD,445000000.0,819000000.0,819000000.0,819000000.0,819000000.0,769000000.0,720000000.0,720000000.0,717000000.0,260000000.0,260000000.0,260000000.0,260000000.0,496000000.0,496000000.0,496000000.0,496000000.0,468000000.0,468000000.0,468000000.0,468000000.0,510000000.0,510000000.0,510000000.0,510000000.0,407000000.0,407000000.0,407000000.0,407000000.0,842000000.0,842000000.0,842000000.0,842000000.0,464000000.0,464000000.0,464000000.0,464000000.0,299000000.0,299000000.0,299000000.0
DerivativeAssetFairValueGrossLiability / USD,73000000.0,153000000.0,153000000.0,153000000.0,153000000.0,214000000.0,207000000.0,207000000.0,207000000.0,209000000.0,209000000.0,209000000.0,209000000.0,179000000.0,179000000.0,179000000.0,179000000.0,123000000.0,123000000.0,123000000.0,123000000.0,137000000.0,137000000.0,137000000.0,137000000.0,123000000.0,123000000.0,123000000.0,123000000.0,199000000.0,199000000.0,199000000.0,199000000.0,196000000.0,196000000.0,196000000.0,196000000.0,138000000.0,138000000.0,138000000.0
DerivativeAssets / USD,445000000.0,819000000.0,819000000.0,819000000.0,819000000.0,769000000.0,720000000.0,720000000.0,717000000.0,260000000.0,260000000.0,260000000.0,260000000.0,496000000.0,496000000.0,496000000.0,496000000.0,468000000.0,468000000.0,468000000.0,468000000.0,510000000.0,510000000.0,510000000.0,510000000.0,407000000.0,407000000.0,407000000.0,407000000.0,842000000.0,842000000.0,842000000.0,842000000.0,464000000.0,464000000.0,464000000.0,464000000.0,299000000.0,299000000.0,299000000.0
DerivativeCollateralObligationToReturnCash / USD,45000000.0,631000000.0,631000000.0,631000000.0,631000000.0,465000000.0,465000000.0,465000000.0,465000000.0,34000000.0,34000000.0,34000000.0,34000000.0,205000000.0,205000000.0,205000000.0,205000000.0,263000000.0,263000000.0,263000000.0,263000000.0,321000000.0,321000000.0,321000000.0,321000000.0,173000000.0,173000000.0,173000000.0,173000000.0,508000000.0,508000000.0,508000000.0,508000000.0,207000000.0,207000000.0,207000000.0,207000000.0,90000000.0,90000000.0,90000000.0
DerivativeCollateralRightToReclaimCash / USD,19000000.0,19000000.0,19000000.0,19000000.0,19000000.0,10000000.0,10000000.0,10000000.0,10000000.0,242000000.0,242000000.0,242000000.0,242000000.0,302000000.0,302000000.0,302000000.0,302000000.0,19000000.0,19000000.0,19000000.0,19000000.0,55000000.0,55000000.0,55000000.0,55000000.0,5000000.0,5000000.0,5000000.0,5000000.0,113000000.0,113000000.0,113000000.0,113000000.0,103000000.0,103000000.0,103000000.0,103000000.0,27000000.0,27000000.0,27000000.0
DerivativeFairValueOfDerivativeAssetAmountOffsetAgainstCollateral / USD,327000000.0,35000000.0,35000000.0,35000000.0,35000000.0,90000000.0,48000000.0,48000000.0,45000000.0,17000000.0,17000000.0,17000000.0,17000000.0,112000000.0,112000000.0,112000000.0,112000000.0,82000000.0,82000000.0,82000000.0,82000000.0,52000000.0,52000000.0,52000000.0,52000000.0,111000000.0,111000000.0,111000000.0,111000000.0,135000000.0,135000000.0,135000000.0,135000000.0,61000000.0,61000000.0,61000000.0,61000000.0,71000000.0,71000000.0,71000000.0
DerivativeFairValueOfDerivativeLiabilityAmountOffsetAgainstCollateral / USD,2000000.0,20000000.0,20000000.0,20000000.0,20000000.0,4000000.0,2000000.0,2000000.0,2000000.0,26000000.0,26000000.0,26000000.0,26000000.0,-5000000.0,-5000000.0,-5000000.0,-5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,2000000.0,2000000.0,2000000.0,2000000.0,-1000000.0,-1000000.0,-1000000.0,1000000.0,5000000.0,23000000.0,45000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,10000000.0,,
DerivativeLiabilities / USD,75000000.0,192000000.0,192000000.0,192000000.0,192000000.0,228000000.0,219000000.0,219000000.0,219000000.0,477000000.0,477000000.0,477000000.0,477000000.0,476000000.0,476000000.0,476000000.0,476000000.0,147000000.0,147000000.0,147000000.0,147000000.0,194000000.0,194000000.0,194000000.0,194000000.0,127000000.0,127000000.0,127000000.0,127000000.0,307000000.0,307000000.0,307000000.0,307000000.0,305000000.0,305000000.0,305000000.0,305000000.0,163000000.0,163000000.0,163000000.0
DerivativeLiabilityCollateralRightToReclaimCashOffset / USD,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DerivativeLiabilityFairValueGrossAsset / USD,73000000.0,153000000.0,153000000.0,153000000.0,153000000.0,214000000.0,207000000.0,207000000.0,207000000.0,209000000.0,209000000.0,209000000.0,209000000.0,179000000.0,179000000.0,179000000.0,179000000.0,123000000.0,123000000.0,123000000.0,123000000.0,137000000.0,137000000.0,137000000.0,137000000.0,123000000.0,123000000.0,123000000.0,123000000.0,199000000.0,199000000.0,199000000.0,199000000.0,196000000.0,196000000.0,196000000.0,196000000.0,138000000.0,138000000.0,138000000.0
DerivativeLiabilityFairValueGrossLiabilityIncludingNotSubjectToMasterNettingArrangement / USD,75000000.0,192000000.0,192000000.0,192000000.0,192000000.0,228000000.0,219000000.0,219000000.0,219000000.0,477000000.0,477000000.0,477000000.0,477000000.0,476000000.0,476000000.0,476000000.0,476000000.0,147000000.0,147000000.0,147000000.0,147000000.0,194000000.0,194000000.0,194000000.0,194000000.0,127000000.0,127000000.0,127000000.0,127000000.0,307000000.0,307000000.0,307000000.0,307000000.0,305000000.0,305000000.0,305000000.0,305000000.0,163000000.0,163000000.0,163000000.0
DerivativeNetLiabilityPositionAggregateFairValue / USD,200000.0,35000000.0,35000000.0,35000000.0,35000000.0,9000000.0,9000000.0,9000000.0,9000000.0,,,,265000000.0,,,,290000000.0,,,,18000000.0,,,,45000000.0,,,,3000000.0,,,,106000000.0,,,,108000000.0,,,
DerivativeNotionalAmount / USD,10489000000.0,29463000000.0,29463000000.0,29463000000.0,29463000000.0,35300000000.0,34472000000.0,34472000000.0,34306000000.0,28294000000.0,28294000000.0,28294000000.0,28294000000.0,23894000000.0,23894000000.0,23894000000.0,23894000000.0,24189000000.0,24189000000.0,24189000000.0,24189000000.0,20068000000.0,20068000000.0,20068000000.0,20068000000.0,20481000000.0,20481000000.0,20481000000.0,20481000000.0,19920000000.0,19920000000.0,19920000000.0,19920000000.0,19605000000.0,19605000000.0,19605000000.0,19605000000.0,17970000000.0,17970000000.0,17970000000.0
DividendsCommonStockCash / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629000000.0,,,
DividendsPreferredStockCash / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000000.0,,,
EarningsPerShareBasic / USD/shares,1.14,0.3,0.47,0.6,0.91,0.15,0.33,1.66,1.36,0.16,-0.21,-0.11,1.84,0.9,1.41,1.72,0.21,0.13,0.43,0.42,1.25,0.26,-0.38,-0.37,0.78,0.17,0.37,0.67,-0.25,0.39,0.58,0.9,2.62,0.39,0.71,1.06,0.67,0.3,0.54,0.93
EarningsPerShareDiluted / USD/shares,1.12,0.3,0.46,0.59,0.9,0.15,0.33,1.64,1.34,0.16,-0.21,-0.11,1.82,0.89,1.38,1.69,0.21,0.13,0.43,0.41,1.23,0.25,-0.38,-0.37,0.77,0.17,0.36,0.66,-0.25,0.39,0.57,0.88,2.58,0.38,0.7,1.05,0.66,0.29,0.53,0.92
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,138000000.0,139000000.0,138000000.0,-279000000.0,14000000.0,-31000000.0,-35000000.0
EffectiveIncomeTaxRateContinuingOperations / pure,0.286,0.234,0.234,0.209,0.266,0.163,0.079,0.05,-0.364,0.251,1.507,0.899,0.161,3.256,4.017,10.039,-0.603,0.73,0.456,0.314,-6.507,0.119,0.084,0.155,0.325,-0.088,0.022,0.028,0.271,-0.041,0.008,0.05,0.045,0.196,0.197,0.177,0.009,0.199,0.245,0.21
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,,,0.233,0.35,,,,0.35,,,,0.233,,,,0.21,,,,0.21,0.21,0.21,0.21,0.21,,,,0.21,,,
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance / pure,0.013,,,,0.032,,,,-0.859,,,,-0.147,,,,3.1,,,,-0.598,,,,0.058,,,,0.208,,,,-0.1,,,,-0.315,,,
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential / pure,-0.199,,,,-0.096,,,,-0.105,,,,-0.245,,,,-4.263,,,,-1.214,,,,-0.073,,,,-0.023,,,,-0.076,,,,-0.009,,,
EffectiveIncomeTaxRateReconciliationGiltiAmount / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000000.0,12000000.0,,,12000000.0,12000000.0,,,,12000000.0,,,
EffectiveIncomeTaxRateReconciliationNondeductibleExpense / pure,,,,,,,,,0.019,,,,-0.023,,,,0.278,,,,0.393,,,,0.06,,,,-0.034,,,,0.036,,,,0.06,,,
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseImpairmentLosses / pure,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,-0.412,,,,0.0,,,,0.215,,,
EffectiveIncomeTaxRateReconciliationOtherAdjustments / pure,0.027,,,,-0.037,,,,0.049,,,,-0.015,,,,-0.014,,,,0.06,,,,-0.008,,,,-0.002,,,,0.001,,,,0.027,,,
EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitAmount / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13000000.0,-13000000.0,-15000000.0,19000000.0,-13000000.0,13000000.0,15000000.0,19000000.0,,31000000.0,-30000000.0
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes / pure,0.02,,,,0.024,,,,0.124,,,,0.01,,,,0.03,,,,0.043,,,,-0.001,,,,0.009,,,,0.007,,,,0.028,,,
EffectiveIncomeTaxRateReconciliationTaxContingencies / pure,0.075,,,,-0.007,,,,0.058,,,,0.231,,,,-0.084,,,,-6.934,,,,-0.143,,,,0.076,,,,-0.009,,,,-0.156,,,
EffectiveIncomeTaxRateReconciliationTaxCreditsResearch / pure,,,,,,,,,,,,,,,,,,,,,0.07,,,,0.023,,,,-0.084,,,,0.013,,,,0.051,,,
EmployeeRelatedLiabilitiesCurrent / USD,2737000000.0,2902000000.0,2902000000.0,2902000000.0,2902000000.0,2364000000.0,1526000000.0,1526000000.0,1253000000.0,1156000000.0,1156000000.0,1156000000.0,1156000000.0,1412000000.0,1412000000.0,1412000000.0,1412000000.0,1522000000.0,1522000000.0,1522000000.0,1522000000.0,1391000000.0,1391000000.0,1391000000.0,1391000000.0,1778000000.0,1778000000.0,1778000000.0,1778000000.0,1401000000.0,1401000000.0,1401000000.0,1401000000.0,1724000000.0,1724000000.0,1724000000.0,1724000000.0,1356000000.0,1356000000.0,1356000000.0
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense / USD,123000000.0,46000000.0,78000000.0,116000000.0,141000000.0,50000000.0,67000000.0,,106000000.0,,,,131000000.0,,,,159000000.0,,,,56000000.0,,,,50000000.0,,,,51000000.0,,,,70000000.0,,,,75000000.0,,,
EntityCommonStockSharesOutstanding / shares,1742520126.0,1716564087.0,1661714690.0,1665537308.0,1664817197.0,1657704510.0,1642630237.0,1619464166.0,1593885581.0,1553204723.0,1513961241.0,1471648283.0,1398678425.0,1370378287.0,1339148624.0,1305601258.0,1292925893.0,1288341672.0,1284757155.0,1286383563.0,1293499810.0,1301145494.0,1305927541.0,1308050014.0,1293439907.0,1300135740.0,1299330455.0,1286700896.0,1281816851.0,1295869008.0,1291518139.0,1282864719.0,1300000000.0,1300000000.0,1299673270.0,1298668639.0,1315333942.0,1313578244.0,1312215620.0,1319450062.0
EntityPublicFloat / USD,0.0,,,,28699276157.0,,,,30672608482.0,,,,25624852116.0,,,,21263421512.0,,,,12872878346.0,,,,20839669847.0,,,,19960628961.0,,,,18427000000.0,,,,21985000000.0,,,
EquityMethodInvestmentDifferenceBetweenCarryingAmountAndUnderlyingEquity / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677000000.0,,,,649000000.0,,,
EquityMethodInvestmentDividendsOrDistributions / USD,,,,,,,,,0.0,,0.0,0.0,0.0,,47000000.0,47000000.0,98000000.0,,,71000000.0,164000000.0,,,35000000.0,156000000.0,,,38000000.0,165000000.0,,,38000000.0,184000000.0,,,34000000.0,197000000.0,,,43000000.0
EquityMethodInvestmentOtherThanTemporaryImpairment / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,
EquityMethodInvestmentRealizedGainLossOnDisposal / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
EquityMethodInvestments / USD,,,,0.0,0.0,2648000000.0,2648000000.0,2648000000.0,2648000000.0,2535000000.0,2535000000.0,2535000000.0,2535000000.0,2398000000.0,2398000000.0,2398000000.0,2398000000.0,2254000000.0,2254000000.0,2254000000.0,2254000000.0,2170000000.0,2170000000.0,2170000000.0,2170000000.0,2210000000.0,2210000000.0,2210000000.0,2210000000.0,2160000000.0,2160000000.0,2160000000.0,2160000000.0,2197000000.0,2197000000.0,2197000000.0,2197000000.0,929000000.0,929000000.0,929000000.0
EquitySecuritiesFvNiUnrealizedGainLoss / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6000000.0,,,-6000000.0,-6000000.0,,,,
EquitySecuritiesWithoutReadilyDeterminableFairValueImpairmentLossAnnualAmount / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,10000000.0,10000000.0,,,,
FinanceLeaseLiability / USD,,,,,,,,,,,,,,,,,,60000000.0,59000000.0,58000000.0,58000000.0,,,,58000000.0,,,,53000000.0,,,,48000000.0,,,,43000000.0,,,
FinanceLeaseLiabilityCurrent / USD,,,,,,,,,,,,,,,,,,4000000.0,4000000.0,4000000.0,,,,,5000000.0,,,,5000000.0,,,,5000000.0,,,,5000000.0,,,
FinanceLeaseLiabilityNoncurrent / USD,,,,,,,,,,,,,,,,,,56000000.0,55000000.0,54000000.0,,,,,53000000.0,,,,48000000.0,,,,43000000.0,,,,38000000.0,,,
FinanceLeaseLiabilityPaymentsDue / USD,,,,,,,,,,,,,,,,,,72000000.0,70000000.0,69000000.0,68000000.0,,,,61000000.0,,,,55000000.0,,,,48000000.0,,,,41000000.0,,,
FinanceLeaseLiabilityPaymentsDueAfterYearFive / USD,,,,,,,,,,,,,,,,,,41000000.0,41000000.0,,35000000.0,,,,27000000.0,,,,20000000.0,,,,12000000.0,,,,4000000.0,,,
FinanceLeaseLiabilityPaymentsDueNextTwelveMonths / USD,,,,,,,,,,,,,,,,,,,,6000000.0,6000000.0,,,,6000000.0,,,,7000000.0,,,,7000000.0,,,,7000000.0,,,
FinanceLeaseLiabilityPaymentsDueYearFive / USD,,,,,,,,,,,,,,,,,,7000000.0,7000000.0,,7000000.0,,,,7000000.0,,,,7000000.0,,,,8000000.0,,,,8000000.0,,,
FinanceLeaseLiabilityPaymentsDueYearFour / USD,,,,,,,,,,,,,,,,,,7000000.0,7000000.0,7000000.0,7000000.0,,,,7000000.0,,,,7000000.0,,,,7000000.0,,,,8000000.0,,,
FinanceLeaseLiabilityPaymentsDueYearThree / USD,,,,,,,,,,,,,,,,,,6000000.0,6000000.0,7000000.0,7000000.0,,,,7000000.0,,,,7000000.0,,,,7000000.0,,,,7000000.0,,,
FinanceLeaseLiabilityPaymentsDueYearTwo / USD,,,,,,,,,,,,,,,,,,6000000.0,6000000.0,6000000.0,6000000.0,,,,7000000.0,,,,7000000.0,,,,7000000.0,,,,7000000.0,,,
FinanceLeaseLiabilityUndiscountedExcessAmount / USD,,,,,,,,,,,,,,,,,,12000000.0,11000000.0,11000000.0,10000000.0,,,,8000000.0,,,,7000000.0,,,,5000000.0,,,,3000000.0,,,
FinanceLeaseRightOfUseAsset / USD,,,,,,,,,,,,,,,,,61000000.0,52000000.0,51000000.0,49000000.0,,,,,,,,,28000000.0,,,,21000000.0,,,,12000000.0,,,
FinanceLeaseRightOfUseAssetAmortization / USD,,,,,,,,,,,,,,,,,,2000000.0,4000000.0,6000000.0,8000000.0,,,,8000000.0,,,,8000000.0,,,,5000000.0,,,,5000000.0,,,
FinanceLeaseWeightedAverageDiscountRatePercent / pure,,,,,,,,,,,,,,,,,,0.035,0.035,0.035,0.035,,,,0.035,,,,0.035,,,,0.035,,,,0.035,,,
FinancingInterestExpense / USD,,,,,,,,,,,,,,68000000.0,138000000.0,207000000.0,265000000.0,73000000.0,148000000.0,222000000.0,278000000.0,73000000.0,144000000.0,209000000.0,297000000.0,59000000.0,113000000.0,164000000.0,271000000.0,46000000.0,194000000.0,248000000.0,212000000.0,78000000.0,168000000.0,270000000.0,211000000.0,,,
FinancingReceivableAllowanceForCreditLosses / USD,149000000.0,111000000.0,111000000.0,111000000.0,131000000.0,95000000.0,95000000.0,95000000.0,111000000.0,89000000.0,89000000.0,89000000.0,95000000.0,86000000.0,86000000.0,86000000.0,89000000.0,120000000.0,120000000.0,120000000.0,86000000.0,131000000.0,131000000.0,131000000.0,120000000.0,154000000.0,154000000.0,154000000.0,131000000.0,228000000.0,228000000.0,228000000.0,154000000.0,325000000.0,325000000.0,325000000.0,228000000.0,243000000.0,243000000.0,243000000.0
FinancingReceivableAllowanceForCreditLossesWriteOffs / USD,,,,,,,,,,,,,,,,,,,,,,,20000000.0,20000000.0,22000000.0,34000000.0,34000000.0,34000000.0,20000000.0,70000000.0,70000000.0,70000000.0,34000000.0,140000000.0,140000000.0,140000000.0,70000000.0,95000000.0,95000000.0,95000000.0
FinancingReceivableChangeInMethodCreditLossExpenseReversal / USD,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,19000000.0,19000000.0,19000000.0,0.0,-10000000.0,-10000000.0,-10000000.0,19000000.0,,,0.0,-10000000.0,-4000000.0,-4000000.0,-4000000.0
FinancingReceivableRecordedInvestment90DaysPastDueAndStillAccruing / USD,162000000.0,102000000.0,102000000.0,102000000.0,102000000.0,120000000.0,120000000.0,120000000.0,120000000.0,133000000.0,133000000.0,133000000.0,133000000.0,113000000.0,113000000.0,113000000.0,113000000.0,121000000.0,121000000.0,121000000.0,121000000.0,74000000.0,74000000.0,74000000.0,74000000.0,78000000.0,78000000.0,78000000.0,78000000.0,72000000.0,72000000.0,72000000.0,72000000.0,81000000.0,81000000.0,81000000.0,81000000.0,82000000.0,82000000.0,82000000.0
FinancingReceivableRecordedInvestmentNonaccrualStatus / USD,130000000.0,154000000.0,154000000.0,154000000.0,154000000.0,163000000.0,163000000.0,163000000.0,163000000.0,188000000.0,188000000.0,188000000.0,188000000.0,226000000.0,226000000.0,226000000.0,226000000.0,276000000.0,276000000.0,276000000.0,276000000.0,364000000.0,364000000.0,364000000.0,364000000.0,257000000.0,257000000.0,257000000.0,257000000.0,290000000.0,290000000.0,290000000.0,290000000.0,227000000.0,227000000.0,227000000.0,227000000.0,214000000.0,214000000.0,214000000.0
FinancingReceivableSignificantSales / USD,,,,,,,67000000.0,101000000.0,124000000.0,4000000.0,95000000.0,130000000.0,130000000.0,51000000.0,71000000.0,127000000.0,174000000.0,48000000.0,73000000.0,153000000.0,185000000.0,103000000.0,103000000.0,103000000.0,103000000.0,142000000.0,142000000.0,142000000.0,142000000.0,183000000.0,183000000.0,183000000.0,183000000.0,237000000.0,237000000.0,237000000.0,237000000.0,93000000.0,93000000.0,93000000.0
FiniteLivedIntangibleAssetsAccumulatedAmortization / USD,4626000000.0,4684000000.0,4684000000.0,4684000000.0,4684000000.0,1575000000.0,1575000000.0,1575000000.0,584000000.0,,,,521000000.0,,,,709000000.0,,,,859000000.0,,,,840000000.0,,,,785000000.0,,,,1049000000.0,,,,1011000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive / USD,82000000.0,59000000.0,59000000.0,67000000.0,68000000.0,48000000.0,91000000.0,92000000.0,94000000.0,,,,40000000.0,,,,14000000.0,,,,60000000.0,,,,81000000.0,,,,33000000.0,,,,21000000.0,,,,5000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths / USD,751000000.0,342000000.0,345000000.0,340000000.0,339000000.0,278000000.0,383000000.0,383000000.0,281000000.0,,,,248000000.0,,,,325000000.0,,,,313000000.0,,,,291000000.0,,,,267000000.0,,,,250000000.0,,,,152000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive / USD,167000000.0,54000000.0,54000000.0,55000000.0,55000000.0,34000000.0,78000000.0,78000000.0,81000000.0,,,,68000000.0,,,,87000000.0,,,,41000000.0,,,,79000000.0,,,,48000000.0,,,,40000000.0,,,,30000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour / USD,197000000.0,173000000.0,174000000.0,172000000.0,172000000.0,62000000.0,106000000.0,107000000.0,108000000.0,,,,92000000.0,,,,138000000.0,,,,148000000.0,,,,95000000.0,,,,81000000.0,,,,86000000.0,,,,50000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree / USD,237000000.0,204000000.0,203000000.0,202000000.0,202000000.0,202000000.0,248000000.0,248000000.0,176000000.0,,,,126000000.0,,,,172000000.0,,,,200000000.0,,,,207000000.0,,,,96000000.0,,,,120000000.0,,,,95000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo / USD,337000000.0,245000000.0,248000000.0,249000000.0,248000000.0,231000000.0,306000000.0,306000000.0,227000000.0,,,,197000000.0,,,,251000000.0,,,,235000000.0,,,,265000000.0,,,,208000000.0,,,,137000000.0,,,,128000000.0,,,
FiniteLivedIntangibleAssetsNet / USD,1771000000.0,1612000000.0,1412000000.0,1211000000.0,1084000000.0,1134000000.0,1455000000.0,1327000000.0,967000000.0,,,,771000000.0,,,,987000000.0,,,,997000000.0,,,,1018000000.0,,,,733000000.0,,,,654000000.0,,,,460000000.0,,,
FiniteLivedIntangibleAssetsPeriodIncreaseDecrease / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-326000000.0,,,,761000000.0,,,
FinitelivedIntangibleAssetsAcquired1 / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209000000.0,,,,68000000.0,,,
ForeignCurrencyCashFlowHedgeGainLossToBeReclassifiedDuringNext12Months / USD,,,,,,,,,,,,,,,,,,,,99000000.0,30000000.0,69000000.0,-14000000.0,42000000.0,57000000.0,88000000.0,167000000.0,124000000.0,125000000.0,-104000000.0,-66000000.0,-34000000.0,71000000.0,-8000000.0,40000000.0,11000000.0,20000000.0,71000000.0,113000000.0,63000000.0
