fact_unit,2018-08-30,2019-08-23,2020-08-14,2021-08-13,2022-08-19,2022-11-04,2023-02-03,2023-05-05,2023-08-18,2023-11-03,2024-02-02,2024-04-26,2024-08-16,2024-11-01,2025-01-31,2025-05-02,2025-08-15,2025-10-31
Depreciation / USD,,,,,,5300000.0,9600000.0,13700000.0,24200000.0,6300000.0,13500000.0,20900000.0,19300000.0,6900000.0,14000000.0,21300000.0,27800000.0,8900000.0
DepreciationDepletionAndAmortization / USD,,,,,,13304000.0,25602000.0,37841000.0,55950000.0,14620000.0,30096000.0,45619000.0,51739000.0,15084000.0,32096000.0,55560000.0,60923000.0,22827000.0
DerivativeCashReceivedOnHedge / USD,,,,,,,,,,,,,,,,,37700000.0,
DerivativeCostOfHedgeNetOfCashReceived / USD,,,,,,,,,,,,,-3283000.0,,,,17754000.0,
DerivativeFairValueOfDerivativeAsset / USD,,,,,,44052000.0,44052000.0,44052000.0,44052000.0,64210000.0,64210000.0,64210000.0,64210000.0,9292000.0,9292000.0,9292000.0,9292000.0,23234000.0
DerivativeFairValueOfDerivativeLiability / USD,,,,,,24100000.0,24100000.0,24100000.0,24100000.0,10114000.0,10114000.0,10114000.0,10114000.0,1701000.0,1701000.0,1701000.0,1701000.0,2445000.0
DerivativeLiabilitiesCurrent / USD,,,,,,23288000.0,23288000.0,23288000.0,23288000.0,9905000.0,9905000.0,9905000.0,,,1694000.0,1694000.0,,
EarningsPerShareBasic / USD/shares,,,,,,-1.63,-1.72,-1.7,-2.32,-0.05,-0.86,-1.67,-2.05,-0.12,-0.45,-0.4,-1.9,-0.48
EarningsPerShareDiluted / USD/shares,,,,,,-1.63,-1.72,-1.7,-2.32,-0.05,-0.86,-1.67,-2.05,-0.12,-0.45,-0.4,-1.9,-0.48
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations / USD,,,,,,-2109000.0,-2355000.0,-2638000.0,5408000.0,-4939000.0,-1417000.0,-996000.0,-9233000.0,-3280000.0,783000.0,-1986000.0,-1805000.0,3564000.0
EffectiveIncomeTaxRateContinuingOperations / pure,,,,,,,,,-0.13,,,,-0.1,,,,-0.56,
EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitAmount / USD,,,,,,,,,-69276000.0,,,,-41692000.0,,,,80471000.0,
EntityPublicFloat / USD,,,,,,,,,19100000000.0,,,,37100000000.0,,,,39600000000.0,
EquityMethodInvestments / USD,,,,,,88853000.0,88853000.0,88853000.0,88853000.0,85436000.0,85436000.0,85436000.0,88853000.0,85436000.0,85436000.0,85436000.0,85436000.0,74510000.0
EquitySecuritiesFvNiRealizedGain / USD,,,,,,,,,,,,,0.0,,,,0.0,
EquitySecuritiesFvNiRealizedGainLoss / USD,,,,,,,,,14040000.0,0.0,0.0,0.0,,515000.0,515000.0,515000.0,,
EquitySecuritiesFvNiRealizedLoss / USD,,,,,,,,,,,,,0.0,34000.0,0.0,0.0,0.0,34000.0
