fact_unit,2010-10-01,2011-01-27,2011-04-01,2011-07-01,2011-10-07,2012-01-27,2012-04-02,2012-07-02,2012-09-28,2013-01-25,2013-04-02,2013-06-28,2013-09-27,2014-01-29,2014-03-26,2014-06-27,2014-10-02,2015-01-29,2015-03-31,2015-07-01,2015-10-05,2016-01-28,2016-03-29,2016-07-01,2016-10-04,2017-01-25,2017-03-28,2017-06-30,2017-09-28,2018-01-25,2018-03-27,2018-06-28,2018-09-27,2019-01-25,2019-03-26,2019-06-28,2019-10-01,2020-01-28,2020-03-31,2020-06-25,2020-09-29,2021-01-28,2021-03-30,2021-07-01,2021-09-30,2022-01-27,2022-03-29,2022-06-29,2022-10-06,2023-01-26,2023-03-28,2023-06-29,2023-10-03,2024-01-25,2024-03-26,2024-06-27,2024-10-01,2025-01-23,2025-03-25,2025-06-26,2025-10-07
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,,,24500000.0,,,,9400000.0,,,,32000000.0,,,,21300000.0,,,,-100000.0,,,,2800000.0,,,,9300000.0,,,,-29600000.0,,,,23800000.0,,,,-340300000.0,,,,26400000.0,,,,4600000.0,,,,23500000.0,,,,37100000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,,,,,-3200000.0,,,,-1000000.0,,,,1900000.0,,,,-1000000.0,,,,-14800000.0,,,,3000000.0,,,,-8700000.0,,,,-8000000.0,,,,-600000.0,,,,-1100000.0,,,,-9100000.0,,,,-16300000.0,,,,-4300000.0,,,,-12100000.0,,,
DeferredGainLossOnDiscontinuationOfInterestRateFairValueHedge / USD,,,,,6200000.0,5900000.0,5700000.0,5800000.0,5000000.0,5000000.0,4900000.0,4900000.0,4600000.0,4100000.0,2800000.0,4900000.0,-2400000.0,-2000000.0,-2100000.0,-1900000.0,-2400000.0,-2900000.0,-2800000.0,-2800000.0,-2800000.0,-2100000.0,-2300000.0,-1900000.0,-2300000.0,-2400000.0,-2300000.0,-2400000.0,-1000000.0,-800000.0,-900000.0,-800000.0,-800000.0,-600000.0,-500000.0,-400000.0,-400000.0,-300000.0,100000.0,100000.0,100000.0,100000.0,200000.0,200000.0,200000.0,200000.0,600000.0,600000.0,600000.0,600000.0,2700000.0,2700000.0,2700000.0,2700000.0,1600000.0,1600000.0,1600000.0
DeferredIncomeTaxExpenseBenefit / USD,,-8800000.0,,,,24000000.0,,,,10500000.0,,,,38000000.0,,,,24300000.0,,,,-15300000.0,,,,6100000.0,,,,1000000.0,,,,-40000000.0,,,,24100000.0,,,,-339900000.0,,,,20900000.0,,,,-11200000.0,,,,36000000.0,,,,21800000.0,,,
DeferredIncomeTaxLiabilities / USD,,,,,,,,,,,,,,,,,,,,,,240100000.0,,,,273700000.0,,,,306700000.0,,,,1304400000.0,,,,865900000.0,,,,858600000.0,,,,940900000.0,,,,948000000.0,,,,971300000.0,,,,992200000.0,,,
DeferredIncomeTaxLiabilitiesNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706400000.0,701200000.0,697600000.0,727200000.0,727200000.0,727200000.0,727200000.0,792300000.0,792300000.0,792300000.0,792300000.0,866300000.0,866300000.0,866300000.0,866300000.0,861200000.0,861200000.0,861200000.0,861200000.0,840500000.0,840500000.0,840500000.0
DeferredIncomeTaxesAndTaxCredits / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1200000.0,1700000.0,,-2800000.0,-27800000.0,-37200000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,,,,2700000.0,,,,2100000.0,,,,4100000.0,,,,4000000.0,,,,-400000.0,,,,300000.0,,,,400000.0,,,,-2400000.0,,,,900000.0,,,,1500000.0,,,,3600000.0,,,,500000.0,,,,16800000.0,,,,-3200000.0,,,
DeferredTaxAssetsInProcessResearchAndDevelopment / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,31400000.0,,,
DeferredTaxAssetsInventory / USD,,,,,,9500000.0,,,,14600000.0,,,,14900000.0,,,,11100000.0,,,,10800000.0,,,,6100000.0,,,,5500000.0,,,,12400000.0,,,,8000000.0,,,,7500000.0,,,,10600000.0,,,,12900000.0,,,,17400000.0,,,,18900000.0,,,
DeferredTaxAssetsNet / USD,,,,,,182900000.0,,,,198400000.0,,,,230400000.0,,,,174600000.0,,,,208500000.0,,,,219900000.0,,,,276100000.0,,,,253800000.0,,,,199200000.0,,,,205600000.0,,,,281900000.0,,,,222800000.0,,,,177500000.0,,,,214900000.0,,,
DeferredTaxAssetsOperatingLossCarryforwardsForeign / USD,,,,,,115800000.0,,,,145900000.0,,,,155000000.0,,,,142300000.0,,,,140200000.0,,,,137100000.0,,,,194200000.0,,,,195900000.0,,,,183300000.0,,,,214400000.0,,,,186200000.0,,,,162600000.0,,,,171000000.0,,,,178100000.0,,,
DeferredTaxAssetsOperatingLossCarryforwardsNotSubjectToExpiration / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126800000.0,,,,78400000.0,,,,86800000.0,,,,98600000.0,,,,115800000.0,,,
DeferredTaxAssetsOther / USD,,,,,,20000000.0,,,,11600000.0,,,,11800000.0,,,,9500000.0,,,,11700000.0,,,,12300000.0,,,,15100000.0,,,,18700000.0,,,,44200000.0,,,,48100000.0,,,,47900000.0,,,,21700000.0,,,,22700000.0,,,,27700000.0,,,
DeferredTaxAssetsTaxCreditCarryforwards / USD,,,,,,7100000.0,,,,25000000.0,,,,19300000.0,,,,17500000.0,,,,14900000.0,,,,14800000.0,,,,12300000.0,,,,50200000.0,,,,57200000.0,,,,46800000.0,,,,59700000.0,,,,56600000.0,,,,59700000.0,,,,63800000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits / USD,,,,,,127500000.0,,,,152300000.0,,,,165200000.0,,,,110300000.0,,,,145000000.0,,,,148400000.0,,,,184500000.0,,,,146800000.0,,,,82700000.0,,,,103300000.0,,,,121900000.0,,,,91200000.0,,,,49900000.0,,,,46600000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities / USD,,,,,,24600000.0,,,,16600000.0,,,,16300000.0,,,,23500000.0,,,,23900000.0,,,,27800000.0,,,,42200000.0,,,,51700000.0,,,,40000000.0,,,,32300000.0,,,,40300000.0,,,,39800000.0,,,,36100000.0,,,,38800000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,,,,,22900000.0,,,,26600000.0,,,,27500000.0,,,,21200000.0,,,,21800000.0,,,,14600000.0,,,,10500000.0,,,,26000000.0,,,,32900000.0,,,,32400000.0,,,,31500000.0,,,,32700000.0,,,,26400000.0,,,,25900000.0,,,
