fact_unit,2023-06-02,2023-08-02,2023-11-03,2024-03-01,2024-05-09,2024-08-06,2024-11-07,2025-02-24,2025-05-08,2025-08-07,2025-11-03
NetCashProvidedByUsedInFinancingActivities / USD,-210000000.0,-885000000.0,-1520000000.0,0.0,7388000000.0,-1418000000.0,-2144000000.0,-1583000000.0,-326000000.0,-816000000.0,-978000000.0
NetCashProvidedByUsedInInvestingActivities / USD,-42000000.0,-115000000.0,-223000000.0,-171000000.0,-41000000.0,-118000000.0,-223000000.0,-390000000.0,-152000000.0,-237000000.0,-293000000.0
NetCashProvidedByUsedInOperatingActivities / USD,338000000.0,1145000000.0,1881000000.0,334000000.0,802000000.0,1544000000.0,2218000000.0,2525000000.0,287000000.0,727000000.0,976000000.0
NetIncomeLoss / USD,528000000.0,1132000000.0,1703000000.0,2078000000.0,469000000.0,899000000.0,1337000000.0,2064000000.0,296000000.0,354000000.0,737000000.0
NoncurrentAssets / USD,,,,1820000000.0,,,,2042000000.0,,,
NonoperatingIncomeExpense / USD,1000000.0,6000000.0,-19000000.0,5000000.0,-30000000.0,-40000000.0,-65000000.0,-38000000.0,-28000000.0,-25000000.0,-6000000.0
NumberOfReportableSegments / Segment,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
OciBeforeReclassificationsNetOfTaxAttributableToParent / USD,,,,-897000000.0,228000000.0,-40000000.0,-265000000.0,-967000000.0,-299000000.0,-452000000.0,25000000.0
OperatingIncomeLoss / USD,611000000.0,1381000000.0,2144000000.0,2920000000.0,640000000.0,1342000000.0,2052000000.0,2675000000.0,550000000.0,704000000.0,1358000000.0
OperatingLeaseCost / USD,,,,54000000.0,,,,42000000.0,,,
OperatingLeaseLiability / USD,,116000000.0,116000000.0,116000000.0,141000000.0,141000000.0,141000000.0,141000000.0,,,
OperatingLeaseLiabilityCurrent / USD,35000000.0,35000000.0,35000000.0,35000000.0,44000000.0,44000000.0,44000000.0,44000000.0,36000000.0,36000000.0,36000000.0
OperatingLeaseLiabilityNoncurrent / USD,81000000.0,81000000.0,81000000.0,81000000.0,97000000.0,97000000.0,97000000.0,97000000.0,76000000.0,76000000.0,76000000.0
OperatingLeasePayments / USD,,,,55000000.0,,,,43000000.0,,,
OperatingLeaseRightOfUseAsset / USD,,110000000.0,110000000.0,110000000.0,139000000.0,139000000.0,139000000.0,139000000.0,,,
OperatingLeaseWeightedAverageDiscountRatePercent / pure,,,,0.023,,,,0.023,,,
OtherAccruedLiabilitiesCurrent / USD,152000000.0,152000000.0,152000000.0,152000000.0,428000000.0,428000000.0,428000000.0,428000000.0,321000000.0,321000000.0,321000000.0
OtherAccruedLiabilitiesNoncurrent / USD,62000000.0,62000000.0,62000000.0,62000000.0,65000000.0,65000000.0,65000000.0,65000000.0,132000000.0,132000000.0,132000000.0
OtherAssetImpairmentCharges / USD,,,,,,0.0,22000000.0,12000000.0,,22000000.0,22000000.0
OtherAssetsCurrent / USD,123000000.0,123000000.0,123000000.0,123000000.0,265000000.0,265000000.0,265000000.0,265000000.0,205000000.0,205000000.0,205000000.0
OtherAssetsNoncurrent / USD,434000000.0,434000000.0,434000000.0,434000000.0,623000000.0,623000000.0,623000000.0,623000000.0,726000000.0,726000000.0,726000000.0
OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax / USD,-3000000.0,-2000000.0,9000000.0,0.0,39000000.0,31000000.0,27000000.0,10000000.0,-21000000.0,-33000000.0,-22000000.0
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax / USD,-280000000.0,-1115000000.0,-1734000000.0,-923000000.0,163000000.0,-9000000.0,-260000000.0,-1045000000.0,-280000000.0,-432000000.0,41000000.0
OtherComprehensiveIncomeLossNetOfTax / USD,-281000000.0,-1114000000.0,-1721000000.0,-898000000.0,216000000.0,26000000.0,-214000000.0,-972000000.0,-298000000.0,,
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent / USD,-281000000.0,,,-898000000.0,216000000.0,-47000000.0,-287000000.0,-972000000.0,-298000000.0,-458000000.0,18000000.0
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeTax / USD,,,,,,,,-92000000.0,,,
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax / USD,-3000000.0,-4000000.0,-5000000.0,-25000000.0,-14000000.0,-4000000.0,-19000000.0,-63000000.0,-3000000.0,-6000000.0,1000000.0
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansNetUnamortizedGainLossArisingDuringPeriodBeforeTax / USD,,,,,,,,82000000.0,,,
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossBeforeTax / USD,,,,,,,,-4000000.0,,,
OtherComprehensiveIncomeLossTaxPortionAttributableToParent1 / USD,,,,,33000000.0,-2000000.0,-13000000.0,,8000000.0,6000000.0,-1000000.0
OtherGeneralExpense / USD,52000000.0,116000000.0,197000000.0,272000000.0,69000000.0,143000000.0,219000000.0,298000000.0,87000000.0,176000000.0,258000000.0
OtherLiabilitiesNoncurrent / USD,727000000.0,727000000.0,727000000.0,727000000.0,491000000.0,491000000.0,491000000.0,491000000.0,536000000.0,536000000.0,536000000.0
OtherNoncashIncomeExpense / USD,2000000.0,0.0,-8000000.0,5000000.0,0.0,-12000000.0,11000000.0,-14000000.0,-5000000.0,-19000000.0,-36000000.0
OtherNonoperatingIncomeExpense / USD,1000000.0,4000000.0,4000000.0,25000000.0,-7000000.0,-5000000.0,-7000000.0,3000000.0,-1000000.0,2000000.0,1000000.0
OtherNonrecurringIncomeExpense / USD,,,,-10000000.0,-1000000.0,0.0,16000000.0,3000000.0,4000000.0,1000000.0,4000000.0
OtherOperatingIncomeExpenseNet / USD,5000000.0,-8000000.0,6000000.0,-15000000.0,17000000.0,16000000.0,7000000.0,35000000.0,-10000000.0,-22000000.0,-29000000.0
OtherPostretirementDefinedBenefitPlanLiabilitiesCurrentAndNoncurrent / USD,,,,5000000.0,,,,5000000.0,,,
OtherShortTermBorrowings / USD,,,,,0.0,0.0,0.0,0.0,5000000.0,5000000.0,5000000.0
PaymentForContingentConsiderationLiabilityFinancingActivities / USD,,0.0,0.0,0.0,,13788000000.0,13788000000.0,0.0,,,
PaymentsForProceedsFromOtherInvestingActivities / USD,5000000.0,4000000.0,15000000.0,-47000000.0,0.0,0.0,-9000000.0,23000000.0,-1000000.0,-6000000.0,-9000000.0
PaymentsForRepurchaseOfCommonStock / USD,,,,,0.0,0.0,0.0,0.0,91000000.0,91000000.0,114000000.0
PaymentsForRestructuring / USD,,,,,6000000.0,39000000.0,70000000.0,116000000.0,89000000.0,127000000.0,214000000.0
PaymentsOfDividends / USD,,,0.0,0.0,0.0,0.0,383000000.0,0.0,383000000.0,766000000.0,1159000000.0
PaymentsToAcquirePropertyPlantAndEquipment / USD,37000000.0,113000000.0,216000000.0,295000000.0,55000000.0,132000000.0,246000000.0,375000000.0,153000000.0,243000000.0,302000000.0
PensionAndOtherPostretirementDefinedBenefitPlansCurrentLiabilities / USD,,,,,,,,9000000.0,,,
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent / USD,,,,,,,,338000000.0,,,
PostemploymentBenefitsLiabilityCurrentAndNoncurrent / USD,,,,0.0,,,,39000000.0,,,
PostemploymentBenefitsPeriodExpense / USD,,,,49000000.0,,,,46000000.0,,,
PreferredStockParOrStatedValuePerShare / USD/shares,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
PreferredStockSharesAuthorized / shares,,750000000.0,750000000.0,750000000.0,750000000.0,750000000.0,750000000.0,750000000.0,750000000.0,750000000.0,750000000.0
PreferredStockSharesIssued / shares,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PreferredStockSharesOutstanding / shares,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PreferredStockValue / USD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrepaidExpenseAndOtherAssetsCurrent / USD,175000000.0,175000000.0,175000000.0,175000000.0,567000000.0,567000000.0,567000000.0,567000000.0,494000000.0,494000000.0,494000000.0
ProceedsFromCollectionOfOtherReceivables / USD,,0.0,0.0,0.0,,8941000000.0,8941000000.0,0.0,,,
ProceedsFromIssuanceInitialPublicOffering / USD,,0.0,0.0,0.0,,4241000000.0,4241000000.0,0.0,,,
ProceedsFromIssuanceOfCommercialPaper / USD,,0.0,0.0,0.0,0.0,742000000.0,497000000.0,0.0,160000000.0,,
ProceedsFromIssuanceOfUnsecuredDebt / USD,,0.0,0.0,0.0,7686000000.0,7686000000.0,7686000000.0,0.0,,0.0,0.0
ProceedsFromPaymentsForOtherFinancingActivities / USD,,0.0,0.0,0.0,0.0,-11000000.0,-109000000.0,0.0,-12000000.0,-9000000.0,37000000.0
ProceedsFromRepaymentsOfCommercialPaper / USD,,,,,,,,,,50000000.0,258000000.0
ProceedsFromRepaymentsOfNotesPayable / USD,6000000.0,7000000.0,22000000.0,-7000000.0,-12000000.0,-14000000.0,-14000000.0,14000000.0,,,
ProceedsFromSalesOfAssetsInvestingActivities / USD,0.0,2000000.0,8000000.0,77000000.0,14000000.0,14000000.0,14000000.0,,,,
ProceedsFromStockOptionsExercised / USD,,,,7000000.0,,,,95000000.0,,,
PropertyPlantAndEquipmentGross / USD,,,,5700000000.0,,,,6243000000.0,,,
PropertyPlantAndEquipmentNet / USD,1820000000.0,1820000000.0,1820000000.0,1820000000.0,2042000000.0,2042000000.0,2042000000.0,2042000000.0,1849000000.0,1849000000.0,1849000000.0
ProvisionForDoubtfulAccounts / USD,,,,4000000.0,3000000.0,5000000.0,8000000.0,9000000.0,,,
ReclassificationFromAociCurrentPeriodNetOfTaxAttributableToParent / USD,,,,1000000.0,12000000.0,7000000.0,22000000.0,5000000.0,-1000000.0,6000000.0,7000000.0
RepaymentsOfSeniorDebt / USD,,,,,,,,,0.0,0.0,0.0
ResearchAndDevelopmentExpense / USD,88000000.0,182000000.0,272000000.0,355000000.0,89000000.0,188000000.0,266000000.0,375000000.0,100000000.0,205000000.0,302000000.0
RestructuringAndRelatedCostCostIncurredToDate1 / USD,,,,,,108000000.0,146000000.0,221000000.0,288000000.0,356000000.0,
RestructuringAndRelatedCostExpectedCost1 / USD,,,,,,550000000.0,550000000.0,550000000.0,550000000.0,550000000.0,550000000.0
RestructuringCharges / USD,,,,117000000.0,0.0,0.0,0.0,0.0,41000000.0,89000000.0,120000000.0
RestructuringReserve / USD,,,,,0.0,0.0,0.0,0.0,93000000.0,93000000.0,93000000.0
RetainedEarningsAccumulatedDeficit / USD,,0.0,0.0,0.0,429000000.0,429000000.0,429000000.0,429000000.0,-93000000.0,-93000000.0,-93000000.0
RevenueFromContractWithCustomerExcludingAssessedTax / USD,3590000000.0,7394000000.0,11183000000.0,15054000000.0,3852000000.0,7863000000.0,11778000000.0,14950000000.0,3894000000.0,7894000000.0,11793000000.0
RightOfUseAssetObtainedInExchangeForFinanceLeaseLiability / USD,,,,,93000000.0,109000000.0,109000000.0,109000000.0,,,
RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability / USD,,,,0.0,,,,0.0,,,
SaleOfStockPricePerShare / USD/shares,,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,
SellingGeneralAndAdministrativeExpense / USD,1350000000.0,2725000000.0,4101000000.0,5484000000.0,1502000000.0,3024000000.0,4555000000.0,5633000000.0,1573000000.0,3214000000.0,4804000000.0
SeniorNotesCurrent / USD,,,,,,,,,750000000.0,750000000.0,750000000.0
ShareBasedCompensation / USD,35000000.0,76000000.0,106000000.0,141000000.0,35000000.0,73000000.0,75000000.0,137000000.0,81000000.0,142000000.0,200000000.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate / pure,,,0.032,0.032,,,,0.032,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMaximum / pure,,,0.214,0.214,,,,0.214,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMinimum / pure,,,0.162,0.165,,,,0.165,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMaximum / pure,,,0.054,0.054,,,,0.054,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMinimum / pure,,,0.042,0.042,,,,0.042,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber / shares,,,,20303000.0,,,,29100000.0,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice / USD/shares,,,,17.93,,,,19.94,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue / USD,,,,56000000.0,,,,64000000.0,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod / shares,,,,725000.0,,,,5338000.0,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice / USD/shares,,,,21.72,,,,21.27,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross / shares,,,57000000.0,57000000.0,13496000.0,13496000.0,13496000.0,57000000.0,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue / USD/shares,,,,20.86,3.17,3.17,3.17,23.23,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue / USD,,,,83000000.0,,,,83000000.0,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber / shares,,,,0.0,,,,64188000.0,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice / USD/shares,,,,0.0,,,,20.6,,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice / USD/shares,,,,16.2,,,,18.3,,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice / USD/shares,,,,20.36,,,,19.01,,,
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1 / USD,,,,73000000.0,,,,54000000.0,,,
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsNonvestedWeightedAverageGrantDateFairValue / USD/shares,,,20.62,21.01,,,,21.01,,,
ShortTermDebtWeightedAverageInterestRate / pure,,,,,,,,0.055,,,
StockIssuedDuringPeriodSharesStockOptionsExercised / shares,,,,478000.0,,,,5530000.0,,,
StockIssuedDuringPeriodValueNewIssues / USD,,4241000000.0,4241000000.0,4241000000.0,,4241000000.0,4241000000.0,4241000000.0,,,
StockIssuedDuringPeriodValueShareBasedCompensation / USD,,,,8000000.0,-12000000.0,-6000000.0,35000000.0,8000000.0,-12000000.0,-6000000.0,35000000.0
StockRepurchaseProgramNumberOfSharesAuthorizedToBeRepurchased / shares,,,27000000.0,27000000.0,,,,27000000.0,,,
StockholdersEquity / USD,20399000000.0,20399000000.0,20491000000.0,18398000000.0,19970000000.0,19970000000.0,19970000000.0,20491000000.0,11211000000.0,11211000000.0,11211000000.0
SupplierFinanceProgramObligationCurrent / USD,,293000000.0,293000000.0,293000000.0,227000000.0,227000000.0,227000000.0,227000000.0,260000000.0,260000000.0,260000000.0
SupplierFinanceProgramObligationDecreaseSettlement / USD,,,,,,,,1060000000.0,,,
SupplierFinanceProgramObligationIncrease / USD,,,,,,,,1093000000.0,,,
TreasuryStockCommonShares / shares,,,,350000.0,350000.0,350000.0,350000.0,350000.0,11208000.0,11208000.0,11208000.0
TreasuryStockCommonValue / USD,,,,0.0,7000000.0,7000000.0,7000000.0,7000000.0,242000000.0,242000000.0,242000000.0
TreasuryStockSharesAcquired / shares,,,,350000.0,,,,10858444.0,,,
TreasuryStockValueAcquiredCostMethod / USD,,,,7000000.0,91000000.0,91000000.0,114000000.0,7000000.0,91000000.0,91000000.0,114000000.0
UnrecognizedTaxBenefits / USD,563000000.0,235000000.0,226000000.0,519000000.0,174000000.0,173000000.0,184000000.0,469000000.0,185000000.0,199000000.0,205000000.0
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions / USD,,,,40000000.0,,,,49000000.0,,,
UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities / USD,,,,15000000.0,,,,5000000.0,,,
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions / USD,,,,31000000.0,,,,32000000.0,,,
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions / USD,,,,2000000.0,,,,7000000.0,,,
UnrecognizedTaxBenefitsInterestOnIncomeTaxesAccrued / USD,,,,147000000.0,,,,19000000.0,,,
UnrecognizedTaxBenefitsInterestOnIncomeTaxesExpense / USD,,,,16000000.0,,,,13000000.0,,,
UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations / USD,,,,28000000.0,,,,17000000.0,,,
UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate / USD,,,,169000000.0,,,,161000000.0,,,
ValuationAllowanceDeferredTaxAssetChangeInAmount / USD,171000000.0,188000000.0,51000000.0,42000000.0,,,,64000000.0,,,
WeightedAverageNumberOfDilutedSharesOutstanding / shares,1716000000.0,1716000000.0,1716000000.0,1716160000.0,1716000000.0,1777000000.0,1827000000.0,1716000000.0,1920000000.0,1920000000.0,1921000000.0
WeightedAverageNumberOfSharesOutstandingBasic / shares,1716000000.0,1716000000.0,1716000000.0,1716160000.0,1716000000.0,1777000000.0,1823000000.0,1716000000.0,1915000000.0,1915000000.0,1915000000.0
