fact_unit,2017-05-18,2017-08-04,2017-11-03,2018-02-26,2018-05-04,2018-06-15,2018-08-06,2018-11-02,2019-02-28,2019-05-03,2019-08-02,2019-11-05,2020-02-28,2020-05-05,2020-08-05,2020-11-04,2021-02-26,2021-05-04,2021-08-05,2021-11-05,2022-02-25,2022-05-06,2022-08-05,2022-11-04,2023-03-01,2023-05-09,2023-08-09,2023-11-07,2024-02-29,2024-05-10,2024-08-09,2024-11-08,2025-02-28,2025-05-08,2025-08-08,2025-11-07
DerivativeGainLossOnDerivativeNet / USD,,,,,173000000.0,,141000000.0,312000000.0,,-391000000.0,-286000000.0,-508000000.0,64000000.0,178000000.0,596000000.0,47000000.0,-848000000.0,-27000000.0,-2000000.0,161000000.0,121000000.0,201000000.0,70000000.0,-516000000.0,49000000.0,-621000000.0,-2517000000.0,-2955000000.0,-383000000.0,346000000.0,390000000.0,-629000000.0,,-129000000.0,-72000000.0,1699000000.0
DerivativeInstrumentsAndHedges / USD,350000000.0,350000000.0,350000000.0,350000000.0,190000000.0,350000000.0,190000000.0,190000000.0,190000000.0,730000000.0,730000000.0,730000000.0,730000000.0,1333000000.0,1333000000.0,1333000000.0,1333000000.0,748000000.0,748000000.0,748000000.0,748000000.0,2513000000.0,2513000000.0,2513000000.0,2513000000.0,4538000000.0,4538000000.0,4538000000.0,4538000000.0,3645000000.0,3645000000.0,3645000000.0,3645000000.0,2587000000.0,2587000000.0,2587000000.0
DerivativeInstrumentsAndHedgesLiabilities / USD,359000000.0,359000000.0,359000000.0,359000000.0,224000000.0,359000000.0,224000000.0,224000000.0,224000000.0,1376000000.0,1376000000.0,1376000000.0,1376000000.0,1529000000.0,1529000000.0,1529000000.0,1529000000.0,789000000.0,789000000.0,789000000.0,789000000.0,3023000000.0,3023000000.0,3023000000.0,3023000000.0,6610000000.0,6610000000.0,6610000000.0,6610000000.0,5258000000.0,5258000000.0,5258000000.0,5258000000.0,3351000000.0,3351000000.0,3351000000.0
DerivativeInstrumentsAndHedgesNoncurrent / USD,64000000.0,64000000.0,64000000.0,64000000.0,58000000.0,64000000.0,58000000.0,58000000.0,58000000.0,109000000.0,109000000.0,109000000.0,109000000.0,136000000.0,136000000.0,136000000.0,136000000.0,258000000.0,258000000.0,258000000.0,258000000.0,250000000.0,250000000.0,250000000.0,250000000.0,702000000.0,702000000.0,702000000.0,702000000.0,577000000.0,577000000.0,577000000.0,577000000.0,740000000.0,740000000.0,740000000.0
DerivativeLiabilityCollateralRightToReclaimCashOffset / USD,193000000.0,193000000.0,193000000.0,193000000.0,113000000.0,193000000.0,113000000.0,113000000.0,113000000.0,619000000.0,619000000.0,619000000.0,619000000.0,1113000000.0,1113000000.0,1113000000.0,1113000000.0,138000000.0,138000000.0,138000000.0,739000000.0,784000000.0,784000000.0,784000000.0,2070000000.0,1675000000.0,1675000000.0,1675000000.0,4544000000.0,970000000.0,970000000.0,970000000.0,,,,
DerivativeLiabilityFairValueGrossAsset / USD,,,,,,,,,,,,,,,,,,739000000.0,739000000.0,739000000.0,,2070000000.0,2070000000.0,2070000000.0,,4544000000.0,4544000000.0,4544000000.0,,3547000000.0,3547000000.0,3547000000.0,,,,
DividendsCommonStock / USD,,,,,,,,,,,,,243000000.0,,,181000000.0,243000000.0,66000000.0,132000000.0,198000000.0,243000000.0,74000000.0,147000000.0,219000000.0,266000000.0,77000000.0,152000000.0,227000000.0,290000000.0,77000000.0,77000000.0,77000000.0,302000000.0,77000000.0,77000000.0,77000000.0
DividendsPreferredStock / USD,,,,,,,,,,,,,,,,,,,,,,37000000.0,76000000.0,113000000.0,151000000.0,37000000.0,76000000.0,113000000.0,151000000.0,37000000.0,37000000.0,37000000.0,151000000.0,37000000.0,37000000.0,37000000.0
EarningsPerShareBasic / USD/shares,,,,,0.18,,0.12,0.76,,-0.71,-0.41,0.26,-0.59,0.45,1.16,1.43,-0.11,0.11,0.45,1.36,1.88,-4.21,-4.13,-4.14,1.3,-0.72,-3.92,-2.53,-2.69,1.72,2.91,4.18,-3.26,-0.24,0.67,5.99
EarningsPerShareDiluted / USD/shares,,,,,0.18,,0.12,0.76,,-0.71,-0.41,0.26,-0.59,0.44,1.15,1.42,-0.11,0.11,0.45,1.35,1.86,-4.21,-4.13,-4.14,1.3,-0.72,-3.92,-2.53,-2.69,1.71,2.88,4.13,-3.26,-0.24,0.66,5.86
EffectiveIncomeTaxRateContinuingOperations / pure,,,,,0.345,,0.388,0.466,,0.225,0.448,0.193,2.016,0.256,0.28,0.281,0.446,0.274,0.287,0.303,0.238,0.192,0.23,0.222,0.299,0.243,0.233,0.214,0.266,0.203,0.204,0.219,0.224,10.0,0.223,0.23
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.21,0.21,0.21,0.35,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense / USD,,,,,,,,,,,,,7000000.0,,,,15000000.0,,,,9000000.0,,,,15000000.0,,,,12000000.0,,,,15000000.0,,,
EntityCommonStockSharesOutstanding / shares,427587401.0,427589702.0,428210147.0,428447631.0,522955994.0,428447631.0,518617157.0,504446340.0,485894408.0,482614988.0,491679984.0,487394276.0,487734006.0,488578428.0,488780072.0,489133516.0,483716012.0,482055018.0,482518768.0,482627520.0,448803986.0,431822253.0,416348199.0,397953513.0,381453001.0,373027363.0,367570248.0,357552337.0,347885110.0,347460001.0,343561403.0,340226219.0,338963642.0,339331954.0,338820324.0,338825490.0
EntityPublicFloat / USD,,,,5404454926.0,,5404454926.0,,,8592448694.0,,,,8654325784.0,,,,9084469142.0,,,,8921038713.0,,,,9583092896.0,,,,9654651880.0,,,,29500179937.0,,,
FinanceLeaseInterestExpense / USD,,,,,,,,,,,1000000.0,2000000.0,4000000.0,,,,4000000.0,,,,4000000.0,,,,7000000.0,,,,10000000.0,,,,12000000.0,,,
FinanceLeaseLiability / USD,,,,,,,,,,14000000.0,79000000.0,95000000.0,86000000.0,,,,214000000.0,,,,243000000.0,,,,246000000.0,,,,236000000.0,,,,227000000.0,,,
FinanceLeaseLiabilityCurrent / USD,,,,,,,,,,2000000.0,5000000.0,7000000.0,8000000.0,,,,8000000.0,,,,8000000.0,,,,8000000.0,,,,9000000.0,,,,9000000.0,,,
FinanceLeaseLiabilityNoncurrent / USD,,,,,,,,,,0.0,0.0,0.0,0.0,78000000.0,78000000.0,78000000.0,78000000.0,206000000.0,206000000.0,206000000.0,206000000.0,235000000.0,235000000.0,235000000.0,235000000.0,237000000.0,237000000.0,237000000.0,237000000.0,227000000.0,227000000.0,227000000.0,227000000.0,218000000.0,218000000.0,218000000.0
FinanceLeaseLiabilityPaymentsDue / USD,,,,,,,,,,19000000.0,119000000.0,137000000.0,123000000.0,,,,476000000.0,,,,450000000.0,,,,446000000.0,,,,424000000.0,,,,403000000.0,,,
FinanceLeaseLiabilityPaymentsDueAfterYearFive / USD,,,,,,,,,,7000000.0,79000000.0,85000000.0,69000000.0,,,,385000000.0,,,,369000000.0,,,,358000000.0,,,,345000000.0,,,,331000000.0,,,
FinanceLeaseLiabilityPaymentsDueNextTwelveMonths / USD,,,,,,,,,,,,,12000000.0,,,,14000000.0,,,,17000000.0,,,,21000000.0,,,,20000000.0,,,,19000000.0,,,
FinanceLeaseLiabilityPaymentsDueYearFive / USD,,,,,,,,,,2000000.0,9000000.0,12000000.0,10000000.0,,,,19000000.0,,,,14000000.0,,,,13000000.0,,,,13000000.0,,,,13000000.0,,,
FinanceLeaseLiabilityPaymentsDueYearFour / USD,,,,,,,,,,2000000.0,9000000.0,12000000.0,10000000.0,,,,19000000.0,,,,17000000.0,,,,14000000.0,,,,13000000.0,,,,13000000.0,,,
FinanceLeaseLiabilityPaymentsDueYearThree / USD,,,,,,,,,,3000000.0,9000000.0,12000000.0,11000000.0,,,,19000000.0,,,,17000000.0,,,,20000000.0,,,,14000000.0,,,,13000000.0,,,
FinanceLeaseLiabilityPaymentsDueYearTwo / USD,,,,,,,,,,3000000.0,9000000.0,13000000.0,11000000.0,,,,20000000.0,,,,16000000.0,,,,20000000.0,,,,19000000.0,,,,14000000.0,,,
FinanceLeaseLiabilityUndiscountedExcessAmount / USD,,,,,,,,,,5000000.0,40000000.0,42000000.0,-37000000.0,,,,262000000.0,,,,207000000.0,,,,200000000.0,,,,188000000.0,,,,176000000.0,,,
FinanceLeaseRightOfUseAsset / USD,,,,,,,,,,14000000.0,61000000.0,0.0,0.0,59000000.0,59000000.0,59000000.0,59000000.0,182000000.0,182000000.0,182000000.0,182000000.0,173000000.0,173000000.0,173000000.0,173000000.0,173000000.0,173000000.0,173000000.0,173000000.0,160000000.0,160000000.0,160000000.0,160000000.0,,,
FinanceLeaseRightOfUseAssetAccumulatedAmortization / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33000000.0,33000000.0,33000000.0
FinanceLeaseRightOfUseAssetAmortization / USD,,,,,,,,,,1000000.0,2000000.0,3000000.0,4000000.0,,,,4000000.0,,,,4000000.0,,,,7000000.0,,,,9000000.0,,,,9000000.0,,,
FinanceLeaseRightOfUseAssetBeforeAccumulatedAmortization / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186000000.0,186000000.0,186000000.0
FinanceLeaseWeightedAverageDiscountRatePercent / pure,,,,,,,,,,0.0636,0.0607,0.0583,0.0584,,,,0.0584,,,,0.0492,,,,0.0495,,,,0.0481,,,,0.0481,,,
FiniteLivedIntangibleAssetsAccumulatedAmortization / USD,203000000.0,203000000.0,203000000.0,203000000.0,717000000.0,203000000.0,717000000.0,717000000.0,717000000.0,1134000000.0,1134000000.0,1134000000.0,1134000000.0,1478000000.0,1478000000.0,1478000000.0,1478000000.0,1844000000.0,1844000000.0,1844000000.0,1844000000.0,2065000000.0,2065000000.0,2065000000.0,2065000000.0,2247000000.0,2247000000.0,2247000000.0,2247000000.0,2414000000.0,2414000000.0,2414000000.0,2414000000.0,2641000000.0,2641000000.0,2641000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths / USD,526000000.0,546000000.0,560000000.0,367000000.0,368000000.0,367000000.0,,,,,,,,,,,,,,,,,,,,,,,,141000000.0,222000000.0,222000000.0,231000000.0,177000000.0,170000000.0,168000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167000000.0,306000000.0,313000000.0,,237000000.0,227000000.0,218000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour / USD,195000000.0,196000000.0,198000000.0,142000000.0,142000000.0,142000000.0,,,,,,,,,,,,,,,,,,,,,,,,32000000.0,42000000.0,42000000.0,51000000.0,41000000.0,33000000.0,37000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree / USD,267000000.0,266000000.0,266000000.0,191000000.0,192000000.0,191000000.0,,,,,,,,,,,,,,,,,,,,,,,,49000000.0,62000000.0,63000000.0,72000000.0,59000000.0,51000000.0,53000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo / USD,369000000.0,370000000.0,374000000.0,268000000.0,268000000.0,268000000.0,,,,,,,,,,,,,,,,,,,,,,,,77000000.0,158000000.0,158000000.0,167000000.0,80000000.0,71000000.0,73000000.0
FiniteLivedIntangibleAssetsGross / USD,2179000000.0,2179000000.0,2179000000.0,2179000000.0,2018000000.0,2179000000.0,2018000000.0,2018000000.0,2018000000.0,2378000000.0,2378000000.0,2378000000.0,2378000000.0,2833000000.0,2833000000.0,2833000000.0,2833000000.0,2915000000.0,2915000000.0,2915000000.0,2915000000.0,2870000000.0,2870000000.0,2870000000.0,2870000000.0,2864000000.0,2864000000.0,2864000000.0,2864000000.0,2937000000.0,2937000000.0,2937000000.0,2937000000.0,3513000000.0,3513000000.0,3513000000.0
FiniteLivedIntangibleAssetsNet / USD,1976000000.0,1976000000.0,1976000000.0,1976000000.0,1301000000.0,1976000000.0,1301000000.0,1301000000.0,1301000000.0,1244000000.0,1244000000.0,1244000000.0,1244000000.0,1355000000.0,1355000000.0,1355000000.0,1355000000.0,1071000000.0,1071000000.0,1071000000.0,1071000000.0,805000000.0,805000000.0,805000000.0,805000000.0,617000000.0,617000000.0,617000000.0,617000000.0,523000000.0,523000000.0,523000000.0,523000000.0,872000000.0,872000000.0,872000000.0
GainLossOnDerivativeInstrumentsNetPretax / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2260000000.0,,,
GainLossOnDispositionOfAssets1 / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,94000000.0,95000000.0,,0.0,94000000.0,95000000.0,,1000000.0,1000000.0,6000000.0
GainLossOnSaleOfProperties / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000.0,12000000.0,9000000.0,,94000000.0,95000000.0,8000000.0,,,
GainOnBusinessInterruptionInsuranceRecovery / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21000000.0,22000000.0
GainsLossesOnExtinguishmentOfDebt / USD,,,,,21000000.0,,21000000.0,0.0,,0.0,0.0,-27000000.0,0.0,7000000.0,10000000.0,12000000.0,-27000000.0,8000000.0,11000000.0,17000000.0,21000000.0,,-1000000.0,-1000000.0,17000000.0,,,1000000.0,-1000000.0,0.0,0.0,0.0,1000000.0,6000000.0,6000000.0,6000000.0
Goodwill / USD,1907000000.0,1907000000.0,1907000000.0,1907000000.0,1907000000.0,1907000000.0,1907000000.0,1907000000.0,1907000000.0,175000000.0,175000000.0,2068000000.0,1907000000.0,2553000000.0,2553000000.0,2553000000.0,2068000000.0,2583000000.0,2583000000.0,2583000000.0,2068000000.0,2583000000.0,2583000000.0,2583000000.0,2553000000.0,2583000000.0,2583000000.0,2583000000.0,2583000000.0,2583000000.0,2583000000.0,2583000000.0,2583000000.0,2807000000.0,2807000000.0,2807000000.0
GoodwillAcquiredDuringPeriod / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294000000.0,339000000.0,219000000.0,224000000.0,,,
GoodwillPeriodIncreaseDecrease / USD,,,,,,,,,161000000.0,175000000.0,175000000.0,,,,,,,,,,,,,,,,,,,,,,,3000000.0,3000000.0,3000000.0
ImpairmentOfLongLivedAssetsHeldForUse / USD,,,,,,,,,25000000.0,,,,25000000.0,0.0,0.0,0.0,0.0,84000000.0,84000000.0,356000000.0,0.0,,38000000.0,38000000.0,356000000.0,0.0,0.0,0.0,71000000.0,49000000.0,49000000.0,49000000.0,74000000.0,,0.0,0.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest / USD,,,,,,,,,,,,,250000000.0,301000000.0,803000000.0,962000000.0,-101000000.0,62000000.0,293000000.0,934000000.0,1216000000.0,-2525000000.0,-2604000000.0,-2563000000.0,890000000.0,-375000000.0,-2139000000.0,-1224000000.0,-1722000000.0,876000000.0,1475000000.0,2146000000.0,-1560000000.0,-2000000.0,624000000.0,3016000000.0
IncomeTaxExpenseBenefit / USD,,,,,41000000.0,,33000000.0,284000000.0,-70000000.0,-89000000.0,-163000000.0,31000000.0,504000000.0,77000000.0,225000000.0,270000000.0,-45000000.0,17000000.0,84000000.0,283000000.0,290000000.0,-485000000.0,-600000000.0,-569000000.0,266000000.0,-91000000.0,-498000000.0,-262000000.0,-458000000.0,178000000.0,301000000.0,470000000.0,-350000000.0,-20000000.0,139000000.0,694000000.0
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance / USD,,,,,,,,,,,,,0.0,,,,20000000.0,,,,13000000.0,,,,41000000.0,,,,-94000000.0,,,,-8000000.0,,,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate / USD,,,,,,,,,,,,,88000000.0,,,,-20000000.0,,,,255000000.0,,,,187000000.0,,,,-362000000.0,,,,-328000000.0,,,
IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost / USD,,,,,,,,,,,,,0.0,,,,-3000000.0,,,,-4000000.0,,,,0.0,,,,,,,,-3000000.0,,,
IncomeTaxReconciliationOtherAdjustments / USD,,,,,,,,,,,,,13000000.0,,,,-2000000.0,,,,-6000000.0,,,,3000000.0,,,,8000000.0,,,,-10000000.0,,,
IncomeTaxesReceivable / USD,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,15000000.0,15000000.0,15000000.0,15000000.0,27000000.0,27000000.0,27000000.0,27000000.0,6000000.0,6000000.0,6000000.0,6000000.0,,,
IncreaseDecreaseInAccountsPayable / USD,,,,,,,,,,,,,-30000000.0,,,,90000000.0,,,,-221000000.0,,,,-40000000.0,,,,402000000.0,,,,94000000.0,,,
IncreaseDecreaseInAccountsReceivable / USD,,,,,,,,,,,,,-7000000.0,,,,207000000.0,,,,88000000.0,,,,33000000.0,,,,228000000.0,,,,852000000.0,,,
IncreaseDecreaseInAccruedTaxesPayable / USD,,,,,-73000000.0,,-73000000.0,4000000.0,,-69000000.0,-112000000.0,-102000000.0,,-75000000.0,-67000000.0,-31000000.0,,-110000000.0,-59000000.0,-35000000.0,,-79000000.0,-75000000.0,-63000000.0,,-98000000.0,-62000000.0,-46000000.0,,-91000000.0,-52000000.0,-38000000.0,-8000000.0,-111000000.0,-58000000.0,-40000000.0
IncreaseDecreaseInAssetRetirementObligations / USD,,,,,,,,,,,,,112000000.0,,,,-27000000.0,,,,-48000000.0,,,,7000000.0,,,,-5000000.0,,,,13000000.0,,,
IncreaseDecreaseInDeferredCharges / USD,,,,,,,,,,,,,66000000.0,,,,22000000.0,,,,19000000.0,,,,-2000000.0,,,,-2000000.0,,,,-20000000.0,,,
IncreaseDecreaseInEmployeeRelatedLiabilities / USD,,,,,-73000000.0,,-60000000.0,-46000000.0,,-50000000.0,-31000000.0,-17000000.0,-24000000.0,-90000000.0,-72000000.0,-53000000.0,40000000.0,-90000000.0,-70000000.0,-20000000.0,1000000.0,-128000000.0,-107000000.0,-86000000.0,39000000.0,-59000000.0,-38000000.0,-17000000.0,-68000000.0,-79000000.0,-57000000.0,-23000000.0,21000000.0,-169000000.0,-140000000.0,-78000000.0
IncreaseDecreaseInInterestPayableNet / USD,,,,,-31000000.0,,-29000000.0,-26000000.0,,-11000000.0,-74000000.0,-59000000.0,-10000000.0,15000000.0,6000000.0,15000000.0,-105000000.0,-77000000.0,-6000000.0,-97000000.0,80000000.0,-75000000.0,8000000.0,-55000000.0,-20000000.0,-62000000.0,13000000.0,-31000000.0,13000000.0,-47000000.0,-4000000.0,-47000000.0,16000000.0,-3000000.0,4000000.0,11000000.0
IncreaseDecreaseInInventories / USD,,,,,,,,,,,,,-22000000.0,,,,-61000000.0,,,,44000000.0,,,,59000000.0,,,,100000000.0,,,,-36000000.0,,,
IncreaseDecreaseInOtherOperatingAssets / USD,,,,,,,,,,,,,-4000000.0,,,,-73000000.0,,,,22000000.0,,,,-219000000.0,,,,27000000.0,,,,17000000.0,,,
IncreaseDecreaseInOtherOperatingCapitalNet / USD,,,,,38000000.0,,194000000.0,227000000.0,,25000000.0,302000000.0,458000000.0,,136000000.0,362000000.0,340000000.0,,15000000.0,222000000.0,257000000.0,,-999000000.0,-773000000.0,-680000000.0,,-56000000.0,607000000.0,873000000.0,,75000000.0,320000000.0,567000000.0,,232000000.0,674000000.0,863000000.0
IncreaseDecreaseInOtherOperatingLiabilities / USD,,,,,,,,,,,,,-40000000.0,,,,-45000000.0,,,,142000000.0,,,,-91000000.0,,,,235000000.0,,,,-330000000.0,,,
IncreaseDecreaseInOtherReceivables / USD,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,,-544000000.0,-544000000.0,544000000.0,,,,-544000000.0,,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements / shares,,,,,217011.0,,261182.0,414465.0,,0.0,0.0,7347415.0,0.0,6772689.0,8035398.0,4011387.0,0.0,2694062.0,2397429.0,2430037.0,5789223.0,0.0,0.0,0.0,2422205.0,0.0,0.0,0.0,0.0,3922010.0,4152031.0,4778892.0,0.0,0.0,7549320.0,7490812.0
InsuranceRecoveries / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80000000.0,80000000.0
InsuranceSettlementsReceivable / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IntangibleAssetsNetExcludingGoodwill / USD,3205000000.0,3205000000.0,3205000000.0,3205000000.0,2530000000.0,3205000000.0,2530000000.0,2530000000.0,2530000000.0,2493000000.0,2493000000.0,2493000000.0,2493000000.0,2748000000.0,2748000000.0,2748000000.0,2748000000.0,2446000000.0,2446000000.0,2446000000.0,2446000000.0,2146000000.0,2146000000.0,2146000000.0,2146000000.0,1958000000.0,1958000000.0,1958000000.0,1958000000.0,1864000000.0,1864000000.0,1864000000.0,1864000000.0,2213000000.0,2213000000.0,2213000000.0
InterestCostsCapitalized / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29000000.0,,,
InterestCostsCapitalizedAdjustment / USD,,,,,3000000.0,,4000000.0,5000000.0,,3000000.0,7000000.0,10000000.0,7000000.0,3000000.0,7000000.0,9000000.0,12000000.0,3000000.0,9000000.0,14000000.0,12000000.0,8000000.0,18000000.0,22000000.0,21000000.0,6000000.0,14000000.0,22000000.0,26000000.0,10000000.0,21000000.0,28000000.0,29000000.0,12000000.0,32000000.0,52000000.0
InterestCostsIncurred / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000.0,24000000.0
InterestExpense / USD,,,,,,,93000000.0,169000000.0,60000000.0,-9000000.0,137000000.0,291000000.0,193000000.0,222000000.0,495000000.0,720000000.0,572000000.0,300000000.0,440000000.0,541000000.0,797000000.0,29000000.0,164000000.0,288000000.0,630000000.0,7000000.0,116000000.0,186000000.0,384000000.0,207000000.0,307000000.0,450000000.0,,,,
InterestExpenseNonoperating / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307000000.0,450000000.0,368000000.0,170000000.0,411000000.0,743000000.0
InterestExpenseOther / USD,,,,,3000000.0,,7000000.0,12000000.0,,3000000.0,10000000.0,13000000.0,12000000.0,4000000.0,10000000.0,19000000.0,15000000.0,5000000.0,11000000.0,17000000.0,25000000.0,8000000.0,16000000.0,24000000.0,28000000.0,7000000.0,15000000.0,21000000.0,33000000.0,14000000.0,25000000.0,50000000.0,29000000.0,20000000.0,33000000.0,48000000.0
InterestIncomeOther / USD,,,,,1000000.0,,5000000.0,10000000.0,0.0,6000000.0,10000000.0,14000000.0,15000000.0,4000000.0,7000000.0,9000000.0,18000000.0,1000000.0,1000000.0,1000000.0,10000000.0,,0.0,0.0,2000000.0,0.0,2000000.0,4000000.0,0.0,14000000.0,26000000.0,42000000.0,19000000.0,23000000.0,41000000.0,50000000.0
InterestPaid / USD,,,,,89000000.0,,142000000.0,197000000.0,,65000000.0,344000000.0,662000000.0,245000000.0,139000000.0,307000000.0,444000000.0,651000000.0,208000000.0,262000000.0,468000000.0,525000000.0,191000000.0,230000000.0,425000000.0,503000000.0,190000000.0,264000000.0,468000000.0,456000000.0,202000000.0,301000000.0,499000000.0,552000000.0,202000000.0,435000000.0,657000000.0
InterestPaidCapitalized / USD,,,,,3000000.0,,4000000.0,5000000.0,,3000000.0,7000000.0,10000000.0,7000000.0,3000000.0,7000000.0,9000000.0,12000000.0,3000000.0,9000000.0,14000000.0,12000000.0,8000000.0,18000000.0,22000000.0,21000000.0,6000000.0,14000000.0,22000000.0,26000000.0,10000000.0,21000000.0,28000000.0,,12000000.0,32000000.0,52000000.0
InterestPaidNet / USD,,,,,86000000.0,,138000000.0,192000000.0,,62000000.0,337000000.0,652000000.0,238000000.0,136000000.0,300000000.0,435000000.0,639000000.0,205000000.0,253000000.0,454000000.0,513000000.0,183000000.0,212000000.0,403000000.0,482000000.0,184000000.0,250000000.0,446000000.0,482000000.0,212000000.0,322000000.0,527000000.0,581000000.0,214000000.0,467000000.0,709000000.0
InterestPayableCurrent / USD,33000000.0,33000000.0,33000000.0,33000000.0,16000000.0,33000000.0,16000000.0,16000000.0,16000000.0,77000000.0,77000000.0,77000000.0,77000000.0,151000000.0,151000000.0,151000000.0,151000000.0,131000000.0,131000000.0,131000000.0,131000000.0,143000000.0,143000000.0,143000000.0,143000000.0,160000000.0,160000000.0,160000000.0,160000000.0,206000000.0,206000000.0,206000000.0,206000000.0,193000000.0,193000000.0,193000000.0
InventoryNet / USD,285000000.0,285000000.0,285000000.0,285000000.0,253000000.0,285000000.0,253000000.0,253000000.0,253000000.0,412000000.0,412000000.0,412000000.0,412000000.0,469000000.0,469000000.0,469000000.0,469000000.0,515000000.0,515000000.0,515000000.0,515000000.0,610000000.0,610000000.0,610000000.0,610000000.0,570000000.0,570000000.0,570000000.0,570000000.0,740000000.0,740000000.0,740000000.0,740000000.0,970000000.0,970000000.0,970000000.0
InventoryRawMaterialsAndSuppliesNetOfReserves / USD,173000000.0,173000000.0,173000000.0,173000000.0,149000000.0,173000000.0,149000000.0,149000000.0,149000000.0,286000000.0,286000000.0,286000000.0,286000000.0,278000000.0,278000000.0,278000000.0,278000000.0,260000000.0,260000000.0,260000000.0,260000000.0,260000000.0,260000000.0,260000000.0,260000000.0,274000000.0,274000000.0,274000000.0,274000000.0,289000000.0,289000000.0,289000000.0,289000000.0,533000000.0,533000000.0,533000000.0
LeaseCost / USD,,,,,,,,,,14000000.0,31000000.0,43000000.0,59000000.0,,,,59000000.0,,,,59000000.0,,,,80000000.0,,,,87000000.0,,,,99000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDue / USD,,,,,,,,,,164000000.0,65000000.0,93000000.0,66000000.0,,,,77000000.0,,,,74000000.0,,,,88000000.0,,,,106000000.0,,,,286000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive / USD,,,,,,,,,,85000000.0,22000000.0,52000000.0,13000000.0,,,,41000000.0,,,,51000000.0,,,,57000000.0,,,,77000000.0,,,,222000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths / USD,,,,,,,,,,,,,17000000.0,,,,11000000.0,,,,6000000.0,,,,10000000.0,,,,10000000.0,,,,19000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearFive / USD,,,,,,,,,,13000000.0,6000000.0,7000000.0,6000000.0,,,,3000000.0,,,,3000000.0,,,,4000000.0,,,,4000000.0,,,,8000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearFour / USD,,,,,,,,,,14000000.0,7000000.0,8000000.0,10000000.0,,,,5000000.0,,,,3000000.0,,,,4000000.0,,,,4000000.0,,,,10000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearThree / USD,,,,,,,,,,16000000.0,9000000.0,9000000.0,9000000.0,,,,9000000.0,,,,4000000.0,,,,6000000.0,,,,4000000.0,,,,14000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearTwo / USD,,,,,,,,,,20000000.0,14000000.0,14000000.0,11000000.0,,,,8000000.0,,,,7000000.0,,,,7000000.0,,,,7000000.0,,,,13000000.0,,,
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount / USD,,,,,,,,,,58000000.0,12000000.0,28000000.0,-11000000.0,,,,29000000.0,,,,31000000.0,,,,35000000.0,,,,51000000.0,,,,175000000.0,,,
