fact_unit,2020-05-08,2020-07-31,2020-10-28,2021-02-05,2021-04-28,2021-07-28,2021-10-26,2022-02-04,2022-04-27,2022-07-28,2022-10-27,2023-02-03,2023-04-27,2023-07-27,2023-10-26,2024-02-02,2024-04-25,2024-07-25,2024-10-31,2025-02-04,2025-04-24,2025-07-24,2025-10-30
DefinedBenefitPlanFundedStatusOfPlan / USD,,,,-470000000.0,,,,-522000000.0,,,,-436000000.0,,,,-264000000.0,,,,-348000000.0,,,
DefinedBenefitPlanInterestCost / USD,,,,21000000.0,,,,16000000.0,,,,13000000.0,,,,16000000.0,,,,33000000.0,,,
DefinedBenefitPlanOtherChanges / USD,,,,141000000.0,,,,91000000.0,,,,-50000000.0,,,,-53000000.0,,,,23000000.0,,,
DefinedBenefitPlanPensionPlanWithProjectedBenefitObligationInExcessOfPlanAssetsAccumulatedBenefitObligation / USD,,,,846000000.0,,,,846000000.0,,,,694000000.0,,,,522000000.0,,,,605000000.0,,,
DefinedBenefitPlanPensionPlanWithProjectedBenefitObligationInExcessOfPlanAssetsPlanAssets / USD,,,,413000000.0,,,,383000000.0,,,,263000000.0,,,,214000000.0,,,,257000000.0,,,
DefinedBenefitPlanPensionPlanWithProjectedBenefitObligationInExcessOfPlanAssetsProjectedBenefitObligation / USD,,,,966000000.0,,,,991000000.0,,,,806000000.0,,,,594000000.0,,,,704000000.0,,,
DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateAccumulatedBenefitObligation / USD,,,,609000000.0,,,,685000000.0,,,,499000000.0,,,,357000000.0,,,,555000000.0,,,
DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateFairValueOfPlanAssets / USD,,,,157000000.0,,,,205000000.0,,,,49000000.0,,,,31000000.0,,,,192000000.0,,,
DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateProjectedBenefitObligation / USD,,,,697000000.0,,,,787000000.0,,,,567000000.0,,,,402000000.0,,,,628000000.0,,,
DefinedBenefitPlanPlanAssetsBenefitsPaid / USD,,,,30000000.0,,,,28000000.0,,,,24000000.0,,,,30000000.0,,,,35000000.0,,,
DefinedBenefitPlanServiceCost / USD,,,,33000000.0,,,,40000000.0,,,,43000000.0,,,,39000000.0,,,,29000000.0,,,
DefinedBenefitPlanSettlementsPlanAssets / USD,,,,23000000.0,,,,26000000.0,,,,31000000.0,,,,29000000.0,,,,21000000.0,,,
DefinedContributionPlanCostRecognized / USD,11000000.0,21000000.0,31000000.0,,16000000.0,30000000.0,42000000.0,,19000000.0,33000000.0,47000000.0,,20000000.0,35000000.0,49000000.0,,19000000.0,34000000.0,50000000.0,,20000000.0,36000000.0,52000000.0
DefinedContributionPlanEmployerDiscretionaryContributionAmount / USD,,,,38000000.0,,,,41000000.0,,,,54000000.0,,,,62000000.0,,,,64000000.0,,,
Depreciation / USD,,,,86000000.0,,,,85000000.0,,,,100000000.0,,,,116000000.0,,,,118000000.0,,,
DepreciationAmortizationAndAccretionNet / USD,45000000.0,91000000.0,135000000.0,190000000.0,43000000.0,92000000.0,140000000.0,180000000.0,51000000.0,102000000.0,152000000.0,191000000.0,48000000.0,97000000.0,145000000.0,203000000.0,47000000.0,99000000.0,145000000.0,191000000.0,44000000.0,85000000.0,133000000.0
DisposalGroupIncludingDiscontinuedOperationIntangibleAssets / USD,,,,,,,,,,,,,,,,,,,16000000.0,16000000.0,,,16000000.0
DividendsCommonStock / USD,30000000.0,87000000.0,173000000.0,,87000000.0,87000000.0,173000000.0,260000000.0,87000000.0,189000000.0,291000000.0,260000000.0,102000000.0,224000000.0,345000000.0,393000000.0,120000000.0,261000000.0,400000000.0,465000000.0,138000000.0,295000000.0,450000000.0
EarningsPerShareBasic / USD/shares,,1.34,2.07,2.42,0.38,0.9,1.51,2.55,0.71,1.48,2.25,2.09,0.73,1.49,2.27,2.91,0.8,1.71,2.62,2.98,0.87,1.9,3.25
EarningsPerShareDiluted / USD/shares,,1.34,2.07,2.42,0.38,0.9,1.51,2.55,0.71,1.47,2.23,2.08,0.73,1.48,2.25,2.89,0.79,1.7,2.6,2.96,0.86,1.89,3.23
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,20000000.0,4000000.0,-41000000.0,-77000000.0,-50000000.0,-33000000.0,0.0,-20000000.0,-17000000.0,8000000.0,-11000000.0,59000000.0,-63000000.0,-122000000.0,-191000000.0,-43000000.0,10000000.0,-16000000.0,-34000000.0,-157000000.0,-18000000.0,-32000000.0,-9000000.0
EffectiveIncomeTaxRateContinuingOperations / pure,,,,0.361,,,,0.319,,,,0.301,,,,0.276,,,,0.275,,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,,,,0.21,,,,0.21,,,,0.21,,,,0.21,,,,0.21,,,
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential / pure,,,,0.14,,,,0.065,,,,0.044,,,,0.047,,,,0.046,,,
EffectiveIncomeTaxRateReconciliationOtherAdjustments / pure,,,,-0.004,,,,-0.002,,,,0.004,,,,0.006,,,,-0.001,,,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes / pure,,,,0.016,,,,0.017,,,,0.009,,,,0.008,,,,0.017,,,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions / USD,,96000000.0,82000000.0,60000000.0,96000000.0,85000000.0,73000000.0,57000000.0,94000000.0,86000000.0,68000000.0,59000000.0,101000000.0,91000000.0,76000000.0,71000000.0,117000000.0,105000000.0,115000000.0,101000000.0,148000000.0,133000000.0,106000000.0
