fact_unit,2015-10-29,2016-02-11,2016-05-03,2016-08-04,2016-11-03,2017-02-03,2017-05-02,2017-07-25,2017-10-27,2018-02-06,2018-04-24,2018-07-24,2018-10-26,2019-02-05,2019-04-30,2019-07-26,2019-10-29,2020-02-04,2020-04-29,2020-07-31,2020-10-30,2021-02-03,2021-04-28,2021-07-28,2021-10-27,2022-02-02,2022-04-27,2022-07-27,2022-10-26,2023-02-03,2023-04-26,2023-07-26,2023-10-25,2024-01-31,2024-04-26,2024-07-24,2024-10-30,2025-02-05,2025-04-25,2025-07-24,2025-10-30
DebtSecuritiesRealizedGainLoss / USD,,,,,,,,,,,,-51000000.0,-97000000.0,-53000000.0,-39000000.0,-33000000.0,-62000000.0,-110000000.0,-2000000.0,96000000.0,145000000.0,1190000000.0,,,,149000000.0,,,,725000000.0,,,,-110000000.0,,,,-2064000000.0,-462000000.0,-772000000.0,-612000000.0
DeferredFederalStateAndLocalTaxExpenseBenefit / USD,,,,,,,,,,-241000000.0,,,,-70000000.0,,,,220000000.0,,,,907000000.0,,,,286000000.0,,,,1552000000.0,,,,2018000000.0,,,,-8052000000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,-72000000.0,-72000000.0,,,-43000000.0,,,,-17000000.0,,,,-50000000.0,,,,-43000000.0,,,,-134000000.0,,,,-141000000.0,,,,-215000000.0,,,,-135000000.0,,,,-146000000.0,,,
DeferredIncomeTaxAssetsNet / USD,,,,,,,,383000000.0,383000000.0,383000000.0,680000000.0,680000000.0,680000000.0,680000000.0,737000000.0,737000000.0,737000000.0,737000000.0,721000000.0,721000000.0,721000000.0,721000000.0,1084000000.0,1084000000.0,1084000000.0,1084000000.0,1284000000.0,1284000000.0,1284000000.0,1284000000.0,5261000000.0,5261000000.0,5261000000.0,5261000000.0,12169000000.0,12169000000.0,12169000000.0,12169000000.0,17180000000.0,17180000000.0,17180000000.0
DeferredIncomeTaxExpenseBenefit / USD,-498000000.0,-493000000.0,-493000000.0,,,-8000000.0,,,,-258000000.0,,,,-120000000.0,,,,177000000.0,,,,773000000.0,,,,145000000.0,,,,1337000000.0,,,,1883000000.0,,,,-8198000000.0,,,
DeferredIncomeTaxLiabilities / USD,,2645000000.0,2645000000.0,,,6076000000.0,,,,7073000000.0,,,,1570000000.0,,,,3261000000.0,,,,5710000000.0,,,,9217000000.0,,,,11640000000.0,,,,12551000000.0,,,,14461000000.0,,,
DeferredIncomeTaxLiabilitiesNet / USD,,,,,,,,226000000.0,226000000.0,226000000.0,430000000.0,430000000.0,430000000.0,430000000.0,1264000000.0,1264000000.0,1264000000.0,1264000000.0,1701000000.0,1701000000.0,1701000000.0,1701000000.0,3561000000.0,3561000000.0,3561000000.0,3561000000.0,5257000000.0,5257000000.0,5257000000.0,5257000000.0,514000000.0,514000000.0,514000000.0,514000000.0,485000000.0,485000000.0,485000000.0,,,,
DeferredIncomeTaxesAndTaxCredits / USD,,-437000000.0,-437000000.0,-150000000.0,-566000000.0,-104000000.0,414000000.0,364000000.0,119000000.0,-179000000.0,613000000.0,538000000.0,242000000.0,-38000000.0,-18000000.0,-157000000.0,723000000.0,258000000.0,-73000000.0,620000000.0,381000000.0,778000000.0,175000000.0,-416000000.0,-280000000.0,173000000.0,1100000000.0,1479000000.0,192000000.0,1390000000.0,-2090000000.0,-4237000000.0,-6157000000.0,1808000000.0,-1854000000.0,-4269000000.0,-6093000000.0,-8081000000.0,419000000.0,-2738000000.0,-3809000000.0
DeferredTaxAssetsGross / USD,,3722000000.0,3722000000.0,,,7870000000.0,,,,9306000000.0,,,,4351000000.0,,,,5551000000.0,,,,8232000000.0,,,,11563000000.0,,,,14796000000.0,,,,26851000000.0,,,,37144000000.0,,,
DeferredTaxAssetsInProcessResearchAndDevelopment / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1843000000.0,,,,10381000000.0,,,,17757000000.0,,,
DeferredTaxAssetsLiabilitiesNet / USD,,62000000.0,62000000.0,,,62000000.0,,,,157000000.0,,,,250000000.0,,,,,,,,,,,,,,,,4747000000.0,,,,4747000000.0,,,,11684000000.0,,,
DeferredTaxAssetsNet / USD,,2063000000.0,2063000000.0,,,6138000000.0,,,,7230000000.0,,,,1820000000.0,,,,2734000000.0,,,,4730000000.0,,,,6740000000.0,,,,7667000000.0,,,,17298000000.0,,,,26145000000.0,,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,,,,,,,,,305000000.0,,,,320000000.0,,,,557000000.0,,,,771000000.0,,,,1085000000.0,,,,1790000000.0,,,,2557000000.0,,,,2965000000.0,,,
DeferredTaxAssetsOther / USD,,243000000.0,243000000.0,,,931000000.0,,,,621000000.0,,,,244000000.0,,,,21000000.0,,,,226000000.0,,,,981000000.0,,,,1665000000.0,,,,2289000000.0,,,,1951000000.0,,,
DeferredTaxAssetsTaxCreditCarryforwardsOther / USD,,262000000.0,262000000.0,,,503000000.0,,,,631000000.0,,,,1187000000.0,,,,1979000000.0,,,,3264000000.0,,,,3723000000.0,,,,5179000000.0,,,,6002000000.0,,,,6609000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits / USD,,671000000.0,671000000.0,,,832000000.0,,,,939000000.0,,,,285000000.0,,,,387000000.0,,,,463000000.0,,,,580000000.0,,,,,,,,955000000.0,,,,1855000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsOther / USD,,175000000.0,175000000.0,,,245000000.0,,,,500000000.0,,,,717000000.0,,,,902000000.0,,,,1047000000.0,,,,1049000000.0,,,,1816000000.0,,,,1956000000.0,,,,2481000000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,1659000000.0,1659000000.0,,,1732000000.0,,,,2076000000.0,,,,2531000000.0,,,,2817000000.0,,,,3502000000.0,,,,4823000000.0,,,,7129000000.0,,,,9553000000.0,,,,10999000000.0,,,
DeferredTaxLiabilitiesInvestments / USD,,,,,,,,,,,,,,22000000.0,,,,1143000000.0,,,,1074000000.0,,,,1901000000.0,,,,3229000000.0,,,,2361000000.0,,,,2405000000.0,,,
DeferredTaxLiabilitiesOther / USD,,125000000.0,125000000.0,,,166000000.0,,,,155000000.0,,,,47000000.0,,,,125000000.0,,,,380000000.0,,,,1580000000.0,,,,946000000.0,,,,1092000000.0,,,,902000000.0,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment / USD,,852000000.0,852000000.0,,,1126000000.0,,,,877000000.0,,,,551000000.0,,,,1382000000.0,,,,1798000000.0,,,,3382000000.0,,,,5237000000.0,,,,6607000000.0,,,,8189000000.0,,,
Depreciation / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10273000000.0,2635000000.0,5459000000.0,8630000000.0,13475000000.0,3413000000.0,7121000000.0,11106000000.0
DerivativeAssetAfterOffsetSubjectToMasterNettingArrangement / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728000000.0,1728000000.0
DerivativeAssetFairValueAfterOffsetAndDeductionSubjectToMasterNettingArrangement / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491000000.0,491000000.0
DerivativeAssetFairValueGrossLiability / USD,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22000000.0,22000000.0,22000000.0,22000000.0,56000000.0,56000000.0,56000000.0,56000000.0,21000000.0,21000000.0,21000000.0,21000000.0,32000000.0,32000000.0,32000000.0,32000000.0,38000000.0,38000000.0,38000000.0,38000000.0,84000000.0,84000000.0,84000000.0,84000000.0,82000000.0,82000000.0,82000000.0,82000000.0,48000000.0,48000000.0,48000000.0
DerivativeAssetFairValueOffsetAgainstCollateralNetOfNotSubjectToMasterNettingArrangementPolicyElection / USD,,188000000.0,188000000.0,212000000.0,212000000.0,212000000.0,175000000.0,175000000.0,175000000.0,175000000.0,10000000.0,10000000.0,10000000.0,10000000.0,102000000.0,102000000.0,102000000.0,102000000.0,22000000.0,22000000.0,22000000.0,23000000.0,54000000.0,54000000.0,54000000.0,54000000.0,121000000.0,121000000.0,121000000.0,121000000.0,81000000.0,81000000.0,81000000.0,81000000.0,165000000.0,165000000.0,165000000.0,165000000.0,491000000.0,,
DerivativeAssetNotOffsetPolicyElectionDeduction / USD,,1000000.0,1000000.0,13000000.0,13000000.0,13000000.0,11000000.0,11000000.0,11000000.0,11000000.0,64000000.0,64000000.0,64000000.0,64000000.0,90000000.0,90000000.0,90000000.0,90000000.0,88000000.0,88000000.0,88000000.0,88000000.0,295000000.0,295000000.0,295000000.0,295000000.0,434000000.0,434000000.0,434000000.0,434000000.0,463000000.0,463000000.0,463000000.0,463000000.0,213000000.0,213000000.0,213000000.0,213000000.0,516000000.0,516000000.0,516000000.0
DerivativeAssets / USD,852000000.0,852000000.0,852000000.0,628000000.0,628000000.0,628000000.0,596000000.0,596000000.0,596000000.0,596000000.0,80000000.0,80000000.0,80000000.0,80000000.0,513000000.0,513000000.0,513000000.0,513000000.0,344000000.0,344000000.0,344000000.0,345000000.0,365000000.0,365000000.0,365000000.0,365000000.0,961000000.0,961000000.0,961000000.0,961000000.0,676000000.0,676000000.0,676000000.0,676000000.0,453000000.0,453000000.0,453000000.0,453000000.0,1728000000.0,1728000000.0,1728000000.0
DerivativeFairValueOfDerivativeAsset / USD,852000000.0,852000000.0,852000000.0,628000000.0,628000000.0,628000000.0,596000000.0,596000000.0,596000000.0,596000000.0,102000000.0,102000000.0,102000000.0,102000000.0,569000000.0,569000000.0,569000000.0,569000000.0,365000000.0,365000000.0,365000000.0,366000000.0,397000000.0,397000000.0,397000000.0,397000000.0,999000000.0,999000000.0,999000000.0,999000000.0,760000000.0,760000000.0,760000000.0,760000000.0,535000000.0,535000000.0,535000000.0,535000000.0,1776000000.0,1776000000.0,1776000000.0
DerivativeFairValueOfDerivativeLiability / USD,4000000.0,4000000.0,4000000.0,16000000.0,16000000.0,16000000.0,13000000.0,13000000.0,13000000.0,13000000.0,374000000.0,374000000.0,374000000.0,374000000.0,289000000.0,289000000.0,289000000.0,289000000.0,390000000.0,390000000.0,390000000.0,403000000.0,1554000000.0,1554000000.0,1554000000.0,1554000000.0,619000000.0,619000000.0,619000000.0,619000000.0,894000000.0,894000000.0,894000000.0,894000000.0,527000000.0,527000000.0,527000000.0,527000000.0,660000000.0,660000000.0,660000000.0
DerivativeLiabilities / USD,4000000.0,4000000.0,4000000.0,16000000.0,16000000.0,16000000.0,13000000.0,13000000.0,13000000.0,13000000.0,352000000.0,352000000.0,352000000.0,352000000.0,233000000.0,233000000.0,233000000.0,233000000.0,369000000.0,369000000.0,369000000.0,382000000.0,1522000000.0,1522000000.0,1522000000.0,1522000000.0,581000000.0,581000000.0,581000000.0,581000000.0,810000000.0,810000000.0,810000000.0,810000000.0,445000000.0,445000000.0,445000000.0,445000000.0,612000000.0,612000000.0,612000000.0
DerivativeLiabilityAfterOffsetSubjectToMasterNettingArrangement / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612000000.0,612000000.0
DerivativeLiabilityFairValueAfterOffsetAndDeductionSubjectToMasterNettingArrangement / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87000000.0,87000000.0
DerivativeLiabilityFairValueGrossAsset / USD,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22000000.0,22000000.0,22000000.0,22000000.0,56000000.0,56000000.0,56000000.0,56000000.0,21000000.0,21000000.0,21000000.0,21000000.0,32000000.0,32000000.0,32000000.0,32000000.0,38000000.0,38000000.0,38000000.0,38000000.0,84000000.0,84000000.0,84000000.0,84000000.0,82000000.0,82000000.0,82000000.0,82000000.0,48000000.0,48000000.0,48000000.0
DerivativeLiabilityFairValueOffsetAgainstCollateralNetOfNotSubjectToMasterNettingArrangementPolicyElection / USD,,3000000.0,3000000.0,0.0,0.0,0.0,2000000.0,2000000.0,2000000.0,2000000.0,288000000.0,288000000.0,288000000.0,288000000.0,143000000.0,143000000.0,143000000.0,143000000.0,281000000.0,281000000.0,281000000.0,294000000.0,283000000.0,283000000.0,283000000.0,283000000.0,33000000.0,33000000.0,33000000.0,33000000.0,319000000.0,319000000.0,319000000.0,319000000.0,216000000.0,216000000.0,216000000.0,216000000.0,87000000.0,,
DerivativeLiabilityNotOffsetPolicyElectionDeduction / USD,,1000000.0,1000000.0,13000000.0,13000000.0,13000000.0,11000000.0,11000000.0,11000000.0,11000000.0,64000000.0,64000000.0,64000000.0,64000000.0,90000000.0,90000000.0,90000000.0,90000000.0,88000000.0,88000000.0,88000000.0,88000000.0,295000000.0,295000000.0,295000000.0,295000000.0,434000000.0,434000000.0,434000000.0,434000000.0,463000000.0,463000000.0,463000000.0,463000000.0,213000000.0,213000000.0,213000000.0,213000000.0,516000000.0,516000000.0,516000000.0
DistributedEarnings / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2466000000.0,4921000000.0
EarningsPerShareBasic / USD/shares,14.02,19.13,19.13,,,,6.12,13.23,20.59,,7.85,12.94,22.65,28.32,13.53,18.13,31.34,18.27,9.58,23.91,34.12,44.22,9.96,20.16,36.69,49.59,26.63,2.72,4.14,2.96,1.24,2.46,3.53,5.69,1.18,2.63,4.19,4.59,1.91,3.82,5.96
EarningsPerShareDiluted / USD/shares,13.78,18.79,18.79,,,,6.02,13.01,20.26,,7.73,12.74,22.3,27.85,13.33,17.89,30.95,18.0,9.5,23.71,33.83,43.7,9.87,20.0,36.38,49.16,26.29,2.68,4.08,2.93,1.23,2.44,3.5,5.61,1.17,2.61,4.16,4.56,1.89,3.78,5.9
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,-166000000.0,-195000000.0,405000000.0,18000000.0,31000000.0,-91000000.0,-302000000.0,-272000000.0,-221000000.0,-186000000.0,-23000000.0,-143000000.0,40000000.0,-106000000.0,24000000.0,100000000.0,-268000000.0,-643000000.0,-287000000.0,50000000.0,24000000.0,-327000000.0,-506000000.0,-125000000.0,-363000000.0,-222000000.0
EffectiveIncomeTaxRateContinuingOperations / pure,,,,,,0.211,,,,0.168,0.108,,,0.193,0.108,0.242,0.088,0.534,,,,0.12,,0.14,0.148,0.133,0.158,0.157,0.165,0.162,0.132,0.145,0.145,0.162,0.173,0.167,0.134,0.159,0.164,0.154,0.16
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,,0.35,0.35,,,0.35,,,,0.35,,,,0.35,,,,0.35,,,,0.21,,,,0.21,,,,0.21,,,,0.21,,,,0.21,,,
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance / pure,,,,,,,,,,,0.041,,,0.001,,,,0.009,,,,-0.02,,,,0.0,,,,0.014,,,,0.006,,,,0.009,,,
EffectiveIncomeTaxRateReconciliationFdiiPercent / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,0.054,,,
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential / pure,,,,,,-0.122,,,,-0.134,0.062,,,-0.11,,,,-0.142,,,,-0.044,,,,-0.049,,,,-0.003,,,,0.002,,,,0.03,,,
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost / pure,,,,,,0.001,,,,0.003,,,,0.034,,,,0.045,,,,0.022,,,,0.007,,,,0.017,,,,0.025,,,,-0.012,,,
EffectiveIncomeTaxRateReconciliationOtherAdjustments / pure,,,,,,0.0,,,,-0.03,,,,0.006,,,,-0.018,,,,0.011,,,,,,,,0.0,,,,0.0,,,,-0.01,,,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes / pure,,,,,,,,,,,,,,,,,,0.001,,,,-0.004,,,,0.011,,,,0.011,,,,0.01,,,,0.008,,,
EffectiveIncomeTaxRateReconciliationTaxCreditsResearch / pure,,,,,,0.018,,,,0.021,,,,0.02,,,,0.018,,,,0.024,,,,0.025,,,,0.023,,,,0.016,,,,0.022,,,
EmployeeRelatedLiabilitiesCurrent / USD,3069000000.0,3069000000.0,3069000000.0,3539000000.0,3539000000.0,3539000000.0,3976000000.0,3976000000.0,3976000000.0,3976000000.0,4581000000.0,4581000000.0,4581000000.0,4581000000.0,6839000000.0,6839000000.0,6839000000.0,6839000000.0,8495000000.0,8495000000.0,8495000000.0,8495000000.0,11086000000.0,11086000000.0,11086000000.0,11086000000.0,13889000000.0,13889000000.0,13889000000.0,13889000000.0,14028000000.0,14028000000.0,14028000000.0,14028000000.0,15140000000.0,15140000000.0,15140000000.0,15140000000.0,15069000000.0,15069000000.0,15069000000.0
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense / USD,,,,,,,,,,1100000000.0,,,,1500000000.0,,,,1600000000.0,,,,1500000000.0,,,,1800000000.0,,,,2700000000.0,,,,3100000000.0,,,,3900000000.0,,,
EntityPublicFloat / USD,,0.0,0.0,,,413800000000.0,,,,554300000000.0,,,,680000000000.0,,,,663000000000.0,,,,849700000000.0,,,,1451100000000.0,,,,1256100000000.0,,,,1331200000000.0,,,,2000000000000.0,,,
EquityMethodInvestments / USD,,1300000000.0,1300000000.0,1600000000.0,1600000000.0,1600000000.0,1700000000.0,1700000000.0,1700000000.0,1700000000.0,1400000000.0,1400000000.0,1400000000.0,1400000000.0,1300000000.0,1300000000.0,1300000000.0,1300000000.0,1300000000.0,1300000000.0,1300000000.0,1300000000.0,1400000000.0,1400000000.0,1400000000.0,1400000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,1700000000.0,1700000000.0,1700000000.0,1700000000.0,2000000000.0,2000000000.0,2000000000.0
EquitySecuritiesFvNi / USD,,,,,,,,,,,,,,,1222000000.0,1222000000.0,4886000000.0,1222000000.0,3296000000.0,3296000000.0,3296000000.0,3296000000.0,5858000000.0,5858000000.0,5858000000.0,5858000000.0,7798000000.0,7798000000.0,7798000000.0,7798000000.0,5156000000.0,5156000000.0,5156000000.0,5156000000.0,5973000000.0,5973000000.0,5973000000.0,5973000000.0,5079000000.0,5079000000.0,5079000000.0
EquitySecuritiesFvNiAndWithoutReadilyDeterminableFairValue / USD,,,,,,,,,,,,,,,,,,13497000000.0,14649000000.0,14649000000.0,14649000000.0,14649000000.0,24751000000.0,24751000000.0,24751000000.0,24751000000.0,35369000000.0,35369000000.0,35369000000.0,35369000000.0,33685000000.0,33685000000.0,33685000000.0,33685000000.0,34739000000.0,34739000000.0,34739000000.0,34739000000.0,40610000000.0,40610000000.0,40610000000.0
EquitySecuritiesFvNiCost / USD,,,,,,,,,,,,,,,,,1896000000.0,1168000000.0,1935000000.0,1935000000.0,1935000000.0,1935000000.0,2227000000.0,2227000000.0,2227000000.0,2227000000.0,4211000000.0,4211000000.0,4211000000.0,4211000000.0,5764000000.0,5764000000.0,5764000000.0,5764000000.0,5418000000.0,5418000000.0,5418000000.0,5418000000.0,4767000000.0,4767000000.0,4767000000.0
EquitySecuritiesFvNiGainLoss / USD,,,,,,,,,,,,29000000.0,30000000.0,-20000000.0,3031000000.0,4093000000.0,5475000000.0,73000000.0,1083000000.0,3782000000.0,2254000000.0,5460000000.0,-814000000.0,641000000.0,2540000000.0,2649000000.0,4837000000.0,7609000000.0,9730000000.0,5592000000.0,-1070000000.0,-1321000000.0,-1968000000.0,12380000000.0,377000000.0,172000000.0,-194000000.0,-3455000000.0,2243000000.0,1529000000.0,3350000000.0
EquitySecuritiesFvNiRealizedGainLoss / USD,,,,,,,,,,,,900000000.0,1352000000.0,1458000000.0,387000000.0,900000000.0,1352000000.0,1458000000.0,42000000.0,130000000.0,381000000.0,-301000000.0,171000000.0,233000000.0,426000000.0,1339000000.0,201000000.0,506000000.0,545000000.0,1339000000.0,-74000000.0,-230000000.0,-355000000.0,1196000000.0,105000000.0,292000000.0,348000000.0,-442000000.0,95000000.0,184000000.0,216000000.0
EquitySecuritiesFvNiUnrealizedGainLoss / USD,,,,,,,,,,,,3193000000.0,4123000000.0,4002000000.0,2644000000.0,3193000000.0,4123000000.0,4002000000.0,1041000000.0,3652000000.0,1873000000.0,2950000000.0,-985000000.0,408000000.0,2114000000.0,4253000000.0,4636000000.0,7103000000.0,9185000000.0,2722000000.0,-1456000000.0,-2462000000.0,-2494000000.0,1335000000.0,51000000.0,349000000.0,136000000.0,-3242000000.0,164000000.0,-214000000.0,96000000.0
EquitySecuritiesWithoutReadilyDeterminableFairValueAmount / USD,,,,,,,,,,,,7928000000.0,9111000000.0,12275000000.0,12947000000.0,10664000000.0,10896000000.0,12275000000.0,11353000000.0,11353000000.0,11353000000.0,11353000000.0,18893000000.0,18893000000.0,18893000000.0,18893000000.0,27571000000.0,27571000000.0,27571000000.0,27571000000.0,28529000000.0,28529000000.0,28529000000.0,28529000000.0,28766000000.0,28766000000.0,28766000000.0,28766000000.0,35531000000.0,35531000000.0,35531000000.0
EquitySecuritiesWithoutReadilyDeterminableFairValueDownwardPriceAdjustmentCumulativeAmount / USD,,,,,,,,,,,,,-138000000.0,-178000000.0,248000000.0,303000000.0,382000000.0,,445000000.0,445000000.0,445000000.0,,1900000000.0,1900000000.0,1900000000.0,,1700000000.0,1700000000.0,1700000000.0,1700000000.0,4500000000.0,4500000000.0,4500000000.0,4500000000.0,6900000000.0,6900000000.0,6900000000.0,6900000000.0,8400000000.0,8400000000.0,8400000000.0
EquitySecuritiesWithoutReadilyDeterminableFairValueUpwardPriceAdjustmentCumulativeAmount / USD,,,,,,,,,,,,,-4151000000.0,-4285000000.0,4634000000.0,2952000000.0,3152000000.0,,3500000000.0,3500000000.0,3500000000.0,,6100000000.0,6100000000.0,6100000000.0,,14100000000.0,14100000000.0,14100000000.0,14100000000.0,16800000000.0,16800000000.0,16800000000.0,16800000000.0,18100000000.0,18100000000.0,18100000000.0,18100000000.0,22700000000.0,22700000000.0,22700000000.0
FinanceLeaseInterestExpense / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34000000.0,7000000.0,14000000.0,22000000.0
FinanceLeaseInterestPaymentOnLiability / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34000000.0,7000000.0,14000000.0,22000000.0
FinanceLeaseLiability / USD,,,,,,,,,,,,,,,,,,,,,711000000.0,711000000.0,1201000000.0,1201000000.0,1201000000.0,1201000000.0,2086000000.0,2086000000.0,2086000000.0,2086000000.0,2142000000.0,2142000000.0,2142000000.0,2142000000.0,1746000000.0,1746000000.0,1746000000.0,1666000000.0,1677000000.0,1677000000.0,1677000000.0
FinanceLeaseLiabilityCurrent / USD,,,,,,,,,,,,,,,,,,,,117000000.0,115000000.0,115000000.0,101000000.0,101000000.0,101000000.0,101000000.0,113000000.0,113000000.0,113000000.0,113000000.0,298000000.0,298000000.0,298000000.0,298000000.0,363000000.0,363000000.0,363000000.0,283000000.0,235000000.0,235000000.0,235000000.0
FinanceLeaseLiabilityNoncurrent / USD,,,,,,,,,,,,,,,114000000.0,120000000.0,126000000.0,685000000.0,685000000.0,685000000.0,,,,,,,,,,,,,,,,,,1383000000.0,1442000000.0,1442000000.0,1442000000.0
FinanceLeaseLiabilityPaymentsDue / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1888000000.0,2506000000.0,2630000000.0,2914000000.0
FinanceLeaseLiabilityPaymentsDueAfterYearFive / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,852000000.0,,,
FinanceLeaseLiabilityPaymentsDueNextTwelveMonths / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257000000.0,268000000.0,299000000.0,330000000.0
FinanceLeaseLiabilityPaymentsDueYearFive / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166000000.0,,,
FinanceLeaseLiabilityPaymentsDueYearFour / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197000000.0,232000000.0,268000000.0,298000000.0
FinanceLeaseLiabilityPaymentsDueYearThree / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208000000.0,258000000.0,290000000.0,321000000.0
FinanceLeaseLiabilityPaymentsDueYearTwo / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208000000.0,270000000.0,301000000.0,330000000.0
FinanceLeaseLiabilityPaymentsRemainderOfFiscalYear / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224000000.0,162000000.0,307000000.0
FinanceLeaseLiabilityUndiscountedExcessAmount / USD,,,,,,,,,,,,,,,,,,89000000.0,89000000.0,,,,,,,,,,,,,,,,,,,211000000.0,445000000.0,528000000.0,526000000.0
FinanceLeasePrincipalPayments / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586000000.0,90000000.0,187000000.0,314000000.0
FinanceLeaseRightOfUseAsset / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2751000000.0,2585000000.0,2585000000.0,2585000000.0
FinanceLeaseRightOfUseAssetAccumulatedAmortization / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1652000000.0,2037000000.0,2037000000.0,2037000000.0
FinanceLeaseRightOfUseAssetAmortization / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474000000.0,83000000.0,182000000.0,297000000.0
FinanceLeaseRightOfUseAssetBeforeAccumulatedAmortization / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4403000000.0,4622000000.0,4622000000.0,4622000000.0
FinanceLeaseWeightedAverageDiscountRatePercent / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.028,0.028,0.028
ForeignCurrencyCashFlowHedgeGainLossToBeReclassifiedDuringNext12Months / USD,466000000.0,293000000.0,293000000.0,255000000.0,214000000.0,567000000.0,37000000.0,339000000.0,473000000.0,219000000.0,296000000.0,248000000.0,158000000.0,247000000.0,113000000.0,-14000000.0,217000000.0,82000000.0,304000000.0,119000000.0,111000000.0,124000000.0,143000000.0,87000000.0,357000000.0,518000000.0,356000000.0,1100000000.0,1900000000.0,171000000.0,-55000000.0,24000000.0,691000000.0,47000000.0,128000000.0,300000000.0,-433000000.0,731000000.0,-151000000.0,-767000000.0,-257000000.0
ForeignCurrencyTransactionGainLossBeforeTax / USD,-269000000.0,-379000000.0,-379000000.0,-161000000.0,-261000000.0,-402000000.0,-186000000.0,-314000000.0,-437000000.0,-422000000.0,-2000000.0,-48000000.0,-101000000.0,-475000000.0,-24000000.0,-57000000.0,-112000000.0,-121000000.0,74000000.0,22000000.0,63000000.0,-80000000.0,-81000000.0,-173000000.0,-257000000.0,103000000.0,113000000.0,62000000.0,-77000000.0,-344000000.0,-73000000.0,-333000000.0,-469000000.0,-240000000.0,-210000000.0,-478000000.0,-789000000.0,-654000000.0,-238000000.0,-411000000.0,-388000000.0
GainLossOnOilAndGasHedgingActivity / USD,,,,,,,,,,,,,,,,,,-169000000.0,137000000.0,245000000.0,364000000.0,-138000000.0,49000000.0,200000000.0,178000000.0,455000000.0,-109000000.0,-116000000.0,-54000000.0,176000000.0,278000000.0,653000000.0,1291000000.0,149000000.0,84000000.0,87000000.0,86000000.0,1960000000.0,72000000.0,,
