fact_unit,2023-02-15,2023-04-25,2023-07-25,2023-10-31,2024-02-06,2024-04-30,2024-07-31,2024-10-30,2025-02-13,2025-04-30,2025-07-30,2025-10-29
LesseeOperatingLeaseLiabilityPaymentsDueYearFive / USD,,,,,23000000.0,,,,24000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearFour / USD,,,,,48000000.0,,,,40000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearThree / USD,,,,,79000000.0,,,,77000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearTwo / USD,,,,,100000000.0,,,,113000000.0,,,
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount / USD,,,,,43000000.0,,,,40000000.0,,,
Liabilities / USD,,17947000000.0,17947000000.0,17947000000.0,17947000000.0,25144000000.0,25144000000.0,25144000000.0,25144000000.0,24437000000.0,24437000000.0,24437000000.0
LiabilitiesAndStockholdersEquity / USD,,27539000000.0,27539000000.0,27539000000.0,27539000000.0,32454000000.0,32454000000.0,32454000000.0,32454000000.0,33089000000.0,33089000000.0,33089000000.0
LiabilitiesCurrent / USD,,7191000000.0,7191000000.0,7191000000.0,7191000000.0,8981000000.0,8981000000.0,8981000000.0,8981000000.0,9553000000.0,9553000000.0,9553000000.0
LongTermDebt / USD,,,,,8249000000.0,9442000000.0,9442000000.0,9442000000.0,9442000000.0,8951000000.0,8951000000.0,8951000000.0
LongTermDebtCurrent / USD,,7000000.0,7000000.0,7000000.0,,1002000000.0,1002000000.0,1002000000.0,1002000000.0,1500000000.0,1500000000.0,1500000000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive / USD,,,,,4000000000.0,,,,4000000000.0,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths / USD,,,,,1008000000.0,,,,1506000000.0,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive / USD,,,,,0.0,,,,1000000000.0,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour / USD,,,,,1751000000.0,,,,0.0,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree / USD,,,,,1152000000.0,,,,1751000000.0,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo / USD,,,,,1541000000.0,,,,779000000.0,,,
LongTermDebtNoncurrent / USD,,8234000000.0,8234000000.0,8234000000.0,8234000000.0,8436000000.0,8436000000.0,8436000000.0,8436000000.0,7449000000.0,7449000000.0,7449000000.0
LongTermInvestments / USD,,,,,322000000.0,357000000.0,357000000.0,357000000.0,357000000.0,373000000.0,373000000.0,373000000.0
MinorityInterest / USD,,5000000.0,5000000.0,5000000.0,5000000.0,12000000.0,12000000.0,12000000.0,12000000.0,18000000.0,18000000.0,18000000.0
MinorityInterestChangeInRedemptionValue / USD,,0.0,0.0,0.0,0.0,183000000.0,183000000.0,183000000.0,0.0,,,
MinorityInterestPeriodIncreaseDecrease / USD,,0.0,2000000.0,-2000000.0,-3000000.0,2000000.0,5000000.0,4000000.0,-16000000.0,2000000.0,4000000.0,6000000.0
NetCashProvidedByUsedInFinancingActivities / USD,,-420000000.0,-280000000.0,-785000000.0,-263000000.0,673000000.0,446000000.0,422000000.0,-822000000.0,-153000000.0,-210000000.0,704000000.0
NetCashProvidedByUsedInInvestingActivities / USD,,-100000000.0,-185000000.0,-303000000.0,-1761000000.0,-266000000.0,-350000000.0,-470000000.0,-398000000.0,-188000000.0,-537000000.0,-674000000.0
NetCashProvidedByUsedInOperatingActivities / USD,,468000000.0,449000000.0,1071000000.0,,468000000.0,401000000.0,,,419000000.0,300000000.0,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations / USD,,,,,1607000000.0,,,1051000000.0,2134000000.0,,,1042000000.0
NetIncomeLoss / USD,,389000000.0,874000000.0,1362000000.0,2247000000.0,372000000.0,790000000.0,1165000000.0,1916000000.0,374000000.0,802000000.0,1272000000.0
NetIncomeLossAttributableToNoncontrollingInterest / USD,,13000000.0,26000000.0,32000000.0,46000000.0,11000000.0,26000000.0,33000000.0,51000000.0,14000000.0,21000000.0,40000000.0
NetIncomeLossAttributableToRedeemableNoncontrollingInterest / USD,,9000000.0,19000000.0,24000000.0,39000000.0,10000000.0,21000000.0,28000000.0,47000000.0,11000000.0,16000000.0,35000000.0
NetIncomeLossAvailableToCommonStockholdersBasic / USD,,389000000.0,874000000.0,1362000000.0,2247000000.0,189000000.0,607000000.0,982000000.0,1916000000.0,,,
NetIncomeLossFromContinuingOperationsAvailableToCommonShareholdersBasic / USD,,,862000000.0,1350000000.0,2229000000.0,,,986000000.0,1898000000.0,,,
NetIncomeLossFromDiscontinuedOperationsAvailableToCommonShareholdersBasic / USD,,,12000000.0,12000000.0,18000000.0,,,-4000000.0,18000000.0,,,
NetPeriodicDefinedBenefitsExpenseReversalOfExpenseExcludingServiceCostComponent / USD,,-2000000.0,-3000000.0,-4000000.0,3000000.0,-115000000.0,-238000000.0,-332000000.0,-5000000.0,-102000000.0,-204000000.0,-306000000.0
NoncurrentAssets / USD,,,,,2314000000.0,,,,2500000000.0,,,
NontradeReceivablesCurrent / USD,,274000000.0,,,,,,,,287000000.0,287000000.0,287000000.0
NontradeReceivablesNoncurrent / USD,,,,,,99000000.0,99000000.0,99000000.0,99000000.0,88000000.0,88000000.0,88000000.0
NotesAndLoansReceivableNetCurrent / USD,,97000000.0,97000000.0,97000000.0,97000000.0,97000000.0,97000000.0,97000000.0,97000000.0,90000000.0,90000000.0,90000000.0
NotesAndLoansReceivableNetNoncurrent / USD,,196000000.0,196000000.0,196000000.0,196000000.0,178000000.0,178000000.0,178000000.0,178000000.0,183000000.0,183000000.0,183000000.0
NumberOfOperatingSegments / segment,,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0
NumberOfReportableSegments / segment,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
OperatingExpenses / USD,,1169000000.0,2334000000.0,3502000000.0,4379000000.0,1332000000.0,2702000000.0,4020000000.0,4657000000.0,1362000000.0,2756000000.0,4106000000.0
OperatingIncomeLoss / USD,,509000000.0,1140000000.0,1745000000.0,2795000000.0,559000000.0,1129000000.0,1746000000.0,2522000000.0,540000000.0,1148000000.0,1824000000.0
OperatingLeaseCost / USD,,56000000.0,96000000.0,143000000.0,114000000.0,56000000.0,113000000.0,167000000.0,115000000.0,60000000.0,119000000.0,189000000.0
OperatingLeaseLiability / USD,,347000000.0,347000000.0,347000000.0,347000000.0,383000000.0,383000000.0,383000000.0,383000000.0,385000000.0,385000000.0,385000000.0
OperatingLeaseLiabilityCurrent / USD,,,,,104000000.0,110000000.0,110000000.0,110000000.0,110000000.0,115000000.0,115000000.0,115000000.0
OperatingLeaseLiabilityNoncurrent / USD,,,,,243000000.0,273000000.0,273000000.0,273000000.0,273000000.0,270000000.0,270000000.0,270000000.0
OperatingLeasePayments / USD,,,,,128000000.0,,,,113000000.0,,,
OperatingLeaseRightOfUseAsset / USD,,313000000.0,313000000.0,313000000.0,313000000.0,356000000.0,356000000.0,356000000.0,356000000.0,364000000.0,364000000.0,364000000.0
OperatingLeaseWeightedAverageDiscountRatePercent / pure,,,,,0.033,,,,0.038,,,
OperatingLossCarryforwards / USD,,,,,6526000000.0,,,,5978000000.0,,,
OtherAccruedLiabilitiesCurrent / USD,,,,,238000000.0,335000000.0,335000000.0,335000000.0,335000000.0,386000000.0,386000000.0,386000000.0
OtherAccruedLiabilitiesNoncurrent / USD,,,,,113000000.0,225000000.0,225000000.0,225000000.0,225000000.0,184000000.0,184000000.0,184000000.0
OtherAssetsCurrent / USD,,417000000.0,417000000.0,417000000.0,417000000.0,389000000.0,389000000.0,389000000.0,389000000.0,532000000.0,532000000.0,532000000.0
OtherAssetsMiscellaneousCurrent / USD,,,,,94000000.0,61000000.0,61000000.0,61000000.0,8000000.0,16000000.0,16000000.0,16000000.0
OtherAssetsMiscellaneousNoncurrent / USD,,,,,68000000.0,191000000.0,191000000.0,191000000.0,191000000.0,164000000.0,164000000.0,164000000.0
OtherAssetsNoncurrent / USD,,1024000000.0,1024000000.0,1024000000.0,1024000000.0,1881000000.0,1881000000.0,1881000000.0,1881000000.0,1950000000.0,1950000000.0,1950000000.0
OtherComprehensiveIncomeLossBeforeReclassificationsNetOfTax / USD,,-123000000.0,-595000000.0,-876000000.0,-212000000.0,31000000.0,75000000.0,-264000000.0,-793000000.0,-58000000.0,-81000000.0,33000000.0
OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax / USD,,24000000.0,15000000.0,24000000.0,48000000.0,-39000000.0,-29000000.0,-7000000.0,-23000000.0,16000000.0,24000000.0,-12000000.0
OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAndTax / USD,,41000000.0,34000000.0,65000000.0,40000000.0,-17000000.0,-10000000.0,14000000.0,37000000.0,20000000.0,31000000.0,-13000000.0
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax / USD,,-153000000.0,-625000000.0,-937000000.0,-326000000.0,57000000.0,60000000.0,-84000000.0,-878000000.0,-76000000.0,-106000000.0,70000000.0
OtherComprehensiveIncomeLossNetInvestmentHedgeGainLossBeforeReclassificationAndTax / USD,,0.0,0.0,0.0,0.0,35000000.0,-71000000.0,-7000000.0,-111000000.0,32000000.0,59000000.0,-57000000.0
OtherComprehensiveIncomeLossNetOfTax / USD,,-134000000.0,-612000000.0,-905000000.0,-198000000.0,-47000000.0,-52000000.0,-437000000.0,-843000000.0,-95000000.0,-154000000.0,-80000000.0
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToNoncontrollingInterest / USD,,,,0.0,0.0,0.0,0.0,-35000000.0,-2000000.0,0.0,,
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent / USD,,,,-905000000.0,-198000000.0,-47000000.0,-52000000.0,-402000000.0,-841000000.0,-95000000.0,-154000000.0,-80000000.0
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax / USD,,5000000.0,2000000.0,-8000000.0,-80000000.0,65000000.0,83000000.0,346000000.0,-58000000.0,35000000.0,71000000.0,138000000.0
OtherLiabilitiesCurrent / USD,,2190000000.0,,,,,,,,1552000000.0,1552000000.0,1552000000.0
OtherLiabilitiesNoncurrent / USD,,1603000000.0,1603000000.0,1603000000.0,1603000000.0,1877000000.0,1877000000.0,1877000000.0,1877000000.0,1796000000.0,1796000000.0,1796000000.0
OtherNonoperatingIncomeExpense / USD,,26000000.0,45000000.0,63000000.0,123000000.0,8000000.0,22000000.0,85000000.0,62000000.0,-8000000.0,-8000000.0,1000000.0
OtherOperatingActivitiesCashFlowStatement / USD,,-27000000.0,-242000000.0,-113000000.0,11000000.0,-50000000.0,-107000000.0,1000000.0,140000000.0,-129000000.0,-161000000.0,-57000000.0
OtherReceivableAfterAllowanceForCreditLossNoncurrent / USD,,,,,145000000.0,124000000.0,124000000.0,124000000.0,124000000.0,142000000.0,142000000.0,142000000.0
PaymentsForProceedsFromOtherInvestingActivities / USD,,3000000.0,29000000.0,73000000.0,47000000.0,-4000000.0,-9000000.0,10000000.0,33000000.0,24000000.0,39000000.0,83000000.0
PaymentsForRepurchaseOfCommonStock / USD,,,,,,,,,,,0.0,0.0
PaymentsForRepurchaseOfRedeemableNoncontrollingInterest / USD,,,0.0,0.0,0.0,211000000.0,211000000.0,211000000.0,0.0,,,
PaymentsOfDividends / USD,,,0.0,0.0,0.0,0.0,14000000.0,28000000.0,0.0,14000000.0,28000000.0,41000000.0
PaymentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,,,,31000000.0,0.0,11000000.0,48000000.0,90000000.0
PaymentsToAcquireBusinessesNetOfCashAcquired / USD,,0.0,0.0,0.0,1481000000.0,127000000.0,147000000.0,147000000.0,0.0,0.0,259000000.0,259000000.0
PaymentsToAcquireInvestments / USD,,,,,,,,21000000.0,59000000.0,19000000.0,30000000.0,33000000.0
PaymentsToAcquireProductiveAssets / USD,,,,233000000.0,248000000.0,143000000.0,213000000.0,293000000.0,310000000.0,145000000.0,209000000.0,299000000.0
PensionAndOtherPostretirementBenefitsExpenseReversalOfExpenseNoncash / USD,,3000000.0,6000000.0,8000000.0,25000000.0,-101000000.0,-207000000.0,-291000000.0,9000000.0,-90000000.0,-180000000.0,-271000000.0
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent / USD,,549000000.0,549000000.0,549000000.0,549000000.0,5782000000.0,5782000000.0,5782000000.0,5782000000.0,5583000000.0,5583000000.0,5583000000.0
PrepaidExpenseNoncurrent / USD,,,,,70000000.0,716000000.0,716000000.0,716000000.0,716000000.0,657000000.0,657000000.0,657000000.0
ProceedsFromDebtMaturingInMoreThanThreeMonths / USD,,0.0,0.0,3000000.0,5000000.0,2000000000.0,2000000000.0,2020000000.0,8198000000.0,1000000.0,1000000.0,994000000.0
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions / USD,,,,,,,,31000000.0,0.0,16000000.0,24000000.0,31000000.0
ProceedsFromPaymentsForOtherFinancingActivities / USD,,-30000000.0,-54000000.0,-89000000.0,-13000000.0,5000000.0,6000000.0,-24000000.0,-92000000.0,7000000.0,-4000000.0,-28000000.0
ProceedsFromRepaymentsOfShortTermDebtMaturingInThreeMonthsOrLess / USD,,2000000.0,0.0,8000000.0,-7000000.0,-9000000.0,-12000000.0,-9000000.0,9000000.0,1000000.0,0.0,
ProceedsFromSaleOfPropertyPlantAndEquipment / USD,,3000000.0,3000000.0,3000000.0,15000000.0,,1000000.0,1000000.0,4000000.0,,,
ProceedsFromStockOptionsExercised / USD,,18000000.0,27000000.0,31000000.0,34000000.0,,,,34000000.0,,,
ProductWarrantyAccrual / USD,,161000000.0,161000000.0,161000000.0,157000000.0,193000000.0,193000000.0,193000000.0,161000000.0,192000000.0,192000000.0,192000000.0
ProductWarrantyAccrualClassifiedCurrent / USD,,,,,193000000.0,192000000.0,192000000.0,192000000.0,192000000.0,168000000.0,168000000.0,168000000.0
ProductWarrantyAccrualPayments / USD,,45000000.0,104000000.0,151000000.0,221000000.0,51000000.0,105000000.0,159000000.0,199000000.0,55000000.0,112000000.0,166000000.0
ProfitLoss / USD,,402000000.0,900000000.0,1394000000.0,2293000000.0,383000000.0,816000000.0,1198000000.0,1967000000.0,388000000.0,823000000.0,1312000000.0
PropertyPlantAndEquipmentGross / USD,,4989000000.0,4989000000.0,4989000000.0,4989000000.0,5208000000.0,5208000000.0,5208000000.0,5208000000.0,5267000000.0,5267000000.0,5267000000.0
ProvisionForDoubtfulAccounts / USD,,,,,12000000.0,,,,2000000.0,,,
ReclassificationFromAccumulatedOtherComprehensiveIncomeCurrentPeriodNetOfTax / USD,,11000000.0,17000000.0,29000000.0,-14000000.0,78000000.0,127000000.0,173000000.0,50000000.0,37000000.0,73000000.0,114000000.0
RedeemableNoncontrollingInterestEquityCarryingAmount / USD,,220000000.0,220000000.0,220000000.0,223000000.0,230000000.0,230000000.0,230000000.0,220000000.0,165000000.0,165000000.0,165000000.0
RedeemablePreferredStockDividends / USD,,0.0,0.0,0.0,0.0,183000000.0,183000000.0,183000000.0,0.0,,,
RepaymentsOfDebtMaturingInMoreThanThreeMonths / USD,,1000000.0,1000000.0,4000000.0,10000000.0,6000000.0,6000000.0,9000000.0,3000000.0,153000000.0,156000000.0,162000000.0
ResearchAndDevelopmentExpense / USD,,238000000.0,495000000.0,755000000.0,816000000.0,270000000.0,568000000.0,890000000.0,1026000000.0,324000000.0,651000000.0,967000000.0
RestrictedCashCurrent / USD,,5000000.0,5000000.0,5000000.0,5000000.0,10000000.0,10000000.0,10000000.0,10000000.0,16000000.0,16000000.0,16000000.0
RestrictedCashNoncurrent / USD,,6000000.0,6000000.0,6000000.0,6000000.0,2000000.0,2000000.0,2000000.0,2000000.0,3000000.0,3000000.0,3000000.0
RestructuringAndRelatedCostExpectedCostRemaining1 / USD,,71000000.0,35000000.0,23000000.0,20000000.0,25000000.0,16000000.0,21000000.0,36000000.0,40000000.0,34000000.0,24000000.0
RestructuringCharges / USD,,12000000.0,22000000.0,110000000.0,155000000.0,12000000.0,31000000.0,34000000.0,37000000.0,20000000.0,32000000.0,62000000.0
RestructuringCostsAndAssetImpairmentCharges / USD,,12000000.0,22000000.0,110000000.0,155000000.0,12000000.0,31000000.0,34000000.0,146000000.0,40000000.0,68000000.0,90000000.0
RestructuringReserve / USD,,75000000.0,75000000.0,75000000.0,75000000.0,68000000.0,68000000.0,68000000.0,75000000.0,86000000.0,86000000.0,86000000.0
RetainedEarningsAccumulatedDeficit / USD,,0.0,0.0,0.0,0.0,1326000000.0,1326000000.0,1326000000.0,1326000000.0,3262000000.0,3262000000.0,3262000000.0
RevenueFromContractWithCustomerExcludingAssessedTax / USD,,4343000000.0,8827000000.0,13403000000.0,17585000000.0,4707000000.0,9524000000.0,14346000000.0,18341000000.0,4650000000.0,9489000000.0,14353000000.0
RevenueRemainingPerformanceObligation / USD,,14490000000.0,14309000000.0,14162000000.0,14655000000.0,14313000000.0,14531000000.0,14563000000.0,14655000000.0,14491000000.0,14491000000.0,14491000000.0
RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability / USD,,,,,94000000.0,,,,98000000.0,,,
SaleOfStockNumberOfSharesIssuedInTransaction / shares,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,
SaleOfStockPricePerShare / USD/shares,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
SalesTypeAndDirectFinancingLeasesLeaseReceivablePaymentsToBeReceived / USD,,,,,248000000.0,,,,236000000.0,,,
SalesTypeAndDirectFinancingLeasesLeaseReceivablePaymentsToBeReceivedFiveYears / USD,,,,,15000000.0,,,,17000000.0,,,
SalesTypeAndDirectFinancingLeasesLeaseReceivablePaymentsToBeReceivedFourYears / USD,,,,,25000000.0,,,,27000000.0,,,
SalesTypeAndDirectFinancingLeasesLeaseReceivablePaymentsToBeReceivedNextTwelveMonths / USD,,,,,80000000.0,,,,77000000.0,,,
SalesTypeAndDirectFinancingLeasesLeaseReceivablePaymentsToBeReceivedThereafter / USD,,,,,14000000.0,,,,22000000.0,,,
SalesTypeAndDirectFinancingLeasesLeaseReceivablePaymentsToBeReceivedThreeYears / USD,,,,,41000000.0,,,,38000000.0,,,
SalesTypeAndDirectFinancingLeasesLeaseReceivablePaymentsToBeReceivedTwoYears / USD,,,,,61000000.0,,,,61000000.0,,,
SalesTypeLeaseLeaseIncome / USD,,,,,16000000.0,,,,12000000.0,,,
SalesTypeLeaseLeaseReceivable / USD,,,,,218000000.0,,,,206000000.0,,,
SalesTypeLeaseNetInvestmentInLease / USD,,,,,230000000.0,,,,217000000.0,,,
SalesTypeLeaseUnguaranteedResidualAsset / USD,,,,,12000000.0,,,,11000000.0,,,
SellingGeneralAndAdministrativeExpense / USD,,931000000.0,1839000000.0,2747000000.0,3563000000.0,1062000000.0,2134000000.0,3130000000.0,3631000000.0,1038000000.0,2105000000.0,3139000000.0
SeveranceCosts1 / USD,,9000000.0,18000000.0,46000000.0,127000000.0,10000000.0,25000000.0,26000000.0,74000000.0,25000000.0,42000000.0,61000000.0
ShareBasedCompensation / USD,,19000000.0,39000000.0,58000000.0,76000000.0,24000000.0,52000000.0,81000000.0,67000000.0,34000000.0,70000000.0,92000000.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized / shares,,41000000.0,41000000.0,41000000.0,41000000.0,,,,41000000.0,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber / shares,,3182000.0,3044000.0,2852000.0,2810000.0,,,,2178000.0,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice / USD/shares,,94.0,95.0,93.0,94.0,,,,87.0,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod / shares,,5000.0,30000.0,200000.0,210000.0,,,,469000.0,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod / shares,,3000.0,31000.0,128000.0,159000.0,,,,308000.0,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross / shares,,2037000.0,2143000.0,2156000.0,2155000.0,,,,563000.0,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue / USD/shares,,25.0,25.0,25.0,25.0,,,,25.0,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue / USD,,57000000.0,53000000.0,14000000.0,35000000.0,,,,31000000.0,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber / shares,,3738000.0,3738000.0,3738000.0,3738000.0,,,,4963000.0,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice / USD/shares,,90.0,90.0,90.0,90.0,,,,84.0,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingAggregateIntrinsicValue / USD,,18000000.0,17000000.0,0.0,10000000.0,,,,30000000.0,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber / shares,,1681000.0,1780000.0,1721000.0,1755000.0,,,,4027000.0,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageExercisePrice / USD/shares,,71.0,72.0,72.0,72.0,,,,82.0,,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice / USD/shares,,56.0,60.0,60.0,60.0,,,,67.0,,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExpirationsInPeriodWeightedAverageExercisePrice / USD/shares,,143.0,131.0,127.0,127.0,,,,141.0,,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice / USD/shares,,68.0,69.0,71.0,71.0,,,,74.0,,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice / USD/shares,,71.0,72.0,72.0,72.0,,,,92.0,,,
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1 / USD,,33000000.0,31000000.0,14000000.0,23000000.0,,,,20000000.0,,,
ShortTermBorrowings / USD,,15000000.0,15000000.0,15000000.0,15000000.0,1006000000.0,1006000000.0,1006000000.0,1006000000.0,1502000000.0,1502000000.0,1502000000.0
ShortTermLeaseCost / USD,,,,,4000000.0,,,,4000000.0,,,
StandardProductWarrantyAccrualWarrantiesIssued / USD,,55000000.0,131000000.0,182000000.0,228000000.0,49000000.0,102000000.0,158000000.0,238000000.0,41000000.0,96000000.0,143000000.0
StockIssuedDuringPeriodSharesStockOptionsExercised / shares,,326000.0,448000.0,524000.0,561000.0,,,,503000.0,,,
StockIssuedDuringPeriodValueNewIssues / USD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
StockIssuedDuringPeriodValueShareBasedCompensation / USD,,4000000.0,11000000.0,-11000000.0,,4000000.0,11000000.0,-11000000.0,-60000000.0,-24000000.0,-24000000.0,-59000000.0
StockRepurchaseProgramAuthorizedAmount1 / USD,,,,,,,,,,,1000000000.0,1000000000.0
StockholdersEquity / USD,,9357000000.0,9357000000.0,9357000000.0,9357000000.0,7133000000.0,7133000000.0,7133000000.0,7133000000.0,8446000000.0,8446000000.0,8446000000.0
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest / USD,,16676000000.0,16676000000.0,16676000000.0,14751000000.0,9362000000.0,9362000000.0,9362000000.0,16676000000.0,7145000000.0,7145000000.0,7145000000.0
SupplierFinanceProgramObligation / USD,,,,,,,,,365000000.0,,,
SupplierFinanceProgramObligationCurrent / USD,,,392000000.0,392000000.0,392000000.0,365000000.0,365000000.0,365000000.0,,394000000.0,394000000.0,394000000.0
SupplierFinanceProgramObligationDecreaseSettlement / USD,,,,,,,,,855000000.0,,,
SupplierFinanceProgramObligationIncrease / USD,,,,,,,,,886000000.0,,,
TreasuryStockCommonShares / shares,,,,,,,,0.0,0.0,291053.0,291053.0,291053.0
TreasuryStockCommonValue / USD,,,,,,,,0.0,0.0,25000000.0,25000000.0,25000000.0
TreasuryStockSharesAcquired / shares,,,,,,,,,,,1400000.0,2800000.0
TreasuryStockValueAcquiredCostMethod / USD,,,,,,,,,,,100000000.0,200000000.0
UnrecognizedTaxBenefits / USD,,,,,684000000.0,,,,365000000.0,,,
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions / USD,,,,,78000000.0,,,,41000000.0,,,
UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities / USD,,,,,262000000.0,,,,1000000.0,,,
UnrecognizedTaxBenefitsIncomeTaxPenaltiesExpense / USD,,,,,0.0,,,,0.0,,,
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions / USD,,,,,9000000.0,,,,9000000.0,,,
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions / USD,,,,,14000000.0,,,,137000000.0,,,
UnrecognizedTaxBenefitsInterestOnIncomeTaxesAccrued / USD,,,,,53000000.0,,,,56000000.0,,,
UnrecognizedTaxBenefitsInterestOnIncomeTaxesExpense / USD,,,,,9000000.0,,,,12000000.0,,,
UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations / USD,,,,,2000000.0,,,,4000000.0,,,
UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate / USD,,,,,111000000.0,,,,153000000.0,,,
UnrecordedUnconditionalPurchaseObligationBalanceOnFifthAnniversary / USD,,,,,72000000.0,,,,81000000.0,,,
UnrecordedUnconditionalPurchaseObligationBalanceOnFirstAnniversary / USD,,,,,308000000.0,,,,404000000.0,,,
UnrecordedUnconditionalPurchaseObligationBalanceOnFourthAnniversary / USD,,,,,79000000.0,,,,91000000.0,,,
UnrecordedUnconditionalPurchaseObligationBalanceOnSecondAnniversary / USD,,,,,195000000.0,,,,362000000.0,,,
UnrecordedUnconditionalPurchaseObligationBalanceOnThirdAnniversary / USD,,,,,142000000.0,,,,132000000.0,,,
UnrecordedUnconditionalPurchaseObligationBalanceSheetAmount / USD,,,,,875000000.0,,,,1160000000.0,,,
UnrecordedUnconditionalPurchaseObligationDueAfterFiveYears / USD,,,,,79000000.0,,,,91000000.0,,,
ValuationAllowanceDeferredTaxAssetChangeInAmount / USD,,,,,,,,,-310000000.0,,,
ValueAddedTaxReceivableCurrent / USD,,174000000.0,,,,,,,,155000000.0,155000000.0,155000000.0
ValueAddedTaxReceivableNoncurrent / USD,,28000000.0,28000000.0,28000000.0,28000000.0,26000000.0,26000000.0,26000000.0,26000000.0,20000000.0,20000000.0,20000000.0
VariableLeaseCost / USD,,,,,67000000.0,,,,98000000.0,,,
WeightedAverageNumberDilutedSharesOutstandingAdjustment / shares,,0.0,0.0,0.0,0.0,3000000.0,3000000.0,3000000.0,0.0,3000000.0,3000000.0,2000000.0
WeightedAverageNumberOfDilutedSharesOutstanding / shares,,454000000.0,454000000.0,454000000.0,454000000.0,457000000.0,458000000.0,458000000.0,454000000.0,459000000.0,459000000.0,459000000.0
WeightedAverageNumberOfSharesOutstandingBasic / shares,,454000000.0,454000000.0,454000000.0,454000000.0,454000000.0,455000000.0,455000000.0,454000000.0,456000000.0,456000000.0,456000000.0
